time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-30 15:30:50,34.07,58.91,10.76,0,8647,16408.907873,916,0,0,9,44926,44911,16367.014585,30555021,3385166703,3742294,9066109,2210419187,13976710,467633,5543586,498527,3229545,3976293,5303101,102312683,3244989954,1068795,3196400361,151178,2144110788,211956,271289,330804,528923,152093,625874,563555,1471283,3358794323,105138414,1450640421,3126479,18300974,17480972569,31213178666,0,2195486303,29261631597,6549912227,63.09,95.11,1610103207,56.16,94.90,1610005892,23.23,62.23,1609908406,23.76,62.78,1609807585,2020-07-30 15:30:50,93.292,2.006,4.702,0,0,0,0,0,0,0,64,53,11.860,12.040,8.950,2310660096,118499061760,3284992,13884329984,3088,0,16,0,49,0,0,0,4294963200,30-07 15:30:50,18512,7904
2020-07-30 15:30:51,34.94,59.35,10.28,0,167,16144.449334,0,0,0,0,112,112,16144.348335,10201865,3520440687,1232595,4481495,2370180886,1027514,63547,468262,556486,1751540,1506317,3339046,113515646,3591487204,72389,3522871572,6600,2368354472,5047,1007135,29357,74740,16648,618893,17221,2216020,3574625755,112933901,1567401654,2981121,3743093,18822171241,34811194903,0,2342781368,31357166021,6680762657,50.39,76.56,1608776351,46.09,76.23,1608775257,13.11,43.28,1608774547,14.17,44.29,1608774956,2020-07-30 15:30:51,99.563,0.437,0,0,0,0,16384,0,0,1,0,51,11.860,12.040,8.950,2438701056,118371008512,3284992,13884342272,3698,0,16,0,0,0,3,0,4294963200,30-07 15:30:51,16386,150
2020-07-30 15:30:52,34.86,59.20,10.40,0,174,16084.586231,1,0,0,0,92,92,16085.434116,9832869,3513392309,1236814,4277542,2363513925,1248686,192226,638619,568729,1754102,3072929,3208664,113261324,3583693041,69193,3515669200,5768,2366362988,4674,1046628,32991,82487,5233,593577,33375,1834551,3580491452,113317572,1567376984,1550131,2159598,18815622098,34897617789,0,2347454084,31357352847,6674385941,51.27,76.04,1608466076,47.12,75.77,1608466254,14.14,42.85,1608466956,15.19,43.82,1608465769,2020-07-30 15:30:52,99.688,0.312,0,0,0,0,0,0,0,0,0,53,11.860,12.040,8.950,2567135232,118242574336,3284992,13884342272,3515,0,16,0,1,0,0,0,4294963200,30-07 15:30:52,16395,169
2020-07-30 15:30:53,34.88,59.20,10.33,0,108,16084.383912,1,0,0,0,79,79,16083.685759,10276299,3508506521,1219387,4587071,2364350934,1583131,115026,537084,508747,1756129,3189286,4274923,113225032,3582390217,59697,3515528937,5037,2364884919,3788,1042113,30291,84624,4858,528036,6869,1916658,3574309549,113118956,1566485783,2642496,3490891,18807982397,34857083513,0,2343834733,31353197386,6677547979,49.30,75.39,1608082267,45.02,75.06,1608086951,12.07,42.14,1608091133,13.14,43.15,1608098597,2020-07-30 15:30:53,99.687,0.313,0,0,0,0,0,0,0,1,0,52,11.860,12.040,8.950,2701344768,118108356608,3284992,13884350464,3327,0,16,0,1,0,0,0,4294963200,30-07 15:30:53,16325,104
2020-07-30 15:30:54,34.95,59.26,10.24,0,125,16079.565940,1,0,0,0,81,81,16079.824416,10153885,3508205903,1192885,4027817,2362221437,1042996,66717,501283,533157,1873714,2314217,2240759,113269607,3584732830,59891,3513728717,7698,2363301500,3363,1041550,30092,95356,5323,530780,14090,1314054,3580634850,113228879,1566367639,2378085,2918647,18806777797,34866919080,0,2343623770,31350590175,6672515657,48.97,72.62,1608120282,45.12,72.31,1608119772,12.14,39.38,1608119294,13.20,40.39,1608120312,2020-07-30 15:30:54,99.688,0.312,0,0,0,0,0,0,0,0,0,49,11.150,11.890,8.910,2820624384,117989072896,3284992,13884354560,3388,0,16,0,1,0,0,0,4294963200,30-07 15:30:54,16351,123
2020-07-30 15:30:55,34.93,59.26,10.31,0,215,16080.859718,1,0,0,0,83,83,16080.804441,9899119,3508133551,1241442,4363200,2362201795,1046643,91285,501702,606420,1786749,4519785,4385124,113214900,3605644897,120521,3525911194,18226,2364778840,6087,1042997,76527,150108,7239,581644,4989,1320142,3576848200,113129174,1566401972,1934270,2635101,18807303296,34873103069,0,2343721983,31351533005,6673328833,51.44,75.97,1608215699,47.37,75.69,1608210912,14.32,42.78,1608209064,15.45,43.84,1608203604,2020-07-30 15:30:55,99.625,0.375,0,0,0,0,0,0,0,1,0,52,11.150,11.890,8.910,2948399104,117861289984,3284992,13884362752,3638,0,16,0,1,0,0,0,4294963200,30-07 15:30:55,16380,215
2020-07-30 15:30:56,34.93,59.24,10.31,0,97,16081.291453,0,0,0,0,65,65,16081.149000,10141987,3507313634,1216880,4896390,2363379232,1004312,67896,494157,531868,1749595,2339951,1531943,113460118,3588458540,46930,3513377609,3728,2363067125,4289,1041850,43193,142333,45133,640978,42932,1957952,3574780946,113079106,1566002638,2041783,2720986,18802528719,34866818527,0,2343846941,31343735006,6667334492,49.83,76.52,1607772947,45.56,76.18,1607773232,12.62,43.27,1607769622,13.68,44.23,1607768550,2020-07-30 15:30:56,99.687,0.313,0,0,0,0,49152,0,0,0,0,52,11.150,11.890,8.910,3080400896,117729280000,3284992,13884370944,3395,0,17,0,0,0,4,0,4294963200,30-07 15:30:56,16235,97
2020-07-30 15:30:57,34.92,59.23,10.39,0,127,16077.896053,1,0,0,0,69,69,16078.323736,9671608,3507379775,1190537,4246907,2362533318,1041970,57803,471789,505383,1759559,3540144,3976166,113301136,3581969337,45866,3511056616,3259,2362884405,1144,1033713,29153,91697,11968,576458,27830,934806,3578041060,112924153,1565846140,2043174,2754702,18803481902,34845016485,0,2343660020,31352950190,6678131215,48.92,74.30,1608456027,44.74,73.95,1608456592,11.74,40.99,1608459232,12.84,42.05,1608511983,2020-07-30 15:30:57,99.563,0.437,0,0,0,0,0,0,0,1,0,53,11.150,11.890,8.910,3208192000,117601480704,3284992,13884379136,3627,42,16,0,1,0,0,0,4294963200,30-07 15:30:57,16134,123
2020-07-30 15:30:58,34.93,59.25,10.41,0,165,16084.513621,2,0,0,0,88,88,16083.825501,9890872,3510333985,1201118,4912195,2363918713,1089354,83265,525399,565419,1754476,3525423,2452443,113556707,3590001997,49986,3514137343,4746,2364259300,4628,1033018,65060,184057,37113,599847,13073,1261230,3582267801,113143703,1567253618,2107002,2900757,18814182163,34874479928,0,2344377620,31355195340,6680259367,50.72,75.32,1608468616,46.59,75.02,1608470632,13.56,42.05,1608475224,14.67,43.06,1608429726,2020-07-30 15:30:58,99.688,0.312,0,0,0,0,0,0,0,0,0,57,11.150,11.890,8.910,3333763072,117475905536,3284992,13884383232,3421,54,16,0,1,0,0,0,4294963200,30-07 15:30:58,16414,165
2020-07-30 15:30:59,34.98,59.33,10.31,0,130,16084.156286,1,0,0,0,58,58,16084.640621,9462920,3511144606,1197715,4346283,2363710362,1557233,88979,506717,547109,1761557,2164096,2508405,113417131,3587303396,43784,3513541901,5122,2363699635,372,1036207,19471,77537,18875,562246,5976,280925,3581151828,112993988,1566472694,2263424,2829325,18808930556,34879837152,0,2344040298,31353461448,6670604323,49.43,73.57,1608074576,45.53,73.30,1608075490,12.52,40.33,1608075832,13.60,41.34,1608075951,2020-07-30 15:30:59,99.688,0.312,0,0,0,0,0,0,0,1,0,57,11.540,11.960,8.950,3457572864,117352087552,3284992,13884391424,3544,0,16,0,1,0,0,0,4294963200,30-07 15:30:59,16392,130
