time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-30 15:44:55,34.97,59.87,11.08,0,7954,16356.418683,925,0,0,9,45910,45912,16352.505925,30681998,3406191832,3601900,10510664,2269897337,18942773,756199,7059431,1097469,3779492,4984989,5775524,101986755,3319275114,1606896,3301460968,192348,2215360890,346982,111357,247462,371396,120837,1152892,306056,2301526,3217480771,101469683,1430718409,5365525,20615421,17230463523,30982145999,0,2205362903,28909196969,6478681670,44.66,88.23,1610801530,35.97,87.89,1610705380,68.22,120.58,1610612229,68.99,121.10,1610575149,2020-07-30 15:44:55,92.920,2.506,4.574,0,0,0,0,0,0,0,64,46,16,15.770,13.150,2378371072,118425124864,3284992,13890408448,3175,0,16,0,48,0,0,0,4294963200,30-07 15:44:55,18341,7237
2020-07-30 15:44:56,36.00,60.54,10.33,0,175,16151.158848,1,0,0,0,135,135,16150.578639,11800937,3572092649,1254157,5867394,2426037129,1325244,118514,522976,1357224,2289803,2185312,1518479,111827638,3605888813,85845,3577837045,3086,2423004453,139928,2420,30294,99363,14401,1344834,59556,3454281,3586390464,111066350,1563558946,3346162,4175378,18766331465,35056186370,0,2393492323,31252802324,6624424947,34.48,68.55,1608888142,28.94,68.21,1608891685,61.18,100.56,1608884609,62.57,101.60,1608819771,2020-07-30 15:44:56,99.562,0.438,0,0,0,0,57344,0,0,1,0,52,16,15.770,13.150,2546327552,118257164288,3284992,13890412544,3500,0,16,0,1,0,6,0,4294963200,30-07 15:44:56,16415,173
2020-07-30 15:44:57,35.91,60.38,10.53,0,173,16086.882165,1,0,0,0,108,108,16087.598418,11723909,3558597466,1258903,5972768,2417459153,1647251,181666,650119,1307003,2264695,2497348,4162767,111236062,3590769645,89165,3564095800,3235,2419779873,142824,424,64008,179791,49914,1356910,32353,1778351,3587359627,111066748,1562547632,3374526,4213808,18757607752,35099596470,0,2394876197,31257196298,6617009375,35.13,69.26,1608561007,29.69,69.11,1608562750,61.84,101.42,1608563975,63.25,102.42,1608565912,2020-07-30 15:44:57,99.562,0.438,0,0,0,0,0,0,0,0,0,59,16,15.770,13.150,2714996736,118088486912,3284992,13890420736,3559,42,16,0,1,0,0,0,4294963200,30-07 15:44:57,16398,173
2020-07-30 15:44:58,35.85,60.31,10.60,0,124,16085.004507,1,0,0,0,110,110,16084.574698,11181821,3559361891,1222186,5654671,2418737362,1855140,159585,611177,1296627,2279053,2518169,1578774,111561972,3598458765,85933,3567112595,3393,2418229276,137269,9,23856,96854,18574,1316354,26877,3228093,3581749633,110993699,1561437426,2749354,3579501,18745025069,35136268168,0,2397403380,31242974325,6595233039,33.38,66.16,1608038365,28.11,65.92,1608036196,60.32,98.24,1608037126,61.66,99.23,1608038874,2020-07-30 15:44:58,99.625,0.375,0,0,0,0,0,0,0,1,0,51,16,15.770,13.150,2877145088,117926330368,3284992,13890428928,3099,0,16,0,1,0,0,0,4294963200,30-07 15:44:58,16306,122
2020-07-30 15:44:59,35.84,60.29,10.52,0,138,16079.792341,1,0,0,0,82,84,16079.731387,11206088,3557495275,1199534,6094666,2417398555,1277039,76401,519404,1391368,2281627,3945888,3487461,111060383,3586819600,115368,3559543499,8751,2417526230,139542,582,34424,61183,17816,1331630,27777,1550658,3585632324,111045160,1561876183,3333888,4019422,18750120492,35094770626,0,2393539640,31251765697,6609138964,33.49,67.35,1608555791,28.09,67.08,1608557299,60.32,99.41,1608558900,61.71,100.45,1608557628,2020-07-30 15:44:59,99.563,0.437,0,0,0,0,0,0,0,0,0,48,16,15.770,13.160,3051204608,117752266752,3284992,13890433024,3258,54,16,0,1,0,0,0,4294963200,30-07 15:44:59,16381,138
2020-07-30 15:45:00,35.84,60.27,10.56,0,179,16085.050399,0,0,0,0,107,106,16085.260295,11673871,3564797217,1239615,5993449,2417113090,1375489,155722,591189,1357745,2282823,4203576,3695559,111383586,3594490045,119941,3566166208,18327,2419435489,139934,1747,47766,109692,10181,1343533,42755,1254604,3594083525,111483589,1561496373,2259178,3313134,18745254930,35119986374,0,2396892203,31241670856,6600616024,34.78,66.42,1608037558,29.69,66.21,1608034786,61.84,98.51,1608031103,63.23,99.51,1608027007,2020-07-30 15:45:00,99.562,0.438,0,0,0,0,0,0,0,1,0,61,16,15.770,13.160,3211898880,117591564288,3284992,13890441216,3372,0,16,0,0,0,0,0,4294963200,30-07 15:45:00,16312,179
2020-07-30 15:45:01,35.91,60.36,10.59,0,170,16078.942030,1,0,0,0,94,94,16078.848834,11942911,3556643908,1225273,5809824,2417351267,1342902,89448,493210,1310064,2286236,3715670,3795844,111281116,3592247850,89070,3564851246,2584,2417714697,139475,539,38172,101809,11932,1293205,190392,1975832,3584311443,110849825,1561382985,3232329,4745839,18745696651,35050017488,0,2394898986,31251863900,6622578648,34.00,68.97,1608673950,28.54,68.79,1608670629,60.73,101.11,1608669196,62.05,102.09,1608670083,2020-07-30 15:45:01,99.562,0.438,0,0,0,0,49152,0,0,0,0,56,16,15.770,13.160,3385417728,117418037248,3284992,13890449408,3547,0,17,0,1,0,4,0,4294963200,30-07 15:45:01,16460,169
2020-07-30 15:45:02,35.85,60.30,10.63,0,124,16087.713459,1,0,0,0,82,81,16088.142610,11771833,3561598637,1223282,5701010,2418968815,1307895,79205,484527,1285360,2288346,5635595,2938920,111497985,3598532623,83841,3569501313,1793,2419902743,138198,196,25140,78822,10058,1306237,31086,2957169,3588139541,110994160,1562281989,3135200,4112659,18753604145,35057391737,0,2398455867,31252838192,6620458566,33.21,67.18,1608698038,27.93,66.96,1608704406,60.16,99.30,1608711290,61.53,100.32,1608717620,2020-07-30 15:45:02,99.500,0.500,0,0,0,0,0,0,0,1,0,48,16,15.770,13.160,3555549184,117247897600,3284992,13890457600,2991,0,16,0,1,0,0,0,4294963200,30-07 15:45:02,16057,119
2020-07-30 15:45:03,35.89,60.35,10.51,0,205,16085.888745,1,0,0,0,114,114,16085.582421,11947998,3565145737,1246067,5663392,2418675513,1801678,197530,701263,1326963,2297834,3417929,2097127,111549390,3598445586,83179,3569333818,3315,2419119518,138362,382,27332,65264,8882,1300441,13595,1653103,3584822505,111038454,1562376048,3329863,4182821,18756064350,35118794898,0,2397624070,31254197456,6618865184,34.39,66.98,1608491553,29.14,66.84,1608490065,61.28,99.14,1608489091,62.63,100.12,1608489554,2020-07-30 15:45:03,99.625,0.375,0,0,0,0,0,0,0,0,0,52,16,15.770,13.160,3718586368,117084856320,3284992,13890461696,3410,0,16,0,1,0,0,0,4294963200,30-07 15:45:03,16407,203
2020-07-30 15:45:04,35.85,60.29,10.45,0,215,16084.488806,1,0,0,0,97,97,16084.554953,11731599,3560069500,1258485,6566234,2418337373,1904634,307026,863436,1400814,2284124,2511140,905087,111689747,3604117923,88846,3571730767,2909,2417418309,137316,126,26246,125537,282209,1564148,82209,4709716,3574474046,110840540,1561368923,3265470,3861911,18743785030,35096166530,0,2397010174,31240011402,6608687232,37.65,71.11,1607937941,32.58,70.88,1607936830,64.74,103.18,1607937645,66.07,104.17,1607936739,2020-07-30 15:45:04,99.500,0.500,0,0,0,0,0,0,0,1,0,51,16,15.770,13.180,3882172416,116921262080,3284992,13890469888,3695,0,16,0,1,0,0,0,4294963200,30-07 15:45:04,16382,215
