time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-23 12:10:08,34.81,60.11,19.96,0,45382,16222.942496,961,0,0,92,1100012,1100336,16219.336065,155915825,2728933986,6983247,110815794,1981344567,28988613,1711415,15914669,9574208,19726959,83986450,92806908,17314074,2295254239,37848369,2889228771,6702462,1976519740,1768280,202198,601082,1371371,262449,8359133,1883580,71642390,2113336968,11310940,713279022,75433698,119777256,11397324939,10117814459,0,1537800470,14471817387,7479304094,435.73,1454.28,1608910548,224.62,1392.33,1608846010,223.86,1391.75,1608774199,221.30,1391.07,1608704615,2020-07-23 12:10:08,20.128,31.438,48.435,0,0,0,0,0,0,0,1178,16,0,0.320,3.090,7691636736,109133717504,5398528,17564508160,1071,0,16,0,242,0,0,0,4294963200,23-07 12:10:08,24038,45268
2020-07-23 12:10:09,47.28,74.41,29.70,0,226,16121.494915,0,0,0,0,1948199,1948025,16121.615991,650288239,6081811563,18143271,264656373,3710412972,15142529,2731151,14142477,88885418,117517133,121567012,128498169,12843426,5445658354,159983907,6203406751,26495233,3740207800,1848043,13217,187752,2139454,181450,91633734,1251148,122857000,5409461125,12903821,1561532556,120855567,147196819,25042987438,23452392713,0,3170426896,31252477446,16900626302,1853.69,3220.74,1606733400,1594.87,3168.12,1606725145,1594.40,3166.53,1606723648,1593.38,3167.94,1606722385,2020-07-23 12:10:09,65.438,34.562,0,0,0,0,141824,0,0,1,0,13,0,0.320,3.090,14082568192,102742495232,5398528,17564565504,1686,42,16,0,0,0,14,0,4294963200,23-07 12:10:09,16308,220
2020-07-23 12:10:10,48.27,73.13,20.65,0,163,16064.934024,1,0,0,0,785358,785356,16064.829519,315604849,11720162985,8042282,84644109,5265027874,7909180,1103583,6465164,45771409,59412396,11933535,15892336,7022804,6507060485,88355851,11775715706,13647847,5282571976,880589,4699,57598,1176294,97181,46441451,19450,12241068,6484796490,6780723,1562055062,10940771,22986273,25073997032,30196515009,0,5200122375,31284178971,12430687991,871.30,921.15,1606981535,799.77,860.88,1606978865,798.96,859.61,1606978546,799.40,860.84,1606974758,2020-07-23 12:10:10,90.443,9.557,0,0,0,0,6934528,0,0,0,0,14,1.360,0.600,3.160,14592770048,102232285184,5398528,17564573696,1144,0,16,0,1,0,192,0,4294963200,23-07 12:10:10,18466,168
2020-07-23 12:10:11,51.98,76.08,15.57,0,204,16070.348328,1,0,0,0,270024,269980,16069.873224,46067857,3536074406,18775100,7255702,776428992,3952544,3872277,5548556,16771771,19764502,771739,961501,8500594,1341162328,9424718,3539599440,815103,773267229,293039,22269,36310,4717303,13823,14746011,4893,523722,1326294793,9003651,1565323897,4481718,7819076,25084049231,10945809877,0,733781709,31316162034,10048526293,395.52,109.32,1606971579,326.82,44.74,1606972206,327.50,44.32,1606969520,327.76,44.50,1606968961,2020-07-23 12:10:11,98.188,1.812,0,0,0,0,0,0,0,1,0,12,1.360,0.600,3.160,14610284544,102214762496,5398528,17564581888,852,0,16,0,1,0,0,0,4294963200,23-07 12:10:11,16435,198
2020-07-23 12:10:12,52.28,76.25,15.36,0,152,16070.190649,2,0,0,0,251228,251234,16070.849452,30935102,2673357567,17393853,3632184,343508767,4057439,3732867,5096140,15837630,16069376,186854,285325,7780962,830577764,5788902,2692348191,356205,348501541,282438,24127,31768,3827870,12762,15914324,3349,185645,813864153,7388027,1565602004,3419447,6022745,25096490804,8975864919,0,333839736,31327207117,9979606488,355.29,73.88,1606859925,289.30,9.11,1606860457,289.63,8.76,1606863467,289.69,8.96,1606865284,2020-07-23 12:10:12,98.437,1.563,0,0,0,0,0,0,0,0,0,24,1.360,0.600,3.160,14620045312,102204997632,5398528,17564585984,3561,1328,16,0,1,0,0,0,4294963200,23-07 12:10:12,16376,158
2020-07-23 12:10:13,52.11,76.14,15.20,0,171,16068.829889,2,0,0,0,249995,249993,16068.654356,32720762,2681529478,18485146,3649940,344185830,4208665,3372025,4332123,14573879,15158115,160837,264018,7486604,843021423,5748060,2708083936,350180,354544666,263644,30965,75559,4617804,13778,14647619,2194,158647,813688992,7196570,1564836858,3653849,6536708,25086522284,8999279124,0,333746385,31315724445,9998815969,363.05,73.35,1606503707,296.37,8.60,1606503225,296.75,8.22,1606501417,296.73,8.43,1606501789,2020-07-23 12:10:13,98.251,1.749,0,0,0,0,0,0,0,1,0,12,1.360,0.600,3.160,14630830080,102194204672,5398528,17564594176,1155,0,16,0,1,0,0,0,4294963200,23-07 12:10:13,16288,163
2020-07-23 12:10:14,49.49,73.53,15.23,0,132,16065.222594,0,0,0,0,339382,339377,16065.071189,247218549,2647394114,14451694,5532945,296420650,3444469,4188905,8387518,16393969,19057033,474029,810146,76479746,1371859827,114909396,2696807055,704041,315101985,354118,2767855,25291,5211897,14468,15022039,2250,510855,1340843505,77689614,1564791718,5550646,11503503,25085569106,8386968816,0,279478811,31315609248,12905133371,372.58,97.67,1606734078,301.23,32.98,1606733003,297.24,32.56,1606733425,325.89,32.96,1606732585,2020-07-23 12:10:14,97.749,2.251,0,0,0,0,0,0,0,0,0,12,1.360,0.600,3.160,14659772416,102165254144,5398528,17564602368,1271,0,16,0,0,0,0,0,4294963200,23-07 12:10:14,16340,132
2020-07-23 12:10:15,48.61,72.62,15.06,0,193,16068.679628,4,0,0,0,175172,175169,16068.491473,338614618,2530554363,12391156,5338342,200696558,2967856,3007331,7757404,13463391,16877933,214789,330908,107908236,1399317070,160792838,2546225166,582063,211857551,222085,8700138,51515,3452893,13278,11933417,2343,191700,1391548600,107885486,1564970346,2526291,8307451,25088858525,7682286423,0,191704166,31318215954,13943236513,303.81,96.96,1606761258,237.60,32.08,1606810151,237.64,31.63,1606812532,237.85,31.95,1606814572,2020-07-23 12:10:15,98.625,1.375,0,0,0,0,9728,0,0,1,0,10,2.540,0.860,3.230,14665900032,102159118336,5398528,17564610560,740,0,16,0,2,0,2,0,4294963200,23-07 12:10:15,16324,193
2020-07-23 12:10:16,47.36,71.41,15.01,0,144,16067.917273,1,0,0,0,304816,304812,16067.968859,428846988,2574987373,11165474,7493778,214710873,2958390,3798513,9697057,12609703,17190398,784726,809320,137857899,1692062762,214953315,2584399625,861144,216496291,338046,8397778,54741,3501278,41191,12384050,3737,528254,1648166361,135706053,1564170835,3870524,11415810,25078274444,7615277490,0,207282646,31302963014,15229808746,305.34,110.21,1606409773,255.65,45.59,1606386167,242.72,45.04,1606383775,250.46,45.44,1606382835,2020-07-23 12:10:16,97.312,2.688,0,0,0,0,0,0,0,0,0,10,2.540,0.860,3.230,14692057088,102132957184,5398528,17564614656,1280,0,16,0,1,0,0,0,4294963200,23-07 12:10:16,16264,144
2020-07-23 12:10:17,46.21,70.22,14.70,0,140,16064.291780,1,0,0,0,126998,126998,16064.095360,528949709,2422268780,9559673,7582821,110704985,2476123,1874980,9350338,11195831,16751407,229992,294021,162823618,1739599400,268918113,2433974932,707828,116072715,147332,12177867,29418,2293718,31731,11810044,4733,236572,1732863434,162223696,1564324703,2250869,10811830,25092841464,6885522937,0,109802362,31315077517,16501386978,275.09,108.48,1607126499,208.23,43.59,1607098657,208.18,43.06,1607096162,208.58,43.45,1607091628,2020-07-23 12:10:17,98.875,1.125,0,0,0,0,0,0,0,1,0,19,2.540,0.860,3.230,14692794368,102132211712,5398528,17564622848,2167,1236,16,0,1,0,0,0,4294963200,23-07 12:10:17,16403,140
2020-07-23 12:10:18,46.21,70.22,14.75,0,144,16071.670017,1,0,0,0,126425,126432,16072.153226,529034587,2425126904,9626182,7609386,113494785,2354603,2159528,8991435,10243286,15062263,229720,297625,163287287,1735407446,269525822,2427395342,708142,114443857,144634,13646952,25698,2219345,11479,10281112,967,216763,1722980984,162840051,1565219097,1677954,9554969,25086881241,6823478448,0,110325015,31317019870,16495186257,261.01,108.60,1606969015,195.26,43.77,1606968945,195.02,43.26,1606973111,195.55,43.64,1606977686,2020-07-23 12:10:18,99.188,0.812,0,0,0,0,0,0,0,0,0,11,2.540,0.860,3.230,14692642816,102132355072,5398528,17564631040,1517,0,16,0,1,0,0,0,4294963200,23-07 12:10:18,16365,142
2020-07-23 12:10:19,46.14,70.18,14.58,0,151,16070.163098,0,0,0,0,126124,126119,16069.825261,527584682,2435150531,8839237,7604334,112610319,2607743,1459740,7837890,10260381,14765957,233744,299289,163460879,1741143403,269510424,2432525711,720576,113976365,133475,13582180,29257,2053470,15251,10297143,1191,221691,1724476330,162913701,1565201646,2227034,10347612,25088403925,6949624836,0,119985449,31317595257,16465319923,261.43,108.26,1606907256,195.63,43.39,1606908789,195.36,42.81,1606906981,195.87,43.21,1606903216,2020-07-23 12:10:19,99.062,0.938,0,0,0,0,0,0,0,1,0,11,2.540,0.860,3.230,14692622336,102132371456,5398528,17564635136,792,0,16,0,0,0,0,0,4294963200,23-07 12:10:19,16347,151
