time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-23 15:04:58,31.53,58.26,20.90,0,38753,16303.667519,1291,0,0,93,771143,771405,16259.621405,250210106,2998798719,6156268,212362667,2429979070,25869749,2829738,14418277,36194105,58888013,149914908,200003408,12658161,2139789442,6177135,3001564380,2009411,2418731167,981883,342621,818940,2731265,319538,37793255,10375772,141823165,1776732542,9334651,769077408,130587612,215907447,13715823332,10087147432,0,1931033504,15706067218,9390545103,1369.63,2995.09,1608054702,1091.92,2961.75,1607822084,1083.29,2962.24,1607582406,1114.81,2991.29,1607341263,2020-07-23 15:04:58,22.861,29.183,47.957,0,0,0,10752,0,0,0,1218,14,0,0.010,0.640,9934721024,124423458816,69632,581869568,1557,0,16,0,242,0,2,442929152,3852034048,23-07 15:04:58,23614,38686
2020-07-23 15:04:59,61.63,89.38,29.00,0,1785,16100.775135,2,0,0,0,4531205,4531247,16099.608474,394196963,10001062589,12393890,327142356,6705892215,33545276,3236184,19314231,19797834,43813258,288925635,298233750,3073195,8252877327,17581199,10032581344,11536128,6709249787,697545,2292399,499007,3535531,187846,25153451,3358215,285815654,8223654948,3472065,1577421979,293742913,320080448,33498024520,38077332544,0,5450237092,31566281644,17911173125,1040.98,4804.00,1604921679,469.85,4774.59,1604917066,477.29,4780.48,1604913709,490.66,4801.96,1604909207,2020-07-23 15:04:59,44.188,55.812,0,0,0,0,0,0,0,1,0,12,0,0.010,0.640,28586598400,105770283008,69632,583127040,972,0,16,0,1,0,0,442929152,3852034048,23-07 15:04:59,16313,1792
2020-07-23 15:05:00,68.62,97.11,32.13,0,1743,16044.923494,1,0,0,0,5546841,5546837,16045.024785,477589991,9343012495,20436075,392102716,6718277023,38412058,7679788,26449961,16406175,48106814,351728154,364505107,3836784,7459777669,24098800,9357628128,14575797,6720264073,822548,3220745,604819,4906513,191424,21592109,4881994,351999517,7428811807,3614839,1577247492,362400360,393665326,36297113301,35293329170,0,5215642591,31580041724,21619119125,1206.25,5784.12,1604330694,498.88,5755.63,1604331687,508.67,5761.70,1604330956,522.16,5781.61,1604376120,2020-07-23 15:05:00,34.875,65.125,0,0,0,0,0,0,0,0,0,10,0,0.010,0.640,51294724096,83062149120,69632,583135232,1310,54,16,0,0,0,0,442929152,3852034048,23-07 15:05:00,16245,1736
2020-07-23 15:05:01,68.58,97.06,32.00,0,1924,16044.259455,2,0,0,0,5535171,5535175,16044.442975,473898154,9307341497,17153620,391700244,6697435543,38762237,5622875,24945830,17763340,46351110,352856088,364151753,4017905,7419449034,23741765,9321936382,15140268,6697233159,831061,2416105,614328,5195731,193454,22619981,4872619,350666712,7399893868,3623264,1577289894,361231280,392413209,36302814006,35209416166,0,5202179322,31590141522,21663643369,1177.79,5771.51,1604796297,473.41,5743.21,1604791205,483.10,5749.32,1604790015,496.16,5769.10,1604795203,2020-07-23 15:05:01,34.188,65.812,0,0,0,0,67584,0,0,1,0,11,1.440,0.310,0.730,73946509312,60410359808,69632,583139328,1096,0,16,0,1,0,7,442929152,3852034048,23-07 15:05:01,16412,1897
2020-07-23 15:05:02,66.24,94.30,33.70,0,1775,16048.605625,1,0,0,0,3950886,3950788,16049.132090,985397627,8764593053,27329795,369962919,5204312818,21805545,6453540,27854341,141770177,187567965,146655632,160076252,19398940,7908251213,211331264,8722747133,36841871,5165876619,362076,1488330,244527,5577224,254560,143877871,1503312,142661718,7885162266,19511376,1577845647,144624858,188125932,36307436616,34134375989,0,4591971731,31588957943,24046030931,2816.48,4381.25,1604901896,2544.64,4356.52,1604944716,2549.03,4358.70,1604945688,2567.99,4382.66,1604897860,2020-07-23 15:05:02,70,30,0,0,0,0,0,0,0,0,0,13,1.440,0.310,0.730,82239127552,52117733376,69632,583147520,1076,0,16,0,1,0,0,442929152,3852034048,23-07 15:05:02,16368,1771
2020-07-23 15:05:03,64.47,91.77,32.90,0,1762,16049.387855,1,0,0,0,2904662,2904634,16049.375904,1328676406,7617688198,27706972,318146458,3933417101,12981384,4189303,38397818,176487858,230888057,47377551,56227775,27398765,7286075994,360395983,7591022927,41499847,3921281939,111508,1101673,81181,4436871,226882,175346009,82537,46131590,7287512568,27241827,1578247211,41031189,96033496,36318078485,29833432871,0,3769102834,31594541384,26344968429,3093.24,3285.19,1604860444,3023.57,3260.16,1604819965,3025.38,3260.68,1604820062,3047.72,3287.19,1604821554,2020-07-23 15:05:03,85.866,14.134,0,0,0,0,0,0,0,1,0,12,1.440,0.310,0.730,84283023360,50073829376,69632,583155712,858,0,16,0,1,0,0,442929152,3852034048,23-07 15:05:03,16362,1756
2020-07-23 15:05:04,64.05,91.17,32.33,0,1793,16048.808685,2,0,0,0,2762432,2762432,16048.668125,1333710107,7289578309,25062962,302309942,3729224629,13043726,3978576,47705842,165006419,223542158,42850340,52389468,26155104,7017544264,379134309,7308226413,39416798,3736041513,106808,1201691,89743,4967028,226722,167143540,63804,46087222,6980683257,25971439,1578121252,41112889,106494579,36316093439,28498111898,0,3573251198,31594602358,26831582651,2941.45,3130.14,1604658687,2873.33,3104.68,1604660461,2875.11,3105.19,1604662565,2897.67,3132.16,1604694139,2020-07-23 15:05:04,87.500,12.500,0,0,0,0,0,0,0,0,0,11,1.440,0.310,0.730,86255947776,48100904960,69632,583155712,1456,0,16,0,1,0,0,442929152,3852034048,23-07 15:05:04,16328,1788
2020-07-23 15:05:05,63.70,90.65,31.88,0,1804,16047.301222,0,0,0,0,2626026,2626022,16047.018863,1322780018,6982407765,26168245,287706255,3543814338,12642393,5197793,58784291,156977418,219863657,40355149,52531516,29615015,6728116585,388923412,6995669940,37515670,3544524917,100776,1441404,88985,3179692,209369,157017672,74463,42884752,6704051697,29469147,1577769875,37561394,111695545,36308523002,27271639529,0,3396584343,31589574182,27103093739,2800.72,2973.70,1604390147,2734.43,2947.87,1604389794,2736.26,2948.30,1604386091,2759.18,2975.38,1604350642,2020-07-23 15:05:05,87.695,12.305,0,0,0,0,0,0,0,1,0,13,1.440,0.310,0.730,88124637184,46232207360,69632,583163904,1303,0,16,0,0,0,0,442929152,3852034048,23-07 15:05:05,16288,1805
2020-07-23 15:05:06,63.55,90.45,31.61,0,1795,16044.180774,1,0,0,0,2573012,2573011,16043.989641,1314301310,6869724659,24766807,282507230,3471497738,12048080,4846739,63085389,155921878,218104557,44416876,53446632,32618924,6588505488,392367969,6867188080,36696137,3477996956,95066,1132445,96779,7572415,207493,153995894,68595,40921782,6575236975,32715745,1577848288,36749525,109762861,36310028908,26795868390,0,3337498444,31590790321,27118188530,2760.59,2912.44,1604385641,2694.42,2886.63,1604383974,2696.57,2887.05,1604385041,2720.46,2914.42,1604386824,2020-07-23 15:05:06,88.375,11.625,0,0,0,0,0,0,0,0,0,15,2.610,0.570,0.820,89937825792,44419014656,69632,583168000,1319,0,16,0,1,0,0,442929152,3852034048,23-07 15:05:06,16272,1795
2020-07-23 15:05:07,63.08,89.82,31.12,0,1792,16044.775850,1,0,0,0,2474918,2474903,16044.860701,1288973392,6612425411,23256269,270604745,3340630475,11812328,3788139,61409829,148963921,208969269,37696308,48924707,40381302,6372559496,395228135,6662795058,34042007,3349020471,92579,1066591,91068,5115813,207722,147391251,62146,41301223,6339037765,40348797,1578289979,34669001,110009969,36319566020,25720723304,0,3199362150,31598820136,27116239150,2619.54,2779.29,1604722009,2556.86,2753.18,1604721430,2558.62,2753.64,1604720131,2582.94,2781.36,1604719903,2020-07-23 15:05:07,88.875,11.125,0,0,0,0,0,0,0,1,0,14,2.610,0.570,0.820,91655483392,42701348864,69632,583176192,844,0,16,0,1,0,0,442929152,3852034048,23-07 15:05:07,16371,1789
