time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-22 19:00:49,24.03,50.31,17.47,0,38220,16435.448532,1085,0,0,93,62373,62468,16431.962651,314562368,601949872,6896822,276021300,1399798084,29460471,3591645,14594836,2973668,38319904,125968952,281810914,9727348,543083993,7719957,549352970,806791,1463119507,1120506,133230,511000,3033365,188789,2605691,8426426,130982846,547093320,11626197,780549262,154214511,289938445,9412963670,4353519984,0,889954874,15771501186,7501782464,659.41,2435.77,1615056393,369.19,2419.04,1614809909,319.55,2378.86,1614576602,347.76,2397.06,1614342836,2020-07-22 19:00:49,14.642,34.143,51.215,0,0,0,3584,0,0,1,1242,13,0,0.260,0.480,10867556352,111064174592,3284992,12860289024,1508,106,16,0,241,0,2,0,4294963200,22-07 19:00:49,25045,38183
2020-07-22 19:00:50,34.49,64.84,35.40,0,177,16413.982322,0,0,0,0,18295,18338,16413.459662,811710453,125449325,5472102,811998861,3307429371,5132468,8221554,14467758,7631791,91957693,365282845,789517409,2286530,527717308,5136587,168561463,825860,3307391245,42373,23719,583652,7577063,235333,7947647,24741662,372639662,481695953,407352,1558849074,434964222,751071417,18712733079,6186182593,0,1673560392,31155181160,16173338737,1861.18,7041.66,1633123378,1022.73,6985.92,1633122413,943.50,6933.80,1633118026,1021.92,6984.64,1633116728,2020-07-22 19:00:50,26.483,73.517,0,0,0,0,0,0,0,0,0,15,0,0.260,0.480,36025573376,85905117184,3284992,12861284352,1738,0,17,0,0,0,0,0,4294963200,22-07 19:00:50,16359,171
2020-07-22 19:00:51,31.04,62.78,49.17,0,133,16118.554971,0,0,0,0,22453,22401,16119.838983,484794199,915969871,1189393,445895689,908911112,1951374,446492634,458244082,75347,132161,32705,251920,2863168,154509536,387601353,938627155,79343843,928040394,91244,29198,119522,444250321,23521,109647,50790,2947371,146652021,2740819,1547832189,441953752,456403636,18586605712,4499779440,0,906597346,30995959614,16992851472,6939.30,6906.92,1611115959,6811.80,6787.63,1611117747,6782.61,6772.20,1611123849,6788.66,6770.75,1611127939,2020-07-22 19:00:51,99.500,0.500,0,0,0,0,0,0,0,1,0,13,0,0.260,0.480,36096299008,85834391552,3284992,12861284352,1390,0,16,0,0,0,0,0,4294963200,22-07 19:00:51,16039,131
2020-07-22 19:00:52,31.04,62.82,50.01,0,122,16113.743719,0,0,0,0,9738,9738,16113.913610,483651095,909084889,1108693,445706656,904870647,1925455,446899168,458202602,41738,66754,29491,239729,2752956,143685288,389971987,920732136,79991268,911459908,32537,20661,97485,448353611,10007,88274,8331,32426,147630363,2786536,1548154806,442008192,454906218,18591128541,4469816231,0,900394048,31011207562,17019907137,6927.21,6884.81,1612131596,6847.64,6810.88,1612134031,6824.98,6801.77,1612134236,6824.64,6794.04,1612136469,2020-07-22 19:00:52,99.875,0.125,0,0,0,0,0,0,0,0,0,11,0,0.260,0.480,36096299008,85834391552,3284992,12861284352,1155,0,16,0,0,0,0,0,4294963200,22-07 19:00:52,16244,122
2020-07-22 19:00:53,31.04,62.82,49.95,0,148,16121.778221,0,0,0,0,8064,8064,16121.828282,483595423,914259716,1110953,445613081,907195355,2099485,447489090,458750618,37462,51990,28412,226737,2793358,140151009,390693546,917584323,80191918,910605090,32619,20943,95464,448928831,5077,35952,3584,25931,140875325,2727832,1549743149,443043593,455659455,18606571412,4459879912,0,901386781,31020894275,17018578466,6903.43,6861.66,1612000903,6868.73,6832.34,1612000752,6824.77,6802.01,1611999600,6845.47,6815.28,1611993487,2020-07-22 19:00:53,99.938,0.062,0,0,0,0,0,0,0,1,0,14,0,0.260,0.480,36096172032,85834518528,3284992,12861284352,1207,0,16,0,0,0,0,0,4294963200,22-07 19:00:53,16349,146
2020-07-22 19:00:54,31.08,62.88,50.09,0,151,16119.897155,0,0,0,0,11702,11702,16119.556739,484611685,922142599,1192230,445680492,911486271,2689824,447325971,458463679,117099,181594,38506,266447,2759260,142055518,390683253,912734247,80123742,908774532,33144,19784,113595,448553367,30047,116291,18372,121505,154848658,2818186,1548727878,442779756,456142634,18596307105,4513903382,0,906032385,31012575877,17007322540,6899.16,6853.61,1611534618,6874.81,6834.19,1611534759,6833.68,6806.62,1611538228,6851.90,6817.41,1611543994,2020-07-22 19:00:54,99.625,0.375,0,0,0,0,6938624,0,0,0,0,14,1.280,0.520,0.560,36096589824,85834100736,3284992,12861284352,1379,0,16,0,0,0,180,0,4294963200,22-07 19:00:54,16704,151
2020-07-22 19:00:55,31.05,62.82,49.97,0,114,16117.537422,0,0,0,0,4190,4190,16117.826838,483781021,907895431,1081493,445927313,904238826,1897259,447484342,458778488,38126,66378,39577,258253,2850730,144843973,391117018,917316397,80251745,911076657,48208,19446,101412,448349100,6790,39480,3618,26937,139527753,2732275,1548436425,442649741,455577859,18593623582,4454864474,0,898717428,31005369517,17016835244,6889.60,6848.81,1611470087,6867.52,6831.29,1611470255,6838.27,6815.72,1611469150,6844.08,6814.28,1611471314,2020-07-22 19:00:55,99.938,0.062,0,0,0,0,0,0,0,1,0,13,1.280,0.520,0.560,36096589824,85834100736,3284992,12861284352,852,0,16,0,0,0,0,0,4294963200,22-07 19:00:55,16290,112
2020-07-22 19:00:56,31.07,62.88,50.18,0,128,16114.648694,0,0,0,0,4106,4106,16114.722505,483188162,906643227,1071290,445515025,902679309,1883612,447497265,458373755,36200,50221,27490,227442,2789887,139392899,390888589,907693557,80276679,903922147,25085,13035,86435,448422381,21539,51291,9116,45761,141575307,2742378,1548132514,442557232,455177154,18591735645,4452777227,0,898438783,31015880492,17026550864,6889.05,6848.42,1612300847,6874.82,6838.61,1612300206,6845.26,6822.72,1612297869,6851.52,6821.53,1612294090,2020-07-22 19:00:56,99.938,0.062,0,0,0,0,0,0,0,0,0,10,1.280,0.520,0.560,36096589824,85834100736,3284992,12861284352,1222,0,16,0,0,0,0,0,4294963200,22-07 19:00:56,16273,128
2020-07-22 19:00:57,31.07,62.86,49.93,0,140,16124.573867,0,0,0,0,4096,4096,16124.629394,483629628,911271645,1081691,445954351,904765938,1898718,448053897,458974451,35306,49665,28100,225274,2780905,140399357,391475664,909777625,80382502,903977506,19989,5535,75382,449078207,36836,68724,4238,26365,139808894,2738061,1549674115,443169157,455644126,18605101356,4464595588,0,901318178,31016395479,17014768648,6887.81,6846.98,1611822322,6872.81,6836.91,1611822978,6843.44,6820.91,1611822052,6849.78,6819.94,1611823546,2020-07-22 19:00:57,99.938,0.062,0,0,0,0,0,0,0,1,0,15,1.280,0.520,0.560,36096589824,85834100736,3284992,12861284352,1500,0,16,0,0,0,0,0,4294963200,22-07 19:00:57,16383,140
2020-07-22 19:00:58,31.02,62.81,50.04,0,110,16119.405739,0,0,0,0,6722,6722,16119.116863,483909064,911416417,1103166,445755219,906659231,2441468,447581157,458598577,74995,69825,29319,248352,2770336,142131846,390979372,910184764,80296249,903949474,22049,2592,90071,448910410,39291,169616,6921,37004,142086700,2709866,1548569588,443274446,455926466,18595894499,4459432698,0,898637047,31009361944,17023100452,6887.97,6845.99,1611321295,6877.69,6840.16,1611321876,6842.86,6818.98,1611323481,6854.32,6823.00,1611321895,2020-07-22 19:00:58,99.875,0.125,0,0,0,0,0,0,0,0,0,14,1.280,0.520,0.560,36096589824,85834100736,3284992,12861284352,1387,0,16,0,0,0,0,0,4294963200,22-07 19:00:58,16325,110
