time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-22 20:28:54,10.67,34.93,10.31,0,183,16457.287264,7,0,0,0,977,953,16444.428421,5150475,54477833,460797,533645,110773477,7908033,1011914,3680838,22787,1925462,1446903,1582198,3410918,38544153,824495,56346590,153477,111279304,192353,32174,35191,41758,19254,34047,41891,1003447,48194695,3475018,71968356,3078400,11245957,866250272,165574699,0,18916631,1381278536,658563912,2.26,1.79,1619614917,19.78,19.79,1619508021,1.23,1.36,1619400746,2.95,2.49,1619298746,2020-07-22 20:28:54,0.065,0.130,99.806,0,0,0,0,0,0,0,0,11,0,0.010,0.530,2041761792,122010435584,3284992,10755211264,684,0,0,0,1,0,0,0,4294963200,22-07 20:28:54,16379,135
2020-07-22 20:28:55,12.98,36.90,9.31,0,1412,16238.706372,96,0,0,0,11391,11391,16220.471276,8378420,116773507,806904,1334417,139693970,12473584,1146249,4286516,99385,1652659,1400304,1802969,3805109,105186251,954125,136975982,183941,147339510,248545,48309,88602,228497,41282,94057,50323,195892,75069463,3973522,104854800,2990410,13614821,1273526367,362540535,0,51021518,2113385489,970144471,7.97,5.51,1610850048,44.41,42.43,1610855931,6.86,4.94,1610855931,8.16,5.84,1610852328,2020-07-22 20:28:55,0.649,1.232,98.119,0,0,0,23040,0,0,1,268,31,0.080,0.030,0.530,2044403712,122007781376,3284992,10755256320,6953,4279,0,0,22,0,4,0,4294963200,22-07 20:28:55,16695,1423
2020-07-22 20:28:56,15.57,39.40,9.77,0,37631,16095.227542,947,0,0,92,62830,62925,16084.181181,32334674,562952451,3525004,15731084,446093268,26779350,1791973,11710997,428056,3852598,9575953,13014407,9885652,442643222,3106008,614975289,626367,472921490,711393,140665,419495,608320,76768,174518,370810,1137048,390092383,8810576,199645990,4028233,23075510,2482048457,1999710117,0,324572221,4369997548,1688296033,35.96,100.06,1608144242,68.42,141.24,1608143358,25.85,99.62,1608175621,27.54,99.91,1608178136,2020-07-22 20:28:56,6.339,5.886,87.775,0,0,0,0,0,0,0,1013,15,0.080,0.030,0.530,2278813696,121756540928,3284992,10771963904,63046,9528,16,0,240,0,0,0,4294963200,22-07 20:28:56,22924,37631
2020-07-22 20:28:57,31.92,61.40,34.26,0,6147,16083.783643,461,0,0,0,22306,22317,16084.820331,537266671,966708078,3179824,517551161,1960542734,6678559,206987045,214901908,2786705,38594281,129526594,309572304,4791273,800249487,164558549,1301203081,32260589,2209455244,385699,148269,419773,203823077,122242,2503996,8302207,124598114,633293585,2705584,1377098957,347333415,524032254,16577546013,6376582970,0,1516251097,27664116357,14326460939,3806.20,5587.50,1609650585,3495.13,5552.87,1609724901,3425.02,5500.88,1609708762,3454.87,5518.33,1609717718,2020-07-22 20:28:57,60.214,30.484,9.302,0,0,0,0,0,0,1,2137,168,0.080,0.030,0.530,11237003264,112796680192,3284992,10773635072,1257,304,16,0,1,0,0,0,4294963200,22-07 20:28:57,18880,6133
2020-07-22 20:28:58,31.86,63.66,49.68,0,101,16100.552409,1,0,0,0,9203,9189,16101.086051,455942541,923517619,888923,451325276,916889569,1553383,451860396,458463401,39525,56812,34367,205878,2660630,147064215,356086304,928329025,70057055,920856832,9573,1782,99256,452324143,31066,191316,16206,39529,147516330,2619938,1554139365,447951636,455999275,18664419777,4541856873,0,913322436,31129275908,17065178707,6985.66,6935.20,1609360934,6937.04,6891.79,1609300565,6895.92,6865.35,1609297951,6895.36,6857.46,1609297792,2020-07-22 20:28:58,99.938,0.062,0,0,0,0,0,0,0,0,0,12,0.080,0.030,0.530,11237019648,112796663808,3284992,10773635072,1095,0,17,0,1,0,0,0,4294963200,22-07 20:28:58,16249,100
2020-07-22 20:28:59,31.86,63.68,49.41,0,126,16093.763164,1,0,0,0,12310,12310,16093.911487,456020316,923732165,841743,451320036,916137196,1570580,452151640,458479407,52895,197239,34834,211508,3086635,167136108,356943310,936691652,70240597,920419838,1877,484,77383,453200242,56825,216035,18210,50879,161529285,2751751,1553800895,448189562,456406222,18665817694,4568800891,0,914700366,31141888710,17071039067,6971.65,6920.10,1610106715,6959.68,6913.14,1610104772,6912.22,6880.40,1610103955,6917.68,6878.59,1610106627,2020-07-22 20:28:59,99.812,0.188,0,0,0,0,0,0,0,1,0,14,0.080,0.030,0.530,11237019648,112796663808,3284992,10773635072,852,0,16,0,1,0,0,0,4294963200,22-07 20:28:59,16048,124
2020-07-22 20:29:00,31.92,63.78,49.56,0,122,16101.108374,2,0,0,0,6240,6240,16101.090593,455987611,925543297,774729,451619989,916591650,1546023,452375941,458821181,53414,90388,30353,202476,3028411,155928635,357437609,928907067,70332007,917509351,1972,289,74028,453656719,26680,93981,14358,33320,150946404,2772267,1555800106,448731680,456550050,18678114449,4554025482,0,916890897,31143542484,17066480049,6960.06,6912.99,1609950446,6962.66,6920.28,1609949858,6903.65,6875.74,1609951470,6921.47,6886.34,1609950331,2020-07-22 20:29:00,99.938,0.062,0,0,0,0,0,0,0,0,0,16,1.360,0.300,0.620,11236909056,112796774400,3284992,10773635072,1387,0,17,0,1,0,0,0,4294963200,22-07 20:29:00,16351,115
2020-07-22 20:29:01,31.88,63.71,49.89,0,119,16100.887618,0,0,0,0,6068,6068,16100.487597,455945400,924873765,869599,451288838,918984148,2091234,452035818,458342507,150687,435646,33462,201439,2645791,145314806,357528299,923604253,70392072,916006524,252,14,67149,453326333,29958,61543,15577,34317,151896637,2827535,1554334349,448425588,456382292,18667898648,4545688573,0,913674761,31132965533,17067616344,6948.27,6898.82,1609568971,6963.47,6918.64,1609570034,6916.10,6885.84,1609567303,6922.04,6884.40,1609566216,2020-07-22 20:29:01,99.937,0.063,0,0,0,0,0,0,0,1,0,12,1.360,0.300,0.620,11236925440,112796758016,3284992,10773635072,1092,0,16,0,0,0,0,0,4294963200,22-07 20:29:01,16347,123
2020-07-22 20:29:02,31.85,63.68,49.61,0,137,16094.085866,1,0,0,0,10,10,16094.554703,456151234,920783337,759466,451875466,916281828,1528920,451966067,458592375,57209,65668,35972,238710,2656357,141181609,357136925,922034028,70325254,916838658,864,162,70638,453204891,19118,52023,16602,46831,149338083,2775081,1554719983,448386179,456781367,18670695115,4549155539,0,915577439,31139176773,17069444267,6944.60,6898.68,1609917854,6961.92,6919.82,1609917929,6914.59,6887.28,1609920159,6920.16,6885.72,1609924022,2020-07-22 20:29:02,99.938,0.062,0,0,0,0,0,0,0,0,0,14,1.360,0.300,0.620,11236941824,112796741632,3284992,10773635072,972,42,16,0,1,0,0,0,4294963200,22-07 20:29:02,16281,137
2020-07-22 20:29:03,31.93,63.78,49.75,0,153,16100.979111,1,0,0,0,6237,6237,16100.395418,455967574,922325544,770814,451601210,916015917,1544990,452319013,458662924,55437,74384,31330,200917,2636086,144071257,357447752,928339018,70365635,920516189,2439,262,117760,453007785,33141,81012,17159,36604,148069033,2715565,1554277748,448390785,456324293,18665831391,4546777632,0,915352993,31131968883,17065470218,6940.45,6893.62,1609430995,6962.99,6920.24,1609432977,6917.93,6890.01,1609433413,6920.65,6885.49,1609430636,2020-07-22 20:29:03,99.875,0.125,0,0,0,0,0,0,0,1,0,13,1.360,0.300,0.620,11236831232,112796852224,3284992,10773635072,979,0,16,0,1,0,0,0,4294963200,22-07 20:29:03,16357,153
