time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-23 13:31:06,12.77,36.92,10.85,0,171,16391.927061,3,0,0,0,928,922,16373.628218,4926270,48584369,444370,522759,109092754,7810142,1013632,3612339,24974,1996303,1501710,1707616,3050348,42149806,851752,59781338,158051,110960451,190636,30494,39819,62170,29256,42274,14361,26581,25327410,3060809,65951385,2648908,10546895,802653210,116396702,0,16422338,1289106994,619495226,3.98,3.68,1612172547,15.82,16.35,1612084602,1.69,2.31,1611995223,17.26,17.24,1611886666,2020-07-23 13:31:06,0.065,0.065,99.870,0,0,0,0,0,0,0,0,14,0,0.230,3.980,2047385600,121886486528,3284992,10869518336,1084,0,0,0,0,0,0,0,4294963200,23-07 13:31:06,16405,130
2020-07-23 13:31:07,13.92,37.71,10.06,0,1476,16172.851165,114,0,0,0,11394,11394,16173.122370,6361437,108761928,615425,962428,142599116,12703880,1107742,4317264,86912,1768401,1476488,2017637,3949012,74612530,1060378,89503042,178374,131713415,244561,35106,185536,244325,59858,78008,51786,1126947,73636414,4055265,94719547,2943725,13424517,1125143409,324781612,0,51474738,1816905679,825555756,9.64,7.36,1609887436,27.93,26.48,1609889116,7.27,5.91,1609891757,29.12,27.30,1609894356,2020-07-23 13:31:07,0.778,1.231,97.991,0,0,0,0,0,0,1,268,31,0,0.230,3.980,2050424832,121883439104,3284992,10869559296,5480,2939,0,0,22,0,0,0,4294963200,23-07 13:31:07,16674,1474
2020-07-23 13:31:08,17.54,41.32,10.02,0,39466,16089.124231,979,0,0,100,65412,65512,16089.241722,97003215,857122972,4376131,63062700,793447585,23171651,1448235,10990460,192044,3339706,2884209,5587276,10847234,644965161,4136355,916984690,687540,639000234,874412,90849,357817,749002,288755,632178,1035649,4002674,640778311,10615784,305564511,6118365,71183586,3720433350,3208748491,0,710836894,6466884083,2408070394,37.65,100.41,1608694981,51.47,122.80,1608696006,29.81,100.58,1608736098,51.74,123.64,1608737882,2020-07-23 13:31:08,9.573,8.085,82.277,0.065,0,0,0,0,0,0,963,10,0,0.230,3.980,2280579072,121635028992,3284992,10887815168,62930,9396,16,0,241,0,0,0,4294963200,23-07 13:31:08,22865,39533
2020-07-23 13:31:09,34.75,60.75,19.55,0,2551,16088.129750,79,0,0,0,2276979,2277221,16087.001286,233458823,6014693327,7830671,200442453,4100947942,21343259,2018617,12267873,13879886,32619286,151775437,218486330,2547563,4302613578,19712807,6012384010,7071733,4229191644,76948,68544,308667,2073367,144405,12490865,2881445,160355584,4292183965,3568466,1535975128,166361344,185967242,18298018069,20700979739,0,3337241527,30406149295,10017599825,612.66,2681.72,1608249408,339.72,2709.36,1608252555,313.34,2681.35,1608211230,336.96,2710.66,1608208505,2020-07-23 13:31:09,44.305,53.254,2.441,0,0,0,0,0,0,1,988,60,0,0.230,3.980,12684808192,111230717952,3284992,10887872512,1649,250,16,0,1,0,0,0,4294963200,23-07 13:31:09,17412,2486
2020-07-23 13:31:10,33.99,60.01,22.50,0,226,16083.189824,1,0,0,0,1789464,1789347,16083.366678,885124474,4541794149,18028903,199593677,2516519241,11825529,2614601,15669989,100930369,125885916,47718042,54102582,12542172,4289648696,126557827,4562046921,22780566,2540899615,143796,614006,155334,2342920,166317,98076631,296174,43519002,4292089936,12654995,1558696817,43707482,70407530,18711480659,17996336391,0,2346356509,31191381970,12642441219,1754.41,2120.08,1608764720,1721.27,2148.00,1608757220,1694.01,2121.05,1608751769,1720.54,2148.83,1608752116,2020-07-23 13:31:10,80.762,19.238,0,0,0,0,0,0,0,0,0,20,1.280,0.490,4.050,14942871552,108972650496,3284992,10887876608,1555,0,16,0,1,0,0,0,4294963200,23-07 13:31:10,16342,222
2020-07-23 13:31:11,33.35,57.86,14.35,0,2784,16086.924725,140,0,0,0,708954,708842,16086.768707,419084423,7641022978,8846435,72378387,3867242838,6976631,1078531,11994439,38446364,52700352,9938788,12614519,10795709,4236984025,67944508,7349208257,9164408,3710400469,77152,187774,72313,1058794,97792,39266711,105760,10157486,4286480810,10975595,1478317929,9528048,27054312,17833007873,21563917811,0,3774489574,30016148516,9546564662,678.57,706.54,1608100557,701.85,737.16,1608097295,670.35,706.56,1608098455,701.71,738.00,1608096889,2020-07-23 13:31:11,89.662,5.890,4.449,0,0,0,0,0,0,1,1152,116,1.280,0.490,4.050,15361957888,108553555968,3284992,10887884800,1316,0,16,0,0,0,0,0,4294963200,23-07 13:31:11,17643,2784
2020-07-23 13:31:12,37.23,61.01,10.43,0,120,16081.925063,1,0,0,0,122681,122669,16082.259952,21942358,2011962550,12851537,2853632,245571251,2365852,2710888,3626780,10527167,10908378,196371,262636,6200472,612487760,1144180,2017139730,39886,244673014,1187,7594,27148,2736495,40201,10597562,14932,173870,626910678,6618938,1563667210,3036945,5242823,18770549392,6789785203,0,248399945,31285758204,7372239004,205.77,7.58,1608843983,237.50,39.69,1608845774,204.55,6.67,1608847964,238.73,40.59,1608848106,2020-07-23 13:31:12,99.188,0.812,0,0,0,0,0,0,0,0,0,10,1.280,0.490,4.050,15372615680,108542889984,3284992,10887892992,1220,0,17,0,1,0,0,0,4294963200,23-07 13:31:12,16330,118
2020-07-23 13:31:13,37.28,61.07,10.74,0,219,16088.377411,1,0,0,0,3424,3424,16087.828887,22566882,2017527216,13819805,2759873,229423748,1802040,3436232,4716598,12161637,12422067,180265,288361,6257845,633255580,661081,2026682277,16013,233146394,4712,8107,28246,3481866,11176,10911048,19798,204562,644191887,7099399,1565621343,3230600,5370421,18784180572,6852232858,0,237241194,31288607085,7338579338,233.04,6.64,1608665296,263.18,38.73,1608660896,230.52,5.72,1608657883,264.69,39.55,1608656079,2020-07-23 13:31:13,99.688,0.312,0,0,0,0,0,0,0,1,0,17,1.280,0.490,4.050,15384559616,108530937856,3284992,10887901184,1271,0,16,0,1,0,0,0,4294963200,23-07 13:31:13,16089,217
2020-07-23 13:31:14,37.25,61.04,10.58,0,128,16085.985119,1,0,0,0,55719,55718,16086.212861,23144507,2025295688,13496465,2862861,240277387,2461871,2998595,3894999,11273351,12181540,184470,214111,6037616,620086037,823873,2028724711,31489,239894180,9760,12845,26706,3552146,10853,10975375,14111,170049,651410978,6064727,1564502803,3718204,5813026,18775854784,6892234342,0,243304133,31286672198,7363548601,231.67,8.30,1608226690,261.91,40.41,1608231413,229.42,7.48,1608234889,263.55,41.24,1608235587,2020-07-23 13:31:14,99.500,0.500,0,0,0,0,0,0,0,0,0,16,1.280,0.490,4.050,15392952320,108522541056,3284992,10887905280,1610,0,16,0,1,0,0,0,4294963200,23-07 13:31:14,16337,128
2020-07-23 13:31:15,37.18,60.97,10.62,0,152,16082.313433,1,0,0,0,176099,176114,16082.212805,24264088,2043163594,14317754,3127317,264476922,2862141,3887069,5098637,11175860,12683272,205009,268228,6330421,654757109,1450471,2037844438,51423,257299341,14514,10316,32024,3229236,16659,11342364,11950,172623,647624834,6172148,1564060720,3386992,5622419,18770702241,6869315598,0,259775588,31276972717,7436880881,228.06,9.48,1608202931,258.37,41.56,1608199880,225.79,8.60,1608196441,259.76,42.37,1608198402,2020-07-23 13:31:15,98.813,1.187,0,0,0,0,0,0,0,1,0,15,2.460,0.750,4.110,15400562688,108514922496,3284992,10887913472,960,0,16,0,1,0,0,0,4294963200,23-07 13:31:15,16300,152
