time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,usr,sys,idl,wai,stl,read,writ,in,out,49,50,51,1m,5m,15m,used,free,buff,cach,recv,send,run,blk,new,read,writ,used,free,time,int,csw
2020/7/23 12:10,13.2,37.42,13.26,0,1511,16530.43923,100,0,0,0,11592,11572,16487.23923,9668993,142807148,1130207,1711413,158562511,13092224,1151900,4736551,77342,1664874,1493328,2263061,5508165,97893583,1826271,126714997,298837,145780782,321669,30192,132777,230336,83745,132483,81995,1228570,80172892,4743384,99625507,3493419,14938524,1229052010,423650392,0,66701735,2064795761,938182472,25.9,23.66,1616004563,24.46,23.08,1615903832,6.57,5.23,1615806216,8.05,6.25,1615711966,2020/7/23 12:10,6.832,0.021,93.146,0,0,37.743,1922.194,0,0,0.5,0.274,9.247,0,0.44,3.8,2047401984,1.22E+11,3284992,10911637504,0,0,0,0,0.827,0.002,0.165,0,4294963200,2020/7/23 12:10,1458.366,121.763
2020/7/23 12:10,20.67,44.76,13.06,0,36429,16203.24529,1190,0,0,91,95755,95887,16203.2291,99996208,1854724780,4765138,85247325,1415280946,29325535,1738333,14085491,1379569,11488285,15249968,51331304,12468861,1146560515,12226389,1939089864,2395448,1268416087,1889234,238021,389804,829779,172490,5006697,1152687,20979278,973438961,13599800,488531214,23658341,50641362,5832374077,5442549179,0,1144300928,9980571756,3739376430,169.25,392.41,1611682955,135.78,393.67,1611688137,107.57,366.53,1611693398,106.83,366.7,1611696053,2020/7/23 12:10,0.782,1.499,97.718,0,0,0,24576,0,0,0,268,30,0,0.44,3.78,2061869056,1.22E+11,3284992,10911674368,5523,2939,0,0,22,0,4,0,4294963200,2020/7/23 12:10,16644,1474
2020/7/23 12:10,35.95,62,24.25,0,145,16116.76205,1,0,0,0,2583261,2583345,16115.2818,286255580,4954959172,9843366,199623750,3461246072,16693857,2217105,12328335,20432243,34949979,166219572,173850832,5118367,3874887841,43681865,4929428514,12668632,3480432433,2505874,1082,277029,1979056,121836,12843005,2255439,162724444,3957763123,5312985,1553038025,165586244,182052306,18651319178,18638961696,0,2724811633,31107456096,11427033413,655.62,2796.72,1611156563,347.85,2795.7,1611149307,319.88,2767.01,1611144606,315.83,2766.26,1611138247,2020/7/23 12:10,16.183,13.669,70.148,0,0,0,0,0,0,1,1931,60,0,0.44,3.78,3190390784,1.21E+11,3284992,10930892800,33151,9316,18,0,241,0,0,0,4294963200,2020/7/23 12:10,24704,36431
2020/7/23 12:10,35.71,61.45,25.15,0,131,16110.89771,0,0,0,0,1540169,1540184,16110.9189,894561090,4177031775,20599515,187637331,2239913618,13236982,1581009,14663453,98181493,127713015,26532718,33685817,11992945,3986352357,144656240,4197923631,28393056,2252059452,1657673,2203,62390,1858184,141595,99316513,50589,27877397,3974134100,11715784,1550301883,24369489,51914642,18618198454,16493902924,0,2123627430,31052995143,13112219223,1749.43,1861.31,1610521334,1725.11,1863.25,1610524082,1695.59,1833.77,1610522857,1695.61,1834.42,1610519373,2020/7/23 12:10,38.375,61.625,0,0,0,0,0,0,0,0,0,15,0,0.44,3.78,13714194432,1.10E+11,3284992,10930024448,1000,0,16,0,1,0,0,0,4294963200,2020/7/23 12:10,16049,137
2020/7/23 12:10,36.61,60.99,17.36,0,1475,16103.91022,95,0,0,0,673501,673378,16103.01952,375008644,3972392142,12618762,65824498,1696601715,7884374,1917862,8231275,37197270,48697803,8718899,10894106,11324582,2521949435,65335711,4097426472,9223942,1756617539,734588,14128,111732,2107425,58555,36539560,96523,8761663,2802404716,11458480,1540167297,10096987,23229800,18309698425,13755559483,0,1716579371,30289540577,9534715855,687.02,636.34,1610863890,680.64,637.23,1610925048,647.96,604.71,1610919228,648.83,605.64,1610915217,2020/7/23 12:10,82.25,17.75,0,0,0,0,0,0,0,1,0,14,0,0.44,3.78,14919172096,1.09E+11,3284992,10930024448,1750,0,16,0,0,0,0,0,4294963200,2020/7/23 12:10,16359,129
2020/7/23 12:10,39.32,63.05,13.43,0,125,16111.2531,1,0,0,0,55771,55755,16111.40399,21675851,1980355039,12708345,2858726,234963599,3027207,2668967,3653297,10615739,11007460,189403,271222,6511738,602232966,1464099,1994316596,67219,233542066,64435,4094,22680,2646173,8525,10645936,14292,182286,607631230,6344346,1557061143,2776624,4680237,18688646485,6639540995,0,231009714,31147300238,7384632363,235.22,37.4,1610791419,234.95,37.25,1610726650,202.36,4.48,1610728257,202.86,4.93,1610729981,2020/7/23 12:10,88.993,8.005,3.002,0,0,0,6897664,0,0,0,562,60,0,0.44,3.78,15294414848,1.09E+11,3284992,10930036736,978,0,16,0,1,0,170,0,4294963200,2020/7/23 12:10,17167,1455
2020/7/23 12:10,39.31,63.04,13.62,0,106,16107.7736,1,0,0,0,21570,21575,16108.11123,22873584,2002812785,14198825,2874726,236290975,2848290,3506037,4623971,12017805,13599911,173812,219213,5931907,591358147,1024361,1997837564,35265,232232550,45990,6846,28341,3279843,8986,11557509,12865,159161,591197827,5935433,1556316731,3502637,5381408,18685354209,6726707088,0,231586896,31150215297,7362372027,263.16,37.97,1610384872,261.12,37.87,1610382696,228.94,5.11,1610380944,229.65,5.52,1610383601,2020/7/23 12:10,99.375,0.625,0,0,0,0,0,0,0,1,0,14,1.28,0.7,3.85,15302787072,1.09E+11,3284992,10930044928,1332,0,16,0,1,0,0,0,4294963200,2020/7/23 12:10,16413,145
2020/7/23 12:10,39.29,63.02,13.52,0,151,16103.4173,1,0,0,0,102459,102468,16102.80605,23678633,2001312081,13459231,3048332,249926741,3166220,3504981,4481244,11712945,11445346,194695,258494,6203885,659495345,2327014,2034241256,116962,259243089,128115,11934,27194,3877518,11634,13541214,15101,171165,644498213,6526264,1556180713,3396865,5421848,18683626769,6769291039,0,241489595,31147779715,7431321230,271.31,40.37,1610611056,268.6,40.27,1610612342,236.57,7.54,1610611208,237.37,7.96,1610607054,2020/7/23 12:10,99.563,0.437,0,0,0,0,0,0,0,0,0,16,1.28,0.7,3.85,15312826368,1.09E+11,3284992,10930053120,1252,0,16,0,1,0,0,0,4294963200,2020/7/23 12:10,16341,106
2020/7/23 12:10,39.27,63.01,13.56,0,140,16107.25477,0,0,0,0,164578,164577,16107.68629,24882990,2005922245,13524148,3059977,254737300,3359661,3030051,3719040,10428483,11607556,181762,284859,6275453,633173358,3354049,2016952619,211791,261166170,209501,15506,36593,3251944,10138,11096805,13566,173358,632745895,6022359,1555576426,3151440,5408979,18676413546,6748869271,0,249426149,31136710278,7491945148,248.91,39.28,1610129959,247.64,39.17,1610127941,215.24,6.34,1610129885,215.92,6.83,1610130943,2020/7/23 12:10,98.999,1.001,0,0,0,0,69120,0,0,1,0,13,1.28,0.7,3.85,15320293376,1.09E+11,3284992,10930061312,968,0,16,0,1,0,5,0,4294963200,2020/7/23 12:10,16311,119
2020/7/23 12:10,38.82,62.61,13.51,0,167,16101.78871,1,0,0,0,346480,346662,16101.64459,48962062,2229158242,14286991,4940683,356599459,4089863,5032033,6997274,14125283,15745312,905744,1116861,12065667,942707711,10821740,2257270096,415992,366268480,414597,18520,37758,6514330,19693,13929811,22694,1018299,975487450,12981063,1554767844,6302666,9853024,18673441843,7581816596,0,337459610,31141807219,7804618960,332.03,53.3,1611026042,336.49,53.22,1611031640,286.23,20.47,1611035179,297.08,21.18,1611036318,2020/7/23 12:10,98.5,1.5,0,0,0,0,0,0,0,0,0,13,1.28,0.7,3.85,15330033664,1.09E+11,3284992,10930065408,796,0,16,0,0,0,0,0,4294963200,2020/7/23 12:10,16348,166
2020/7/23 12:10,35.12,58.89,13.4,0,155,16112.34674,1,0,0,0,234155,233972,16112.30265,666942351,1912491048,6753098,6955168,172454638,2880667,4933993,13052011,12708712,18334968,582930,687133,118680735,1354349796,169993033,1883901873,644634,152286606,266682,3974410,30355,5260231,24159,10478294,15131,649802,1342303718,119443225,1556164274,4619043,14407285,18679450554,5454884022,0,152563693,31130512947,12248626156,312.88,74.68,1610739071,289.37,74.77,1610732576,254.25,42.03,1610726912,268.68,42.2,1610722557,2020/7/23 12:10,97.626,2.374,0,0,0,0,0,0,0,1,0,14,1.28,0.7,3.85,15365705728,1.09E+11,3284992,10930073600,1877,0,16,0,1,0,0,0,4294963200,2020/7/23 12:10,16298,171
2020/7/23 12:10,35.11,58.83,13.03,0,144,16107.69364,1,0,0,0,99035,99026,16108.19069,706819443,1770004561,4181854,5626202,88249475,2846019,1330611,9573348,7352521,11614685,217349,285702,120468269,1259092638,173651992,1778232546,486131,89117540,116587,9558526,24433,1521065,12304,7675111,13385,209738,1248907519,119886976,1555410196,1440875,10540033,18675594702,4994597057,0,81590474,31135018808,12385190460,171.01,65.13,1610310946,170.85,65.15,1610317667,137.79,32.13,1610323633,138.64,32.66,1610328630,2020/7/23 12:10,96.438,3.562,0,0,0,0,0,0,0,0,0,11,2.46,0.95,3.91,15417884672,1.08E+11,3284992,10930081792,1395,0,16,0,1,0,0,0,4294963200,2020/7/23 12:10,16378,120
2020/7/23 12:10,35.17,58.92,13.01,0,201,16103.13674,3,0,0,0,97891,97895,16102.59628,707427684,1778430245,4834337,5617622,91065412,2487044,1988811,9646526,7617639,12226891,226614,335607,120251922,1272877632,172446648,1787828677,492964,93876749,124305,9055584,27316,2450984,12790,8105588,13369,203739,1250115152,120131485,1555665784,1511277,10436834,18678712242,4991644475,0,83352972,31138662082,12377197877,191.89,64.67,1610744314,190.37,64.69,1610743435,157.68,31.74,1610797015,158.6,32.21,1610797262,2020/7/23 12:10,99.062,0.938,0,0,0,0,0,0,0,1,0,13,2.46,0.95,3.91,15417352192,1.08E+11,3284992,10930085888,1095,0,16,0,1,0,0,0,4294963200,2020/7/23 12:10,16359,179
2020/7/23 12:10,35.19,58.93,12.94,0,122,16107.98099,0,0,0,0,99408,99407,16108.39332,708240022,1774346764,4871167,5636252,87075775,2329195,1887478,10492589,7627468,11947592,210490,313328,120048803,1272594270,172741442,1791060645,505548,97703517,142781,8976095,39020,1974933,10977,8878590,12822,197248,1265743478,119531778,1554900407,2281303,12406475,18669527091,5035849398,0,84809315,31124993353,12374613795,194.26,65.75,1610013700,192.54,65.73,1610010779,159.77,32.74,1609956336,160.86,33.29,1609954477,2020/7/23 12:10,98.938,1.062,0,0,0,0,5632,0,0,0,0,13,2.46,0.95,3.91,15417339904,1.08E+11,3284992,10930098176,736,0,17,0,2,0,1,0,4294963200,2020/7/23 12:10,16283,195
2020/7/23 12:10,34.97,58.69,12.81,0,107,16100.64758,1,0,0,0,95688,95690,16099.80877,713010006,1732833906,4099210,5447091,81837546,2287248,1197263,10092254,7149122,12588960,196735,276924,115858850,1245035739,186162690,1741485695,425394,85843905,108645,8704985,28895,1546407,17950,7194256,13475,200351,1234677098,115531829,1554776360,1433191,11154122,18669902370,4895909210,0,79572758,31133937063,12617961596,167.45,63.3,1610749145,167.2,63.32,1610750765,134.08,30.31,1610818102,135.02,30.82,1610818667,2020/7/23 12:10,98.876,1.124,0,0,0,0,0,0,0,1,0,12,2.46,0.95,3.91,15417221120,1.08E+11,3284992,10930106368,792,0,16,0,0,0,1,0,4294963200,2020/7/23 12:10,16353,87
