time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-23 12:19:28,13.11,37.39,13.78,0,124,16519.576586,9,0,0,0,215,189,16472.626188,5405816,67281218,574469,594520,113965775,8642843,1006822,3544083,13074,1514825,1418614,1615534,3259326,27125281,1002240,40514273,178648,102912111,181291,6986,34356,56320,29387,45327,22571,1130397,23630176,3120593,69519518,3079696,11611345,849371308,145293189,0,21505873,1397041855,660523887,15.59,15.15,1613957028,14.66,14.68,1613851055,1.13,1.36,1613747710,2.79,2.38,1613645955,2020-07-23 12:19:28,0.065,0.130,99.805,0,0,0,0,0,0,0,0,17,0.050,2.690,4.370,2057228288,121826209792,3284992,10913243136,1623,0,0,0,1,0,0,0,4294963200,23-07 12:19:28,16352,89
2020-07-23 12:19:29,14.44,38.24,13.02,0,1368,16193.021026,98,0,0,0,11384,11384,16193.639891,7945290,124556932,687540,1547290,154689963,16027927,1230272,4776099,124437,1774411,1466197,2057117,4837110,74065133,1791990,95925155,269503,139299804,272383,22984,142600,187469,36807,58306,54876,128252,62485113,4228962,90219546,2868213,13567661,1135442576,385625098,0,52995726,1908073703,860225798,28.31,26.32,1610900664,27.40,25.92,1610899054,6.98,5.58,1610900040,8.28,6.48,1610903245,2020-07-23 12:19:29,0.781,1.496,97.723,0,0,0,0,0,0,1,268,30,0.050,2.690,4.370,2059886592,121823522816,3284992,10913288192,6431,3967,2,0,22,0,0,0,4294963200,23-07 12:19:29,16673,1368
2020-07-23 12:19:30,21.53,45.30,12.27,0,30422,16107.020596,799,0,0,93,69624,69717,16105.809241,104030378,1161817432,5246694,61584433,974334522,27219025,1563193,14641607,511676,6792338,5847749,48898866,15855700,760688354,14963318,991426592,2649269,888008390,2233952,414665,527100,955261,111654,390146,533879,7266581,860065277,16768579,475242272,6890707,94915339,5713266881,4387886736,0,909475496,9494614480,3705003078,67.69,130.67,1609855277,59.83,131.52,1609856812,28.52,101.24,1609858420,28.58,101.27,1609853654,2020-07-23 12:19:30,13.209,14.433,72.358,0,0,0,0,0,0,0,975,18,0.050,2.690,4.370,2297954304,121567621120,3284992,10931032064,63525,9264,17,0,241,0,0,0,4294963200,23-07 12:19:30,22061,30421
2020-07-23 12:19:31,33.95,57.72,11.14,0,6444,16100.204773,443,0,0,0,7830,7830,16099.954909,14598075,13001590287,762898,9639752,5921036355,5602981,478462,2505041,414780,1854887,8267427,10102722,3912088,5674229765,4665320,12820934927,840887,5793729976,671231,201131,271943,757942,32619,167119,496939,2350457,5594816711,1747391,1382619381,6065918,12798798,16661089870,32128715205,0,5841455128,27806142006,6365434474,62.02,128.68,1610472546,49.87,128.63,1610473913,16.54,95.21,1610474837,16.39,95.46,1610528843,2020-07-23 12:19:31,85.176,4.962,9.862,0,0,0,0,0,0,1,2157,183,0.050,2.690,4.370,2664509440,121200492544,3284992,10931605504,1215,250,16,0,1,0,0,0,4294963200,23-07 12:19:31,18796,6441
2020-07-23 12:19:32,35.76,59.45,10.45,0,97,16103.619908,1,0,0,0,81,81,16102.863673,1876196,15192926646,144464,422357,6783893235,1999780,22740,339017,12821,93479,13190,30302,329346,6567613742,396921,15215764365,29134,6775949675,57957,5995,31629,50811,34133,16229,1375,10170,6541715894,340144,1557523904,53362,551591,18698448967,37494510713,0,6733715823,31170710506,6823669949,34.16,33.78,1609331550,34.26,33.92,1609325326,0.84,0.53,1609314623,1.82,1.40,1609254571,2020-07-23 12:19:32,99.875,0.125,0,0,0,0,5632,0,0,0,0,12,0.050,2.690,4.370,2664505344,121200492544,3284992,10931609600,1334,0,16,0,1,0,2,0,4294963200,23-07 12:19:32,16317,97
2020-07-23 12:19:33,35.76,59.44,10.48,0,125,16093.524496,0,0,0,0,277,277,16093.796313,2055592,15179901270,189657,423080,6777491351,1974176,30078,458754,25260,376778,19554,37352,351681,6566799742,407329,15219227427,14717,6780804643,37701,4559,22665,27192,22942,31618,2609,11854,6536550233,405651,1557343522,67084,698324,18696685634,37446808535,0,6727309452,31178045792,6815938444,34.16,33.77,1609985697,34.32,33.97,1609983046,0.87,0.54,1610043099,1.83,1.41,1610042423,2020-07-23 12:19:33,99.875,0.125,0,0,0,0,0,0,0,1,0,16,1.330,2.920,4.430,2664480768,121200508928,3284992,10931617792,1745,0,16,0,0,0,0,0,4294963200,23-07 12:19:33,16282,121
2020-07-23 12:19:34,35.72,59.40,10.45,0,159,16100.961212,2,0,0,0,479,479,16100.691911,2192513,15159382116,213878,468717,6773139032,2111125,40247,435744,17113,287775,14481,44446,563024,6571932692,434245,15209961094,16208,6775955812,47739,4721,24313,32311,6096,6859,839,13123,6544855604,349953,1558631537,56936,758017,18711369329,37482077880,0,6729329863,31184018522,6829389648,34.28,33.84,1609920834,34.40,34.03,1609923446,0.99,0.60,1609862345,1.91,1.46,1609862553,2020-07-23 12:19:34,99.938,0.062,0,0,0,0,0,0,0,0,0,15,1.330,2.920,4.430,2664448000,121200533504,3284992,10931625984,1207,0,16,0,1,0,0,0,4294963200,23-07 12:19:34,16375,161
2020-07-23 12:19:35,35.72,59.41,10.53,0,99,16098.720292,1,0,0,0,0,0,16098.555089,1907092,15172009550,147762,440234,6771923036,2448849,36532,305140,13857,138884,14339,49513,517286,6563288434,457503,15208571391,14417,6776612000,44072,5467,23865,26002,7096,10056,1024,10933,6543382121,328350,1557385003,38053,527390,18697009154,37488771398,0,6733728426,31168192847,6799378493,33.95,33.62,1609211425,34.13,33.82,1609209366,0.71,0.40,1609209571,1.68,1.29,1609238966,2020-07-23 12:19:35,99.938,0.062,0,0,0,0,0,0,0,1,0,13,1.330,2.920,4.430,2664431616,121200549888,3284992,10931625984,848,0,16,0,1,0,0,0,4294963200,23-07 12:19:35,16347,99
2020-07-23 12:19:36,35.74,59.42,10.43,0,102,16092.490389,1,0,0,0,278,278,16092.759286,2076521,15167943572,223902,419860,6772584769,1935697,28759,295466,14240,292297,16283,74832,616194,6551035192,560558,15174862544,25509,6763304123,42379,5626,28794,24842,7267,9706,726,10918,6546303598,322747,1557950902,38135,593061,18703724549,37498092714,0,6732412406,31179900177,6790950898,34.08,33.70,1609901024,34.21,33.87,1609902528,0.78,0.44,1609901961,1.71,1.30,1609873495,2020-07-23 12:19:36,100,0,0,0,0,0,0,0,0,0,0,15,1.330,2.920,4.430,2664415232,121200566272,3284992,10931625984,1619,0,16,0,1,0,0,0,4294963200,23-07 12:19:36,16265,102
2020-07-23 12:19:37,35.69,59.38,10.45,0,111,16099.534409,1,0,0,0,460,460,16099.225439,2099286,15179757789,219225,427265,6779833462,1970406,21030,266912,10788,220758,13654,50271,614829,6557655752,562833,15186618954,46131,6770631088,61145,11458,37532,34646,8102,9441,1154,11471,6543406247,733619,1557254474,43949,812856,18695603548,37461826145,0,6726464958,31166730449,6818104796,33.96,33.60,1609116307,34.09,33.76,1609114574,0.70,0.38,1609113156,1.65,1.26,1609107241,2020-07-23 12:19:37,99.938,0.062,0,0,0,0,0,0,0,1,0,14,1.330,2.920,4.430,2664480768,121200492544,3284992,10931625984,1634,0,16,0,1,0,0,0,4294963200,23-07 12:19:37,16380,111
