time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-30 14:00:36,45.93,72.31,21.40,0,2784,16239.417744,115,0,0,8,17805,17807,16235.104465,460133081,1313949699,150025450,451888985,3079502353,7226444,2718740,9073378,27663480,162028814,150280479,153558848,597198537,3084677853,613396,1330332544,134801,3092091960,81703,46212,275614,2661742,154283,27109181,960610,144743716,3078207062,599128613,1366196461,153043777,169238879,26382953569,20176633130,0,2460540130,27364815730,14514036267,898.65,2876.41,1608028697,537.27,2790.92,1607802657,519.39,2775.56,1607579900,539.85,2801.07,1607359857,2020-07-30 14:00:36,80.137,19.863,0,0,0,0,0,0,0,0,0,51,1.020,8.360,8.420,13249290240,121658683392,69632,42471424,3519,9198,16,0,0,0,0,467423232,3827539968,30-07 14:00:36,16378,1782
2020-07-30 14:00:37,70.08,98.34,36.06,0,2209,16101.711287,3,0,0,0,15717,15716,16101.693295,2642515513,1655245651,64314105,1438631979,2637006480,5568036,177255078,1229894089,8206080,50770221,211209702,1350139576,185505296,2180299947,107008749,1648606098,53908133,2601502899,4208,15216,407433,176105295,112485,8077047,6441524,206216593,2262364359,203430265,1564373383,399923309,2518312085,35816884363,16300900148,0,2020461076,31281938194,27998323398,4502.03,3747.53,1605260065,4110.26,3677.61,1605265203,4107.83,3676.08,1605265822,4156.16,3686.37,1605261784,2020-07-30 14:00:37,86.750,13.250,0,0,0,0,12288,0,0,1,0,51,1.020,8.360,8.420,20609204224,114298736640,69632,42471424,3147,0,16,0,1,0,3,467423232,3827539968,30-07 14:00:37,16333,2157
2020-07-30 14:00:38,73.39,98.35,24.11,0,1792,16048.681676,1,0,0,0,8275,8274,16047.870756,2532892932,27301259204,1599357622,1269228722,14114737223,2072450,65286539,452051350,22760047,820610611,27069677,396197119,2296041,14269944316,35204678,27806413739,17605262,14317818748,4745,14426,110379,62157511,30468,22051338,44116,27878181,13917086208,2643697,1575910005,93469473,906252678,36262298598,97785513763,0,13945844164,31543594797,7719552689,1852.89,891.56,1604840160,1774.96,828.79,1604828144,1775.72,830.16,1604819019,1791.16,830.70,1604815776,2020-07-30 14:00:38,99.937,0.063,0,0,0,0,0,0,0,0,0,52,1.580,8.350,8.420,20612489216,114295451648,69632,42471424,3328,0,16,0,1,0,0,467423232,3827539968,30-07 14:00:38,16412,1794
2020-07-30 14:00:39,73.35,97.61,18.74,0,1759,16047.761371,1,0,0,0,0,0,16047.790484,2192346647,34839354928,2080262363,1107477805,17710232068,1416833,7597764,40899367,28458585,1061659189,31000,162649,1904209,17693837514,168558,34869260496,3370,17719242358,3023,8966,40300,7551511,10179,28536988,18348,54335,17640815118,1954656,1580857833,2983208,37817928,36370651488,123031445100,0,17657986694,31638113256,1014024066,632.35,579.84,1604715176,565.81,517.41,1604717130,564.50,518.00,1604720243,569.48,518.01,1604720414,2020-07-30 14:00:39,99.938,0.062,0,0,0,0,0,0,0,1,0,52,1.580,8.350,8.420,20611837952,114296102912,69632,42471424,3875,9818,16,0,1,0,0,467423232,3827539968,30-07 14:00:39,16450,1993
2020-07-30 14:00:40,73.29,97.56,18.78,0,1954,16047.901746,1,0,0,0,4556,4556,16047.981850,2187815586,34790106027,2077278285,1107068199,17706873061,1547185,7703287,41345191,28491178,1061384997,39382,174871,1902360,17695135616,255872,34853451277,31636,17706855529,1765,14809,116482,7848295,32900,28508401,24948,40031,17662031562,1906510,1581204700,3068753,38347242,36376720111,122954971360,0,17636333236,31639403288,1037387484,636.23,580.33,1604720920,568.94,517.63,1604718017,568.18,518.28,1604715392,573.33,518.21,1604711843,2020-07-30 14:00:40,100,0,0,0,0,0,0,0,0,0,0,48,1.580,8.350,8.420,20611821568,114296119296,69632,42471424,3051,0,16,0,1,0,0,467423232,3827539968,30-07 14:00:40,16405,1737
2020-07-30 14:00:41,73.21,97.48,18.79,0,1749,16047.332239,1,0,0,0,7465,7465,16047.278771,2173450473,34780307979,2060639670,1097247888,17634577171,1827917,8540000,41754930,27069147,1036767374,30946,176935,3110582,17648491237,170465,34844756553,13379,17663055543,1421,15537,40510,8145203,17664,27158382,19968,33472,17628874159,2669845,1581470264,3589536,38417065,36387499669,122989430611,0,17609553990,31650144099,1045170608,616.21,584.27,1604630946,554.93,521.46,1604634111,554.50,522.26,1604635292,555.25,521.94,1604638340,2020-07-30 14:00:41,99.938,0.062,0,0,0,0,28160,0,0,1,0,50,1.580,8.350,8.420,20611461120,114296479744,69632,42471424,3579,0,16,0,0,0,3,467423232,3827539968,30-07 14:00:41,16416,1751
2020-07-30 14:00:42,73.38,97.66,18.74,0,1778,16046.888381,1,0,0,0,1052,1052,16046.759775,2198242988,34894287449,2084585771,1109441400,17741039132,1972971,7634985,41405186,26911982,1041297438,39944,172681,1906138,17730230758,94809,34941798426,6462,17754589309,1230,11992,47335,7544472,25536,26542242,25980,36101,17698775578,1906973,1581263253,2745742,37805859,36382362885,123391533384,0,17707390326,31648040515,938453548,595.65,580.92,1604453445,536.00,518.07,1604452339,535.50,518.87,1604450357,534.79,518.41,1604448500,2020-07-30 14:00:42,99.938,0.062,0,0,0,0,0,0,0,0,0,44,1.580,8.350,8.420,20611461120,114296479744,69632,42471424,3006,9206,16,0,1,0,0,467423232,3827539968,30-07 14:00:42,16351,1819
2020-07-30 14:00:43,73.24,97.48,18.68,0,1887,16044.715269,3,0,0,0,1037,1037,16044.803564,2193685355,34854944483,2081317406,1107983203,17725963891,1803012,7594756,41407882,26832608,1040454333,41092,183934,1925001,17725450071,90551,34930724069,6233,17750229366,1713,11386,52452,7527020,24401,26722741,26348,41406,17684033481,1986183,1581028339,2866231,38207818,36377014062,123228710961,0,17683156331,31643182156,972448503,595.81,580.08,1604241705,536.16,517.36,1604243471,535.84,518.23,1604265848,535.04,517.75,1604266651,2020-07-30 14:00:43,100,0,0,0,0,0,0,0,0,1,0,49,2.740,8.480,8.460,20611444736,114296496128,69632,42471424,3953,1004,16,0,1,0,0,467423232,3827539968,30-07 14:00:43,16326,1792
2020-07-30 14:00:44,73.26,97.54,18.71,0,1689,16043.170443,1,0,0,0,4058,4058,16043.424166,2179267347,34814433932,2065733726,1099704057,17662140386,1056921,8344027,41731221,27325085,1021075114,47846,216047,2546598,17666654512,104249,34855577852,6331,17685192053,1349,12601,40769,8225260,13521,27092930,17792,32482,17642242489,2494262,1581417342,3249057,38022936,36385730698,123096508958,0,17629462575,31650373186,999174016,608.91,584.88,1604583048,549.39,522.29,1604582124,549.04,523.08,1604560971,548.65,522.65,1604560812,2020-07-30 14:00:44,99.938,0.062,0,0,0,0,0,0,0,0,0,50,2.740,8.480,8.460,20611428352,114296512512,69632,42471424,3272,0,16,0,1,0,0,467423232,3827539968,30-07 14:00:44,16371,1696
2020-07-30 14:00:45,73.37,97.63,18.73,0,1709,16046.536872,1,0,0,0,575,575,16046.446918,2199315433,34918288172,2086925029,1110599958,17756893350,1093906,7536448,41213899,26839596,1031078669,41981,227142,2020887,17719114634,138070,34911641527,8068,17745508271,945,11225,58368,7607087,20782,26766992,21897,33707,17700601431,1907043,1581429770,2726116,37827421,36386054899,123418770408,0,17711326116,31650811651,932753152,595.58,580.22,1604578996,535.93,517.56,1604579398,535.71,518.44,1604581691,534.90,518.04,1604585133,2020-07-30 14:00:45,99.938,0.062,0,0,0,0,0,0,0,1,0,55,2.740,8.480,8.460,20611411968,114296528896,69632,42471424,3507,9834,16,0,1,0,0,467423232,3827539968,30-07 14:00:45,16417,1917
