time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-29 09:37:37,23.31,47.67,12.38,0,270,16352.316580,26,0,0,0,3048,3013,16346.294530,5117545,662133129,496907,693304,278902165,9041043,945833,3774568,20020,1869428,1374808,1515130,23157117,793040263,841071,675117330,160725,279765224,193887,18789,38357,52123,30006,22913,3516,12829,768894859,22799806,150679969,2310135,10282844,2750495104,3565594642,0,187557796,2991803884,1457005864,3.04,3.22,1612138905,2.20,2.90,1612059437,1.45,2.14,1611975945,68.80,69.05,1611893784,2020-07-29 09:37:37,1.683,0.022,98.293,0.002,0,756.385,28776.056,0,0,0.500,0.180,22.506,0.060,0.040,0.120,1801420800,114663038976,5398528,17911808000,0,0,1,0,0.878,0.032,0.320,0,4294963200,29-07 09:37:37,900.076,144.122

2020-07-29 09:37:38,22.92,47.02,12.12,0,116,16177.161589,8,0,0,0,31,31,16176.951254,3867265,638338534,229144,151802,260685292,7262085,910221,2985378,5704,1271514,1303213,1451451,22286129,755849606,748052,637391612,148405,260450786,182268,6288,19919,25713,7199,16606,13751,634258,757643931,22240400,149403760,2488656,10097929,2731423714,3523436957,0,183954164,2962959331,1452127450,2.41,1.72,1611137834,1.90,1.41,1611133209,1.13,0.66,1611129386,68.41,67.50,1611125153,2020-07-29 09:37:38,6.499,0.064,93.436,0,0,0,0,0,0,1,0,53,0.060,0.040,0.120,1812410368,114652049408,5398528,17911808000,3974,1264,1,0,1,0,0,0,4294963200,29-07 09:37:38,16405,143
2020-07-29 09:37:39,22.80,46.79,12.23,0,90,16110.601228,5,0,0,0,0,0,16110.393870,3872867,640039253,235452,178393,263402006,7723568,913830,3005575,5573,1272114,1302656,1448147,22205712,753644847,748884,635625800,147218,260045284,181269,3016,17394,20928,6750,6114,1249,11750,752333219,22101383,145760984,2279652,9824326,2687423657,3499746686,0,181076710,2928122103,1439566429,2.16,1.53,1610602676,1.69,1.24,1610600990,0.90,0.47,1610602717,68.19,67.30,1610605359,2020-07-29 09:37:39,6.508,0.064,93.428,0,0,0,0,0,0,0,0,49,0.060,0.040,0.120,1812406272,114651852800,5398528,17911832576,3096,0,1,0,0,0,0,0,4294963200,29-07 09:37:39,16387,122
2020-07-29 09:37:40,22.77,46.76,12.25,0,118,16105.368003,9,0,0,0,7,7,16110.401507,3792634,634241915,222634,157219,260893990,7493633,908432,2985474,8665,1297258,1311423,1457453,22218410,755272281,773340,636818853,149545,260345112,183559,1138,21242,22359,5894,6995,1679,13315,752378049,22244380,146462094,2296370,9972718,2694081862,3500692957,0,179914255,2916795394,1434470974,2.24,1.56,1611352380,1.78,1.29,1611353079,0.98,0.51,1611352570,68.28,67.38,1611350164,2020-07-29 09:37:40,6.504,0,93.496,0,0,0,0,0,0,1,0,47,0.130,0.060,0.120,1812357120,114651901952,5398528,17911832576,2874,0,1,0,1,0,0,0,4294963200,29-07 09:37:40,16335,84
2020-07-29 09:37:41,22.91,46.92,12.27,0,185,16111.801603,10,0,0,0,5,5,16111.977262,3857033,640819189,225541,150818,259228213,7297962,903100,2984016,6508,1256547,1290333,1482672,22350314,769579085,968711,657650593,169749,270230218,206574,5214,42437,55447,7512,9356,3840,15804,770846746,22868444,150364382,2267696,10181164,2768313141,3622394390,0,188345671,2965644198,1444777519,2.54,1.70,1610483988,2.06,1.44,1610485936,1.25,0.64,1610488119,68.57,67.57,1610525053,2020-07-29 09:37:41,6.443,0.064,93.492,0,0,0,0,0,0,0,0,55,0.130,0.060,0.120,1812377600,114651869184,5398528,17911844864,4752,0,2,0,1,0,0,0,4294963200,29-07 09:37:41,16402,118
2020-07-29 09:37:42,22.82,46.81,12.01,0,97,16105.840681,6,0,0,0,1,1,16100.478779,3795503,634393721,222916,152091,260048475,7300863,909106,2997173,5757,1274258,1301666,1447623,22153814,752844798,748646,634948399,147286,259605883,179489,237,20519,20692,6918,9990,4493,32733,774342095,22484034,151252128,2281743,10202412,2732715958,3539041539,0,182125306,2935308530,1434598634,2.26,1.57,1610884956,1.76,1.27,1610881635,0.98,0.52,1610877583,68.24,67.35,1610840552,2020-07-29 09:37:42,6.508,0.064,93.428,0,0,0,0,0,0,1,0,52,0.130,0.060,0.120,1812344832,114651901952,5398528,17911844864,3439,1268,1,0,1,0,0,0,4294963200,29-07 09:37:42,16312,185
2020-07-29 09:37:43,22.86,46.86,12.19,0,106,16111.037442,4,0,0,0,0,0,16111.079232,3856289,638057366,227745,158221,259855198,7238768,901345,2955912,6174,1265693,1292583,1438913,22149240,753924418,740158,635860932,146226,259236356,179153,401,16065,16820,5988,7294,1529,13620,766168473,22491464,150586133,2247675,9960915,2727166299,3542670083,0,186154213,2969450530,1451835500,2.21,1.53,1610808041,1.72,1.26,1610809393,0.94,0.50,1610812266,68.32,67.44,1610814068,2020-07-29 09:37:43,6.508,0,93.492,0,0,0,0,0,0,0,0,51,0.130,0.060,0.120,1812328448,114651918336,5398528,17911844864,2912,0,3,0,1,0,0,0,4294963200,29-07 09:37:43,16275,103
2020-07-29 09:37:44,22.84,46.83,12.04,0,131,16108.195306,9,0,0,0,7,7,16110.598303,4100499,661307846,247489,205960,271046918,7972127,908404,3067969,5835,1270816,1300630,1450317,22130552,753255568,746639,635331167,147677,259805661,179483,154,15255,15721,5462,5537,1193,12270,759578257,22381011,148924433,2287451,10192608,2714046299,3525388533,0,186047492,2975389395,1451368697,2.10,1.45,1610467702,1.67,1.21,1610497942,0.87,0.44,1610498459,68.13,67.27,1610499135,2020-07-29 09:37:44,6.443,0,93.557,0,0,0,0,0,0,1,0,51,0.130,0.060,0.120,1812013056,114652213248,5398528,17911865344,3515,0,1,0,0,0,0,0,4294963200,29-07 09:37:44,16218,96
2020-07-29 09:37:45,22.87,46.87,12.16,0,173,16101.326963,8,0,0,0,22,22,16099.050929,3898042,637080557,225790,152328,259190022,7285877,903956,3004370,7491,1270279,1302566,1465241,22187780,754859740,774163,636919563,150529,259493972,185084,343,16554,17170,6001,6765,2423,19105,762390756,22461353,148471225,2273197,10204687,2723969134,3539161061,0,184381748,2938058691,1437438088,2.33,1.62,1610392712,1.80,1.31,1610362049,1.00,0.52,1610360021,68.34,67.45,1610356917,2020-07-29 09:37:45,6.568,0.064,93.368,0,0,0,0,0,0,0,0,48,0.200,0.070,0.130,1811935232,114652291072,5398528,17911865344,3714,0,2,0,1,0,0,0,4294963200,29-07 09:37:45,16389,124
