time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-29 12:29:29,21.30,45.56,13.08,0,2855,16266.742784,637,0,0,0,100213,100203,16263.390883,24570141,517219296,4140781,5619814,344294003,23416830,1391974,8240086,131308,3778764,1913398,3900841,16702796,324112706,4130976,494940328,504406,334634289,780080,104554,586252,656537,167593,224756,232065,605802,349758024,16958171,162284196,3308328,23364560,2391983716,1944661505,0,237083267,3244138869,1475055235,18.99,14.71,1610609073,17.25,14.74,1610490343,16.69,13.87,1610409848,82.37,79.87,1610330732,2020-07-29 12:29:29,4.481,2.338,93.182,0,0,0,28672,0,0,1,0,49,1,0.990,0.990,1819365376,114561949696,5398528,17991888896,7003,0,1,0,198,0,6,0,4294963200,29-07 12:29:29,16495,2667
2020-07-29 12:29:30,20.93,45.03,12.58,0,2052,16132.715024,434,0,0,0,63592,63592,16141.830869,13826521,465550355,2143373,3306539,306518255,18555409,1183532,6631426,96741,2941885,1831816,3500927,14367151,269901776,2730883,455170821,324118,305953274,515258,81131,265949,315433,170940,171476,140815,357687,251905279,15896795,154101664,2954877,19193179,2257468978,2293166481,0,202266317,3008971971,1228174525,13.22,9.74,1608941817,12.30,9.78,1608934951,11.70,9.04,1608930991,77.66,75.13,1608927224,2020-07-29 12:29:30,5.003,1.624,93.372,0,0,0,24576,0,0,0,0,47,1,0.990,0.990,1822076928,114559172608,5398528,17991938048,6831,42,1,0,145,0,6,0,4294963200,29-07 12:29:30,16493,2037
2020-07-29 12:29:31,19.84,43.84,12.26,0,1320,16091.654040,277,0,0,0,40854,40854,16081.897063,9212771,395472898,1407955,1885632,241377140,13956019,1034891,4861532,62113,2361633,1485645,2534438,8953916,421804172,2167608,425642911,272078,261411778,441041,44460,183687,194589,111863,132011,105503,112106,414758211,8184820,150725562,2498675,14521788,2050080225,2508505650,0,151978750,2987179243,1089380586,7.51,5.08,1608009010,6.92,5.15,1608009878,6.43,4.57,1608008832,72.54,70.62,1608007952,2020-07-29 12:29:31,5.465,1.106,93.429,0,0,0,16384,0,0,1,0,55,1,0.990,0.990,1818873856,114562379776,5398528,17991933952,8079,0,1,0,92,0,4,0,4294963200,29-07 12:29:31,16473,1318
2020-07-29 12:29:32,20.15,44.14,11.77,0,138,16079.178606,8,0,0,0,4,4,16080.068743,3870744,508587577,254447,215774,231693386,7839426,901627,3085430,8321,1268750,1277282,1435965,7288770,647741661,700761,499451559,114477,225923511,181178,56,16782,17331,6420,8339,9405,13630,646062348,7225381,170394141,2239122,9725224,2385262627,2583694050,0,150001116,3440580451,1341954540,1.36,0.77,1607798223,1.19,0.70,1607794793,0.61,0.24,1607792533,67.30,66.51,1607791928,2020-07-29 12:29:32,6.558,0,93.442,0,0,0,0,0,0,0,0,52,1,0.990,0.990,1818980352,114562256896,5398528,17991950336,6872,1380,1,0,1,0,0,0,4294963200,29-07 12:29:32,16396,138
2020-07-29 12:29:33,19.14,43.11,11.84,0,531,16076.007699,91,0,0,0,12272,12272,16079.047692,6034232,466300565,613115,897136,245286437,10168139,973535,3975443,27754,1594629,1315740,1635290,7651452,591491038,908056,458606560,138431,231352225,218717,30377,37230,38112,8668,10570,28973,71389,580443248,7935802,148565141,2427907,12224406,1969120505,2335890988,0,152164535,2948305283,1059278755,3.14,1.97,1607457455,2.84,1.90,1607459645,2.29,1.40,1607460030,68.69,67.46,1607459220,2020-07-29 12:29:33,6.250,0.391,93.359,0,0,0,221184,0,0,1,0,47,1,0.990,0.990,1819996160,114561224704,5398528,17991966720,6528,0,1,0,30,0,2,0,4294963200,29-07 12:29:33,16326,531
2020-07-29 12:29:34,18.87,42.85,11.53,0,157,16075.696505,8,0,0,0,4,4,16079.969950,3855621,470064089,233712,168602,228768419,7579579,910685,3168224,25507,1311993,1326989,1501034,7411705,620317791,747270,472657432,124852,228375460,191110,723,20565,18702,5939,6681,11974,12939,617368088,7279874,148325615,2283294,9972189,1909896017,2453435628,0,146963289,2963021257,989202283,15.73,15.12,1608603266,1.10,0.63,1608604155,0.58,0.22,1608606989,52.71,51.92,1608608307,2020-07-29 12:29:34,6.523,0,93.477,0,0,0,8192,0,0,0,0,49,1,0.990,0.990,1819840512,114561368064,5398528,17991974912,6804,0,1,0,1,0,1,0,4294963200,29-07 12:29:34,16415,157
2020-07-29 12:29:35,18.92,42.91,11.30,0,159,16086.222074,8,0,0,0,0,0,16080.981614,3859629,470191172,234171,156312,227710850,7536286,908930,3132748,7332,1306745,1302765,1459832,7332321,624402351,794249,480029264,141726,230901549,208159,3422,31338,29778,6401,6213,12112,14349,616894467,7337747,148819591,2295974,10045665,1916030268,2452578017,0,146982863,2965695892,990443623,34.03,33.39,1607580312,1.05,0.62,1607579509,0.52,0.21,1607578866,34.31,33.58,1607578398,2020-07-29 12:29:35,6.576,0.065,93.359,0,0,0,0,0,0,1,0,47,1,0.990,0.990,1818800128,114562379776,5398528,17992003584,6707,0,1,0,1,0,0,0,4294963200,29-07 12:29:35,16338,159
2020-07-29 12:29:36,19.13,43.12,11.24,0,483,16073.113093,75,0,0,0,9943,9943,16079.711555,5032253,461358583,385611,507603,230371592,9434144,957992,3775157,31436,1740951,1317220,1702471,9166584,656689468,1037292,509355198,149343,245019697,240651,11155,63873,61670,25591,40075,53686,87588,605888196,8120459,150338657,2356748,11291139,1970193333,2406647765,0,151512557,2969920695,1023532206,35.60,34.49,1608424818,2.49,1.74,1608424382,1.95,1.28,1608421409,35.69,34.68,1608419241,2020-07-29 12:29:36,6.258,0.326,93.416,0,0,0,8192,0,0,0,0,61,1,0.990,0.990,1819770880,114561409024,5398528,17992003584,9255,1408,1,0,24,0,2,0,4294963200,29-07 12:29:36,16470,485
2020-07-29 12:29:37,18.91,42.91,11.33,0,167,16088.810934,4,0,0,0,3,3,16081.668021,3875425,470141665,233159,154380,226745730,7365643,907741,3059373,8338,1382126,1300581,1472943,7333639,619752882,712743,471858680,118727,227448880,184931,233,17449,17842,5844,7720,19449,29840,626385272,7359043,150514433,2272962,9971717,1953720947,2474017324,0,150587815,2995090305,1010506228,34.09,33.42,1607998984,1.10,0.64,1607999852,0.55,0.24,1607999716,34.39,33.65,1608000463,2020-07-29 12:29:37,6.576,0.065,93.359,0,0,0,0,0,0,1,0,49,1,0.990,0.990,1818902528,114562265088,5398528,17992015872,6764,0,1,0,1,0,0,0,4294963200,29-07 12:29:37,16409,165
2020-07-29 12:29:38,20.07,44.06,11.56,0,472,16079.256663,75,0,0,0,9926,9926,16080.033789,5119286,555697068,430358,511940,260145052,9210001,940750,3485166,45464,1702770,1351428,1885561,8826540,692229697,1215265,541093745,163110,257487049,250726,10256,56220,55349,19454,27067,47265,62225,682956244,8554615,147569650,2385088,11484154,2166304308,2824448652,0,179078203,2977704321,1120915684,35.57,34.44,1607850998,2.54,1.72,1607847545,1.96,1.22,1607848169,35.72,34.67,1607848530,2020-07-29 12:29:38,6.242,0.260,93.498,0,0,0,12288,0,0,0,0,48,1,0.990,0.990,1819164672,114561982464,5398528,17992036352,6636,0,1,0,23,0,3,0,4294963200,29-07 12:29:38,16409,470
2020-07-29 12:29:39,22.86,46.85,11.45,0,150,16076.973802,9,0,0,0,7,7,16091.795369,3922493,781194815,240513,177999,325498090,7886516,919706,3135000,9106,1379683,1296824,1500601,10788910,1046465179,737541,785874767,121777,324904953,186059,1261,16998,17691,5830,9146,2420,12526,1037301503,10549883,146831628,2290471,10129287,2709781344,4112053720,0,242167652,2930234661,1242865905,34.18,33.58,1608874395,1.15,0.77,1608877293,0.49,0.17,1608877976,34.47,33.85,1608877444,2020-07-29 12:29:39,6.512,0.064,93.424,0,0,0,0,0,0,1,0,45,1,0.990,0.990,1818181632,114562969600,5398528,17992032256,6360,0,1,0,1,0,0,0,4294963200,29-07 12:29:39,16307,150
2020-07-29 12:29:40,20.21,44.23,11.93,0,1398,16089.631620,298,0,0,0,43037,43037,16071.167735,10494579,621104765,1838168,1967625,388029695,14686739,1072264,5356958,160538,2270466,1531116,2886302,11308893,408117425,2320567,596150985,289342,387325320,452476,59457,179612,185966,91628,115666,136505,183428,396565895,10435310,149973173,2566022,15065688,2114685796,2501860279,0,302503001,2940784950,1152607645,40.14,37.49,1607512104,6.88,4.93,1607513943,6.20,4.21,1607542640,39.71,37.66,1607572600,2020-07-29 12:29:40,5.400,1.041,93.559,0,0,0,8192,0,0,0,0,49,1,0.990,0.990,1820614656,114560516096,5398528,17992052736,7782,0,2,0,99,0,2,0,4294963200,29-07 12:29:40,16479,1395
2020-07-29 12:29:41,18.98,42.96,11.45,0,203,16078.948533,11,0,0,0,15,15,16078.917641,6044818,691324713,1276457,299096,447091129,7351482,906777,3008941,6440,1302781,1298040,1475409,9216942,339346874,875129,721614489,140619,458298980,206379,18060,32323,34537,14816,19501,12087,14153,314994962,8778660,148483227,2289691,10061163,1915028118,2722627564,0,365751492,2966369699,970801168,34.16,33.45,1607501107,1.17,0.67,1607498875,0.62,0.26,1607470035,34.42,33.64,1607439532,2020-07-29 12:29:41,6.576,0.065,93.359,0,0,0,0,0,0,1,0,58,1,0.990,0.990,1819332608,114561769472,5398528,17992081408,7946,1192,1,0,1,0,0,0,4294963200,29-07 12:29:41,16105,200
2020-07-29 12:29:42,18.97,42.95,11.29,0,152,16074.361868,10,0,0,0,18,18,16079.103400,6125211,699236658,1284493,296171,447505698,7373655,906572,3005404,6012,1304242,1298922,1463845,8787272,322165412,725934,703528930,115770,453027142,185069,12881,23152,23589,16236,46822,17655,14412,329249846,9310848,152324554,2284241,10270785,1989670068,2844999786,0,375282625,3017203634,979996426,34.09,33.42,1607827421,1.10,0.62,1607827681,0.55,0.20,1607828023,34.35,33.61,1607828449,2020-07-29 12:29:42,6.584,0,93.416,0,0,0,0,0,0,0,0,51,1,0.990,0.990,1819299840,114561794048,5398528,17992089600,6816,0,1,0,1,0,0,0,4294963200,29-07 12:29:42,16360,152
2020-07-29 12:29:43,18.95,42.93,11.24,0,125,16075.703744,4,0,0,0,11,11,16079.876973,6046710,692527464,1280584,296423,447849009,7395562,907760,3013664,6010,1304259,1298194,1458384,8697598,319393629,715964,702003464,115463,452182681,179933,10922,18108,17811,7903,11410,16565,17046,324278654,8772224,151162678,2277002,9985731,1951411544,2746661027,0,367889928,2988669920,985159540,34.08,33.43,1608280110,1.06,0.61,1608278320,0.53,0.21,1608277699,34.39,33.64,1608277523,2020-07-29 12:29:43,6.515,0.065,93.420,0,0,0,4096,0,0,1,0,46,1,0.990,0.990,1819275264,114561810432,5398528,17992097792,6956,0,1,0,0,0,1,0,4294963200,29-07 12:29:43,16371,125
2020-07-29 12:29:44,18.98,42.98,11.44,0,164,16085.980154,9,0,0,0,14,14,16081.333792,6159645,698194772,1287003,315626,448725396,7417406,910423,3012894,5976,1312224,1299211,1455936,8756908,316760350,715001,699012524,115949,451864878,182230,11734,18715,18956,6123,6090,11957,12470,315744062,8695454,148663060,2291052,9985248,1933622197,2749161387,0,370364134,3004653567,995192815,34.04,33.38,1608006645,1.08,0.63,1608008103,0.55,0.23,1608008144,34.39,33.63,1608008089,2020-07-29 12:29:44,6.523,0,93.477,0,0,0,0,0,0,0,0,48,1,0.990,0.990,1819127808,114561953792,5398528,17992101888,6696,0,1,0,1,0,0,0,4294963200,29-07 12:29:44,16416,164
2020-07-29 12:29:45,19.20,43.18,11.31,0,502,16081.137508,73,0,0,0,9963,9963,16080.443014,7237908,693985009,1387637,671304,444826845,9981675,960095,3758873,27899,1738946,1352544,1722057,9703048,329450723,985313,681999035,143895,441277365,231382,19586,62008,57756,18820,31043,46733,64797,324508279,9398706,148787365,2338795,11198009,1947895743,2647854624,0,355495746,2995333879,1012687512,35.41,34.35,1607739719,2.32,1.58,1607738630,1.76,1.11,1607742186,35.49,34.50,1607744916,2020-07-29 12:29:45,6.376,0.325,93.299,0,0,0,8192,0,0,1,0,48,1,0.990,0.990,1820368896,114560700416,5398528,17992114176,6763,0,1,0,24,0,2,0,4294963200,29-07 12:29:45,16422,500
2020-07-29 12:29:46,18.98,42.96,11.34,0,160,16074.599707,8,0,0,0,47,47,16079.556419,6146156,693338242,1299409,336851,450207537,7664099,912658,3073959,8197,1329412,1300105,1477613,8710988,316539434,728163,692618640,119395,449152825,181289,10810,19146,19391,5862,6367,12082,12307,315409753,8685092,148369479,2287017,9966954,1913769605,2729678326,0,366596097,2972988773,975018388,34.11,33.44,1608306635,1.12,0.65,1608308457,0.59,0.24,1608307401,34.43,33.66,1608308079,2020-07-29 12:29:46,6.523,0,93.477,0,0,0,0,0,0,0,0,61,1,0.990,0.990,1820008448,114561056768,5398528,17992118272,7771,1264,1,0,1,0,0,0,4294963200,29-07 12:29:46,16354,162
2020-07-29 12:29:47,18.95,42.94,11.47,0,134,16085.719400,6,0,0,0,0,0,16081.051413,6062810,692005441,1288890,298909,447568641,7408133,909704,3028885,6123,1298732,1287078,1477265,8844738,325059616,831872,703726736,144071,452788557,203933,11210,30810,32793,6530,7385,12170,13122,315544431,8701920,148288912,2283678,9972048,1910434047,2726295151,0,366100460,2959831664,967024121,34.01,33.38,1607873523,1.02,0.60,1607873922,0.51,0.21,1607874072,34.33,33.61,1607872617,2020-07-29 12:29:47,6.576,0.065,93.359,0,0,0,0,0,0,1,0,48,1,0.990,0.990,1819738112,114561318912,5398528,17992126464,6588,0,1,0,1,0,0,0,4294963200,29-07 12:29:47,16379,134
2020-07-29 12:29:48,19.02,43.01,11.49,0,154,16076.714750,8,0,0,0,29,29,16079.782146,6037606,692253404,1281470,292238,449018695,7389729,906369,3135166,8839,1311074,1297908,1455991,8696163,316644810,697477,693926454,114310,448926259,191307,8238,25421,27892,36956,42575,12848,12449,315499950,8666049,147976729,2279067,9964194,1907005445,2727102482,0,366175501,2950376618,960628016,34.01,33.39,1607606496,1.04,0.60,1607605437,0.49,0.19,1607604470,34.30,33.59,1607604976,2020-07-29 12:29:48,6.584,0,93.416,0,0,0,0,0,0,0,0,45,1,0.990,0.990,1819402240,114561650688,5398528,17992130560,7076,0,1,0,0,0,0,0,4294963200,29-07 12:29:48,16375,144
2020-07-29 12:29:49,19.16,43.15,11.41,0,469,16077.774483,74,0,0,0,9964,9964,16080.037307,7889997,672720664,1544737,866098,438604504,8735315,947319,3478326,14443,1457065,1334655,1862259,9473841,323089335,1029165,675710178,145671,437877895,223588,21847,34601,35530,23842,42779,40748,63666,317989983,9195695,150757424,2367402,11703055,1983980943,2613632363,0,351976685,2983190458,1050535981,35.41,34.31,1608546050,2.30,1.53,1608544808,1.76,1.08,1608542277,35.52,34.50,1608540317,2020-07-29 12:29:49,6.250,0.326,93.424,0,0,0,8192,0,0,1,0,51,1,0.990,0.990,1820069888,114560970752,5398528,17992142848,7044,0,1,0,24,0,2,0,4294963200,29-07 12:29:49,16339,475
2020-07-29 12:29:50,18.97,42.96,11.26,0,148,16087.364739,10,0,0,0,25,25,16081.682881,6176658,696409758,1290298,305054,447633205,7324631,906430,3008899,6237,1306518,1308007,1469426,8747214,317101007,705567,694243005,114569,448027329,177354,344,18995,19253,7000,7093,12977,14261,316676186,8720327,149547699,2283501,9941959,1938447214,2750816846,0,370424517,3003420866,992896317,34.02,33.38,1607954996,1.07,0.63,1607956393,0.55,0.24,1607957430,34.37,33.63,1607956487,2020-07-29 12:29:50,6.584,0,93.416,0,0,0,0,0,0,0,0,50,1,0.990,0.990,1819758592,114561286144,5398528,17992138752,7238,0,1,0,1,0,0,0,4294963200,29-07 12:29:50,16420,148
2020-07-29 12:29:51,19.05,43.04,11.36,0,165,16079.866164,6,0,0,0,8,8,16080.216585,6062531,698336798,1287173,324168,449468263,7807179,908265,3040102,8786,1279906,1277425,1444260,9430895,362214039,735789,728422421,113421,456099656,182880,2187,18415,19613,10294,11002,11218,15001,320696823,8713823,148295040,2243403,9866805,1902701773,2734023892,0,366543895,2946129927,957822409,34.05,33.45,1607757751,1.10,0.69,1607754813,0.57,0.23,1607756119,34.54,33.86,1607758313,2020-07-29 12:29:51,6.576,0.065,93.359,0,0,0,0,0,0,1,0,54,1,0.990,0.990,1818865664,114562162688,5398528,17992155136,7651,1308,1,0,1,0,0,0,4294963200,29-07 12:29:51,16403,165
2020-07-29 12:29:52,18.95,42.93,11.42,0,132,16074.720841,7,0,0,0,25,25,16079.316425,6054871,692569391,1278599,299860,448956328,7627695,901809,3012299,16887,1362363,1293300,1452528,8684674,316478761,697305,693830450,113874,447665200,176992,265,16438,16679,7795,8656,12973,14628,325297427,8819140,150031471,2280172,10150685,1928724901,2742738515,0,366843448,2972169364,972810110,33.99,33.38,1607757392,1.00,0.59,1607759013,0.46,0.17,1607758940,34.29,33.58,1607761562,2020-07-29 12:29:52,6.519,0,93.481,0,0,0,0,0,0,0,0,48,1,0.990,0.990,1818861568,114562158592,5398528,17992163328,7248,0,1,0,1,0,0,0,4294963200,29-07 12:29:52,16365,132
2020-07-29 12:29:53,19.37,43.35,11.63,0,953,16078.600938,182,0,0,0,26908,26913,16079.207281,9415920,622411859,1719187,1501542,416956048,11984717,1027181,4244084,54067,1931938,1333554,2025810,9944643,321244791,1590742,629223592,218902,414721551,326981,33811,134572,160313,58176,57804,64828,65651,333984074,10276451,152754807,2492286,13833550,1998266988,2452365899,0,332051991,3016857227,1104063526,38.49,36.26,1608618272,5.24,3.55,1608622304,4.67,2.96,1608626772,38.29,36.40,1608627310,2020-07-29 12:29:53,6.055,0.586,93.359,0,0,0,16896,0,0,1,0,53,1,0.990,0.990,1817759744,114563252224,5398528,17992171520,6868,0,1,0,40,0,4,0,4294963200,29-07 12:29:53,16335,738
2020-07-29 12:29:54,22.32,46.32,12.08,0,973,16087.102164,185,0,0,0,26024,26019,16082.341766,21760985,1115640973,13696684,13672847,649667618,10797249,975669,4093133,34412,1822792,1475822,2407465,12662670,609894475,1789439,1118652847,223133,645302933,337722,29265,109448,118085,30466,28794,53464,101842,607881137,12988728,152241048,2549029,14992305,2579323157,3836304459,0,553286749,2965501516,1187559199,37.69,35.86,1607412299,4.51,3.22,1607409267,3.87,2.54,1607404881,37.56,36.11,1607401975,2020-07-29 12:29:54,5.502,1.036,93.463,0,0,0,8192,0,0,0,0,52,1,0.990,0.990,1819344896,114561622016,5398528,17992216576,7275,0,1,0,82,0,2,0,4294963200,29-07 12:29:54,16442,1186
2020-07-29 12:29:55,22.73,46.72,11.74,0,471,16073.950399,76,0,0,0,9927,9927,16079.355983,22574397,1273480867,15769312,15291818,724728929,8573485,926281,3372823,7760,1470414,1321264,1743283,12826713,679395471,1176461,1257120910,164059,711866202,250643,16456,70505,62345,24271,29697,11176,24330,687918632,12771378,152576218,2364815,11865294,2693825344,4428445087,0,638263566,2981587996,1152262815,35.45,34.39,1608567483,2.36,1.62,1608567207,1.75,1.03,1608565177,35.60,34.66,1608563944,2020-07-29 12:29:55,6.194,0.323,93.484,0,0,0,8192,0,0,1,0,40,1,0.990,0.990,1818669056,114562306048,5398528,17992208384,7162,0,1,0,24,0,2,0,4294963200,29-07 12:29:55,16344,471
2020-07-29 12:29:56,21.48,45.48,12.42,0,1998,16088.924794,410,0,0,0,60442,60442,16082.343153,49432679,503463943,24178895,6411983,328308274,18751526,1166347,23379115,70359,38424157,1465038,3026170,10388037,319577636,2915941,504842134,331105,302895000,538802,68723,240934,248514,71081,71897,127371,156984,342843451,11589392,150640050,2630306,36161982,2442545854,1820552814,0,229579740,3010949219,1670316973,42.28,38.82,1608004466,8.93,6.35,1608004748,8.35,5.60,1608007267,41.59,39.00,1608008284,2020-07-29 12:29:56,4.987,1.619,93.394,0,0,0,16384,0,0,0,0,52,0.920,0.970,0.980,1820229632,114560651264,5398528,17992269824,8037,1210,1,0,122,0,4,0,4294963200,29-07 12:29:56,16508,1787
2020-07-29 12:29:57,21.96,45.97,12.29,0,1576,16081.608401,312,0,0,0,48134,48134,16092.372088,101181297,604717537,19428597,41854422,310015567,15523258,1093570,11495039,116363,20145539,1694939,3527835,6543268,298366955,2711979,568143047,325590,323679398,442338,54548,192180,182388,30721,42527,81733,140426,312905619,7315956,152006162,2738321,23850675,2544032129,2379037619,0,238388544,3004763619,1626840883,40.28,37.42,1608956602,7.24,5.14,1608955611,6.59,4.38,1608955372,39.73,37.58,1608954791,2020-07-29 12:29:57,4.925,1.555,93.519,0,0,0,48640,0,0,1,0,50,0.920,0.970,0.980,1822232576,114558631936,5398528,17992282112,6756,0,1,0,122,0,6,0,4294963200,29-07 12:29:57,16478,1785
