time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 16:49:36,17.20,41.49,9.82,0,3444,16456.323033,697,0,0,0,94994,94990,16437.747656,16006228,402518275,1917579,4189302,309774712,19905642,1421292,7514896,203248,2674959,1627361,3561930,9143306,321669019,3729267,408922850,417300,309305054,667316,99952,592685,627008,198466,256420,241362,1078001,308962596,8911751,158432135,3691247,21895106,2098357865,1510899669,0,206127186,3202285468,1388529139,53.19,48.87,1617394342,18.33,15.73,1617287199,49.91,47.15,1617185202,19.46,16.37,1617084760,2020-07-21 16:49:36,3.523,3.588,92.890,0,0,0,0,0,0,1,0,7,0.080,0.030,0.100,2685739008,119435866112,3284992,12457025536,872,0,2,0,265,0,0,0,4294963200,21-07 16:49:36,17685,3596
2020-07-21 16:49:37,21.26,45.17,7.75,0,295,16214.047311,31,0,0,0,478,478,16194.156344,8172783,649565407,1479174,653828,324845446,7827314,920887,3395466,6232,3101837,1301950,1534364,3913052,290730688,728532,640447861,115206,320187049,175178,711,17143,20061,6716,6995,12079,14028,290251005,3929011,142548072,2550994,10882193,2744418250,2940871612,0,243313327,2871909290,1756957421,34.94,34.32,1608773610,1.85,1.49,1608771723,33.90,33.51,1608767189,2.55,1.70,1608762662,2020-07-21 16:49:37,6.477,0.130,93.394,0,0,0,0,0,0,0,0,6,0.080,0.030,0.100,2695208960,119425953792,3284992,12457467904,998,0,1,0,1,0,0,0,4294963200,21-07 16:49:37,16382,291
2020-07-21 16:49:38,19.66,43.36,8.84,0,2967,16080.318840,612,0,0,0,83653,83659,16080.275452,15253965,513182409,2076347,3707625,344865995,18529965,1314388,6744181,129404,3165632,1626924,3306259,8439705,298879327,3261029,492154438,383103,333829156,622416,97652,429280,432394,110141,119354,260211,394335,292413218,8616622,146195463,3157175,20472030,2512843827,2013180185,0,239165819,2963862895,1665180143,48.92,43.99,1607650098,14.92,11.30,1607648580,46.33,42.61,1607647358,15.77,11.62,1607646428,2020-07-21 16:49:38,5,1.688,93.312,0,0,0,0,0,0,1,0,9,0.080,0.030,0.100,2690957312,119428960256,3284992,12458713088,512,114,1,0,187,0,0,0,4294963200,21-07 16:49:38,16519,2578
2020-07-21 16:49:39,20.41,44.14,8.76,0,1671,16085.964254,351,0,0,0,44535,44529,16081.759230,11851645,592134595,1666282,2350860,349753326,13487104,1184296,5238122,88653,2954945,1469776,2472729,6781492,376114964,2193951,591400098,268111,349121956,437158,52590,288244,312043,46158,147857,117289,464291,356046122,6236909,140802954,3005602,15497392,2520720039,2504479426,0,254751290,2849874586,1591227015,45.57,42.14,1608506958,11.86,9.40,1608505992,43.41,40.95,1608503883,12.51,9.61,1608501691,2020-07-21 16:49:39,5.195,1.494,93.312,0,0,0,0,0,0,0,0,9,0.080,0.030,0.100,2694668288,119425978368,3284992,12457951232,1578,0,1,0,153,0,0,0,4294963200,21-07 16:49:39,16376,2056
2020-07-21 16:49:40,21.67,45.37,8.19,0,514,16073.947357,79,0,0,0,6626,6636,16078.217369,8107975,650007421,1432355,865041,351193064,8806424,946049,3701352,22960,3061330,1435561,1988752,4922059,314360110,1268277,638548131,179704,336631342,259102,13694,92115,93357,10364,12485,40394,25841,342333436,4435945,137652694,2386663,11044482,2701083125,2949026627,0,266426332,2747441778,1684848109,37.00,35.91,1607449233,3.77,3.11,1607445555,35.55,34.86,1607444114,4.46,3.37,1607441126,2020-07-21 16:49:40,6.464,0.065,93.471,0,0,0,123392,0,0,1,0,8,0.080,0.030,0.100,2695102464,119425519616,3284992,12457975808,628,0,1,0,1,0,13,0,4294963200,21-07 16:49:40,16379,303
2020-07-21 16:49:41,20.52,44.23,9.68,0,4126,16070.888862,861,0,0,0,121739,121729,16066.663362,18823630,472734181,2381527,5351957,354488888,23100580,1675992,8643285,182821,3114291,1701688,4166071,10784799,359547650,4503571,467802210,502627,344750927,887170,238495,738230,766238,223693,253601,333850,440619,371780033,10674396,139907216,3512523,23831339,2404125591,1808023515,0,248573352,2828647799,1599352382,59.08,51.25,1606444653,24.68,18.44,1606447024,55.95,49.51,1606448367,25.23,19.00,1606450866,2020-07-21 16:49:41,3.588,3.131,93.281,0,0,0,4096,0,0,0,0,8,0.160,0.050,0.100,2694066176,119426912256,3284992,12457652224,816,114,2,0,339,0,1,0,4294963200,21-07 16:49:41,16581,4317
2020-07-21 16:49:42,21.75,45.46,8.10,0,247,16072.197508,27,0,0,0,454,454,16078.307651,7495487,644403368,1468152,565185,323209727,7604892,897471,3418033,7277,3064409,1280501,1489646,3807148,291505370,705410,642141479,115261,319834424,176871,563,23502,24570,26378,52271,10944,60732,294651663,3943956,139898962,2320512,10463273,2736859032,2961393577,0,242079287,2767784378,1727479398,35.07,34.19,1608194481,1.85,1.30,1608190926,33.76,33.19,1608187999,2.86,1.77,1608186336,2020-07-21 16:49:42,6.464,0.065,93.471,0,0,0,0,0,0,1,0,6,0.160,0.050,0.100,2694496256,119426580480,3284992,12457512960,759,0,1,0,2,0,0,0,4294963200,21-07 16:49:42,16248,274
2020-07-21 16:49:43,21.47,45.19,9.01,0,3368,16079.007703,700,0,0,0,99089,99109,16079.463635,16432244,506548501,2286913,4318891,337036548,20134833,1416971,7474404,119622,3249042,1509089,3645971,9577339,328725859,3768482,514584973,431854,350578225,763583,202853,558468,527437,114867,139455,230828,302025,320327976,9640361,140569190,2961364,21020240,2610873439,2081049943,0,256006763,2838031654,1759768228,50.65,44.64,1607752782,16.65,11.85,1607753445,48.51,43.17,1607755547,18.37,12.60,1607753138,2020-07-21 16:49:43,4.861,1.685,93.454,0,0,0,4096,0,0,0,0,5,0.160,0.050,0.100,2691706880,119427940352,3284992,12458921984,696,114,1,0,216,0,1,0,4294963200,21-07 16:49:43,16541,2848
2020-07-21 16:49:44,21.54,45.26,8.30,0,1222,16090.070399,259,0,0,0,28869,28849,16096.323502,10186159,659324309,1618979,1801790,363694346,12240708,1246282,4918861,112140,3201798,1913843,2740014,6431122,394275116,1811981,649917048,229312,358147019,390799,67969,301190,292319,92389,108837,97731,159530,387979718,5809744,140655976,2640055,13558818,2720697727,2926868003,0,278182171,2836328988,1671320974,44.62,41.07,1609442378,10.80,8.23,1609445557,42.64,40.01,1609446947,11.45,8.39,1609451143,2020-07-21 16:49:44,5.574,1.102,93.325,0,0,0,0,0,0,1,0,9,0.160,0.050,0.100,2695606272,119425896448,3284992,12457066496,575,0,1,0,124,0,0,0,4294963200,21-07 16:49:44,16431,1702
2020-07-21 16:49:45,20.89,44.62,8.11,0,1357,16081.422137,262,0,0,0,32425,32425,16068.891527,10335670,589332562,1661457,1848025,339248665,12702584,1132369,5153595,120781,3169784,1401254,2115220,5691236,330990367,1597411,620033248,206968,353754177,341387,36136,207390,198568,43069,55470,85690,153406,314090617,5752681,140929901,2622631,13967741,2651771924,2640742410,0,251825192,2813580456,1692728735,40.80,38.13,1606650568,7.41,5.43,1606658069,39.00,36.98,1606666976,8.06,5.60,1606675902,2020-07-21 16:49:45,6.153,0.389,93.459,0,0,0,4096,0,0,0,0,7,0.160,0.050,0.100,2691432448,119428411392,3284992,12458774528,991,114,1,0,35,0,1,0,4294963200,21-07 16:49:45,16314,777
