time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 16:53:45,19.08,43.03,9.63,0,4591,16215.481547,910,0,0,0,127475,127464,16223.213196,21324146,431542924,2783098,6227517,314325365,24366253,1798161,9896942,292500,4279453,2190948,4657703,11408147,296821611,4994905,426722698,554314,308430145,907392,238260,950414,1000782,218324,253375,338714,575675,258684361,12048659,159691533,3702134,27119641,2381023185,1520704950,0,198276517,3093008787,1576532247,30.61,26.99,1613006509,60.54,59.39,1612929405,27.33,25.81,1612900732,61.09,59.41,1612817489,2020-07-21 16:53:45,3.523,3.392,93.085,0,0,0,0,0,0,1,0,6,0.850,0.510,0.280,2701471744,119405527040,3284992,12471062528,875,0,1,0,311,0,0,0,4294963200,21-07 16:53:45,16668,4332
2020-07-21 16:53:46,21.22,45.06,8.32,0,459,16160.024668,48,0,0,0,2576,2577,16147.179283,38911967,705696600,4678903,2531744,292118713,11422553,1142059,8958832,445385,6713992,1384968,1692004,4774671,347809764,891158,717515510,140277,291837948,215151,57491,38727,76366,44931,128684,13560,38630,361899265,3314339,142749191,2331554,18375477,2646637293,3773427472,0,192973581,2844652815,1458576204,8.42,4.46,1607383916,40.57,36.91,1607370823,6.95,3.26,1607309359,41.20,37.09,1607282685,2020-07-21 16:53:46,6.420,0.065,93.515,0,0,0,0,0,0,0,0,7,0.780,0.500,0.280,2702299136,119403745280,3284992,12471996416,931,0,1,0,0,0,0,0,4294963200,21-07 16:53:46,16220,454
2020-07-21 16:53:47,21.14,44.84,8.02,0,494,16068.639264,54,0,0,0,1180,1179,16077.163011,40957644,725009225,4830100,2570448,294096933,11346901,1112437,7703486,318524,5446293,1468401,1683083,6364183,363176154,775581,720680549,131386,290985990,197540,61183,49130,72099,7999,49715,7889,21264,409156167,3975681,150017929,2361457,16478930,2751181115,3919186732,0,201923151,2922876885,1503572166,8.23,3.60,1608119312,40.34,36.05,1608115367,6.78,2.44,1608113345,41.05,36.30,1608112302,2020-07-21 16:53:47,6.468,0.065,93.467,0,0,0,12288,0,0,1,0,8,0.780,0.500,0.280,2702438400,119402647552,3284992,12472930304,1119,0,1,0,1,0,3,0,4294963200,21-07 16:53:47,16384,496
2020-07-21 16:53:48,21.23,44.95,8.08,0,461,16083.836696,40,0,0,0,832,832,16081.294989,37438607,693657562,4583980,2769445,297431935,11809972,1007740,9067953,131679,6082849,1410790,1637184,3363349,376625607,728352,753085503,116849,285876473,190898,60457,19212,44166,15469,37228,13873,76610,374244775,4652831,143274865,2360135,17219376,2660993088,3660184745,0,209199658,2895631175,1500733145,7.80,3.30,1608038237,40.02,35.82,1608043493,6.47,2.23,1608049190,40.72,36.05,1608054536,2020-07-21 16:53:48,6.464,0.129,93.407,0,0,0,0,0,0,0,0,9,0.780,0.500,0.280,2699689984,119404437504,3284992,12473864192,1008,0,1,0,1,0,0,0,4294963200,21-07 16:53:48,16329,457
2020-07-21 16:53:49,19.24,42.97,8.84,0,2747,16084.703357,533,0,0,0,76446,76465,16081.703604,27576284,473514624,3425058,4456184,288687275,19543899,1348155,8536417,138648,3632909,1571151,3166249,7866494,282241192,3226044,498007522,359868,285834273,603665,152349,354449,393209,79169,89864,163104,298264,265845065,8125106,147118834,3011052,20856867,2292803100,2046286079,0,190514403,2960133748,1507206434,17.04,10.41,1608092650,47.98,42.68,1608096862,14.69,9.12,1608100603,48.85,42.82,1608105212,2020-07-21 16:53:49,4.297,2.214,93.490,0,0,0,0,0,0,1,0,6,0.780,0.500,0.280,2692648960,119410851840,3284992,12474482688,1118,106,1,0,197,0,0,0,4294963200,21-07 16:53:49,16503,2789
2020-07-21 16:53:50,18.37,42.12,8.84,0,2377,16085.611922,439,0,0,0,56213,56194,16085.300062,28465388,554261672,3457401,4295123,292434623,17463394,1462229,8172741,172017,3619033,1520271,3145373,7528580,316874893,2768300,550199824,322608,286710112,515529,146776,525441,704417,122638,255177,207411,523815,297499131,7271896,152611413,3263945,19472641,2330379590,2466725313,0,194166350,3078260745,1432588169,22.41,16.62,1609688612,53.40,49.10,1609704159,19.89,15.48,1609717245,53.77,49.02,1609729843,2020-07-21 16:53:50,5.013,2.018,92.969,0,0,0,0,0,0,0,0,9,0.780,0.500,0.280,2701230080,119405944832,3284992,12470784000,859,1024,4,0,145,0,0,0,4294963200,21-07 16:53:50,16532,2332
2020-07-21 16:53:51,20.83,44.59,7.61,0,438,16115.462185,41,0,0,0,2551,2551,16136.091782,39359285,714716496,4860509,2741755,290692068,11977320,920588,7527911,19671,3847827,1266969,1528065,3909721,403995968,888733,786477046,143000,299868844,220805,415070,110011,160007,212791,214822,35251,85848,345335957,6507443,141974073,2492591,14423475,2615424398,3479411170,0,207466522,2840066807,1491356921,8.18,3.46,1613896829,40.41,36.09,1613893036,6.76,2.39,1613890635,41.28,36.46,1613889227,2020-07-21 16:53:51,6.404,0.065,93.532,0,0,0,80896,0,0,1,0,5,0.800,0.510,0.280,2702462976,119403520000,3284992,12472037376,880,0,1,0,0,0,5,0,4294963200,21-07 16:53:51,16032,431
2020-07-21 16:53:52,20.53,44.33,7.48,0,491,16139.694874,49,0,0,0,1121,1121,16117.556070,43548338,746671253,5048044,2538187,286033635,12293303,927946,7923953,27609,5122716,1290694,1542465,4402211,366024652,751053,728653975,120768,293440923,196473,493547,237781,245026,670655,631827,46253,76130,339145875,6291103,146323118,2398375,15695353,2682502612,3660678379,0,201112066,2898760401,1496934430,7.97,3.26,1610752315,40.14,35.77,1610743011,6.62,2.21,1610734247,40.91,36.00,1610725058,2020-07-21 16:53:52,6.408,0.129,93.463,0,0,0,8192,0,0,0,0,7,0.800,0.510,0.280,2702512128,119402520576,3284992,12472963072,667,0,1,0,1,0,2,0,4294963200,21-07 16:53:52,16245,479
2020-07-21 16:53:53,20.34,44.11,7.48,0,541,16104.788089,67,0,0,0,2110,2110,16111.368592,43426929,752775257,5002653,2587309,289164109,12181123,948260,7942249,610954,4516445,1408195,2027317,7262630,364988198,856333,690349291,139101,302756797,197210,247023,89720,94783,53681,59274,99280,131823,357943329,3530527,146207403,2410331,16057404,2676482472,3792712603,0,194920276,2944058454,1512081792,7.57,3.46,1611115473,39.82,35.99,1611116266,6.30,2.45,1611120328,40.46,36.12,1611124761,2020-07-21 16:53:53,6.464,0.129,93.407,0,0,0,0,0,0,1,0,11,0.800,0.510,0.280,2699812864,119404257280,3284992,12473901056,1315,0,1,0,1,0,0,0,4294963200,21-07 16:53:53,16375,531
2020-07-21 16:53:54,16.95,40.71,9.09,0,4431,16105.810023,886,0,0,0,126077,126077,16099.631778,18666715,326211348,2256684,5478058,287609658,23937141,1722772,8827815,201513,3174886,1725557,4721639,10490977,221616968,4826876,321055939,497968,278436874,843009,177817,678373,723536,155916,215126,314147,439982,233093641,10771657,155908209,3478487,25350441,2093425737,1128729804,0,184607517,3114391573,1453945021,25.29,16.53,1609359743,56.13,48.87,1609385348,22.42,14.90,1609407339,56.47,48.74,1609411872,2020-07-21 16:53:54,2.801,4.039,93.160,0,0,0,4096,0,0,0,0,7,0.800,0.510,0.280,2693017600,119415361536,3284992,12469571584,1326,106,1,0,323,0,1,0,4294963200,21-07 16:53:54,16582,4305
