time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:11:08,17.98,41.99,9.67,0,4332,16240.909009,863,0,0,0,127657,127632,16258.542418,22353424,364113969,4108164,8424220,313992236,23829551,1825963,9338601,209270,4106919,2515292,5146133,12046046,275166693,4961732,377928757,595356,314385706,875130,196454,817059,932552,191196,1259763,263737,1184217,254522557,11256049,159809113,4265939,26705030,2215526173,1233519333,0,199184327,3129307976,1530613947,71.08,71.68,1615100570,34.89,38.94,1614997302,66.66,70.66,1614932716,34.96,38.75,1614869047,2020-07-21 18:11:08,3.135,3.788,93.076,0,0,0,0,0,0,1,0,11,1.090,0.930,0.880,2748514304,118922022912,3284992,12901773312,675,0,2,0,302,0,0,0,4294963200,21-07 18:11:08,16550,3961
2020-07-21 18:11:09,20.40,44.36,8.72,0,300,16191.882006,31,0,0,0,12527,12527,16199.739316,35177201,446801421,1282842,4376397,268270254,9447776,3562991,20202542,61149,1412416,2084380,2848950,22746139,430448768,8258923,450623564,209722,275762150,202098,1519191,44555,2804734,20565,258980,31715,837675,441303302,22856967,154777990,5848150,30361215,2817976979,1749663107,0,191298880,3029014324,1701918433,88.96,67.43,1614243312,54.13,34.41,1614227622,86.18,66.61,1614211829,55.17,34.57,1614196947,2020-07-21 18:11:09,6.258,0.387,92.387,0.968,0,0,43225088,0,0,0,0,8,1.090,0.930,0.880,2798301184,118872502272,3284992,12901195776,691,0,2,0,1,0,107,0,4294963200,21-07 18:11:09,16553,297
2020-07-21 18:11:10,20.32,44.17,9.09,0,344,16125.847364,35,0,0,0,25335,25333,16096.621553,38945889,380449283,1625006,3438709,234739990,9090469,6315899,24448140,58970,1543406,1792531,2363985,17333589,348685649,9560843,371005177,283437,233348278,393767,1024566,26085,5429303,8180,59836,18408,493914,346560757,17023321,148352248,8133384,33839206,2765424873,1406705287,0,157478598,3022275843,1903633201,134.98,62.69,1607608332,101.07,29.88,1607607985,132.77,61.89,1607609219,102.58,29.97,1607609337,2020-07-21 18:11:10,6.129,0.387,93.484,0,0,0,52928512,0,0,1,0,8,1.090,0.930,0.880,2821378048,118849490944,3284992,12901203968,568,0,2,0,1,0,114,0,4294963200,21-07 18:11:10,16567,340
2020-07-21 18:11:11,20.21,44.00,9.11,0,303,16079.802645,35,0,0,0,5296,5296,16079.729902,40162283,355133456,1710377,3171148,221983225,9056114,7098938,25937769,58772,1417703,1780256,2327117,15972189,321694763,9528848,342737297,453138,216454058,289520,843571,22606,6207299,7999,68329,15014,515306,353670637,16373742,148182258,8909627,35247678,2735799825,1318529820,0,140592252,2959594546,1917228499,132.82,59.75,1607593050,99.55,27.04,1607597301,131.22,59.11,1607597324,101.10,27.25,1607624097,2020-07-21 18:11:11,6.379,0.193,93.428,0,0,0,0,0,0,0,0,8,1.090,0.930,0.880,2842136576,118828724224,3284992,12901212160,996,0,2,0,1,0,0,0,4294963200,21-07 18:11:11,16282,303
2020-07-21 18:11:12,20.19,43.96,9.15,0,272,16079.411354,33,0,0,0,32248,32252,16091.957370,40080028,340356388,1629953,3120673,217340874,8842854,7034027,25536639,65373,1449625,1850057,2391098,15164976,311359732,9704034,336166401,626165,214296063,208635,849608,19311,6212360,8366,55331,13972,528234,306147881,14867532,146650975,8750532,34312991,2709059551,1225286060,0,136529357,2954243467,1935039902,133.03,57.85,1609692636,99.46,25.00,1609690109,131.36,57.16,1609747773,101.14,25.27,1609725225,2020-07-21 18:11:12,6.190,0.322,93.488,0,0,0,0,0,0,1,0,8,1.080,0.940,0.880,2860548096,118810312704,3284992,12901212160,1227,42,2,0,1,0,0,0,4294963200,21-07 18:11:12,16362,274
2020-07-21 18:11:13,20.81,44.67,9.82,0,264,16097.380749,25,0,0,0,3999,3995,16083.907619,26576831,212416220,2412706,4789778,153113524,8105110,5164215,16231892,55619,1392009,3338770,4652258,7680953,143259654,6112540,216031731,325466,152099416,215278,290715,1872534,4237177,15667,34186,1722341,2005634,139289517,7802576,139973594,8403359,27030910,2632949549,746356054,0,71336258,2818884907,2174715998,130.00,98.46,1607635159,98.15,66.51,1607626966,129.94,98.53,1607562244,100.08,67.27,1607552758,2020-07-21 18:11:13,6.335,0.194,93.471,0,0,0,0,0,0,0,0,12,1.080,0.940,0.880,2865754112,118805106688,3284992,12901212160,915,0,2,0,1,0,0,0,4294963200,21-07 18:11:13,16257,260
2020-07-21 18:11:14,21.31,45.12,9.99,0,319,16080.319881,40,0,0,0,31961,31961,16081.078527,20107612,188242814,2921089,5089536,145894375,8541018,4084244,11935402,60286,1460322,3961887,5587274,4149801,67561942,5444765,158976510,158323,129471984,206667,2258,2575220,3164234,45531,73943,2562198,2686443,66380160,4129066,139310830,8119917,23348974,2714004333,584297174,0,56837453,2859710673,2388048424,126.40,84.45,1608404983,95.03,52.07,1608500745,126.96,83.79,1608509401,96.96,52.47,1608514897,2020-07-21 18:11:14,6.282,0.324,93.394,0,0,0,15278080,0,0,1,0,15,1.080,0.940,0.880,2866237440,118804602880,3284992,12901232640,971,0,2,0,1,0,33,0,4294963200,21-07 18:11:14,16355,323
2020-07-21 18:11:15,21.02,44.88,10.11,0,301,16097.991948,34,0,0,0,25,25,16098.899250,19313236,165423571,2902976,4879052,122135934,7336231,4104546,12116901,15712,1337637,4025615,5671159,4039550,62179456,4556202,153585691,109140,117463981,177944,876,2568470,3266591,6372,32670,2643056,2787386,70378168,4217572,146427125,8161137,23137434,2706535940,583779636,0,49112394,2934249950,2370056455,131.62,80.36,1610609692,100.69,47.92,1610529197,132.62,79.74,1610539204,102.40,48.33,1610548997,2020-07-21 18:11:15,6.504,0.129,93.368,0,0,0,20459520,0,0,0,0,12,1.080,0.940,0.880,2865602560,118805225472,3284992,12901244928,1092,0,1,0,1,0,52,0,4294963200,21-07 18:11:15,16457,311
2020-07-21 18:11:16,21.00,44.91,10.28,0,265,16099.415967,28,0,0,0,31971,31971,16099.472492,26304958,222676044,3290186,8188136,171795413,11134904,6838807,16714333,816725,2407975,4714298,7545862,4332707,98152569,6575634,212752855,298152,164777011,375951,12037,2474641,5108206,429687,456235,901525,3506238,95948399,4352592,144096590,11361989,27572694,2683480482,720082522,0,75944512,2887783723,2285765176,176.41,126.66,1609918624,140.52,93.55,1609927583,173.01,125.70,1609935137,144.10,93.78,1609942806,2020-07-21 18:11:16,5.191,1.233,93.576,0,0,0,0,0,0,1,0,13,1.080,0.940,0.880,2865664000,118805164032,3284992,12901244928,1260,0,2,0,1,0,0,0,4294963200,21-07 18:11:16,16341,251
2020-07-21 18:11:17,20.90,44.81,10.09,0,317,16108.805525,29,0,0,0,33,33,16107.015405,20299353,85813534,1973230,5890929,115403849,8401176,5532700,14170022,131200,1383112,4254875,5972330,3697758,51456114,5071158,78599551,209449,103828664,177475,312,4510178,4534103,101224,109045,2993325,2974829,51909268,3749235,137925615,9747392,25055765,2640937878,261636404,0,24862110,2753825826,2403476248,150.00,126.30,1609313468,118.07,94.04,1609289953,150.19,126.29,1609264520,119.34,94.24,1609240736,2020-07-21 18:11:17,6.533,0.065,93.402,0,0,0,0,0,0,0,0,14,1.070,0.940,0.880,2865631232,118805188608,3284992,12901253120,1272,0,1,0,1,0,0,0,4294963200,21-07 18:11:17,16052,307
2020-07-21 18:11:18,20.03,43.84,9.74,0,2242,16066.331900,449,0,0,0,61404,61425,16066.870972,19262792,208237296,2486136,6353484,206448139,15396115,5313268,13319862,474829,2673901,2045645,3379240,7379931,154340632,6466516,194491552,1167980,194038333,529401,73638,4638594,4649747,245212,247742,684679,791646,153479371,6967688,142420858,7942280,25250760,2534084689,706059415,0,112431770,2845741336,2107744321,124.10,88.52,1607219592,89.53,55.86,1607224827,121.76,87.87,1607228848,90.24,55.85,1607233420,2020-07-21 18:11:18,5.062,1.557,93.381,0,0,0,0,0,0,1,0,11,1.070,0.940,0.880,2700193792,118970626048,3284992,12901253120,1326,106,1,0,157,0,0,0,4294963200,21-07 18:11:18,16399,2199
