time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 17:55:59,17.43,41.60,9.04,0,4303,16356.406376,828,0,0,0,119900,119772,16318.347627,22044614,342976036,2940260,7044049,291274916,24876710,2043428,9684793,373698,3484689,1962742,4566212,10628912,249699961,4369764,349138664,505780,291307633,828822,169239,1241296,1294660,225906,340077,283339,825089,232820223,11040194,165707216,4070886,26040433,2173689135,1157695242,0,187161208,3205981946,1502392356,68.44,69.50,1612185070,32.87,36.67,1612094845,64.00,68.04,1611968320,32.50,36.33,1611912239,2020-07-21 17:55:59,2.414,4.371,93.216,0,0,0,0,0,0,0,0,5,0.800,0.820,0.850,2706509824,119052972032,3284992,12815396864,1299,0,1,0,297,0,0,0,4294963200,21-07 17:55:59,16598,4108
2020-07-21 17:56:00,20.26,44.20,9.01,0,945,16176.588870,144,0,0,0,21305,21306,16176.014829,26005648,688754839,4457454,13856862,422460845,12645694,2709662,12030567,1001837,7967259,4681691,9175331,26554813,546236512,1872803,724204344,283124,410188613,257763,2259742,790120,1470342,254062,1037513,176524,3327414,530826219,28856752,151194087,6314461,23417808,2709934831,2460894597,0,316712800,2981426569,1448153111,86.70,113.70,1611365281,47.76,80.65,1611353445,79.12,112.50,1611339716,47.33,80.70,1611325760,2020-07-21 17:56:00,5.355,1.161,93.484,0,0,0,0,0,0,1,0,6,0.800,0.820,0.850,2873634816,118829707264,3284992,12869767168,999,0,1,0,10,0,0,0,4294963200,21-07 17:56:00,16376,915
2020-07-21 17:56:01,20.48,44.28,8.19,0,413,16111.430134,57,0,0,0,18793,18792,16110.890667,81224518,826143771,15251447,36830350,418939306,8221358,1763376,9637351,983130,17363260,3514842,11508529,21754885,556453554,1626123,802275248,309665,422103369,193686,151863,21311,950392,7050,275356,27608,1246170,562343723,20764294,148126852,4788444,25750917,2762999596,2835943709,0,334723701,3015263583,1457276220,70.31,61.38,1610939189,35.31,28.64,1610937738,67.42,60.66,1610936906,36.11,28.85,1610935100,2020-07-21 17:56:01,6.246,0.386,93.368,0,0,0,0,0,0,0,0,8,0.800,0.820,0.850,2925027328,118778306560,3284992,12869775360,636,0,3,0,1,0,0,0,4294963200,21-07 17:56:01,16318,423
2020-07-21 17:56:02,20.52,44.33,8.44,0,399,16099.687629,56,0,0,0,5242,5242,16099.792554,17655261,965103673,2546883,8876468,596139881,12220154,2003078,6561570,484341,3279843,3719903,4462852,14163088,330137046,981163,988282805,139963,561118903,181548,11833,17389,1093880,7879,460167,42944,1889068,333279009,13888870,147173660,5254558,17877041,2714712463,3405981115,0,487217128,2942129190,1424691304,78.47,82.35,1609269101,42.45,49.42,1609272300,74.33,81.20,1609275349,43.21,49.61,1609280536,2020-07-21 17:56:02,6.198,0.194,93.609,0,0,0,103424,0,0,1,0,6,0.820,0.820,0.850,3021099008,118682226688,3284992,12869783552,695,0,1,0,0,0,9,0,4294963200,21-07 17:56:02,16187,382
2020-07-21 17:56:03,20.68,44.46,8.48,0,340,16102.949599,52,0,0,0,10439,10439,16107.326461,11433891,1043322921,2089833,2723311,669229389,19963541,2130336,6010520,559578,2359275,3813982,6682624,4859851,184469236,1162105,1032615477,181482,676761607,202341,30128,29557,1213382,6062,501830,12848,544750,184662721,4792067,147619844,4003609,14115738,2722689703,3578934169,0,589727418,2948614228,1487523722,74.40,58.01,1611271570,41.28,25.30,1611272297,73.40,57.32,1611273406,42.01,25.49,1611273728,2020-07-21 17:56:03,6.383,0.129,93.488,0,0,0,163840,0,0,0,0,6,0.820,0.820,0.850,3021168640,118682152960,3284992,12869787648,879,0,1,0,1,0,27,0,4294963200,21-07 17:56:03,16116,338
2020-07-21 17:56:04,21.09,44.98,10.13,0,414,16112.726147,59,0,0,0,2047,2047,16112.617633,45670821,1300783070,31937655,9055236,597770596,14504571,3173630,11488752,18261930,34297801,1498576,3104189,3702590,153979034,1116071,1324547402,156973,589813864,200400,3959,30064,2252313,24501,16904153,13940,250718,166185080,3821764,171182284,4074300,17921138,2991792526,4348476464,0,507532486,3384595429,1600533682,336.75,53.71,1610660918,305.33,22.15,1610679474,340.03,54.73,1610697660,312.03,23.83,1610698706,2020-07-21 17:56:04,6.508,0.064,93.428,0,0,0,0,0,0,1,0,8,0.820,0.820,0.850,3021172736,118682148864,3284992,12869787648,576,0,1,0,1,0,0,0,4294963200,21-07 17:56:04,16350,412
2020-07-21 17:56:05,20.95,44.94,11.72,0,355,16104.281830,47,0,0,0,418,418,16100.232032,87027459,1637810096,67949045,17989593,547321347,7425764,3410904,16726968,35889823,67335448,1285735,3659506,2562156,83536419,1305294,1642415503,156517,547455970,177127,1505,27820,2494170,26463,34160585,12270,16527,88560871,2691413,149473637,3547141,22121678,2736118001,5318184585,0,470130839,2955840157,1260699016,602.20,52.52,1610610072,574.74,22.17,1610589020,611.21,55.39,1610568036,587.22,25.59,1610562230,2020-07-21 17:56:05,6.504,0.064,93.432,0,0,0,0,0,0,0,0,7,0.820,0.820,0.850,3021156352,118682148864,3284992,12869804032,875,0,1,0,1,0,0,0,4294963200,21-07 17:56:05,16231,355
2020-07-21 17:56:06,20.79,44.64,9.93,0,334,16110.725727,48,0,0,0,741,741,16110.659659,38011981,1255416123,25601584,7771892,638140137,16451690,2540342,9507265,11706382,25390422,1609987,2473294,4017589,154994944,920183,1240208431,135628,645359496,184235,1683,18433,1556726,7666,11875054,12574,346024,151962305,3939684,147177934,3804311,16933206,2724538828,4159059878,0,555208461,2970908907,1414897077,253.64,55.60,1610864954,222.49,23.72,1610866767,256.13,56.18,1610869546,227.24,24.99,1610872873,2020-07-21 17:56:06,6.447,0.064,93.488,0,0,0,0,0,0,1,0,8,0.820,0.820,0.850,3021156352,118682148864,3284992,12869804032,1155,0,1,0,1,0,0,0,4294963200,21-07 17:56:06,16353,330
2020-07-21 17:56:07,20.02,43.83,9.04,0,1126,16107.022241,207,0,0,0,29640,29667,16111.201041,16550627,867504316,3686944,4070032,545116021,18270789,4047354,10712173,2314704,5173301,1901919,2512023,8132171,312041353,2434091,898224849,340116,552985273,304914,1896016,138678,1649638,35128,1633835,65089,628137,294953830,8986793,149656457,4759634,18233410,2602276936,2940443450,0,448263716,2968936409,1527981532,111.05,58.96,1610658876,77.57,26.17,1610682164,109.34,57.90,1610691612,78.26,26.46,1610701345,2020-07-21 17:56:07,5.806,0.839,93.355,0,0,0,12288,0,0,0,0,8,0.830,0.820,0.850,2705272832,118984777728,3284992,12882690048,756,106,1,0,43,0,1,0,4294963200,21-07 17:56:07,16373,980
2020-07-21 17:56:08,16.20,40.00,9.45,0,4038,16109.432297,789,0,0,0,104906,104879,16128.331389,20225766,316653640,2361441,6837693,285995729,23795770,2399479,9423749,564179,3577171,2667402,4808609,9580158,229301442,4532268,333736881,530595,290216985,807621,131105,672738,1464905,207321,352122,283608,1034902,216353285,9398252,156956936,4183573,24399290,2012615488,1074604565,0,174924704,3129319007,1412382307,72.80,64.26,1614661020,37.23,31.45,1614634575,68.08,62.44,1614619052,36.75,31.25,1614605234,2020-07-21 17:56:08,2.613,3.984,93.403,0,0,0,60928,0,0,1,0,6,0.830,0.820,0.850,2704629760,119077781504,3284992,12792397824,703,0,2,0,288,0,4,0,4294963200,21-07 17:56:08,16526,4134
2020-07-21 17:56:09,21.00,44.86,9.22,0,920,16128.282427,130,0,0,0,21564,21564,16122.473679,24338430,678966908,4313639,13056899,403714090,11233442,2454975,11152538,1027464,7593864,4824598,5783116,29154058,560386973,1981727,734785869,292746,407969610,248088,1927653,76843,1328351,22928,909770,150302,3041654,573897614,28682373,151693828,6276517,24048587,2732321616,2493918350,0,312648684,2964686511,1431572235,82.64,94.86,1613101323,43.57,61.86,1613096076,74.84,93.46,1613095290,43.59,62.07,1613095460,2020-07-21 17:56:09,5.161,1.355,93.484,0,0,0,4096,0,0,0,0,8,0.830,0.820,0.850,2871341056,118831796224,3284992,12869844992,660,0,1,0,10,0,1,0,4294963200,21-07 17:56:09,16300,960
2020-07-21 17:56:10,21.25,45.07,8.77,0,397,16125.847927,58,0,0,0,18735,18735,16116.464281,81720505,826941509,15429947,37381901,417098319,7827297,1811720,9494966,1279914,19007865,3105308,11471567,21423570,583169367,1757035,832931230,317872,428446962,197550,135200,24453,1020356,7258,395329,11857,1184742,563749705,21251922,148876295,4699672,25292345,2744386171,2798356096,0,329772099,2973682645,1434992023,71.70,61.30,1608772306,36.63,28.46,1608772330,68.24,60.15,1608773445,37.39,28.79,1608804796,2020-07-21 17:56:10,6.306,0.322,93.372,0,0,0,0,0,0,1,0,10,0.830,0.820,0.850,2925568000,118777565184,3284992,12869849088,1050,0,1,0,1,0,0,0,4294963200,21-07 17:56:10,16401,379
2020-07-21 17:56:11,21.23,45.02,8.89,0,362,16090.105789,56,0,0,0,5304,5304,16082.439620,17086293,974327116,2553098,8452904,605355272,11598071,2028386,6235421,429462,3335051,3999625,4531277,13309021,318084667,1055708,1005587335,151081,585733525,185420,27163,19554,1122840,7018,441628,12043,2099784,308372171,12725018,146397489,5431347,18221338,2699006563,3410462023,0,504982755,2928615960,1438249516,80.54,83.80,1607976914,44.42,50.77,1607979768,75.77,82.17,1607977210,45.08,51.04,1607943000,2020-07-21 17:56:11,6.258,0.194,93.548,0,0,0,0,0,0,0,0,7,0.830,0.820,0.850,3021729792,118681387008,3284992,12869861376,1052,0,1,0,1,0,0,0,4294963200,21-07 17:56:11,16338,382
2020-07-21 17:56:12,21.40,45.17,8.84,0,312,16080.166419,46,0,0,0,8283,8283,16080.114350,11122960,1037392903,2039329,2447935,668648118,20241319,2137867,5843352,615684,2165215,1825810,2041802,5148607,188078750,1153272,1027495351,176678,669298048,199502,372391,23090,1193783,7312,480025,1080,533392,183367861,5100185,146178752,3928157,13874749,2698553012,3560938827,0,586766453,2917967447,1471454193,74.79,58.14,1607628003,41.60,25.28,1607627660,73.21,56.91,1607628137,42.26,25.59,1607629524,2020-07-21 17:56:12,6.439,0.064,93.496,0,0,0,0,0,0,1,0,8,0.850,0.830,0.850,3021721600,118681387008,3284992,12869869568,1048,0,1,0,0,0,0,0,4294963200,21-07 17:56:12,16314,312
2020-07-21 17:56:13,21.50,45.35,9.91,0,418,16075.065773,56,0,0,0,1905,1905,16091.492689,48444805,1298483174,34296542,9598650,587345952,13688756,3159912,11445570,17591124,36192684,1511771,2568979,4042027,147716071,1100045,1337630733,166150,599970461,199356,190079,49119,2428126,7738,19639196,2256,233255,166719411,4394795,149829098,4116538,18625078,2731888599,4402591031,0,506763613,2947287644,1397636514,354.73,54.53,1611145723,321.98,22.22,1611146693,355.67,54.01,1611148956,328.17,23.81,1611149055,2020-07-21 17:56:13,6.447,0.064,93.488,0,0,0,0,0,0,0,0,9,0.850,0.830,0.850,3021713408,118681387008,3284992,12869877760,755,0,1,0,1,0,0,0,4294963200,21-07 17:56:13,16240,416
2020-07-21 17:56:14,21.69,45.68,11.12,0,371,16112.159181,55,0,0,0,439,439,16111.103881,87204177,1642872690,68173846,17921888,549622697,7566115,3418914,16756228,36141978,67327904,1306371,4204626,2647563,87479466,1245126,1656286948,164196,557657223,196800,13354,45712,2576028,15495,35005735,5521,18218,84507749,2643287,147467144,3609035,22402123,2719041247,5320269522,0,468415389,2931846204,1246146513,608.23,54.08,1610546300,577.93,22.50,1610543139,612.92,54.46,1610539921,589.22,25.55,1610537786,2020-07-21 17:56:14,6.447,0.064,93.488,0,0,0,0,0,0,1,0,10,0.850,0.830,0.850,3021717504,118681378816,3284992,12869881856,560,0,1,0,1,0,0,0,4294963200,21-07 17:56:14,16329,361
2020-07-21 17:56:15,21.56,45.40,9.61,0,307,16106.018475,43,0,0,0,830,830,16089.234894,35853332,1229777821,23794474,7499548,640427200,17011485,2463725,8963255,10538940,22436848,1628020,2204063,4358796,157505755,851978,1218413730,134131,653250310,186697,309150,27693,1490100,8445,10377420,6215,360459,160796098,4364851,148631865,3821629,16571608,2741821026,4130601222,0,558308781,2953589515,1411163436,238.43,56.70,1607967148,205.99,24.18,1607969110,238.73,55.94,1607971994,209.94,25.36,1607974787,2020-07-21 17:56:15,6.443,0.064,93.492,0,0,0,0,0,0,0,0,9,0.850,0.830,0.850,3021692928,118681395200,3284992,12869890048,1095,0,1,0,1,0,0,0,4294963200,21-07 17:56:15,16329,313
2020-07-21 17:56:16,20.52,44.29,9.09,0,1272,16081.211099,239,0,0,0,32343,32353,16081.313832,16519534,866890884,3628307,3982266,542944001,18054834,4250492,11007537,2098452,5451608,1900726,2551661,8483189,304838253,2518076,862043575,350280,534431864,331734,2153598,156783,1629360,45403,1708843,81744,601838,290012596,9256032,148849467,4644844,18927159,2584827870,2867795406,0,440080364,3030983779,1549959105,111.27,58.69,1608340442,77.54,25.70,1608352733,108.79,57.08,1608365212,77.91,25.87,1608376521,2020-07-21 17:56:16,5.932,0.709,93.359,0,0,0,12288,0,0,1,0,11,0.850,0.830,0.850,2705825792,118984880128,3284992,12882272256,852,106,1,0,34,0,1,0,4294963200,21-07 17:56:16,16421,915
2020-07-21 17:56:17,16.47,40.28,9.26,0,4035,16096.934327,799,0,0,0,101586,101576,16107.987215,20562845,314298964,2333003,6982851,283562333,24107257,2450212,9335770,438373,3292951,2505307,4881570,9414825,226065473,4613305,319667105,540170,284126304,777719,130257,609518,1506352,173765,478434,295257,1232432,214441626,9122806,153275181,4474417,24376660,1978196307,1037629288,0,175098214,3051327616,1390257769,73.75,63.79,1610151774,38.40,31.30,1610145631,68.96,62.24,1610139330,37.89,31.20,1610133450,2020-07-21 17:56:17,2.613,4.050,93.338,0,0,0,60928,0,0,0,0,7,0.780,0.810,0.850,2703974400,119097540608,3284992,12773584896,752,0,2,0,297,0,4,0,4294963200,21-07 17:56:17,16631,4261
2020-07-21 17:56:18,20.39,44.20,9.21,0,930,16095.337151,139,0,0,0,22099,22100,16084.374970,23633478,668516536,4479535,11137138,386077977,10794146,1986200,9024646,952201,8391705,4340134,5308390,24571202,508521054,2207923,670235758,345261,412752811,254370,1996143,529660,1268380,119046,1361889,147108,3013582,532346949,27536825,148231471,7012925,23918986,2612860294,2404833674,0,299251468,2921903563,1378524997,80.83,95.72,1608653359,42.06,62.81,1608646480,73.33,94.36,1608639204,42.07,62.99,1608632825,2020-07-21 17:56:18,4.725,1.812,93.463,0,0,0,0,0,0,1,0,7,0.780,0.810,0.850,2865610752,118837391360,3284992,12869922816,1114,0,1,0,10,0,0,0,4294963200,21-07 17:56:18,16276,1053
