time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 17:01:22,17.58,41.71,9.93,0,4308,16348.219098,835,0,0,0,122140,122104,16345.078355,20962475,358373556,2594381,6624102,305748999,24626216,1988612,9559319,335160,3865843,2034891,4923430,11155814,248682084,4867982,339052006,579121,291413144,867882,237743,1069281,1153876,247199,291181,243592,624210,241408984,11173674,161390340,3725295,25834886,2150067729,1182893262,0,192700150,3143350393,1459416179,64.84,64.94,1612351357,29.16,31.65,1612286669,61.74,63.84,1612221668,30.11,32.37,1612105866,2020-07-21 17:01:22,2.937,3.851,93.211,0,0,0,0,0,0,1,0,9,0.660,0.590,0.410,2698584064,119362662400,3284992,12515397632,1744,0,1,0,307,0,0,0,4294963200,21-07 17:01:22,16679,4167
2020-07-21 17:01:23,25.20,49.17,10.18,0,2636,16177.273082,262,0,0,0,10579,10579,16178.992307,65292814,1596690938,21824114,22366944,428804605,11966378,6233138,27761999,593425,13554601,1678873,4828970,32974038,778620139,6247052,1578394997,223838,433472794,228378,235321,3985086,5955058,440225,802450,104996,1487159,795321257,34276515,287427871,9467057,40769067,5284267984,6022388122,0,370367907,5674489904,2727330711,142.39,77.00,1612038418,105.58,44.34,1612014414,137.16,76.34,1611987634,106.32,44.48,1611962577,2020-07-21 17:01:23,14.801,0.772,84.427,0,0,0,168448,0,0,0,0,6,0.660,0.590,0.410,2755821568,119294095360,3284992,12525948928,1566,0,2,0,14,0,14,0,4294963200,21-07 17:01:23,16571,2603
2020-07-21 17:01:24,26.70,50.52,10.13,0,2041,16095.276056,177,0,0,0,5781,5781,16092.506834,71424204,1653220638,22553593,29315510,410957013,10610460,6443180,26390524,679122,12245361,1333927,3675026,35492962,753155140,7369428,1521234154,181323,407168634,284831,144733,2654879,6287310,782009,1312475,232940,371345,826574504,34436646,257922723,8647376,44189961,5073828044,5661603531,0,328889758,5210798600,2702580055,144.84,56.51,1607656222,107.71,23.31,1607658380,138.24,54.66,1607661388,111.12,24.40,1607661802,2020-07-21 17:01:24,13.149,0.385,86.466,0,0,0,16384,0,0,1,0,8,0.660,0.590,0.410,2756513792,119293378560,3284992,12525973504,907,0,3,0,1,0,3,0,4294963200,21-07 17:01:24,23967,2040
2020-07-21 17:01:25,25.43,49.21,9.72,0,1834,16067.302463,178,0,0,0,582,582,16066.554727,63879010,1546887882,21261467,24981292,364262018,9759378,5980407,25082341,475602,6295279,1283992,4049421,32970320,752728579,7276599,1498933006,151647,366753650,204106,98795,710706,3609040,218476,447963,22313,64879,687770411,32808098,219036688,6183666,32598126,4510864628,5430139578,0,317786565,4697751811,2329898631,115.85,40.23,1606253482,80.26,7.28,1606248652,111.56,38.97,1606242060,81.52,7.55,1606237335,2020-07-21 17:01:25,11.761,0.129,88.111,0,0,0,0,0,0,0,0,7,0.660,0.590,0.410,2756100096,119293771776,3284992,12525993984,460,0,2,0,1,0,0,0,4294963200,21-07 17:01:25,17074,1811
2020-07-21 17:01:26,26.69,50.45,9.99,0,2002,16063.865666,167,0,0,0,6063,6063,16064.002417,79862298,1678181751,25702022,33582850,448903383,9592669,5888751,32739609,663343,17156079,1240367,4551904,41005470,893982391,7216394,1742017310,162278,462635313,224238,182974,817735,4578560,294564,619109,40098,70001,800724191,37103039,250244981,7732113,42514351,5000416640,5903080040,0,369717159,5066520016,2515128262,128.32,39.48,1606755965,92.25,6.68,1606755617,123.07,38.48,1606804789,93.31,6.87,1606807228,2020-07-21 17:01:26,14.176,0.192,85.632,0,0,0,0,0,0,1,0,6,0.660,0.590,0.410,2755522560,119294312448,3284992,12526030848,695,0,3,0,1,0,0,0,4294963200,21-07 17:01:26,16824,2011
2020-07-21 17:01:27,23.22,46.95,9.67,0,1280,16078.972504,155,0,0,0,13872,13895,16079.333991,42731396,988181809,12620945,19826752,277155183,9979889,3717858,14730631,221769,3492027,1364654,2606489,25253499,480968552,6903213,921534447,201168,256938894,300742,97122,655095,2899529,136933,354072,61154,195225,508305874,25727084,166380072,4814684,23815022,3198470287,3405284911,0,183294766,3329315320,1641946330,83.56,38.64,1607606595,49.04,5.75,1607611108,80.73,37.71,1607567785,50.22,6.25,1607569356,2020-07-21 17:01:27,8.070,0.387,91.543,0,0,0,12288,0,0,0,0,8,0.610,0.580,0.410,2699472896,119350337536,3284992,12526055424,1287,106,2,0,32,0,1,0,4294963200,21-07 17:01:27,16429,1243
2020-07-21 17:01:28,16.78,40.54,9.98,0,4157,16076.921368,811,0,0,0,111841,111819,16104.156248,20292250,307732531,2343577,6444070,276592058,24360661,2134792,9373911,358120,3233615,2340042,4745098,9832146,226085574,4482743,325105715,536859,287830898,804129,144764,564993,1464677,232873,416574,318520,1123035,218863432,9843122,160680194,4187412,25343394,2082634463,1077249473,0,174094713,3076531899,1427577911,69.21,59.13,1612853363,33.60,25.09,1612868243,65.28,56.73,1612884225,34.15,25.60,1612899755,2020-07-21 17:01:28,2.745,4.118,93.137,0,0,0,0,0,0,1,0,10,0.610,0.580,0.410,2698440704,119364784128,3284992,12513054720,1080,54,2,0,299,0,0,0,4294963200,21-07 17:01:28,16575,4194
2020-07-21 17:01:29,24.77,48.67,10.22,0,2578,16136.021310,246,0,0,0,10558,10557,16117.672707,60876289,1528807549,20597037,22811681,431020977,11581511,6238546,26925042,653706,13744186,1747822,4037565,32970031,762113261,6287817,1551348458,212090,447074045,271754,158583,488690,6003748,359228,940017,89775,928121,822431769,34323126,271033445,9061460,39841505,4880672691,5711002110,0,321632732,5208263783,2392425684,143.39,70.33,1609408825,106.76,37.47,1609389278,138.25,69.34,1609370272,107.66,37.55,1609351895,2020-07-21 17:01:29,14.157,0.901,84.942,0,0,0,4096,0,0,0,0,6,0.610,0.580,0.410,2755461120,119294144512,3284992,12526010368,777,0,2,0,15,0,1,0,4294963200,21-07 17:01:29,16632,2581
2020-07-21 17:01:30,26.12,49.90,10.26,0,2013,16078.320359,195,0,0,0,5818,5818,16068.759245,59458218,1424174250,19095533,26598622,388231921,10075651,5430188,27956140,547533,9488599,1329435,3944725,33997489,785160466,7233805,1588462734,150279,380796396,210982,95467,344707,6002964,337546,714686,66945,210260,834187335,38833088,239868222,7926986,38904075,4544095386,5164164591,0,266128025,4348659647,2124626945,132.95,43.55,1606765604,96.98,10.83,1606764230,128.12,42.63,1606763134,98.53,11.26,1606761323,2020-07-21 17:01:30,12.781,0.193,87.026,0,0,0,0,0,0,1,0,7,0.610,0.580,0.410,2755571712,119294017536,3284992,12526026752,680,0,2,0,1,0,0,0,4294963200,21-07 17:01:30,18020,1993
2020-07-21 17:01:31,25.29,49.04,9.95,0,1871,16065.114685,185,0,0,0,568,568,16065.000111,57017226,1468625033,19807371,24566654,364492202,9248428,5797270,22609037,568885,7826616,1407706,3556578,32455488,690448383,7222804,1435633463,154505,384298268,204531,55647,248039,5256638,179331,710891,49835,242175,756081689,33763474,229120311,7833397,35059736,4435401835,5204157177,0,271052090,4435163329,2158689014,124.01,39.73,1606106929,88.77,7.18,1606107216,120.33,39.08,1606108559,89.85,7.25,1606109973,2020-07-21 17:01:31,12.018,0.064,87.918,0,0,0,0,0,0,0,0,10,0.610,0.580,0.410,2755284992,119294287872,3284992,12526043136,736,0,1,0,1,0,0,0,4294963200,21-07 17:01:31,16476,1792
