time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 17:17:05,20.21,44.16,9.54,0,4347,16216.143257,906,0,0,0,126209,126184,16213.319194,22249598,581469531,2658773,7522936,394966496,24992110,2071866,9661324,346710,4011972,2312652,4777132,12499746,396380131,4750598,570608209,547857,391339311,899775,158280,905667,1281029,198525,294349,299075,848447,376076210,12585929,159889444,4239222,26351746,2591199208,1707124865,0,291031563,3088450419,1648596620,69.19,67.11,1611854463,65.69,66.71,1611789695,31.32,32.79,1611726831,33.37,34.29,1611667189,2020-07-21 17:17:05,3.516,3.255,93.229,0,0,0,0,0,0,0,0,9,0.780,0.920,0.850,2705334272,119279202304,3284992,12588613632,632,0,2,0,309,0,0,0,4294963200,21-07 17:17:05,16566,4134
2020-07-21 17:17:06,20.93,44.81,8.78,0,357,16165.771633,56,0,0,0,9147,9146,16175.196746,18445469,1001321283,1657938,5462329,407088356,8409329,1404218,5377492,532654,2566673,2065799,2815103,18020453,756989942,1131179,947758832,188422,386201423,212920,2633,29192,434762,8353,531474,16161,1812226,765203567,16824484,146349367,3543930,14990877,2663518242,2731481296,0,320406654,2892634691,1329777278,52.21,47.30,1611847241,50.64,47.00,1611853831,17.11,13.69,1611861228,18.50,14.69,1611866273,2020-07-21 17:17:06,6.214,0.324,93.463,0,0,0,0,0,0,1,0,5,0.780,0.920,0.850,2725593088,119258656768,3284992,12588490752,999,0,2,0,1,0,0,0,4294963200,21-07 17:17:06,16386,354
2020-07-21 17:17:07,21.46,45.28,8.51,0,352,16122.570176,51,0,0,0,3545,3545,16115.342178,24261767,1072600511,4295711,8226870,635525312,7742698,1832669,5896577,627832,3304244,3840610,4249012,13987322,583388732,1708782,1120353412,220632,645613489,190169,2001,24409,958800,5969,473394,11303,2042222,550129443,15359101,163988877,4601915,15781999,2904853038,3420379066,0,553271985,3256780954,1522935291,66.50,66.67,1611048312,63.47,66.45,1611051715,30.21,33.29,1611057088,31.57,34.25,1611060759,2020-07-21 17:17:07,6.319,0.193,93.488,0,0,0,245760,0,0,0,0,6,0.800,0.920,0.850,2754478080,119229763584,3284992,12588498944,636,0,2,0,1,0,3,0,4294963200,21-07 17:17:07,16344,352
2020-07-21 17:17:08,21.63,45.40,7.88,0,392,16108.357020,60,0,0,0,223,223,16110.860668,4651600,1347351709,452324,474238,821118481,8511019,923197,4135422,7160,1417958,1288195,1461741,16047464,635423942,1475069,1351494765,128934,828624437,195461,3072,19970,23617,6471,8019,4103,13590,665990669,16768592,148449303,2293687,10776022,2741954735,4364436254,0,740512336,2933324445,1109761726,34.46,33.81,1610561780,34.35,33.73,1610561764,0.84,0.40,1610557978,2.21,1.37,1610554955,2020-07-21 17:17:08,6.533,0.065,93.402,0,0,0,0,0,0,1,0,8,0.800,0.920,0.850,2754215936,119230017536,3284992,12588507136,399,0,3,0,1,0,0,0,4294963200,21-07 17:17:08,16302,381
2020-07-21 17:17:09,21.58,45.35,8.04,0,375,16103.914449,49,0,0,0,249,249,16099.828362,4672591,1363062043,671367,414197,833072521,8152150,897149,3216167,10258,1624502,1260265,1452153,14838800,655986210,1405822,1382571675,122390,843134169,192958,2735,18571,18886,6876,7344,7008,15153,642760218,14594804,145946438,2235323,9868855,2696531599,4389946438,0,756194250,2912790028,1084279548,34.24,33.64,1610183367,25.64,25.13,1610182860,9.06,8.72,1610182132,2.14,1.29,1610181860,2020-07-21 17:17:09,6.447,0,93.553,0,0,0,0,0,0,0,0,9,0.800,0.920,0.850,2753949696,119230279680,3284992,12588511232,1166,0,2,0,1,0,0,0,4294963200,21-07 17:17:09,16021,369
2020-07-21 17:17:10,21.54,45.31,7.94,0,304,16105.108088,42,0,0,0,7,7,16109.053781,4306358,1377722577,386803,357349,844588373,7703786,903022,3147237,7642,1295113,1286898,1478606,16407082,632483790,1597687,1362023176,136662,834069530,217985,2743,28523,30363,6078,5778,3858,13646,646013854,15531460,146430586,2270020,10492619,2702212905,4372484108,0,752388218,2923514512,1085737559,34.07,33.57,1610369622,1.16,0.75,1610370309,33.20,32.92,1610372529,1.85,1.16,1610407713,2020-07-21 17:17:10,6.508,0.064,93.428,0,0,0,0,0,0,1,0,8,0.800,0.920,0.850,2753814528,119230406656,3284992,12588519424,628,0,1,0,0,0,0,0,4294963200,21-07 17:17:10,16329,305
2020-07-21 17:17:11,21.59,45.35,7.99,0,406,16103.859951,62,0,0,0,6,6,16099.855349,4948155,1370552914,784029,393867,835828640,7790599,911093,3181255,8217,1359770,1297849,1474341,15474791,642216068,1475862,1385074446,129540,837843019,197687,1826,23529,23682,6377,7636,10385,31872,639945145,16545408,147475082,2278258,10083640,2731897991,4348540098,0,746472227,2932208780,1098389878,34.26,33.70,1610684965,1.31,0.87,1610680804,33.36,33.01,1610677629,1.89,1.22,1610644033,2020-07-21 17:17:11,6.533,0,93.467,0,0,0,0,0,0,0,0,10,0.800,0.920,0.850,2753679360,119230533632,3284992,12588527616,1519,0,2,0,1,0,0,0,4294963200,21-07 17:17:11,16273,405
2020-07-21 17:17:12,21.45,45.21,7.85,0,356,16109.033060,50,0,0,0,7,7,16110.817803,4776382,1322578769,630374,442801,801909539,7583917,908918,3547624,8971,1396815,1292375,1463147,18276440,628334144,1657879,1315638585,132696,789023246,194024,1404,18837,26578,6397,5932,3768,22105,616397173,18536730,148543681,2278867,10370572,2729486783,4189214517,0,719245676,2977424615,1122147107,34.36,33.70,1610808451,1.40,0.87,1610810932,33.46,33.04,1610812382,2.10,1.26,1610811386,2020-07-21 17:17:12,6.447,0.064,93.488,0,0,0,20480,0,0,1,0,10,0.810,0.920,0.850,2753679360,119230533632,3284992,12588527616,1391,0,2,0,1,0,5,0,4294963200,21-07 17:17:12,16393,356
2020-07-21 17:17:13,21.25,45.02,8.19,0,371,16107.561238,51,0,0,0,1933,1933,16111.013020,23090022,975116365,11776128,1834814,520199959,8221210,1096117,17333563,58947,6920293,1917698,2056914,26100052,621734839,2002709,1007207234,247800,535967266,192407,517,20338,226884,5853,63681,2704,21330,642469326,24086911,146454462,2455420,23623313,2703604370,3414145427,0,455782906,2928870109,1171416268,38.22,34.73,1610579414,5.15,1.93,1610582446,37.13,34.05,1610617024,5.73,2.30,1610620399,2020-07-21 17:17:13,6.447,0.064,93.488,0,0,0,0,0,0,0,0,9,0.810,0.920,0.850,2756653056,119227547648,3284992,12588539904,927,0,2,0,1,0,0,0,4294963200,21-07 17:17:13,16331,369
2020-07-21 17:17:14,20.06,43.85,8.53,0,1814,16105.318807,340,0,0,0,42755,42763,16099.953721,26855667,547553680,7742248,4571064,318906117,12901013,1237661,10530354,154094,7415833,1595007,3041071,30348053,384382500,3581967,540931535,276725,322258251,419811,44956,232167,252077,44954,168307,119831,144985,424851484,29191384,145579556,2679863,21425264,2474312313,1954869002,0,236195135,2972319302,1391627090,44.70,41.15,1610501925,10.87,8.23,1610508159,42.87,40.14,1610490403,11.89,8.71,1610485918,2020-07-21 17:17:14,5.390,1.299,93.312,0,0,0,0,0,0,1,0,10,0.810,0.920,0.850,2693718016,119290474496,3284992,12588548096,1110,106,1,0,100,0,0,0,4294963200,21-07 17:17:14,16389,1653
2020-07-21 17:17:15,17.67,41.47,9.69,0,3302,16107.305669,655,0,0,0,87702,87695,16109.616484,18280522,540486661,1951460,6192266,367665587,19607905,2040893,7833604,422028,3069012,2107516,3953055,10273495,395598333,3571868,584351317,466697,386674143,665566,120845,836451,1107410,163144,287275,287727,807831,353120355,10811915,156899319,3932898,22556906,2136828452,1488052177,0,262093872,3076301117,1340842098,63.94,60.89,1610254261,29.17,28.10,1610243556,60.84,59.84,1610250871,29.73,28.64,1610251663,2020-07-21 17:17:15,3.394,3.394,93.211,0,0,0,16384,0,0,0,0,5,0.810,0.920,0.850,2705768448,119278428160,3284992,12588544000,820,298,2,0,239,0,1,0,4294963200,21-07 17:17:15,16564,3459
2020-07-21 17:17:16,20.74,44.50,9.24,0,267,16092.718344,31,0,0,0,9178,9177,16096.448872,22079259,905669295,1579968,5088172,358503124,7869778,1258279,6122196,712389,3553480,3233684,4190090,17720121,737506478,1171468,921454883,173216,367167787,197749,9643,286008,488674,77906,535990,79520,1224008,735367171,16340494,148297654,3620096,14330661,2670297289,2578553596,0,273209871,2915156570,1427668930,53.45,57.08,1610517610,18.48,24.25,1610521364,50.39,56.34,1610498312,19.03,24.59,1610501903,2020-07-21 17:17:16,6.206,0.323,93.471,0,0,0,0,0,0,1,0,7,0.810,0.920,0.850,2723180544,119260987392,3284992,12588556288,692,0,2,0,1,0,0,0,4294963200,21-07 17:17:16,16246,265
