time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 17:33:50,17.89,42.03,9.87,0,4224,16305.276345,840,0,0,0,121490,121431,16272.904469,20833919,346076334,2734595,6348051,284149614,24561236,1737866,9503184,280423,3255878,1933134,4583913,10539837,246665716,4591341,335181970,488363,285871004,844696,151923,1007320,998352,164390,256794,259352,545028,224380572,10637917,156953259,3618757,24904647,2087305117,1165529778,0,187879801,3168631827,1448210079,29.65,27.21,1611146447,26.63,26.40,1611070097,57.68,57.57,1611006030,59.80,59.05,1610940661,2020-07-21 17:33:50,2.870,3.849,93.281,0,0,0,0,0,0,1,0,6,1,0.950,0.880,2696364032,119245840384,3284992,12629168128,938,0,1,0,300,0,0,0,4294963200,21-07 17:33:50,16608,3989
2020-07-21 17:33:51,20.87,44.75,8.98,0,1385,16158.900724,62,0,0,0,6639,6639,16158.526965,25562381,874905685,8641702,9947032,364078884,11431399,1604711,5930291,299609,9333132,1898428,3830468,4101951,511368644,1291805,884708046,261644,360179622,293068,24394,505631,562387,183972,313485,43041,468692,504316400,4037352,144550309,3432787,16240757,2629243731,4382758271,0,269820572,2867202813,1243516130,19.39,24.02,1609346974,17.81,23.61,1609329209,49.70,55.61,1609301285,50.47,56.26,1609314560,2020-07-21 17:33:51,6.096,0.584,93.320,0,0,0,0,0,0,0,0,7,1,0.950,0.880,2701402112,119210217472,3284992,12659015680,1921,0,1,0,12,0,0,0,4294963200,21-07 17:33:51,16417,1401
2020-07-21 17:33:52,21.24,44.99,8.59,0,1380,16096.059405,30,0,0,0,4135,4174,16095.894087,24759911,966881326,9773070,8655022,372173217,9351247,999975,5668020,188046,10702826,1411733,2370153,3850577,555421678,980380,959927707,227418,369092320,236356,19646,109658,184285,49138,165729,48674,360535,558408757,3933263,147736278,2533402,14826790,2794389660,5024905352,0,292768977,2953694415,1241437127,8.11,5.07,1609587594,7.41,4.70,1609580269,39.72,36.83,1609572379,40.60,37.52,1609553582,2020-07-21 17:33:52,6.412,0.259,93.329,0,0,0,0,0,0,1,0,8,0.920,0.940,0.870,2701045760,119203037184,3284992,12666396672,768,0,2,0,1,0,0,0,4294963200,21-07 17:33:52,16424,1396
2020-07-21 17:33:53,21.04,44.81,8.56,0,1442,16097.235546,34,0,0,0,2963,2924,16096.954466,26739540,975364082,9838229,8749351,384920171,9905084,1013051,6266018,162231,10993185,1380436,2715986,4064668,557459298,1030412,966449319,234211,373654879,236876,22300,56862,68268,38997,176918,38233,52157,550743183,4014047,147103862,2521691,15532726,2749566280,5007877003,0,295323285,2943702978,1219117536,7.44,3.94,1609299250,6.77,3.55,1609299430,39.11,35.74,1609300194,39.88,36.26,1609300601,2020-07-21 17:33:53,6.477,0.194,93.329,0,0,0,0,0,0,0,0,9,0.920,0.940,0.870,2701004800,119196954624,3284992,12672323584,787,0,4,0,1,0,0,0,4294963200,21-07 17:33:53,16355,1413
2020-07-21 17:33:54,20.97,44.75,8.47,0,1406,16092.036574,31,0,0,0,2958,2958,16095.386578,26461126,964337750,9818394,8628730,378113157,10086014,967030,6304344,196454,11187465,1335861,2416021,3906117,550920664,986803,959013951,229737,371275938,236170,22047,118247,134399,36765,205825,48164,56854,545637500,3980706,147388222,2496966,15533629,2743512769,4984127169,0,290087981,2955316024,1217316857,7.31,3.77,1609504998,6.67,3.38,1609535711,39.04,35.52,1609543142,39.84,36.15,1609548818,2020-07-21 17:33:54,6.408,0.129,93.463,0,0,0,0,0,0,1,0,8,0.920,0.940,0.870,2700763136,119190716416,3284992,12678672384,1367,0,1,0,1,0,0,0,4294963200,21-07 17:33:54,16089,1386
2020-07-21 17:33:55,20.91,44.70,8.37,0,1400,16101.627970,27,0,0,0,2947,2947,16099.187808,27498156,960079196,9852394,8568915,368676310,9257242,1015708,6244209,186637,11124250,1601840,2375456,4054506,558780705,1073161,967511953,245054,369109721,255780,23757,108378,129392,40448,150081,36408,49554,548763600,3793570,148604194,2512180,15597697,2748786769,4992717901,0,285325716,2966731321,1225213506,7.51,4.06,1609813238,6.80,3.67,1609789477,39.16,35.83,1609790471,39.92,36.39,1609793627,2020-07-21 17:33:55,6.485,0.195,93.320,0,0,0,8192,0,0,0,0,6,0.920,0.940,0.870,2700394496,119183478784,3284992,12686024704,699,0,1,0,0,0,2,0,4294963200,21-07 17:33:55,16302,1370
2020-07-21 17:33:56,21.06,44.83,8.41,0,1401,16096.782571,30,0,0,0,4223,4223,16096.971140,29181100,954757291,9859379,8564189,369739670,9221713,1024188,6521102,154783,11161200,1643685,2645398,3927277,545240237,1034785,955960277,242897,368488963,249528,22675,121786,137857,66509,224188,49008,50583,543421632,3989554,145978809,2426299,16085536,2744130123,4978614262,0,283545537,2928493421,1223711425,7.46,3.77,1609417079,6.79,3.40,1609412770,39.18,35.55,1609406254,39.92,36.10,1609401268,2020-07-21 17:33:56,6.481,0.130,93.390,0,0,0,0,0,0,1,0,8,0.920,0.940,0.870,2700271616,119177302016,3284992,12692168704,456,0,1,0,1,0,0,0,4294963200,21-07 17:33:56,16366,1413
2020-07-21 17:33:57,19.70,43.47,8.73,0,1213,16097.114905,36,0,0,0,2290,2290,16097.415558,24772359,772661186,7873402,6852460,309555797,9047056,1047699,6114874,254040,9593127,1336852,2219226,4062272,427401411,1017985,746067185,212323,303784080,223780,16941,41978,56357,108378,257869,44148,42012,435452907,4126198,128774249,2362402,14595672,2373268544,3926200483,0,227032666,2591169890,1133351527,14.26,4.60,1610653086,13.58,4.23,1610686542,41.18,31.71,1610716400,42.58,32.85,1610729188,2020-07-21 17:33:57,5.263,0.195,93.437,1.105,0,0,34078720,0,0,0,0,6,0.930,0.940,0.870,2697330688,119173931008,3284992,12698308608,516,0,0,1,1,0,66,0,4294963200,21-07 17:33:57,16345,1231
2020-07-21 17:33:58,17.60,41.41,9.93,0,7369,16111.562609,894,0,0,0,125009,125009,16111.603649,20557011,339445349,2591618,5857916,293415433,24087165,1783055,9319938,344439,3214951,1908347,4400737,10553178,238188837,4792530,340666259,509627,291024627,863071,169525,675603,1045170,152915,268277,310202,687102,250985384,10645365,150140778,3782546,25636492,2170476647,1182804576,0,192174311,3039642296,1545617727,55.70,46.95,1611081150,29.46,22.70,1611062555,60.62,53.73,1611045836,38.63,31.81,1611046782,2020-07-21 17:33:58,2.671,3.713,93.225,0.391,0,0,9931776,0,0,1,0,8,0.930,0.940,0.870,2693939200,119280824320,3284992,12597268480,871,106,1,0,331,0,27,0,4294963200,21-07 17:33:58,16817,7301
2020-07-21 17:33:59,20.61,44.41,8.64,0,1347,16105.617994,64,0,0,0,6525,6525,16108.291073,25521668,875198926,8553407,9967286,360584624,11684253,1664896,6080552,388508,9585083,2026467,4150772,4289891,501384685,1229978,863538757,245488,359078587,255904,29000,67534,665770,144346,269167,65032,1062238,494382231,3845019,145360279,3641321,16471512,2612215259,4396640520,0,271695051,2894476094,1226946970,54.03,50.12,1610146344,20.14,17.35,1610191835,51.64,49.42,1610187253,19.82,17.38,1610182612,2020-07-21 17:33:59,5.833,0.907,93.260,0,0,0,0,0,0,0,0,7,0.930,0.940,0.870,2699948032,119211401216,3284992,12659441664,880,0,2,0,12,0,0,0,4294963200,21-07 17:33:59,16396,1382
