time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 17:47:16,18.03,42.05,10.22,0,4400,16255.775903,888,0,0,0,125337,125327,16258.450189,22863959,397543573,2801274,7574780,322424883,26935819,2202376,9882363,429203,3731407,2329928,5282284,11721835,267061160,5089089,400858541,570973,322635792,896587,166225,1099774,1190804,265676,350581,314248,950988,250819232,11444348,158185744,4276919,26241636,2241900749,1317855508,0,212754973,3156070110,1530680282,36.92,39.92,1611419962,66.10,72.36,1611356142,32.20,38.53,1611265675,66.13,72.10,1611182558,2020-07-21 17:47:16,2.865,3.906,93.229,0,0,0,4096,0,0,1,0,10,0.720,0.820,0.850,2699612160,119120261120,3284992,12748771328,908,0,2,0,298,0,1,0,4294963200,21-07 17:47:16,16597,4100
2020-07-21 17:47:17,21.48,45.34,9.13,0,373,16155.168571,48,0,0,0,1451,1451,16146.840232,41145131,880535760,6274640,4800202,369692262,31183991,1307643,21115909,209619,10161851,1463691,2494079,15271066,214068039,1009903,883844478,148154,368457350,188341,37786,159874,526533,30132,227112,29228,97809,229117538,15700776,144151743,2642771,34533294,2718142675,3311471700,0,288676066,2817397880,1434700454,12.55,15.03,1608971772,44.89,47.59,1608954499,11.65,14.52,1608989703,45.55,48.06,1608973575,2020-07-21 17:47:17,6.472,0.065,93.463,0,0,0,0,0,0,0,0,6,0.660,0.810,0.850,2703511552,119114416128,3284992,12750303232,516,0,1,0,1,0,0,0,4294963200,21-07 17:47:17,16314,366
2020-07-21 17:47:18,21.04,44.76,9.07,0,379,16080.723011,56,0,0,0,2262,2262,16080.827466,44669665,910516473,6892674,5242143,367561401,33317610,1318081,20598319,195270,9947626,1335084,2171091,15028232,212885707,958696,912202126,141837,367063512,188414,46727,127543,449187,32913,231743,13906,45608,231026793,15007728,149145368,2642859,34420211,2772156840,3397299463,0,290154731,2943147047,1467990806,12.36,11.69,1608223430,44.92,44.27,1608227721,11.67,11.22,1608179316,45.33,44.52,1608182612,2020-07-21 17:47:18,6.460,0.129,93.411,0,0,0,0,0,0,1,0,9,0.660,0.810,0.850,2703233024,119114067968,3284992,12750929920,695,0,1,0,0,0,0,0,4294963200,21-07 17:47:18,16355,353
2020-07-21 17:47:19,20.79,44.52,9.28,0,317,16080.843832,45,0,0,0,111,111,16092.621156,44916663,903332714,6912658,6036853,368962737,34176298,1552660,19772421,203660,8244152,1300805,2147601,14981751,214168666,858778,922724142,131768,371385538,183306,51707,15402,342437,6855,192688,12650,14422,223604315,15097349,149695846,2583061,32951519,2734783117,3439151734,0,291962243,2965807866,1481765240,12.66,12.09,1609016971,45.35,44.74,1609019925,12.06,11.67,1609022263,45.77,44.99,1609023443,2020-07-21 17:47:19,6.452,0,93.548,0,0,0,0,0,0,0,0,7,0.660,0.810,0.850,2703630336,119113052160,3284992,12751548416,632,0,1,0,1,0,0,0,4294963200,21-07 17:47:19,16316,307
2020-07-21 17:47:20,20.81,44.57,8.99,0,329,16090.912475,41,0,0,0,2558,2559,16082.941141,46645141,904689947,5096500,7322065,389458002,30564924,1905707,16626403,346568,7326874,1341064,2343691,12526906,225454566,955113,905937700,156583,383623864,203435,19688,192449,923471,69601,332413,14869,40717,237946693,13577411,149622951,2975229,27325141,2729912018,3566940658,0,308547408,2951759802,1395337086,22.94,22.96,1607815336,55.44,55.43,1607816999,22.15,22.44,1607818425,55.82,55.78,1607820380,2020-07-21 17:47:20,6.443,0.129,93.428,0,0,0,25088,0,0,1,0,7,0.660,0.810,0.850,2704257024,119111172096,3284992,12752797696,1054,654,3,0,1,0,3,0,4294963200,21-07 17:47:20,16275,614
2020-07-21 17:47:21,16.61,40.35,9.84,0,10548,16082.510385,700,0,0,1,105418,105432,16083.217156,21162608,357820817,2774734,5574957,291120239,23040915,1632485,9035788,406368,3958480,1658910,3658996,11185770,279687737,4330059,397621182,456668,302901986,774669,128004,551801,732773,166215,229471,229046,575736,253218880,10493951,157744589,3603067,24563736,2159643834,1446983166,0,210823944,3144356560,1439096234,27.23,16.95,1610144071,55.43,46.66,1610203928,24.64,15.72,1610278597,55.77,46.60,1610290963,2020-07-21 17:47:21,3.137,3.725,92.941,0.196,0,131072,12118528,0,0,0,0,9,0.660,0.810,0.850,2694873088,119120171008,3284992,12753002496,992,4516,1,0,259,4,29,0,4294963200,21-07 17:47:21,16722,10354
2020-07-21 17:47:22,19.37,43.19,9.46,0,1470,16122.647190,276,0,0,0,33531,33517,16125.727319,31206379,652527882,4119292,5844200,347923299,27937867,1977019,14978558,474002,6930409,2026319,3753506,12609302,227946195,2206596,661656427,324500,354544019,378613,50263,700050,1061562,217210,428808,142037,847094,223189459,12907520,154803522,4060898,29932978,2460317883,2449942346,0,257813167,3073419788,1427688388,29.91,25.94,1611063297,60.82,58.56,1611009676,26.94,25.01,1610944128,60.78,58.73,1610939723,2020-07-21 17:47:22,5.058,1.751,93.191,0,0,0,0,0,0,1,0,6,0.690,0.810,0.850,2703388672,119114649600,3284992,12750118912,640,0,2,0,85,0,0,0,4294963200,21-07 17:47:22,16302,1376
2020-07-21 17:47:23,21.58,45.36,8.99,0,244,16108.531055,31,0,0,0,0,0,16111.784298,44535920,913551865,6832096,5114509,365757319,32524287,1312632,21376016,199945,10263744,1307818,2506761,14935205,212220040,983604,906403595,154710,364896794,191640,48955,16067,396153,22070,235628,2984,25114,216025913,14916533,150326527,2660279,35799158,2773658008,3418359425,0,292263408,2992859726,1472588095,11.68,9.18,1611787797,44.32,41.94,1611786678,10.82,8.57,1611785217,44.82,42.26,1611784685,2020-07-21 17:47:23,6.447,0,93.553,0,0,0,0,0,0,0,0,6,0.690,0.810,0.850,2703495168,119113924608,3284992,12750737408,1630,0,3,0,0,0,0,0,4294963200,21-07 17:47:23,16344,238
2020-07-21 17:47:24,21.60,45.37,8.84,0,339,16117.661505,46,0,0,0,2392,2392,16113.617785,45377782,923115993,6845384,5833483,371325428,33556167,1558221,20551442,194722,8337640,1294038,2105293,14909124,218573763,934344,924042861,137342,373080500,191840,53453,18859,362710,7295,218057,3190,36102,237198785,15300753,149859311,2652622,33741862,2763874306,3459262870,0,296044152,2991839271,1462616817,12.81,9.75,1611134830,45.41,42.50,1611134880,11.93,9.13,1611133776,45.94,42.83,1611133008,2020-07-21 17:47:24,6.443,0.129,93.428,0,0,0,0,0,0,1,0,8,0.690,0.810,0.850,2703245312,119113543680,3284992,12751368192,876,0,1,0,1,0,0,0,4294963200,21-07 17:47:24,16046,334
2020-07-21 17:47:25,21.79,45.57,8.76,0,281,16111.932204,26,0,0,0,275,275,16112.032622,42254933,904025149,5542928,6068930,391174395,31671357,1691740,17896913,317325,7567249,1357447,2521268,13410498,221666816,956503,908871448,153310,380002751,192363,38549,15770,571583,6972,241342,1119,18269,226900401,14734764,143385930,2783797,28438867,2708310525,3480174592,0,310548073,2886436993,1406945941,16.85,14.48,1610598355,49.42,47.25,1610597922,15.96,13.87,1610597302,49.98,47.59,1610597453,2020-07-21 17:47:25,6.481,0.065,93.454,0,0,0,0,0,0,0,0,7,0.690,0.810,0.850,2704039936,119111512064,3284992,12752605184,755,42,1,0,1,0,0,0,4294963200,21-07 17:47:25,16320,279
