time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 17:58:58,19.15,43.33,9.67,0,4290,16397.536457,866,0,0,0,122598,122540,16360.512452,18901929,379249311,2609547,5442257,302359283,22840103,1594064,8830395,215523,3164074,1609956,4087384,10923150,263078126,4657405,370406791,438481,300217891,858736,156109,716116,776293,166286,218004,294425,394644,277543665,10987993,155268988,3229371,24706777,2176292476,1336926117,0,200783901,3076400453,1479081660,55.88,49.31,1609791628,21.91,16.91,1609762916,52.71,47.91,1609633388,20.72,16.29,1609568949,2020-07-21 17:58:58,3.270,3.532,93.198,0,0,0,0,0,0,0,0,7,0.060,0.070,0.060,2127011840,116742008832,3284992,15652163584,695,0,2,0,309,0,0,0,4294963200,21-07 17:58:58,16528,4073
2020-07-21 17:58:59,22.35,46.18,8.88,0,3721,16126.849647,782,0,0,0,106101,106101,16126.145440,16829182,477809275,2309419,4447667,332308460,20432618,1405574,7732853,181242,3249365,1630744,3867319,9608877,304075761,4324042,473878033,444898,329737113,746597,150609,556372,574764,135589,171405,278238,461112,292144204,9623014,147554542,3162045,22466779,2543316347,1853525884,0,227508580,2904854887,1713373564,51.45,45.66,1607800820,18.83,13.51,1607729465,48.76,44.15,1607718124,17.28,12.90,1607687139,2020-07-21 17:58:59,4.161,2.406,93.433,0,0,0,4096,0,0,1,0,6,0.060,0.070,0.060,2125438976,116743565312,3284992,15652171776,1149,154,1,0,277,0,1,0,4294963200,21-07 17:58:59,16616,3779
2020-07-21 17:59:00,22.47,46.18,8.88,0,3351,16072.711774,740,0,0,0,96831,96831,16075.328038,16970024,501890310,2297196,4260522,336316944,19844273,1469556,7376709,150671,3186968,1571498,3689434,9371464,322418024,4288920,509461679,400173,341957528,708779,119547,517450,522440,167824,140591,260602,292295,316445887,9281341,144772253,3156517,21971747,2619540701,2025443518,0,232762934,2927642781,1769684594,51.32,45.40,1607575687,17.94,13.10,1607574490,48.89,44.31,1607572335,17.21,12.52,1607573535,2020-07-21 17:59:00,4.548,2.144,93.307,0,0,0,4096,0,0,0,0,4,0.060,0.070,0.060,2125639680,116743335936,3284992,15652192256,1303,0,1,0,257,0,1,0,4294963200,21-07 17:59:00,16558,3346
2020-07-21 17:59:01,22.78,46.54,8.89,0,3512,16084.641804,760,0,0,0,98434,98435,16080.948682,16085157,526745533,2285738,4278208,349032667,21113699,1484169,8093139,187518,3424021,1687079,3678705,9057996,335331764,3864290,536051710,371792,349945019,704525,112147,526468,544259,147128,175301,264555,401604,311821144,9268072,143137880,3109220,21748347,2589009307,2097652240,0,255343342,2852231783,1694751067,51.83,45.32,1608079857,18.40,13.12,1608088851,49.06,44.18,1608098084,17.54,12.53,1608103321,2020-07-21 17:59:01,4.481,2.208,93.312,0,0,0,4096,0,0,1,4,14,0.060,0.070,0.060,2125185024,116743790592,3284992,15652192256,1324,54,4,0,262,0,1,0,4294963200,21-07 17:59:01,16508,3460
2020-07-21 17:59:02,22.79,46.50,8.85,0,3377,16068.957358,729,0,0,0,96046,96067,16075.689190,15983702,511029915,2254368,4351973,341267182,20385623,1476344,8118192,173470,3254795,1601556,3881289,9162882,319493434,3860861,528182144,356349,349778593,696892,106702,536941,575905,116541,126158,240975,337859,342882229,8934825,141344737,2984485,20591134,2546280365,2127076938,0,254054465,2820004370,1677225601,51.42,45.10,1607419185,18.00,12.79,1607412699,48.99,43.86,1607408173,17.53,12.42,1607403337,2020-07-21 17:59:02,4.681,1.951,93.368,0,0,0,1327104,0,0,0,0,5,0.060,0.070,0.060,2126192640,116742721536,3284992,15652208640,400,0,1,0,256,0,13,0,4294963200,21-07 17:59:02,16277,3354
2020-07-21 17:59:03,22.11,45.87,9.25,0,4200,16086.884822,851,0,0,0,116123,116101,16092.599472,17900800,462207685,2410939,4870272,326406753,22462070,1575372,8691040,218184,3452131,1656998,4026474,10203786,317599006,4764612,478852556,469055,339349269,852350,181847,727786,735881,187447,212921,274297,324629,317070196,10315079,146248182,3206200,23643105,2543349660,1875536655,0,235748485,2911706276,1704429218,55.66,47.73,1610005010,21.68,15.05,1610005872,51.93,45.75,1610004251,20.41,14.27,1610002801,2020-07-21 17:59:03,4.029,2.924,93.047,0,0,0,0,0,0,1,0,7,0.130,0.090,0.070,2127470592,116741443584,3284992,15652208640,1715,10532,2,0,309,0,0,0,4294963200,21-07 17:59:03,16529,4208
2020-07-21 17:59:04,22.50,46.26,9.35,0,4402,16082.276809,970,0,0,0,128114,128114,16079.952903,18640546,445052057,2491385,5369953,334285784,23261154,1622377,8968999,199280,3491808,1730520,4419957,10963216,298919333,5160003,446441194,531363,337214220,878659,174800,673608,710134,179182,215635,329737,415215,324809732,10411582,143464122,3247172,24649704,2505618809,1744433420,0,242272432,2857241631,1675778268,57.02,48.42,1607559166,22.55,15.88,1607560789,53.24,46.82,1607561759,21.81,15.42,1607564681,2020-07-21 17:59:04,3.904,2.798,93.299,0,0,0,4096,0,0,0,0,6,0.130,0.090,0.070,2125934592,116742950912,3284992,15652225024,579,0,2,0,340,0,1,0,4294963200,21-07 17:59:04,16601,4402
2020-07-21 17:59:05,22.14,45.88,8.98,0,3795,16075.707275,788,0,0,0,106436,106456,16065.992780,16566782,468660891,2258502,4396037,326373506,20842998,1451807,8004756,146473,3129758,1609159,3733227,9611324,290104388,4222854,460312353,412220,320956696,775081,159254,590189,608842,161359,187999,258483,307850,288775284,9567599,143512233,3022517,22087830,2528024100,1937299188,0,238393009,2836150518,1684752546,51.34,44.68,1607457097,17.89,12.25,1607457264,48.39,43.14,1607479907,16.94,11.76,1607493849,2020-07-21 17:59:05,4.353,2.274,93.372,0,0,0,50176,0,0,1,0,7,0.130,0.090,0.070,2125590528,116743278592,3284992,15652237312,632,0,1,0,266,0,7,0,4294963200,21-07 17:59:05,16502,3695
2020-07-21 17:59:06,21.66,45.39,8.74,0,3470,16079.379814,704,0,0,0,91550,91530,16091.625855,16145114,487635935,2221682,4284735,324200214,20529637,1464867,7681728,136839,3154095,1556923,3280818,8744857,338826033,3532588,502712081,378616,335870374,666020,122807,545631,540865,174410,211354,216667,330041,295268917,8882485,147409915,3004882,20890678,2546721579,1974632852,0,231910318,2948554060,1705697262,51.01,44.59,1610042870,17.63,12.18,1610045441,48.40,43.40,1610026621,16.62,11.59,1610016996,2020-07-21 17:59:06,4.421,2.341,93.238,0,0,0,4096,0,0,0,0,6,0.130,0.090,0.070,2127257600,116741603328,3284992,15652245504,1774,9856,2,0,245,0,1,0,4294963200,21-07 17:59:06,16603,3457
2020-07-21 17:59:07,21.82,45.61,8.80,0,3150,16109.625657,676,0,0,0,88928,88954,16096.997663,15238436,494422389,2097375,3943548,330512754,19032937,1412124,7228808,138292,3216463,1548858,3494986,8659579,303877038,3717778,495228880,375116,328000982,661877,109522,504298,528462,130242,151061,254871,335164,308726898,8839800,144390108,3012746,20364952,2484928462,2021671766,0,243873038,2880327907,1653983541,50.36,43.92,1608608445,17.13,11.63,1608606925,47.59,42.70,1608603343,16.07,11.07,1608596417,2020-07-21 17:59:07,4.619,2.082,93.299,0,0,0,4096,0,0,1,0,7,0.130,0.090,0.070,2127544320,116741300224,3284992,15652261888,812,0,3,0,236,0,1,0,4294963200,21-07 17:59:07,16509,3096
