time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:01:04,20.85,44.87,9.88,0,4461,16248.173400,905,0,0,0,126092,126067,16264.556031,23285398,435555376,3043262,6164569,306818451,25015115,1660110,9565571,294185,4219850,1826960,4574778,11630846,298703690,4808550,463916915,471724,316403681,885048,270477,679632,741692,187486,227097,284121,696195,310793690,11550404,152717476,3532988,25465887,2418924347,1704329213,0,206898576,3007740972,1622622833,25.71,18.65,1614125622,57.06,51.51,1614104368,54.52,49.90,1614009980,22.82,18.11,1613909904,2020-07-21 18:01:04,3.911,2.868,93.220,0,0,0,0,0,0,1,0,7,0.710,0.330,0.160,2130264064,116739166208,3284992,15651631104,575,0,2,0,306,0,0,0,4294963200,21-07 18:01:04,16558,4194
2020-07-21 18:01:05,21.40,45.28,8.13,0,1255,16168.918377,224,0,0,0,21114,21126,16145.527223,37857813,671480145,4526458,3249924,295547251,13143525,1241994,6785794,383427,3314817,1447526,2385104,6383596,331829590,1683401,659896507,211366,293238189,338381,78064,175368,217391,58018,66483,66951,114916,361062555,4298975,145988279,2467029,15766742,2619290016,3490918029,0,192304693,2916894014,1497525525,12.08,8.17,1609082803,44.14,40.61,1609030221,43.04,39.70,1609029744,11.54,7.90,1609029706,2020-07-21 18:01:05,5.779,0.714,93.506,0,0,0,4096,0,0,0,0,6,0.710,0.330,0.160,2125414400,116742230016,3284992,15653498880,576,0,1,0,62,0,1,0,4294963200,21-07 18:01:05,16458,1387
2020-07-21 18:01:06,19.22,43.00,9.65,0,4055,16093.551038,769,0,0,0,110447,110435,16093.447392,21463047,418486912,2564774,5597190,279918557,22532670,1681687,8624231,196945,3396087,1692891,4289731,10131424,259057012,4682399,390065699,461327,278875775,807078,145656,657177,653319,229067,241493,232148,468344,270823171,9196726,152603167,3223212,23915880,2264488874,1699557885,0,190789707,3053484890,1509533260,23.94,16.16,1609237437,55.07,48.70,1609249858,52.75,46.85,1609262612,21.44,15.42,1609273178,2020-07-21 18:01:06,3.788,3.135,93.076,0,0,0,31232,0,0,1,0,5,0.710,0.330,0.160,2131005440,116738457600,3284992,15651647488,1717,42,2,0,279,0,5,0,4294963200,21-07 18:01:06,16640,3887
2020-07-21 18:01:07,22.17,45.96,8.09,0,1207,16109.476939,205,0,0,0,18245,18245,16109.747659,39225070,686694686,4732666,3050507,292437747,13895764,1025741,8891755,21324,5214832,1381044,1940623,5333876,329928799,1312842,632383980,187270,284078130,286994,416237,298928,335101,404949,338797,82696,337189,337803451,5062637,148700173,2671638,19107432,2595321751,3313986376,0,185702873,2950422918,1520131631,10.85,6.96,1610541516,43.05,39.52,1610545375,42.15,38.79,1610560781,10.45,6.85,1610565103,2020-07-21 18:01:07,5.837,0.713,93.450,0,0,0,4096,0,0,0,0,5,0.710,0.330,0.160,2126163968,116741423104,3284992,15653519360,580,0,1,0,50,0,1,0,4294963200,21-07 18:01:07,16359,1295
2020-07-21 18:01:08,17.55,41.34,9.66,0,4169,16097.807969,810,0,0,0,113263,113264,16097.829327,17844725,349911998,2211159,5071570,260487302,22184405,1597472,8317558,198858,2979585,1708793,4148402,10035926,237069897,4483563,345206898,474248,268626920,841206,245885,717804,765735,139603,267613,314010,458854,236479443,9868062,162411969,3418382,24404900,2117260464,1373878010,0,168586662,3195921563,1441971137,25.31,17.70,1610422389,56.73,50.27,1610421278,54.26,48.44,1610408293,22.69,17.03,1610410376,2020-07-21 18:01:08,3.141,3.796,93.063,0,0,0,0,0,0,1,0,7,0.730,0.340,0.160,2131759104,116737683456,3284992,15651663872,635,0,1,0,292,0,0,0,4294963200,21-07 18:01:08,16594,4081
2020-07-21 18:01:09,21.16,44.93,7.83,0,811,16093.733109,105,0,0,0,5342,5363,16091.208592,41981951,716033769,5076029,2671604,292703620,12223101,967407,8029308,54691,4562695,1360592,2094129,3680947,349531720,1047658,724778836,149894,290379284,248243,306813,226573,291513,657029,490615,114042,176923,313280841,6712546,145890870,2530980,16594655,2586252959,3406084046,0,191623338,2894025571,1479590796,9.57,4.67,1608245644,41.74,37.12,1608227519,40.88,36.41,1608209057,9.41,4.66,1608189260,2020-07-21 18:01:09,6.286,0.324,93.390,0,0,0,6537216,0,0,0,0,8,0.730,0.340,0.160,2126151680,116741455872,3284992,15653535744,691,0,2,0,13,0,43,0,4294963200,21-07 18:01:09,16392,842
2020-07-21 18:01:10,19.30,43.05,9.65,0,4517,16067.412062,892,0,0,0,126204,126182,16070.937827,19104359,361039286,2407713,5581427,278997462,23552358,1610583,8874794,257957,3390378,1926508,4836544,9938296,248609758,4759874,370189970,504640,275518554,855171,169526,696992,786642,190370,285491,345373,585530,256314056,10260220,151339422,3448841,25496787,2206179365,1322245808,0,185325280,2951491881,1535529939,26.26,16.89,1608069626,56.47,49.06,1608089387,53.80,47.03,1608109038,22.65,15.78,1608128823,2020-07-21 18:01:10,2.945,3.796,93.259,0,0,0,0,0,0,1,0,9,0.730,0.340,0.160,2130046976,116739366912,3284992,15651684352,1403,0,4,0,328,0,0,0,4294963200,21-07 18:01:10,16600,4479
2020-07-21 18:01:11,22.33,46.12,7.82,0,810,16106.118846,110,0,0,0,5326,5326,16103.399760,33977423,658690717,4589893,3156787,288298728,12792960,1017033,7360196,49437,3330692,1306236,1534546,3367177,368797062,749733,738493527,120844,293694582,194421,2172,70819,70789,66678,77541,64671,83888,339052156,6270791,147522312,2446495,14531521,2523215957,3148478175,0,211703254,2997610933,1478942698,8.87,4.93,1610489134,41.11,37.39,1610479609,40.45,36.80,1610471491,8.87,4.83,1610464096,2020-07-21 18:01:11,6.404,0.194,93.402,0,0,0,4096,0,0,0,0,7,0.730,0.340,0.160,2124599296,116742955008,3284992,15653556224,992,0,1,0,9,0,1,0,4294963200,21-07 18:01:11,16062,768
2020-07-21 18:01:12,17.37,41.17,9.58,0,4491,16103.995827,901,0,0,0,125281,125281,16121.317461,18278285,323384577,2241880,5442621,274544174,23846403,1725012,9026266,194306,2988595,1818691,4219074,10179765,226483279,4560957,305077993,498781,271212084,843063,150393,664668,721236,172598,249730,282561,405308,220823808,10584623,159192384,3308146,24788960,2059420816,1132346784,0,187536100,3183010314,1434431554,24.62,16.56,1612412968,56.40,49.32,1612429188,53.87,47.40,1612444912,22.43,16.13,1612460945,2020-07-21 18:01:12,2.547,4.246,93.207,0,0,0,0,0,0,1,0,7,0.730,0.340,0.160,2125017088,116744392704,3284992,15651700736,992,0,1,0,331,0,0,0,4294963200,21-07 18:01:12,16639,4487
2020-07-21 18:01:13,20.79,44.61,8.13,0,701,16120.142785,82,0,0,0,2700,2700,16111.086796,33864032,659788161,3893895,2564364,278851345,10891251,1083936,6472429,68823,3392805,1446382,1986842,3368327,377868684,914751,749837509,152244,277263002,199343,2297,92924,58836,12583,17845,7997,31608,404946077,3857320,148280844,2362369,14931862,2616451543,3728529551,0,185920729,2972635590,1418826621,8.30,4.89,1610126159,40.49,37.38,1610105296,39.66,36.69,1610085547,8.20,4.90,1610064797,2020-07-21 18:01:13,6.412,0.259,93.329,0,0,0,0,0,0,0,0,8,0.760,0.360,0.170,2129682432,116739121152,3284992,15652339712,751,0,1,0,3,0,0,0,4294963200,21-07 18:01:13,16344,726
