time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:27:25,18.89,42.92,10.08,0,4351,16256.072120,865,0,0,0,120517,120483,16234.519088,18563096,325514824,2396983,5370029,283007255,23029138,1588150,8887162,313243,3150077,1685395,4202174,10892346,240858169,4655057,333707144,467634,284122386,856291,167926,694910,741591,194775,219902,331923,365363,217264138,10132088,154573891,3267098,24506831,2042555624,1064043786,0,180240954,3103402526,1435817412,58.24,51.49,1614248632,23.59,18.57,1614192444,53.70,49.37,1614089274,22.92,18.45,1614040941,2020-07-21 18:27:25,2.683,4.123,93.194,0,0,0,0,0,0,0,0,7,0.660,0.840,0.740,2131173376,116838023168,3284992,15552770048,967,0,1,0,306,0,0,0,4294963200,21-07 18:27:25,16612,4251
2020-07-21 18:27:26,22.33,46.37,9.78,0,1188,16194.854634,168,0,0,0,20636,20628,16200.009208,26846409,679402497,4326903,12232254,415826475,13686745,2684936,9684256,1221427,6932915,4370608,7735548,21296643,479649920,2432074,678103934,352495,414031522,288724,1436706,1689539,2068296,476350,1293481,225052,2882320,456767441,18941155,144648715,8138565,25117329,2598864241,2398822630,0,317438130,2845616939,1406459597,97.86,112.01,1612115070,58.70,79.25,1612088666,89.36,110.89,1612058345,57.56,79.22,1612022848,2020-07-21 18:27:26,4.669,1.816,93.515,0,0,0,118272,0,0,1,0,8,0.660,0.840,0.740,2290913280,116574609408,3284992,15654129664,628,0,2,0,10,0,8,0,4294963200,21-07 18:27:26,16062,1119
2020-07-21 18:27:27,23.73,47.55,8.87,0,364,16110.832981,49,0,0,0,18858,18855,16110.779968,55597331,773566141,9942534,23374095,361219125,8022592,1830678,8898008,1102577,5462300,2363151,3213820,27391249,632964073,1980633,756708996,386711,356950277,402307,68838,28288,1110549,18577,486972,34563,918905,629906958,27993307,142666443,4619065,17646385,2751922972,2886050574,0,287674062,2843306450,1348710575,71.00,62.58,1610283519,35.88,29.74,1610281363,67.96,61.88,1610282307,36.54,29.95,1610285026,2020-07-21 18:27:27,6.218,0.324,93.459,0,0,0,0,0,0,0,0,8,0.660,0.840,0.740,2351575040,116513656832,3284992,15654371328,1467,298,1,0,1,0,0,0,4294963200,21-07 18:27:27,16369,364
2020-07-21 18:27:28,23.72,47.55,8.77,0,344,16104.651953,50,0,0,0,4880,4881,16097.868838,48904694,985119608,7292396,24431074,593428894,10920463,1853536,6542248,447717,4170143,3485077,8042872,13015418,301820163,1007947,946535653,150446,593396935,189572,32638,22812,969617,8034,379407,17781,1446297,341792596,14012917,144915179,4764950,17781983,2731745722,3349142323,0,494796518,2869052126,1430405040,75.58,79.90,1610143238,39.36,46.69,1610153984,71.24,78.62,1610163876,39.98,46.89,1610175663,2020-07-21 18:27:28,6.295,0.260,93.446,0,0,0,0,0,0,1,0,9,0.690,0.840,0.750,2446405632,116418818048,3284992,15654379520,747,0,1,0,0,0,0,0,4294963200,21-07 18:27:28,16326,343
2020-07-21 18:27:29,23.59,47.42,8.73,0,325,16100.026720,49,0,0,0,10121,10120,16108.340397,12765986,1035254852,1976892,3742552,673377506,18496176,2124546,5912705,554495,2177724,1883057,2112614,4916256,184608684,1048273,1051983917,169039,675783419,205947,74498,27472,1287919,7183,461494,14341,762106,197232565,5115556,149357542,4261299,14839446,2745817859,3557463819,0,577242838,2936978175,1506240605,75.42,58.33,1611557292,42.25,25.51,1611560197,74.45,57.69,1611565419,42.89,25.72,1611567964,2020-07-21 18:27:29,6.399,0.065,93.536,0,0,0,0,0,0,0,0,7,0.690,0.840,0.750,2446405632,116418818048,3284992,15654379520,512,0,1,0,1,0,0,0,4294963200,21-07 18:27:29,16268,324
2020-07-21 18:27:30,23.61,47.51,9.89,0,360,16116.576821,50,0,0,0,2288,2288,16111.986124,41212205,1247086461,28309448,8305538,603321057,15248171,3038713,10367151,13966708,28135984,1585685,2172846,4059052,158189744,1022821,1244622515,160976,612547724,206424,25266,36129,2109441,13090,13061620,12902,292870,168211384,4393520,149066340,4291267,17997782,2737273879,4185811613,0,529973891,2944111101,1414137642,288.18,53.77,1610728774,255.34,22.00,1610729709,288.33,54.49,1610729676,259.34,22.86,1610726893,2020-07-21 18:27:30,6.447,0.129,93.424,0,0,0,0,0,0,1,0,7,0.690,0.840,0.750,2446131200,116419080192,3284992,15654391808,935,0,1,0,1,0,0,0,4294963200,21-07 18:27:30,16337,360
2020-07-21 18:27:31,23.96,47.99,11.67,0,324,16101.319917,47,0,0,0,424,424,16098.069623,88323330,1662616019,68855494,18096901,554282553,7487840,3516726,16738413,35382706,69892425,1301270,3966188,2598217,84296106,1194576,1664582176,161232,554828180,179128,526,25375,2635996,19404,34882421,12793,18049,93606233,2953655,148658393,3720443,22810750,2757447038,5400509933,0,477655736,2917540672,1245357337,611.06,53.18,1610559320,580.65,23.07,1610560355,614.40,56.03,1610560524,589.83,25.22,1610562791,2020-07-21 18:27:31,6.489,0.065,93.446,0,0,0,0,0,0,0,0,8,0.690,0.840,0.750,2446131200,116419080192,3284992,15654391808,688,0,1,0,1,0,0,0,4294963200,21-07 18:27:31,16233,324
2020-07-21 18:27:32,23.65,47.55,10.03,0,334,16109.595116,49,0,0,0,975,975,16109.271767,44704479,1295284303,30236873,10128134,639293335,15506195,2575008,10103860,14834180,30945088,1561030,2850878,3786979,147942981,957370,1296776237,139581,637815766,186103,22353,21512,1676588,10335,15078680,11772,300416,144445115,3900477,149029855,3868867,17813451,2761078818,4369627540,0,554712090,3003829190,1404430296,294.47,56.13,1610906987,262.56,24.42,1610903462,295.41,56.92,1610902875,266.71,25.38,1610904118,2020-07-21 18:27:32,6.452,0.065,93.484,0,0,0,0,0,0,1,0,7,0.690,0.840,0.750,2445987840,116419207168,3284992,15654408192,572,42,1,0,1,0,0,0,4294963200,21-07 18:27:32,16344,332
2020-07-21 18:27:33,22.97,46.83,9.16,0,797,16108.814880,141,0,0,0,21120,21152,16109.978780,17430836,947520913,3636069,4003424,579127670,17899400,4361524,9716157,2130697,7109269,1938367,2292479,8137661,291244088,1995052,957827808,238210,592758540,248210,1896622,84435,1680450,41943,1398383,85638,530383,282817334,7727750,149863650,5713324,18398433,2676264876,3125857811,0,487033706,2986315093,1532562553,111.82,58.79,1610668025,78.48,25.91,1610678102,110.20,57.82,1610682924,78.76,25.98,1610689478,2020-07-21 18:27:33,6.137,0.388,93.475,0,0,0,12288,0,0,0,0,7,0.710,0.850,0.750,2129334272,116722757632,3284992,15667286016,751,0,1,0,14,0,1,0,4294963200,21-07 18:27:33,16343,610
2020-07-21 18:27:34,17.68,41.48,10.03,0,4307,16104.192656,860,0,0,0,114582,114550,16109.341973,18923896,313312070,2305802,5575420,276684668,22591978,1765658,8611133,432685,3244981,1786316,4340444,9840155,209888285,4565139,312460626,467501,267024183,844475,155899,853832,899369,210568,261453,311987,522737,219296555,10068178,158522578,3691245,24892408,2035268313,1098089802,0,178221490,3168030173,1423459675,61.09,53.15,1611675046,28.00,20.86,1611677642,57.62,51.50,1611681784,26.24,20.12,1611685393,2020-07-21 18:27:34,2.616,4.055,93.329,0,0,0,0,0,0,1,0,8,0.710,0.850,0.750,2130436096,116820844544,3284992,15570165760,512,0,1,0,309,0,0,0,4294963200,21-07 18:27:34,16515,4310
