time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:04:31,20.60,44.82,10.13,0,4500,16369.304716,857,0,0,0,127435,127371,16343.979891,21476587,429053379,2716962,6491002,288235658,24344296,1856708,9547645,337303,3248904,2430055,5748706,10529973,334731741,4679066,429501814,512460,290701178,891691,176102,674882,1201899,162639,253815,266098,791207,325105874,10377271,239615363,3749006,25809137,3384407336,1502965519,0,191834771,4747589540,2369639489,34.08,26.54,1611664276,65.12,59.64,1611601829,29.45,25.00,1611540414,63.19,58.77,1611483681,2020-07-21 18:04:31,2.608,4.237,93.155,0,0,0,0,0,0,0,0,6,0.690,0.490,0.250,2147573760,116717740032,3284992,15655387136,1894,0,2,0,317,0,0,0,4294963200,21-07 18:04:31,16553,4328
2020-07-21 18:04:32,25.32,49.22,9.73,0,1361,16165.390519,119,0,0,0,12876,12850,16181.472508,49491023,1291647937,14273146,22006112,370936743,9128748,1528371,16739457,331456,9847254,1484298,3582538,33319964,711358787,6711083,1364270279,198967,366229721,207045,142593,182873,321327,225399,314385,42063,78544,693468256,32561339,220893191,2698038,24659738,3975583394,4804986114,0,273610456,4367645383,1846037032,18.00,13.63,1611376299,49.46,45.84,1611341601,15.49,12.08,1611307598,50.38,46.33,1611269143,2020-07-21 18:04:32,11.799,0.258,87.943,0,0,0,0,0,0,1,0,7,0.690,0.490,0.250,2157375488,116707938304,3284992,15655387136,572,0,2,0,7,0,0,0,4294963200,21-07 18:04:32,16558,1341
2020-07-21 18:04:33,20.72,44.51,9.94,0,3728,16094.737286,705,0,0,0,106951,106977,16083.209470,26192942,463042093,3838600,12401795,300122785,20830051,1455767,8451104,221497,3469915,1644847,4688257,14994456,289790453,5607959,437720722,406805,276240681,757084,125336,561067,646761,169542,443078,294784,428541,295741127,14565184,146665153,3341952,24180599,2362890783,1611941586,0,195261702,2968265588,1547798114,22.69,14.81,1608896518,54.55,48.18,1608915621,18.92,13.32,1608935220,53.13,47.20,1608954912,2020-07-21 18:04:33,3.919,2.809,93.272,0,0,0,4096,0,0,0,0,7,0.720,0.490,0.260,2135175168,116730093568,3284992,15655403520,635,0,4,0,268,0,1,0,4294963200,21-07 18:04:33,16689,3744
2020-07-21 18:04:34,23.28,47.10,9.19,0,2436,16102.527718,336,0,0,0,37373,37347,16096.320277,45524035,1163848904,12422512,19167717,385030816,14197558,1897852,17780712,472698,9602136,2644936,5004619,28105554,638234061,6138838,1205716827,301875,392684832,346787,165120,240934,792584,149586,289841,128549,643375,637464990,28968956,224526026,3543331,27327156,3834542915,4420378990,0,274650094,4453465661,1883746662,28.57,19.01,1608915274,59.45,51.29,1608906669,25.19,17.37,1608897914,59.09,50.92,1608889787,2020-07-21 18:04:34,10.564,1.426,88.010,0,0,0,0,0,0,1,0,7,0.720,0.490,0.260,2157256704,116707958784,3284992,15655395328,572,0,2,0,78,0,0,0,4294963200,21-07 18:04:34,16408,2402
2020-07-21 18:04:35,21.26,45.03,9.34,0,2889,16080.054562,480,0,0,0,71814,71814,16083.022345,28583847,596037368,5806212,14127589,284053754,17520547,1726611,10284835,168443,3044341,1516182,3412547,18347620,340725511,5887075,586028489,306495,273700172,575429,111079,452214,524141,121802,131043,200673,264809,328940959,18293302,151530581,3225844,19863977,2487064037,2044765933,0,178780233,3066892616,1470885258,26.18,14.32,1610592918,58.06,47.19,1610631358,23.39,13.01,1610676336,57.39,46.72,1610724988,2020-07-21 18:04:35,4.759,2.412,92.829,0,0,0,25821184,0,0,0,0,6,0.720,0.490,0.260,2134933504,116730265600,3284992,15655411712,1717,0,2,0,176,0,91,0,4294963200,21-07 18:04:35,16532,2860
2020-07-21 18:04:36,21.30,45.16,9.84,0,3351,16110.272191,561,0,0,0,73193,73193,16109.192268,38698716,932788689,9141558,14468897,380830422,17724045,2182899,14593475,442557,10684227,2007993,4882040,23849859,539757502,5849698,979540601,404591,394400650,566108,200143,527771,1528789,225934,560817,237737,1298599,534623431,23202159,222332663,4143210,27333593,3465411836,3610218299,0,296739245,4396146575,1862237659,37.58,27.71,1609458903,68.57,60.14,1609421695,33.87,26.01,1609403188,67.56,59.56,1609378607,2020-07-21 18:04:36,8.837,2.664,88.499,0,0,0,0,0,0,1,0,4,0.720,0.490,0.260,2162196480,116702990336,3284992,15655424000,644,0,3,0,169,0,0,0,4294963200,21-07 18:04:36,16733,3386
2020-07-21 18:04:37,23.39,47.15,8.84,0,1806,16094.253768,248,0,0,0,35021,35053,16095.837500,35328264,825421466,7943619,16814457,257127444,12118432,1179889,8178443,380483,3731543,1429223,3058551,23915455,469049765,6734431,838979763,230245,268421431,412196,94267,323801,400699,109687,111540,96144,153506,439906626,23220026,158659949,2635860,20198593,2859387721,2947980548,0,194641574,3185395654,1438627106,12.61,7.24,1610823663,44.56,39.92,1610840451,10.47,6.18,1610932863,44.63,39.80,1610941680,2020-07-21 18:04:37,6.818,0.844,92.338,0,0,0,5632,0,0,0,0,7,0.720,0.490,0.260,2135396352,116729757696,3284992,15655424000,692,0,2,0,76,0,4,0,4294963200,21-07 18:04:37,16354,1707
2020-07-21 18:04:38,19.59,43.44,10.10,0,4122,16110.857345,740,0,0,0,104820,104788,16107.574048,31810733,642294172,6226142,10785524,348591443,21230942,1953373,12156531,314236,5409003,2027304,4765237,15147503,380317020,4843238,650444187,445965,340427890,753451,188606,807539,1880648,215682,518313,257055,1526219,390382136,16111171,197509110,5308841,30499816,2891134590,2477584431,0,256045655,3993197756,1754875109,43.63,31.99,1610041999,74.19,64.38,1610027688,39.17,30.00,1609911741,72.73,63.46,1609882678,2020-07-21 18:04:38,5.479,3.783,90.737,0,0,0,0,0,0,1,0,7,0.660,0.490,0.260,2160803840,116704329728,3284992,15655444480,515,0,3,0,270,0,0,0,4294963200,21-07 18:04:38,16710,4150
2020-07-21 18:04:39,24.80,48.55,8.65,0,1091,16079.543134,64,0,0,0,5390,5390,16079.802702,45475945,1102488076,11291915,24830590,324923786,9040334,1008107,11414207,112980,9268886,1253479,2703165,31614455,584471828,6890865,1111317540,144936,288893932,207421,62371,90475,98622,40515,158887,39121,29985,620145773,30939294,187276047,2269463,20074621,3454610788,4071096835,0,230033920,3600119175,1562120873,6.17,3.70,1608152970,38.45,36.22,1608175120,4.72,2.65,1608194489,38.91,36.29,1608208657,2020-07-21 18:04:39,9.832,0.129,90.039,0,0,0,0,0,0,0,0,6,0.660,0.490,0.260,2158247936,116706836480,3284992,15655428096,1055,0,2,0,1,0,0,0,4294963200,21-07 18:04:39,16487,1115
2020-07-21 18:04:40,17.63,41.42,9.74,0,4205,16092.713306,834,0,0,0,119781,119828,16094.491569,17390517,298396496,2152273,4810129,271374347,22191958,1516060,8385483,182771,3003992,1720813,4170782,10931684,213871025,4751897,300630871,452372,255476306,827928,128307,626491,697998,156843,270557,314970,479954,211588037,9915648,154671081,3413506,24379052,1992516481,1028140463,0,165806879,3082520862,1395173682,23.84,14.48,1610457474,55.75,47.55,1610449831,20.59,13.14,1610444673,54.10,46.66,1610444739,2020-07-21 18:04:40,3.209,3.536,93.255,0,0,0,4096,0,0,1,0,6,0.660,0.490,0.260,2133819392,116731228160,3284992,15655460864,938,0,2,0,290,0,1,0,4294963200,21-07 18:04:40,16532,4093
