time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:08:21,19.83,43.79,10.03,0,4454,16201.197441,893,0,0,0,128673,128636,16198.250535,21155071,393892129,2453463,7189697,305566260,24056057,1738181,9215753,279802,3398645,3372604,6797417,11773703,314410324,5137083,412797450,572200,301798227,921461,188366,673800,753222,189187,288048,280901,3469929,279379155,10751164,203720650,5791677,27041047,2845311634,1368443045,0,182460717,4022046526,1960211357,34.18,43.04,1609653634,29.41,43.00,1609590143,59.50,73.49,1609527978,61.04,74.84,1609465108,2020-07-21 18:08:21,2.876,3.987,93.137,0,0,0,19001344,0,0,1,0,9,1.040,0.840,0.450,2239614976,116627062784,3284992,15653806080,983,0,2,0,308,0,57,0,4294963200,21-07 18:08:21,16728,4167
2020-07-21 18:08:22,22.01,45.92,9.56,0,1291,16128.779378,255,0,0,0,30790,30816,16139.673254,19772049,972287219,7138629,4650927,273992687,11556829,2347017,8017830,2640047,11353900,2206266,3225705,9398467,497996180,1788308,953952466,241480,276905440,417853,56679,974921,1289698,2581941,2740881,964980,1148722,460713708,8981898,140687518,4128505,17124715,2564301165,3472192963,0,194937368,2807562234,1425331749,77.81,42.41,1609440261,76.62,42.45,1609453306,107.88,74.14,1609465998,110.60,75.31,1609478658,2020-07-21 18:08:22,5.714,0.844,93.442,0,0,0,0,0,0,0,0,9,1.040,0.840,0.450,2130059264,116733100032,3284992,15657467904,1198,0,1,0,96,0,0,0,4294963200,21-07 18:08:22,16308,1481
2020-07-21 18:08:23,22.19,46.05,9.97,0,3367,16095.497282,719,0,0,0,99462,99436,16095.066780,21649681,602429998,3957866,7881809,306545940,19576704,2815312,10113982,1141522,7073696,3811226,6399187,10898428,373918865,4152715,620193279,464896,304702889,763698,127846,1018534,1143021,1707322,1717001,788420,1191398,389580450,10702682,147009201,4405431,23862578,2574336536,2173125210,0,209363752,2882118236,1661258470,63.94,60.26,1609660117,59.31,60.19,1609640244,89.79,90.99,1609619698,92.49,92.51,1609599520,2020-07-21 18:08:23,4.356,2.341,93.303,0,0,0,0,0,0,1,0,12,0.950,0.820,0.450,2239463424,116627406848,3284992,15653756928,1604,298,2,0,246,0,0,0,4294963200,21-07 18:08:23,16531,3170
2020-07-21 18:08:24,23.10,46.93,9.78,0,3130,16085.476060,654,0,0,0,91086,91086,16092.081298,21173972,763649772,5569097,5470858,304206250,18432273,2126837,8787912,1366092,6821252,2246067,4183229,11305122,394319688,3881504,716173976,405887,288505749,697341,124951,1402734,1388146,1051975,1112549,388286,461426,435554028,11605460,139182457,3839139,23341197,2607467348,2753419907,0,218475130,2827579766,1601427768,57.29,24.50,1609297997,56.25,24.77,1609299930,86.92,55.92,1609303777,89.14,57.13,1609305978,2020-07-21 18:08:24,4.545,2.013,93.442,0,0,0,4096,0,0,0,0,11,0.950,0.820,0.450,2129805312,116733349888,3284992,15657484288,1307,0,1,0,243,0,1,0,4294963200,21-07 18:08:24,16526,3260
2020-07-21 18:08:25,23.21,47.10,9.98,0,1477,16103.100582,303,0,0,0,39001,39001,16085.263824,20109593,947716502,5464636,6479726,275910710,13008680,2058295,8183571,2081538,8835976,5325824,7217502,8835169,439672434,2068885,849686775,240591,256563195,389069,50167,1623525,1692885,2140327,2609786,1139855,1336349,474062151,9465025,140144991,4630118,18453964,2581657602,3374080300,0,188881761,2764599497,1463613305,78.84,61.64,1608324571,74.58,61.20,1608325448,106.54,93.09,1608322492,108.17,93.57,1608323907,2020-07-21 18:08:25,5.451,1.233,93.316,0,0,0,0,0,0,1,0,10,0.950,0.820,0.450,2238193664,116628733952,3284992,15653797888,916,0,2,0,97,0,0,0,4294963200,21-07 18:08:25,16310,1347
2020-07-21 18:08:26,22.87,46.68,10.07,0,4284,16078.104721,927,0,0,0,130605,130605,16078.408945,23823570,493543967,3851233,8853037,350916156,23571131,2713174,10361493,780834,3942745,3912555,7051771,12402360,357984961,5511303,511781752,605384,344960143,915978,177249,932062,1096432,429195,545547,333245,847618,382443979,12244242,142187874,4204487,26230160,2561429762,1861668939,0,248984796,2835900893,1730255626,54.25,61.13,1608401076,49.64,61.11,1608460951,79.48,91.72,1608473675,80.89,92.73,1608473883,2020-07-21 18:08:26,3.709,2.993,93.299,0,0,0,4096,0,0,0,0,7,0.950,0.820,0.450,2238218240,116628631552,3284992,15653793792,452,0,2,0,340,0,1,0,4294963200,21-07 18:08:26,16604,4286
2020-07-21 18:08:27,23.61,47.44,9.65,0,1971,16078.725281,397,0,0,0,52971,52998,16078.474518,21346516,916529443,7037650,5263512,270183922,14707844,2113053,8262531,2432615,9988684,2205470,3471950,9955154,496320085,2555488,936265491,293039,283553378,494457,65833,1432151,1453098,2456765,2587253,741395,877448,484614617,9912764,137844935,4081666,20040494,2632004205,3383565590,0,191254424,2757936427,1523097526,74.64,29.31,1607637348,73.18,29.47,1607574298,104.42,60.83,1607560780,106.71,61.68,1607555821,2020-07-21 18:08:27,5.321,1.233,93.446,0,0,0,4096,0,0,1,0,6,0.950,0.820,0.450,2129801216,116733313024,3284992,15657517056,759,0,1,0,140,0,1,0,4294963200,21-07 18:08:27,16395,2005
2020-07-21 18:08:28,22.85,46.71,9.82,0,2700,16077.478568,565,0,0,0,77144,77117,16077.482906,22578415,719850056,5152607,8114623,300775158,16704163,2345183,9018922,1893253,5387586,2286186,4110935,10008883,432028640,3343086,775999225,361075,292623923,615700,93661,1414811,1630666,2105507,2239329,843941,2965753,399570203,10026034,139986330,6427793,24872984,2599896562,2581034547,0,195635521,2831725007,1655440963,74.21,61.81,1607686178,69.69,61.63,1607686952,100.73,92.65,1607686959,102.91,93.92,1607688045,2020-07-21 18:08:28,4.737,1.947,93.316,0,0,0,0,0,0,0,0,6,0.960,0.830,0.450,2237943808,116628938752,3284992,15653826560,576,42,3,0,201,0,0,0,4294963200,21-07 18:08:28,16367,2660
2020-07-21 18:08:29,22.92,46.71,9.90,0,3980,16069.563798,838,0,0,0,115627,115627,16076.624333,20924216,640730253,3756408,5593869,323856723,21631718,1821151,9576158,1041218,6796436,1695257,3790940,12243929,395362513,4374214,635309865,467218,330540294,819864,136635,913710,1086809,513955,1103126,473096,747011,375366019,12195144,145724725,4085434,25537272,2618898095,2229517891,0,216633109,2835471150,1660197623,46.06,23.52,1608313563,45.25,23.98,1608313790,75.30,54.75,1608315507,76.96,55.82,1608314939,2020-07-21 18:08:29,4.031,2.536,93.433,0,0,0,4096,0,0,1,0,4,0.960,0.830,0.450,2128723968,116734382080,3284992,15657529344,946,0,2,0,295,0,1,0,4294963200,21-07 18:08:29,16298,3966
2020-07-21 18:08:30,22.25,46.11,9.62,0,1044,16084.946779,220,0,0,0,22454,22482,16081.027114,21582870,955492090,6590846,6212918,269663916,10487818,2324034,7517294,2609307,9444121,3171493,4152964,8564687,500221953,1395913,968676170,236795,272712659,309932,25709,1457150,1712940,2934855,2903891,1068649,3321499,480680767,9044841,142357030,7017233,20159333,2605604119,3434239668,0,193181434,2859345215,1476196162,87.65,66.20,1609486143,83.11,65.93,1609503775,115.01,97.81,1609518952,117.58,98.79,1609537176,2020-07-21 18:08:30,5.779,0.909,93.312,0,0,0,4096,0,0,0,0,6,0.960,0.830,0.450,2129248256,116733825024,3284992,15657545728,636,0,2,0,62,0,1,0,4294963200,21-07 18:08:30,16367,1020
