time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:11:06,23.47,47.43,9.91,0,4193,16181.008528,901,0,0,0,129209,129204,16178.174028,22957417,688706999,2817811,7666192,445796608,24898279,1934357,9691108,339241,3610904,3376565,5991974,13542500,484162630,5097054,699833137,522580,448493802,853211,174732,600404,1055675,142175,300048,331891,900071,473709126,13403337,148473808,4026692,25736962,2628056252,1970463712,0,338331511,2950461874,1628812044,65.11,56.82,1608446842,31.21,24.85,1608392233,61.25,55.56,1608335972,29.30,23.65,1608278833,2020-07-21 18:11:06,3.834,2.859,93.307,0,0,0,0,0,0,0,0,7,0.890,0.860,0.520,2145312768,116716138496,3284992,15659057152,692,42,2,0,304,0,0,0,4294963200,21-07 18:11:06,16617,3894
2020-07-21 18:11:07,23.37,47.22,9.03,0,335,16123.780320,42,0,0,0,4398,4397,16123.094900,15453179,972317740,2805635,5323323,530295104,7669868,1342309,5297004,588691,2514496,4006321,5183583,16681064,610558807,1597139,1021385056,202130,553632491,224454,15733,91336,773202,296211,923974,23732,453110,618315271,18028196,137397087,4238818,15222131,2626256334,3150863764,0,442532366,2742767634,1282084598,58.69,61.99,1607104049,23.90,29.34,1607093706,55.84,61.36,1607085252,24.35,29.63,1607079039,2020-07-21 18:11:07,6.351,0.130,93.519,0,0,0,263680,0,0,1,0,8,0.890,0.860,0.520,2163933184,116697497600,3284992,15659069440,571,0,1,0,1,0,9,0,4294963200,21-07 18:11:07,16257,336
2020-07-21 18:11:08,23.84,47.61,7.99,0,238,16078.137169,26,0,0,0,634,634,16077.426793,10889642,1187495747,5066087,707388,688193546,7651599,988290,9399253,19943,3297306,1315967,1577455,20783131,628177497,1606524,1184035736,131362,700139930,203095,15265,35849,125783,5939,23238,9371,31092,625553552,21533799,138840396,2360250,15236915,2727731830,3880321358,0,623184957,2744790308,1128266108,36.13,34.03,1608342257,3.16,1.28,1608340709,35.21,33.39,1608338864,3.71,1.58,1608337614,2020-07-21 18:11:08,6.468,0.065,93.467,0,0,0,0,0,0,0,0,8,0.900,0.860,0.520,2158571520,116702851072,3284992,15659077632,568,0,1,0,1,0,0,0,4294963200,21-07 18:11:08,16360,240
2020-07-21 18:11:09,21.45,45.24,8.81,0,2609,16064.729173,492,0,0,0,75001,75012,16066.884762,22804173,474511060,5689498,5059174,309476133,17067468,1376766,9925613,194394,8571313,1573427,3290752,23949021,358106033,3872164,491894674,293175,325308553,564730,104938,371312,401385,83617,186231,175494,367438,337940884,25031784,147454678,2903327,22559234,2429887278,1696156855,0,227494535,2899195766,1451349002,48.53,42.78,1607399503,15.81,10.70,1607415707,46.04,41.50,1607434932,14.31,9.76,1607454584,2020-07-21 18:11:09,4.294,2.407,93.299,0,0,0,0,0,0,1,0,8,0.900,0.860,0.520,2127175680,116734238720,3284992,15659085824,691,0,2,0,200,0,0,0,4294963200,21-07 18:11:09,16561,2739
2020-07-21 18:11:10,20.23,44.04,9.52,0,2038,16093.647665,401,0,0,0,59965,59954,16093.777596,17489647,745541604,1866531,6045665,386328146,15723335,1680271,6735361,378721,2756572,2391366,4116720,13409616,551586648,2948097,727769606,318394,375760242,518241,71142,566258,824239,128296,585365,120328,859278,565645139,13726811,149416065,3848349,18215518,2352857426,2157317170,0,295693950,2963603716,1327834602,58.53,52.92,1609298230,24.52,20.61,1609292875,55.50,52.01,1609283362,23.67,20.14,1609271367,2020-07-21 18:11:10,4.818,1.888,93.294,0,0,0,0,0,0,0,0,7,0.900,0.860,0.520,2144661504,116716744704,3284992,15659089920,1052,0,2,0,139,0,0,0,4294963200,21-07 18:11:10,16396,1899
2020-07-21 18:11:11,22.33,46.13,8.28,0,282,16091.527115,35,0,0,0,1823,1823,16092.889939,11568723,1150431388,2269948,3998414,711610738,7942217,1259601,4699042,286103,2400416,3082489,2831227,16481122,566607647,1700083,1157488525,172778,708216344,195316,6058,24501,676859,8976,261261,12442,1082368,597141583,17167747,142865274,3407400,13669189,2690743775,3714668230,0,627527160,2851303699,1214306720,50.55,51.52,1609259139,16.30,18.86,1609266203,48.31,50.92,1609291153,16.74,19.11,1609314700,2020-07-21 18:11:11,6.355,0.130,93.515,0,0,0,0,0,0,1,0,7,0.900,0.860,0.520,2163441664,116697952256,3284992,15659102208,1111,0,2,0,1,0,0,0,4294963200,21-07 18:11:11,16253,283
2020-07-21 18:11:12,21.76,45.56,8.04,0,279,16097.237924,30,0,0,0,1081,1081,16096.599287,17969093,983238452,7721475,1957032,560405816,7582056,977120,10641905,94321,6840432,1268987,1837570,27964247,596481061,2045295,975476321,138667,533323992,203145,1832,36544,151230,9932,190285,1230,18993,571720952,28408611,145047474,2338724,18452255,2681978212,3266514168,0,460035135,2897007133,1177364716,37.16,34.50,1610356476,4.08,1.71,1610358088,36.12,33.83,1610342959,4.60,1.98,1610329916,2020-07-21 18:11:12,6.456,0.065,93.480,0,0,0,28672,0,0,0,0,10,0.900,0.860,0.520,2160930816,116700454912,3284992,15659110400,859,0,1,0,1,0,7,0,4294963200,21-07 18:11:12,16326,281
2020-07-21 18:11:13,19.05,42.86,9.34,0,3852,16095.977043,758,0,0,0,108218,108226,16096.671530,19556113,354436507,3186103,4951140,280671852,20952823,1521126,8862583,225179,4716690,1755440,3913092,14100812,241677726,4719358,342793106,448309,283185913,793032,215679,557612,574159,166934,204120,285375,352550,254475608,15202396,149099489,3276304,23566491,2120562453,1236893710,0,187956449,3022880435,1411383168,52.89,45.91,1609573647,19.90,13.81,1609595379,49.69,44.47,1609625675,18.44,13.03,1609631167,2020-07-21 18:11:13,3.264,3.394,93.342,0,0,0,4096,0,0,1,0,12,0.910,0.860,0.530,2128039936,116733341696,3284992,15659114496,796,0,3,0,279,0,1,0,4294963200,21-07 18:11:13,16530,3864
2020-07-21 18:11:14,22.06,45.89,9.66,0,973,16104.988704,211,0,0,0,28376,28368,16104.378692,21959433,832088630,3950704,7802820,421498167,10986212,1965294,6936592,777493,4353307,3910836,4289026,14451841,617042752,2140822,839057230,293272,419101283,346765,36292,284335,1123203,300110,759485,91314,1480833,616461107,14980065,147398208,4831927,18406186,2564645610,2427824735,0,317312538,2895249754,1376260399,74.59,73.87,1610312820,39.00,41.31,1610278426,70.65,73.25,1610235245,38.97,41.35,1610215535,2020-07-21 18:11:14,5.581,1.103,93.316,0,0,0,0,0,0,0,0,12,0.910,0.860,0.530,2162999296,116698075136,3284992,15659421696,1155,0,2,0,60,0,0,0,4294963200,21-07 18:11:14,16067,950
2020-07-21 18:11:15,24.11,47.89,8.00,0,254,16082.546003,29,0,0,0,0,0,16091.533788,6177724,1257644071,1254906,419508,780395101,7459689,898065,3067654,7788,1328699,1271100,1448740,18356565,611754462,1551032,1284762892,129325,794350338,196813,3902,19066,21910,7003,8029,7432,17413,625187348,19272986,139546303,2284361,11012976,2744357768,4106111129,0,683850491,2787824416,1140520500,34.42,33.52,1608825086,1.47,0.77,1608818403,33.54,32.94,1608811071,2.33,1.21,1608806076,2020-07-21 18:11:15,6.468,0.065,93.467,0,0,0,0,0,0,1,0,11,0.910,0.860,0.530,2162761728,116698603520,3284992,15659134976,1156,0,2,0,1,0,0,0,4294963200,21-07 18:11:15,16347,254
