time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:17:20,19.89,43.91,9.76,0,4396,16241.803437,898,0,0,0,126219,126192,16240.239196,21555277,384038555,2623009,7147956,306723123,24983775,1797322,9558664,368012,3483662,2071197,5521848,10765562,289452482,4916680,389774461,517941,314332000,883942,149233,1004954,1080702,232845,335366,326492,620971,263422781,10875632,157238537,3719056,26191844,2210088300,1348285192,0,214595516,3120354357,1516303353,63.44,55.91,1612350324,29.30,23.78,1612303903,26.82,21.81,1612265125,60.67,55.88,1612216654,2020-07-21 18:17:20,0.122,0.004,99.873,0.001,0,247.890,4059.149,0,0,0.500,0.068,6.335,0.570,0.720,0.580,2118520832,116739424256,3284992,15662247936,0,0,1,0,0.850,0.007,0.091,0,4294963200,21-07 18:17:20,110.298,208.608

2020-07-21 18:17:21,23.62,47.53,8.73,0,1488,16174.418561,39,0,0,0,3968,3955,16173.679240,29823934,945795976,10954973,8561228,367216855,8964035,1008987,5872729,147795,11500797,1655603,2470823,4192143,531374234,1114148,946345798,227922,369228144,243518,30364,157887,171690,131860,146864,50704,83735,535702591,3951154,147776356,2385492,15163153,2687567911,4853574722,0,283258066,2934024785,1185404083,39.88,39.83,1610915602,6.90,7.04,1610898013,5.80,6.39,1610826959,39.95,39.79,1610814120,2020-07-21 18:17:21,2.554,4.322,93.124,0,0,0,0,0,0,0,0,5,0.570,0.720,0.580,2131320832,116742701056,3284992,15646171136,460,0,2,0,307,0,0,0,4294963200,21-07 18:17:21,16593,4155
2020-07-21 18:17:22,23.58,47.39,8.45,0,1456,16109.680633,29,0,0,0,3497,3497,16109.142724,33127081,951640328,11356038,8613086,370637654,9232538,980954,7052594,161871,12254857,1338941,2387015,3969674,544850659,1032700,948093471,222791,363962826,238994,28745,170887,208897,242406,306019,136372,49647,543791301,3907335,150559789,2334005,15987476,2749996373,4997527234,0,287186512,3015790482,1221560524,40.17,38.93,1610667856,7.26,6.14,1610670920,6.16,5.55,1610673524,40.21,38.85,1610675934,2020-07-21 18:17:22,6.416,0.194,93.390,0,0,0,0,0,0,1,0,6,0.570,0.720,0.580,2132496384,116736200704,3284992,15651840000,815,0,1,0,0,0,0,0,4294963200,21-07 18:17:22,16383,1460
2020-07-21 18:17:23,21.85,45.65,9.28,0,4358,16096.841137,580,0,0,0,79014,79038,16095.942999,23513585,570966920,5724249,6515818,307388363,18228804,1347450,7862412,222948,6750536,1551811,3513346,7971543,351588039,3321285,580305068,378905,312956692,634200,109111,477782,543699,195179,183318,337783,616969,347629111,8412147,146429072,3305766,21943939,2367275051,2603283141,0,233241596,2870101303,1380029940,52.06,45.10,1609384517,19.73,13.47,1609383407,17.46,11.81,1609381735,50.81,44.78,1609377708,2020-07-21 18:17:23,6.452,0.194,93.355,0,0,0,0,0,0,0,0,5,0.600,0.730,0.590,2131824640,116729192448,3284992,15659364352,1574,0,1,0,1,0,0,0,4294963200,21-07 18:17:23,16372,1441
2020-07-21 18:17:24,22.29,46.09,9.27,0,2607,16093.662726,388,0,0,0,52876,52852,16095.299671,25830356,703837861,7126310,8439702,347297641,15960756,1498753,7417861,258701,7620111,1872891,4551723,6452050,410596208,2723848,693532484,361960,346236817,503296,68418,772903,816383,228517,346749,157979,454845,428589693,6924985,151393949,3457716,20580831,2505560071,3356696626,0,261605516,2971562995,1348380040,55.31,49.76,1610572159,20.98,16.87,1610579826,19.66,15.87,1610616276,53.75,49.66,1610657655,2020-07-21 18:17:24,4.169,2.150,93.355,0.326,0,0,16396288,0,0,1,0,6,0.600,0.730,0.590,2128670720,116729683968,3284992,15661883392,1000,0,2,0,210,0,36,0,4294963200,21-07 18:17:24,16682,4431
2020-07-21 18:17:25,23.80,47.61,8.53,0,1467,16109.798093,28,0,0,0,3975,3975,16109.001720,32415147,958589714,11243270,8715767,369791641,9351597,1057486,6472899,160737,11802493,1504716,2721421,4127831,553024672,1170119,965527233,235138,371154694,270789,19186,95046,107925,155921,154091,40960,50176,544462162,3955306,147665779,2364752,15709620,2733084327,4975556544,0,286098304,2963568971,1216064054,40.26,38.90,1609994859,6.74,5.80,1609983807,6.05,5.29,1609943842,40.22,38.83,1609901141,2020-07-21 18:17:25,5.078,1.628,93.294,0,0,0,0,0,0,0,0,7,0.600,0.730,0.590,2130989056,116739829760,3284992,15649808384,815,298,2,0,133,0,0,0,4294963200,21-07 18:17:25,16444,2514
2020-07-21 18:17:26,23.26,47.04,8.77,0,2815,16094.151674,120,0,0,0,15637,15650,16094.702414,29567607,840238050,9934476,7823365,345154465,10932361,1230858,7014099,333233,10300941,1445875,2549300,4816366,472891536,1537950,824696013,249797,347438118,317738,28601,130976,155123,161947,212987,121538,385243,478947346,4709172,143397321,2588326,16367146,2578653059,4319926261,0,257884194,2813437783,1207688128,45.15,39.35,1610791279,12.57,7.31,1610804054,11.72,6.60,1610815889,44.65,39.01,1610893023,2020-07-21 18:17:26,6.408,0.259,93.333,0,0,0,0,0,0,1,0,7,0.600,0.730,0.590,2132340736,116732649472,3284992,15655440384,632,0,1,0,1,0,0,0,4294963200,21-07 18:17:26,16421,1467
2020-07-21 18:17:27,20.21,44.05,9.68,0,4159,16111.133602,851,0,0,0,115649,115636,16110.990726,22025178,381532033,2997709,7187456,295591413,23222641,1865968,8924668,337105,3668432,1884882,5083441,9695875,265121644,4410386,384632025,433626,295379631,833455,119276,836303,877633,246769,261735,378876,766745,276269881,10229899,157581179,3891770,26032561,2229280229,1490858028,0,201073388,3086342978,1512256961,62.08,53.67,1611006930,28.33,21.58,1611007648,25.22,19.46,1611010263,59.65,53.57,1610951816,2020-07-21 18:17:27,5.599,0.586,93.424,0.391,0,0,16392192,0,0,0,0,7,0.600,0.730,0.590,2126925824,116731293696,3284992,15662088192,872,0,2,0,35,0,35,0,4294963200,21-07 18:17:27,16412,2805
2020-07-21 18:17:28,23.97,47.77,8.78,0,1449,16109.080070,33,0,0,0,4202,4202,16108.911838,30883779,957445786,11084915,8701017,373814292,9623227,985785,6150426,145544,11840185,1602081,2432964,4016891,551080295,1016934,962703803,224935,372228798,231813,18036,121680,76026,218179,244052,39688,71728,562531987,4448807,148807863,2693893,16048725,2771136551,4980289998,0,292034451,2945689018,1229032028,40.30,39.48,1610176431,7.50,6.88,1610163157,6.56,6.25,1610147998,40.54,39.79,1610130999,2020-07-21 18:17:28,3.194,3.651,93.155,0,0,0,0,0,0,1,0,6,0.630,0.730,0.590,2130767872,116744355840,3284992,15645503488,998,0,2,0,307,0,0,0,4294963200,21-07 18:17:28,16457,4142
2020-07-21 18:17:29,23.97,47.76,8.78,0,1529,16095.277224,36,0,0,0,3060,3060,16095.207253,33009288,953902561,11386804,8590772,369056560,9286773,1048205,6727117,160334,12115287,1357550,2369629,3979617,545550281,1060593,956721801,226225,368340946,237735,18872,75912,86946,155878,169086,35716,46245,547703270,4294456,148284863,2397013,16369698,2762205027,4994131615,0,286181734,2943850847,1224360948,39.80,37.88,1610077039,7.09,5.27,1610078890,6.24,4.71,1610083480,40.08,38.16,1610085471,2020-07-21 18:17:29,6.429,0.195,93.377,0,0,0,8192,0,0,0,0,6,0.630,0.730,0.590,2132373504,116736270336,3284992,15651897344,636,0,1,0,1,0,2,0,4294963200,21-07 18:17:29,16366,1436
2020-07-21 18:17:30,21.10,44.93,9.35,0,4401,16097.348921,585,0,0,0,83683,83709,16097.420384,22420841,507251615,5148733,6167332,297865918,18687544,1496597,8414344,216658,5788447,1657124,3679689,8248426,318435046,3562771,503161125,362650,300105785,674898,119819,465540,489943,140961,198520,245712,361840,318463734,8367314,147565166,3075031,21802238,2283159070,2339373813,0,207443576,2904407665,1354709658,52.40,44.04,1609692235,20.35,12.77,1609703610,17.99,10.99,1609713020,51.25,43.97,1609723236,2020-07-21 18:17:30,6.429,0.195,93.377,0,0,0,0,0,0,1,0,5,0.630,0.730,0.590,2133045248,116728176640,3284992,15659319296,1601,42,1,0,1,0,0,0,4294963200,21-07 18:17:30,16347,1522
