time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:00:24,17.96,42.29,10.00,0,4156,16332.308233,848,0,0,0,121544,121487,16295.575373,18554714,363018767,2479304,5328741,291104633,23431206,1526773,9095424,184373,3345240,1592806,4042294,10664876,257238566,4378878,364446329,532540,292388440,832785,169111,606620,656076,153227,169382,278451,365399,249861956,10341484,158155804,3247760,24251318,2107450741,1274362382,0,189294888,3145650638,1460684800,54.91,49.15,1611054270,20.60,16.38,1610977585,52.07,47.46,1610877664,20.25,16.20,1610791112,2020-07-21 18:00:24,3.455,3.325,93.220,0,0,0,4096,0,0,1,0,6,0,0.010,0.050,2049130496,121469407232,3284992,11200065536,1028,0,2,0,301,0,1,0,4294963200,21-07 18:00:24,16571,3885
2020-07-21 18:00:25,18.06,42.11,9.92,0,4359,16145.336858,872,0,0,0,126746,126746,16145.001108,18488573,363201115,2330715,5310450,290526609,23625643,1637223,8810897,217795,3120399,1626865,4230017,10351307,249498467,4442539,340913434,543083,286899321,909728,185130,724371,758374,184078,220222,311111,473351,255186323,10344177,154439262,3368644,24457684,2159455410,1354975199,0,205862351,3120967177,1489545603,57.39,49.94,1608664086,23.58,17.69,1608657306,54.48,48.40,1608651894,22.94,17.32,1608640233,2020-07-21 18:00:25,3.259,3.455,93.286,0,0,0,0,0,0,0,0,11,0,0.010,0.050,2050498560,121467674624,3284992,11200430080,1115,0,2,0,340,0,0,0,4294963200,21-07 18:00:25,16683,4359
2020-07-21 18:00:26,18.70,42.66,9.56,0,4336,16092.328667,883,0,0,0,126943,126943,16106.278303,18376734,367820216,2394426,5306740,292543183,23734890,1615213,8960377,171827,3013000,1716637,4080418,10355145,277839777,4430426,381979226,540958,303166565,859140,144837,712629,724917,174203,204291,280620,378061,256237348,10453622,153015053,3249604,24221840,2252822427,1387354773,0,205835021,3069664841,1578828237,56.57,48.58,1610035874,22.82,16.07,1610033887,53.47,46.71,1610031943,22.09,15.73,1610031291,2020-07-21 18:00:26,3.523,3.262,93.216,0,0,0,4096,0,0,1,0,6,0.080,0.030,0.050,2049552384,121468600320,3284992,11200446464,666,154,2,0,340,0,1,0,4294963200,21-07 18:00:26,16624,4342
2020-07-21 18:00:27,18.80,42.81,9.87,0,4355,16089.570580,896,0,0,0,126853,126853,16075.396255,18428454,368915688,2339625,5147801,294656562,23187423,1550330,8433573,183481,3077995,1632748,4354916,10705940,245664728,4663328,347996801,564018,282615146,903981,161843,739302,745374,163229,186706,351414,353548,270287239,10389135,148854759,3186851,24273757,2182402091,1352230435,0,201967128,3025650936,1552857018,56.42,47.89,1607133136,22.44,15.53,1607131348,52.63,45.93,1607128584,21.43,15.19,1607124403,2020-07-21 18:00:27,3.329,3.394,93.277,0,0,0,19968,0,0,0,0,6,0.080,0.030,0.050,2050060288,121468084224,3284992,11200454656,1593,42,1,0,339,0,3,0,4294963200,21-07 18:00:27,16614,4354
2020-07-21 18:00:28,19.04,42.98,9.81,0,4450,16073.860901,920,0,0,0,127014,127014,16073.406436,18339918,387662420,2384375,5271497,304635209,23819423,1600933,8853092,199434,3233440,1650844,4378969,10764620,285479463,4757253,390798702,564194,307420383,872856,155722,719057,709019,156562,191223,316436,428229,271377291,11139640,153486916,3217974,24476689,2288872791,1505651826,0,211623040,3048609705,1562005632,56.08,47.93,1607046662,22.80,15.99,1607048432,53.57,46.46,1607048741,21.71,15.29,1607049257,2020-07-21 18:00:28,3.523,3.327,93.151,0,0,0,417792,0,0,1,0,11,0.080,0.030,0.050,2050494464,121467641856,3284992,11200462848,875,0,1,0,341,0,12,0,4294963200,21-07 18:00:28,16542,4451
2020-07-21 18:00:29,18.81,42.77,9.77,0,4301,16066.939020,888,0,0,0,125737,125747,16066.179083,18687997,344983506,2447773,5392221,288096540,23701846,1564478,8643564,228969,3158135,1666386,4319760,11064410,263471312,4785119,374849015,565230,293321162,963842,163677,652784,657554,162356,187629,277969,385675,253288291,10412397,149121207,3218821,24424068,2196506692,1304329625,0,192967025,3013272251,1556859146,55.51,47.53,1607111595,22.27,15.32,1607110425,53.06,46.01,1607110918,21.45,14.83,1607112944,2020-07-21 18:00:29,3.525,3.133,93.342,0,0,0,0,0,0,0,0,7,0.080,0.030,0.050,2049212416,121468911616,3284992,11200475136,512,0,5,0,337,0,0,0,4294963200,21-07 18:00:29,16570,4299
2020-07-21 18:00:30,18.41,42.34,9.75,0,4112,16079.105125,803,0,0,0,120415,120410,16081.022247,17624398,366574720,2285527,4846911,289127321,22103498,1491868,8131537,173423,2941521,1615717,4074694,10641924,257610584,5038284,372890980,585184,298878443,880060,167326,670808,687751,155777,164888,292956,314021,281446351,10167932,151548702,3170867,23671827,2159314450,1405425760,0,205246506,3018888046,1512131036,54.02,46.39,1608093680,20.48,14.06,1608094519,50.98,44.83,1608096089,19.60,13.80,1608121355,2020-07-21 18:00:30,3.383,3.253,93.364,0,0,0,4096,0,0,1,0,8,0.080,0.030,0.050,2050203648,121467912192,3284992,11200483328,799,0,1,0,315,0,1,0,4294963200,21-07 18:00:30,16312,4086
2020-07-21 18:00:31,18.55,42.54,9.87,0,4280,16096.351932,853,0,0,0,124553,124568,16094.852396,18075386,384355215,2317558,5083243,308484280,22804544,1555992,8601197,190905,3029367,1627435,4186527,10991032,281367595,4654849,394498847,552584,301793696,869657,162455,654562,657771,178924,214584,294337,399833,259717644,10466780,153296392,3247740,24531828,2196916439,1367028042,0,207047013,3056801606,1530735092,55.32,47.27,1609751184,21.51,14.69,1609752693,51.91,45.19,1609752414,20.54,14.32,1609728641,2020-07-21 18:00:31,3.516,3.320,93.164,0,0,0,4096,0,0,0,0,9,0.080,0.030,0.050,2050207744,121467891712,3284992,11200499712,999,0,1,0,330,0,1,0,4294963200,21-07 18:00:31,16557,4241
2020-07-21 18:00:32,18.55,42.53,9.81,0,4230,16081.275851,848,0,0,0,123985,123971,16080.985097,18034263,367151876,2328072,5077665,289925900,22853060,1565921,8573901,186613,3050423,1639601,4051269,10328970,258676329,4489887,368337325,561926,295137934,862623,163310,687675,703999,144206,171590,311705,389268,268024368,10541303,154285504,3253234,24301124,2240602930,1418959831,0,206257379,3051192224,1553265241,55.60,47.41,1607826247,21.86,14.98,1607823627,52.19,45.40,1607821908,20.65,14.39,1607818393,2020-07-21 18:00:32,3.451,3.320,93.229,0,0,0,4096,0,0,1,0,7,0.080,0.030,0.050,2049712128,121468379136,3284992,11200507904,692,0,2,0,328,0,1,0,4294963200,21-07 18:00:32,16684,4212
2020-07-21 18:00:33,18.75,42.69,9.87,0,4388,16079.168152,939,0,0,0,128460,128454,16079.294198,18748221,384526140,2370175,5265704,311098301,23088856,1563176,8663761,196519,3085198,1751276,4215550,10570541,248681590,4679254,379801084,579935,300197914,875385,173760,681287,695925,164842,213184,266057,431794,266601401,11028527,155685400,3323446,25284230,2240797086,1397309369,0,210308590,3092043020,1564305819,56.09,47.81,1607523856,22.86,15.76,1607523251,52.66,45.96,1607521072,21.21,15.17,1607524969,2020-07-21 18:00:33,3.446,3.251,93.303,0,0,0,4096,0,0,0,0,7,0.080,0.030,0.050,2050408448,121467633664,3284992,11200524288,575,0,2,0,343,0,1,0,4294963200,21-07 18:00:33,16669,4376
