time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:01:56,20.08,44.36,10.15,0,4380,16287.860536,898,0,0,0,123147,123043,16256.352865,23985454,456813147,3181031,5929831,304883825,23732800,1730031,9415012,352771,3654080,1850886,4222953,10356336,321115951,4392094,474140702,551424,308624462,859719,169901,700466,724154,140767,174727,267461,387409,268647723,10639203,148693888,3214326,24856018,2338228658,1758249233,0,198105087,2988780941,1580048800,25.94,18.38,1612326333,56.74,50.94,1612264844,54.97,49.26,1612178921,22.65,17.45,1612121702,2020-07-21 18:01:56,3.831,2.922,93.182,0.065,0,16384,0,0,0,0,0,6,0.870,0.320,0.150,2055118848,121459302400,3284992,11203956736,460,0,2,0,308,1,0,0,4294963200,21-07 18:01:56,16621,4187
2020-07-21 18:01:57,19.82,43.94,10.11,0,4559,16175.559794,968,0,0,0,129394,129402,16175.733921,24055176,425722661,3056615,5739769,310474373,24017888,1660954,9265316,427543,3520026,1713083,4734350,10254178,247612537,4689960,385259342,565787,294795633,862285,173501,713587,816324,208938,252886,388408,531771,265937648,10633613,151175900,3515565,25796627,2371021263,1612803566,0,217082047,3012041945,1602717676,27.16,19.28,1611304882,58.34,52.13,1611322636,56.52,50.18,1611316878,24.39,18.48,1611312985,2020-07-21 18:01:57,3.388,3.322,93.290,0,0,0,101888,0,0,1,0,8,0.870,0.320,0.150,2052812800,121461784576,3284992,11203702784,676,0,1,0,341,0,10,0,4294963200,21-07 18:01:57,16691,4599
2020-07-21 18:01:58,20.42,44.44,9.70,0,3930,16113.764257,782,0,0,0,107881,107873,16111.869658,27237085,511411621,3390932,5532439,303157862,22101376,1497298,8807989,152060,3831733,1560039,3900458,9701881,348473842,3890413,524882775,485578,306617197,743846,128855,583957,603841,227636,386165,353306,467350,291293170,11514603,149767159,3221687,23815614,2509711145,2101795780,0,221122739,3043793832,1658298342,22.12,14.70,1610438829,53.37,47.24,1610405320,52.17,45.75,1610393463,19.76,14.01,1610379045,2020-07-21 18:01:58,4.283,2.336,93.381,0,0,0,4096,0,0,0,0,11,0.870,0.320,0.150,2050629632,121462718464,3284992,11204952064,695,0,3,0,270,0,1,0,4294963200,21-07 18:01:58,16521,3890
2020-07-21 18:01:59,20.02,44.03,9.77,0,3862,16097.384519,790,0,0,0,103324,103325,16098.192134,26628058,498613980,3229013,5298782,301435234,22079120,1578424,8677831,184865,4314897,1661830,3916688,8837726,271415309,3979609,469169165,506626,289128371,769160,139946,617680,627651,114091,142966,201084,340306,315073897,8798946,148826158,3203875,23116151,2425070056,2172378247,0,210508805,3019784146,1594179472,22.90,15.15,1609525437,54.14,47.74,1609529766,52.60,46.10,1609535723,20.50,14.43,1609542237,2020-07-21 18:01:59,4.159,2.534,93.307,0,0,0,3022848,0,0,1,0,7,0.870,0.320,0.150,2050838528,121462497280,3284992,11204964352,992,0,2,0,269,0,37,0,4294963200,21-07 18:01:59,16413,3837
2020-07-21 18:02:00,19.75,43.73,9.76,0,3669,16095.164346,738,0,0,0,97485,97507,16095.726768,26056613,508698448,3216808,5159706,301502758,21192483,1636066,8531552,334720,3497367,1583202,3625251,8536623,287683331,3501271,468226530,456090,279799093,706449,140898,579577,673670,149816,192014,298639,345335,271374972,8799734,149321510,3191856,23490748,2396864939,2105722455,0,207650258,3039672597,1552089069,22.81,14.76,1610228324,53.78,47.02,1610251359,52.12,45.40,1610272212,20.46,14.00,1610294352,2020-07-21 18:02:00,4.159,2.404,93.437,0,0,0,51200,0,0,0,4,13,0.880,0.330,0.160,2051559424,121461755904,3284992,11204972544,811,0,2,0,253,0,5,0,4294963200,21-07 18:02:00,16541,3636
2020-07-21 18:02:01,20.14,44.15,9.92,0,3765,16103.550039,741,0,0,0,101125,101102,16104.634170,26161064,517481980,3171778,5101457,310801402,21360834,1533464,8490964,158059,3359303,1814088,4434637,10353147,282225202,4028967,438857973,519300,300727434,777892,231732,756529,832794,162215,230782,273108,377423,300730457,9262123,148550818,3227292,23611288,2414916758,2124050999,0,202793898,2990227651,1568968949,23.79,15.44,1610294394,54.81,47.92,1610294653,53.06,46.16,1610341804,21.24,14.55,1610328180,2020-07-21 18:02:01,4.353,2.469,93.177,0,0,0,4096,0,0,1,0,9,0.880,0.330,0.160,2050990080,121462308864,3284992,11204984832,580,0,2,0,263,0,1,0,4294963200,21-07 18:02:01,16550,3735
2020-07-21 18:02:02,19.04,43.04,10.11,0,4158,16107.235547,824,0,0,0,114916,114916,16106.366256,21536780,408155639,2769541,5270662,285742894,22590579,1528279,8660859,152553,3228489,1618578,4168419,9523219,265174906,3930218,411971392,481030,281268740,774191,154653,618314,690125,173738,199288,355881,439329,268881230,10656144,155077111,3347121,24272690,2214082696,1536929577,0,187410623,3081730882,1508827001,23.73,15.38,1610947040,55.44,48.39,1610935109,53.78,46.75,1610875128,20.84,14.52,1610875550,2020-07-21 18:02:02,3.314,3.444,93.242,0,0,0,33792,0,0,0,0,6,0.880,0.330,0.160,2052722688,121461510144,3284992,11204067328,695,0,2,0,309,0,4,0,4294963200,21-07 18:02:02,16537,4232
2020-07-21 18:02:03,19.61,43.62,10.01,0,4296,16112.501529,888,0,0,0,121906,121926,16111.297660,21143527,386459198,2697091,5509637,292175500,23520223,1545803,9120747,183006,3457932,1612659,4308231,10411101,266187615,4444689,400218079,492580,303647241,900586,150811,656910,683391,164699,170339,282205,406722,269334095,10029539,149157389,3179618,24015616,2241063798,1496058244,0,201955011,2986500250,1549506248,22.93,14.71,1610481132,55.53,47.84,1610467992,53.32,45.98,1610459187,20.59,14.09,1610449249,2020-07-21 18:02:03,3.578,3.058,93.364,0,0,0,4096,0,0,1,0,6,0.880,0.330,0.160,2050310144,121462972416,3284992,11205005312,819,0,2,0,297,0,1,0,4294963200,21-07 18:02:03,16670,4141
2020-07-21 18:02:04,20.04,44.07,9.88,0,3934,16096.806608,769,0,0,0,103078,103058,16096.827150,26078322,483499775,3148937,4943038,294140561,21732116,1458389,8505464,198164,3295528,1617645,3776008,9159263,301609847,3966556,478391761,499825,289684576,796032,212638,753193,781436,155983,168922,236209,464357,286689356,9083688,151217778,3419778,23586084,2410046047,2086777452,0,195352795,2959839020,1569462389,23.11,14.88,1609234241,54.07,47.15,1609239043,52.44,45.64,1609238267,20.38,14.11,1609239213,2020-07-21 18:02:04,4.221,2.468,93.312,0,0,0,34816,0,0,0,0,9,0.880,0.330,0.160,2051645440,121461886976,3284992,11204702208,879,0,2,0,269,0,3,0,4294963200,21-07 18:02:04,16593,3917
2020-07-21 18:02:05,20.07,44.03,9.73,0,3685,16094.459603,742,0,0,0,98513,98515,16106.992560,26385710,479984246,3275267,5214839,305344855,21606954,1445759,8761847,176598,3695803,1806700,3666262,9123354,265839520,3469132,428637003,455747,286915951,669841,233342,594792,579635,121405,191053,263535,524211,297708734,8932896,149702892,3368371,23653293,2374792739,1990337297,0,189354619,3008307029,1605457838,22.22,14.34,1610935753,53.41,46.89,1610931384,51.56,45.20,1610983301,19.71,13.56,1610977052,2020-07-21 18:02:05,4.167,2.409,93.424,0,0,0,34816,0,0,1,0,6,0.890,0.340,0.160,2050109440,121463132160,3284992,11205025792,759,0,2,0,256,0,3,0,4294963200,21-07 18:02:05,16515,3659
