time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:31:40,18.92,43.16,9.87,0,4325,16240.838086,896,0,0,0,127148,127118,16236.491266,22556305,390321847,2603459,6332756,316573410,23837379,1633057,10574414,222545,3641919,2505788,4688254,14083455,305045374,4922420,392509301,528168,315508494,865885,154007,696274,767382,226671,228291,315608,532058,280906098,13115335,154669310,3477104,26428685,2265298247,1350785355,0,210746053,3059499410,1526928477,58.22,53.62,1611406743,23.01,20.79,1611339671,54.28,52.23,1611268509,22.33,20.49,1611215748,2020-07-21 18:31:40,3.052,3.831,93.117,0,0,0,0,0,0,0,0,12,0.860,0.890,0.790,2072014848,121264779264,3284992,11374485504,799,0,2,0,316,0,0,0,4294963200,21-07 18:31:40,16630,4189
2020-07-21 18:31:41,21.32,45.47,8.67,0,319,16159.953083,40,0,0,0,5734,5733,16158.911572,39402507,409734971,2583425,5495919,235814516,8648921,2706760,23324664,23629,1391092,1935940,4597240,16277932,319019674,7606831,395476726,412136,229755466,192322,466,935840,1876055,10272,98682,372575,684262,329491927,16839960,143383022,4633654,34026875,2637725081,1466215557,0,155063511,2863777498,1786999431,69.65,63.71,1609643489,36.40,31.11,1609621734,68.38,63.20,1609599581,37.85,31.91,1609585519,2020-07-21 18:31:41,6.347,0.130,93.523,0,0,0,12288,0,0,1,0,6,0.790,0.870,0.780,2094231552,121242558464,3284992,11374489600,696,0,1,0,2,0,2,0,4294963200,21-07 18:31:41,16360,294
2020-07-21 18:31:42,21.12,45.13,9.81,0,4309,16080.287593,932,0,0,0,128421,128422,16080.412211,25231812,369643615,3487807,7752548,294381440,23892725,2838512,12178717,339039,3249245,2250860,6030204,11517456,263480235,5829106,358081869,729740,293154971,925542,154137,1004183,1905123,193136,282675,464502,2045739,270896155,11967231,145296561,5624081,30994859,2577476268,1358474424,0,216527370,2904836980,1884049592,84.17,65.61,1608006038,50.98,33.68,1608005498,81.18,64.39,1608006625,48.98,32.64,1607990410,2020-07-21 18:31:42,3.836,2.796,93.368,0,0,0,4096,0,0,0,0,5,0.790,0.870,0.780,2065162240,121271623680,3284992,11374493696,700,0,2,0,339,0,1,0,4294963200,21-07 18:31:42,16665,4290
2020-07-21 18:31:43,21.70,45.73,9.01,0,326,16081.780986,39,0,0,0,6883,6882,16081.849314,39919766,436332243,2363095,5475866,248502894,8757492,2506621,23615123,24332,1385099,1894465,4155175,17587035,352833082,8127352,417112015,415466,241479647,184854,544,847691,1781564,18293,23807,260417,713349,361320087,17489575,141939059,4576503,34004205,2699997400,1598066583,0,168127293,2851805805,1797164125,67.44,62.73,1607959678,33.87,30.02,1607959287,65.78,62.00,1607958305,35.40,30.87,1607934960,2020-07-21 18:31:43,6.399,0.194,93.407,0,0,0,0,0,0,1,0,13,0.790,0.870,0.780,2092953600,121243815936,3284992,11374505984,855,0,2,0,1,0,0,0,4294963200,21-07 18:31:43,16306,326
2020-07-21 18:31:44,21.05,45.06,9.81,0,4263,16067.340874,922,0,0,0,124590,124590,16067.368932,24918410,356068265,3157458,7692198,291965249,23778943,3106891,12921014,307688,3289196,2101188,6257817,10709234,254033687,6319363,351532818,728544,287736715,869705,169187,1126338,2033478,172772,417785,547902,1037461,276156199,10927896,142618878,5163645,30547666,2532022524,1278950042,0,193968959,2855704614,1877555073,87.27,64.47,1606484913,53.77,32.24,1606484664,84.20,63.01,1606507601,52.11,31.38,1606489865,2020-07-21 18:31:44,3.831,2.857,93.312,0,0,0,4096,0,0,0,0,8,0.790,0.870,0.780,2048782336,121289838592,3284992,11372654592,867,0,1,0,331,0,1,0,4294963200,21-07 18:31:44,16434,4258
2020-07-21 18:31:45,21.67,45.68,8.62,0,368,16077.599970,49,0,0,0,10712,10712,16077.465314,39822528,438780483,2188303,5324653,257864897,9674655,2617272,23055948,44035,1640816,2120104,4325838,19121460,378601955,7836897,440705564,449365,267140183,201645,1472521,567328,1516028,6866,34274,174791,678939,376580483,18918023,138576762,4478205,33688663,2666080968,1615493022,0,174192490,2766519184,1724960047,65.32,62.76,1607853225,31.23,30.05,1607853766,63.20,62.10,1607830529,32.17,30.31,1607830291,2020-07-21 18:31:45,6.278,0.259,93.463,0,0,0,0,0,0,1,0,6,0.790,0.870,0.780,2093338624,121243418624,3284992,11374518272,639,0,2,0,10,0,0,0,4294963200,21-07 18:31:45,16161,365
2020-07-21 18:31:46,21.30,45.32,9.70,0,4070,16078.839400,854,0,0,0,118639,118663,16079.552207,27678326,352784641,3624031,9067688,287242348,22988504,3016392,14339473,240802,3107644,2273089,6210931,10362547,252762438,5824172,351119185,674228,281411955,844229,247472,1124477,2151141,129880,255595,450833,878202,264511452,10891392,144030794,5296390,32086754,2586621345,1287768654,0,189262459,2877613202,1912390094,87.41,63.73,1607889170,53.55,31.27,1607890583,84.27,62.28,1607891937,52.54,30.57,1607892132,2020-07-21 18:31:46,4.153,2.531,93.316,0,0,0,16384,0,0,0,0,9,0.730,0.860,0.780,2051203072,121285586944,3284992,11374530560,520,0,1,0,308,0,2,0,4294963200,21-07 18:31:46,16606,4045
2020-07-21 18:31:47,21.25,45.26,8.78,0,584,16067.898093,102,0,0,0,16666,16642,16067.279523,39355298,427258553,2528668,5559032,258550106,10195633,2266808,22539439,104858,1570447,2172693,3739885,18016780,369087053,7992136,422582388,464012,257482440,291470,13951,611472,1487437,36055,42217,178815,1240543,377823645,18085706,139528121,4846205,32873189,2587424831,1578022740,0,179243247,2799716271,1672497266,63.11,62.12,1606294768,29.06,29.64,1606292745,60.79,61.58,1606292410,29.73,29.96,1606294354,2020-07-21 18:31:47,6.092,0.518,93.390,0,0,0,0,0,0,1,0,6,0.730,0.860,0.780,2092851200,121243926528,3284992,11374542848,1355,0,2,0,33,0,0,0,4294963200,21-07 18:31:47,16339,607
2020-07-21 18:31:48,20.86,44.90,9.61,0,3553,16071.986115,751,0,0,0,102815,102847,16077.322241,25514246,319671192,3313028,7572034,254184542,19889196,3284383,14184922,274699,2926946,1926060,6478594,10183617,215289190,6949929,313696837,736873,258371888,755847,151738,1197014,2085395,136273,216193,451677,925109,227200747,9810766,143503097,5327762,30537640,2532539148,1154678278,0,163181319,2857349891,1931849050,86.30,63.40,1608496546,53.94,31.52,1608500813,84.58,62.58,1608505222,52.69,30.82,1608507127,2020-07-21 18:31:48,4.348,2.271,93.381,0,0,0,4096,0,0,0,0,7,0.730,0.860,0.780,2051313664,121285455872,3284992,11374546944,1055,0,1,0,260,0,1,0,4294963200,21-07 18:31:48,16452,3469
2020-07-21 18:31:49,21.41,45.42,9.07,0,1128,16088.058824,223,0,0,0,32798,32766,16083.531636,38776911,462609402,2276943,5968028,287134247,11961710,2243625,21883712,103426,1831409,2049160,3404246,19937585,412895256,8480968,461453808,527033,286363315,304912,144564,486720,1454538,67944,81275,283908,763565,400013218,18965806,145663396,4496471,32769451,2673157173,1663287446,0,202985199,2894849106,1715939920,64.37,60.90,1608337881,29.67,28.04,1608340290,61.43,59.91,1608339799,30.01,28.07,1608339076,2020-07-21 18:31:49,5.703,0.972,93.325,0,0,0,0,0,0,1,0,11,0.730,0.860,0.780,2093248512,121243504640,3284992,11374563328,632,0,1,0,80,0,0,0,4294963200,21-07 18:31:49,16417,1207
