time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:16:33,18.18,42.64,9.53,0,4475,16360.048091,873,0,0,0,118975,118891,16328.614394,24872171,375887531,2965899,8743352,315092065,27092660,2691439,10506629,553916,3593653,2848143,5449441,10890112,260922553,4575912,373116036,561761,316939638,872196,148070,673200,1737550,157973,529875,291563,1551510,241939668,10382830,155817399,4943365,26641666,2143222258,1238276109,0,207097436,3144320888,1511866709,80.76,69.00,1610226851,45.18,36.58,1610145873,75.16,67.54,1610068926,42.88,35.96,1609989788,2020-07-21 18:16:33,0.052,0.005,99.942,0.000,0,52.603,1950.526,0,0,0.500,0.063,7.400,0.830,0.870,0.620,2046382080,121423142912,3284992,11245944832,0,0,1,0,0.853,0.002,0.147,0,4294963200,21-07 18:16:33,144.746,126.701

2020-07-21 18:16:34,21.10,45.24,8.70,0,768,16134.646112,117,0,0,0,23545,23549,16130.868503,24029835,694458110,4943300,13013514,410272056,10379618,2047263,10675347,937036,6758530,3241193,3663377,29459462,553808451,1988518,737648634,346612,414499624,239712,1565135,82444,959952,32036,1088742,70089,2411414,584324198,29118665,150020433,5661311,23053652,2701974869,2541931116,0,314014219,2981874793,1424457629,74.92,91.17,1608798603,36.42,58.54,1608795988,68.23,90.51,1608788675,36.54,58.49,1608783013,2020-07-21 18:16:34,2.472,4.229,93.299,0,0,0,16384,0,0,1,0,9,0.830,0.870,0.620,2054500352,121320267776,3284992,11338067968,994,0,2,0,296,0,4,0,4294963200,21-07 18:16:34,16536,4325
2020-07-21 18:16:35,21.31,45.36,8.27,0,397,16083.978165,59,0,0,0,17633,17629,16092.903330,80941608,837471943,15471662,37338189,407559705,8110848,1802576,9913425,1462251,16915104,3323064,10704535,22174891,597220751,1539874,828205694,267434,405902422,187919,106799,42572,1028579,6671,1074931,26157,603737,584859188,22061705,151001022,4691552,23883501,2747594072,2829868177,0,317111895,2991818917,1430048888,70.81,60.50,1608969768,36.10,27.81,1608969213,68.05,59.83,1608990231,36.82,28.02,1609030151,2020-07-21 18:16:35,5.803,0.774,93.424,0,0,0,0,0,0,0,0,7,0.830,0.870,0.620,2232397824,121129598976,3284992,11350380544,575,0,2,0,10,0,0,0,4294963200,21-07 18:16:35,16390,696
2020-07-21 18:16:36,21.33,45.38,8.62,0,399,16092.206186,54,0,0,0,5775,5775,16083.237866,17932256,995925198,2406142,8617468,630672831,12430912,2056439,6342014,693772,2366541,3505625,5502508,12327345,305427354,1087822,1024464235,167967,606691248,182813,34983,19020,1162475,6142,699665,23613,1704248,280796611,11186260,147269578,5839617,18407511,2692744238,3428800643,0,531605680,2953487108,1475766680,80.60,83.51,1608062520,44.62,50.65,1608063361,76.44,82.45,1608088405,45.23,50.71,1608051487,2020-07-21 18:16:36,6.246,0.322,93.432,0,0,0,12288,0,0,1,0,8,0.840,0.870,0.620,2274623488,121087365120,3284992,11350388736,1056,0,1,0,0,0,2,0,4294963200,21-07 18:16:36,16356,397
2020-07-21 18:16:37,21.49,45.55,8.57,0,347,16080.589988,53,0,0,0,10225,10225,16080.674234,11362018,1035984189,2078489,2549870,673696752,21308618,2083284,6000388,538494,2147819,2065426,3367661,4986743,179085222,1274717,1011630903,210226,670286571,339418,272751,18910,1146064,6344,583385,11966,550280,183416664,5110876,147050859,3915973,13965824,2690044056,3542154053,0,582479688,2933271073,1487296864,73.85,57.62,1607635127,40.78,24.93,1607636239,72.83,56.92,1607593094,41.41,25.03,1607594525,2020-07-21 18:16:37,6.254,0.193,93.553,0,0,0,0,0,0,0,0,9,0.840,0.870,0.620,2370703360,120991277056,3284992,11350396928,992,0,2,0,1,0,0,0,4294963200,21-07 18:16:37,16296,393
2020-07-21 18:16:38,21.60,45.72,9.85,0,426,16068.153763,52,0,0,0,1745,1745,16067.786359,51105174,1327037034,37055421,10798864,594033324,13849136,3214881,12368856,20917187,37314574,1484103,3387949,4028335,147692352,1318959,1355086958,180900,589465956,244992,103352,39691,2262018,11144,18408080,12609,213137,149743137,4037959,148123116,4022033,18479157,2698999167,4425064443,0,500893661,2938170012,1390793891,370.99,55.04,1607311406,339.88,23.84,1607306228,373.55,56.28,1607302294,345.06,24.95,1607298523,2020-07-21 18:16:38,6.379,0.129,93.492,0,0,0,0,0,0,1,0,6,0.840,0.870,0.620,2370699264,120991277056,3284992,11350401024,875,0,1,0,1,0,0,0,4294963200,21-07 18:16:38,16047,341
2020-07-21 18:16:39,21.78,46.00,11.29,0,477,16086.516397,50,0,0,0,409,409,16091.477370,87807715,1647533385,67907197,17525969,551869460,8011419,3379148,16715764,34452837,70596264,1298933,3727897,2699076,85552037,1337758,1664115043,190664,561488268,203215,5254,77857,2727129,38173,35630225,19141,17587,84823288,2717084,147904593,3598252,22988573,2718268540,5316146016,0,470814440,2974517615,1273283710,619.12,54.26,1608511703,591.05,24.47,1608514893,625.26,57.37,1608518802,599.49,26.63,1608521986,2020-07-21 18:16:39,6.508,0.064,93.428,0,0,0,143360,0,0,0,0,10,0.840,0.870,0.620,2370691072,120991277056,3284992,11350409216,978,0,3,0,1,0,28,0,4294963200,21-07 18:16:39,16273,422
2020-07-21 18:16:40,21.58,45.66,9.37,0,322,16081.791113,45,0,0,0,721,721,16092.920524,33456320,1196582286,20829745,7846836,654011064,17767015,2336833,8579382,9837907,20028500,1636062,2884498,4439614,162365133,1007256,1195314030,154338,651508562,295033,190821,28112,1475959,14113,10178903,14258,352157,162038489,4433288,150317465,3832540,16513552,2729722263,4062224521,0,557584499,2961667427,1425823605,216.69,56.25,1610019664,184.90,24.20,1610019926,217.48,56.51,1610021023,187.65,24.88,1610092989,2020-07-21 18:16:40,6.452,0.258,92.387,0.903,0,0,82571264,0,0,1,0,10,0.840,0.870,0.620,2370392064,120991567872,3284992,11350417408,1350,0,1,0,1,0,184,0,4294963200,21-07 18:16:40,16522,481
2020-07-21 18:16:41,20.40,44.47,8.88,0,1485,16103.012510,281,0,0,0,38702,38713,16090.135046,17566532,867913518,3861492,4382225,524700538,18188577,3416810,12462504,1462653,5232922,1831121,2520942,8833022,313397046,2077716,860878358,271930,533426915,427831,2009942,210933,2591454,65292,2455273,104313,607040,305430899,8918659,151580864,5064205,19875146,2562931153,2876850470,0,442612911,3074389912,1518378694,109.98,58.33,1610225144,76.29,25.49,1610244543,107.97,57.21,1610261623,76.32,25.30,1610231815,2020-07-21 18:16:41,6.443,0.064,93.492,0,0,0,0,0,0,0,0,10,0.850,0.870,0.620,2370318336,120991633408,3284992,11350425600,800,0,1,0,0,0,0,0,4294963200,21-07 18:16:41,16239,320
