time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:03:59,19.99,44.28,10.31,0,4539,16286.265082,901,0,0,0,125776,125663,16255.377920,26998394,548172998,4526515,9218177,333495494,23465866,1611911,10385144,216700,5637783,1780525,4964039,15750121,323170256,5645870,512790452,565531,323226434,848500,182415,751723,847182,155438,274104,331932,621495,334357722,15112385,173407096,3511758,26577023,2567225810,1965897711,0,240668740,3503727776,1649895375,27.68,21.17,1612001715,58.17,53.37,1611939600,56.81,52.21,1611857639,25.01,20.73,1611747305,2020-07-21 18:03:59,5.212,2.997,91.792,0,0,0,0,0,0,0,0,10,0.910,0.510,0.240,2064617472,121442832384,3284992,11210551296,579,0,2,0,308,0,0,0,4294963200,21-07 18:03:59,16777,4294
2020-07-21 18:04:00,20.52,44.64,9.47,0,3809,16172.922813,773,0,0,0,110163,110187,16173.127011,22575558,501349350,3811407,7982299,282496296,21302863,1455102,7827972,152703,3207998,1566484,4235276,15256601,320238643,5576455,489713061,522048,276206107,794267,127517,577738,580351,129439,207626,221668,359390,312997340,15783334,146775874,3038642,22894647,2413726841,1725587938,0,186949114,2949432256,1529763709,19.68,13.48,1610696572,51.34,45.83,1610686792,49.91,44.81,1610676110,18.40,13.54,1610665646,2020-07-21 18:04:00,3.706,2.926,93.368,0,0,0,4096,0,0,1,0,5,0.910,0.510,0.240,2056384512,121450520576,3284992,11210944512,943,0,2,0,290,0,1,0,4294963200,21-07 18:04:00,16653,3867
2020-07-21 18:04:01,20.00,44.01,9.76,0,3108,16100.451280,586,0,0,0,78873,78872,16101.405423,27771516,622368954,5421064,10567786,281674281,17778919,1586071,8196628,225725,3571622,1783841,4355591,18302110,359230666,5829830,630256982,415531,280232831,572983,89496,544957,576228,198584,223781,184006,407285,384769454,18423484,177339476,3195942,22400373,2652688878,2300827419,0,196798819,3527901879,1578697003,22.02,17.85,1611256074,53.17,50.13,1611267473,51.63,48.94,1611278393,20.26,17.53,1611295946,2020-07-21 18:04:01,5.917,2.276,91.808,0,0,0,4096,0,0,0,0,7,0.910,0.520,0.250,2056445952,121450315776,3284992,11210960896,860,1028,3,0,203,0,1,0,4294963200,21-07 18:04:01,16628,3087
2020-07-21 18:04:02,19.00,43.03,9.32,0,3102,16112.708647,570,0,0,0,76515,76492,16109.983435,26797690,626467497,5084928,10461426,289376557,18772880,1441619,8769179,187809,4597672,1905977,4603783,17206999,344713906,5227373,611546680,405770,272454614,578548,93906,501090,537166,111977,155506,171832,253009,365454885,17954629,177757278,3148674,20727458,2537685119,2260233806,0,199335250,3513950442,1493205934,19.67,14.16,1609233847,51.19,46.61,1609226085,49.71,45.56,1609217852,18.04,13.97,1609203265,2020-07-21 18:04:02,5.863,2.280,91.857,0,0,0,0,0,0,1,0,9,0.910,0.520,0.250,2065891328,121441177600,3284992,11210653696,640,0,3,0,197,0,0,0,4294963200,21-07 18:04:02,16430,3036
2020-07-21 18:04:03,19.32,43.29,10.07,0,4542,16078.964116,902,0,0,0,129781,129791,16078.941554,20905611,369127512,3144957,6393515,295429767,24436493,1654403,9332658,294343,3508962,1962186,4821213,11430753,274917710,4694544,369565147,565191,293170607,845183,149049,759069,792633,183495,227732,339916,542056,249037640,12427623,155836009,3515974,26061095,2244082028,1339981264,0,194385585,3130107542,1574891585,26.06,17.65,1607420294,56.87,49.92,1607420034,55.12,48.64,1607423523,23.01,17.34,1607423026,2020-07-21 18:04:03,3.201,3.854,92.946,0,0,0,4096,0,0,0,0,7,0.910,0.520,0.250,2066149376,121440550912,3284992,11210973184,811,0,5,0,345,0,1,0,4294963200,21-07 18:04:03,16575,4537
2020-07-21 18:04:04,20.56,44.54,9.67,0,3070,16082.040831,564,0,0,0,81772,81771,16081.805477,25529930,572490255,4672875,10306262,269583759,17769048,1305074,7972087,228845,3954565,1616935,4241057,18695578,385421559,5711031,627452768,429610,280691164,628038,119080,453997,457191,126609,166529,180843,222036,380385216,18362948,160352497,2914210,21376762,2520283671,2136414355,0,186851127,3168596456,1462646588,16.40,11.09,1608661773,48.78,43.74,1608656824,47.35,42.66,1608650177,15.24,10.90,1608647662,2020-07-21 18:04:04,5.729,2.083,92.188,0,0,0,4096,0,0,1,0,7,0.910,0.520,0.250,2059968512,121446719488,3284992,11210985472,815,0,1,0,201,0,1,0,4294963200,21-07 18:04:04,16492,3035
2020-07-21 18:04:05,19.55,43.54,9.22,0,3070,16083.713984,568,0,0,0,72519,72518,16087.018306,26172199,652840382,5638594,10696762,296952445,17131745,1362832,8457610,210897,4953248,1891078,4231806,18421578,357306038,5599393,605642474,414184,274564509,587917,96311,462971,545872,128062,142890,195142,389868,341403833,18105448,167910953,3084543,21000115,2564831195,2254247828,0,187466458,3497211309,1502115629,18.60,13.54,1608883019,50.26,45.93,1608908073,48.76,44.84,1608915696,16.76,13.11,1608923960,2020-07-21 18:04:05,5.997,2.216,91.786,0,0,0,62464,0,0,0,0,11,0.910,0.520,0.250,2061778944,121444900864,3284992,11210993664,635,0,2,0,189,0,5,0,4294963200,21-07 18:04:05,16611,3050
2020-07-21 18:04:06,17.61,41.60,10.13,0,4150,16093.484292,779,0,0,0,113463,113455,16091.383540,21881081,403958804,3660289,7935427,295863972,21949609,1697682,9869711,203810,4290569,1658704,4410204,13451987,305587351,4628300,452538719,505852,299434649,766266,130538,644573,686769,275405,280960,246440,507014,290119402,13557097,175771690,3435502,24751198,2294771800,1628456857,0,204522513,3530350368,1512520884,24.99,18.39,1609544019,55.80,50.43,1609525064,54.42,49.28,1609520543,22.40,17.73,1609518405,2020-07-21 18:04:06,4.110,3.783,92.107,0,0,0,0,0,0,1,0,7,0.920,0.520,0.250,2065559552,121440796672,3284992,11211317248,632,0,4,0,300,0,0,0,4294963200,21-07 18:04:06,16610,4177
2020-07-21 18:04:07,19.46,43.46,9.78,0,3255,16095.888095,614,0,0,0,86078,86080,16097.096386,20748087,526936574,3931742,7852145,255901587,18167756,1374479,7290206,143087,2895139,1599399,3200587,15740368,293168526,5252976,483607723,399626,242098901,663342,121589,494251,538421,142380,194772,186857,318800,297237799,15056673,154159862,2970419,20557853,2308705232,1794440037,0,171944589,3060422063,1386137759,17.24,11.00,1609909095,48.98,43.38,1609915901,47.66,42.33,1609924291,15.83,10.97,1609928938,2020-07-21 18:04:07,4.622,2.344,93.034,0,0,0,4096,0,0,0,0,5,0.920,0.520,0.250,2057789440,121448964096,3284992,11211014144,1597,0,2,0,215,0,1,0,4294963200,21-07 18:04:07,16584,3148
2020-07-21 18:04:08,19.58,43.61,9.25,0,3164,16113.024035,590,0,0,0,76838,76847,16114.903405,25224901,636219281,5070436,10162754,284339587,17738489,1454699,8197056,207418,5052273,1671994,4169175,18821530,369006372,5523740,647289650,407226,283209144,614240,121711,453416,508512,148875,178164,382856,435041,372952606,18404446,166871620,2987025,20600005,2559399649,2252289321,0,187212176,3374759813,1458196148,18.42,12.71,1611795623,49.92,45.21,1611798722,48.38,44.07,1611827428,16.45,12.33,1611840361,2020-07-21 18:04:08,5.852,2.406,91.743,0,0,0,4096,0,0,1,0,10,0.920,0.520,0.250,2059460608,121447284736,3284992,11211022336,1475,0,3,0,198,0,1,0,4294963200,21-07 18:04:08,16642,3154
2020-07-21 18:04:09,18.31,42.35,9.95,0,3868,16112.466380,741,0,0,0,102613,102602,16108.460477,24182071,511287449,4159582,10149183,304258937,20138139,1585283,9250758,273519,4725539,1673463,4064713,16234750,325681493,5466194,521341899,514520,293013367,760177,132059,569719,611853,150770,242043,275600,467024,345742551,15175588,174313870,3112766,23116751,2413115809,1950236663,0,210796855,3501012940,1484130721,23.09,16.15,1609591219,53.99,48.35,1609581249,52.44,47.14,1609549123,20.50,15.64,1609533630,2020-07-21 18:04:09,4.880,3.318,91.802,0,0,0,0,0,0,0,0,6,0.920,0.520,0.250,2068369408,121438363648,3284992,11211034624,579,0,2,0,278,0,0,0,4294963200,21-07 18:04:09,16568,3997
2020-07-21 18:04:10,17.96,41.93,9.62,0,3634,16080.380045,707,0,0,0,98336,98336,16082.672696,19075138,419076718,3258826,5950290,246424683,20343652,1447935,7598478,165420,2944995,1567579,3828360,13089382,284659762,4965795,439005435,463350,263672839,727588,126751,541327,561549,142236,156024,259823,307607,263838683,13577014,155791228,3041084,21229571,2137148028,1523049623,0,162453091,3153242271,1380997817,18.15,12.50,1608347594,49.34,44.57,1608358459,48.30,43.73,1608367332,16.44,12.16,1608376101,2020-07-21 18:04:10,3.709,2.928,93.364,0,0,0,4096,0,0,1,0,9,0.920,0.520,0.250,2058371072,121448353792,3284992,11211042816,747,0,2,0,241,0,1,0,4294963200,21-07 18:04:10,16569,3453
2020-07-21 18:04:11,19.17,43.18,9.01,0,3083,16098.797470,562,0,0,0,71897,71917,16098.938984,24608924,617543084,4964340,10215732,263647636,16497939,1323833,7916152,176898,5282592,1790978,3741484,18585830,416056616,5516578,682713837,388156,301953539,554482,108046,416169,669636,124140,192928,218626,480437,344198521,18464540,171536465,3071771,20849584,2512029645,2185313218,0,175298089,3408274587,1437231315,17.97,12.81,1610767876,48.78,44.81,1610761784,47.91,43.93,1610754408,16.42,12.51,1610747324,2020-07-21 18:04:11,5.783,2.339,91.878,0,0,0,51712,0,0,0,0,14,1.090,0.560,0.260,2059366400,121447346176,3284992,11211055104,1596,54,2,0,182,0,5,0,4294963200,21-07 18:04:11,16544,3044
2020-07-21 18:04:12,18.78,42.80,9.62,0,3637,16110.047363,671,0,0,0,96002,95982,16107.564455,25410864,532392103,4222939,10187594,299042772,19830222,1533570,9271106,164855,4831325,1556156,4118595,16308532,318452814,5472334,532013556,495907,291868659,687942,121030,505204,547677,123241,173599,258959,338298,313544631,15134817,173863833,3059219,22493512,2410850646,1932086893,0,208587127,3482008903,1513558825,20.44,14.27,1609648582,51.40,46.49,1609642810,50.45,45.57,1609636446,18.62,14.08,1609631402,2020-07-21 18:04:12,4.951,3.322,91.726,0,0,0,0,0,0,1,0,7,1.090,0.560,0.260,2066763776,121439932416,3284992,11211071488,1084,0,2,0,267,0,0,0,4294963200,21-07 18:04:12,16715,3846
2020-07-21 18:04:13,17.90,41.87,9.46,0,3671,16080.601237,714,0,0,0,100936,100966,16082.828106,18796147,395349296,3192895,5713465,251174925,20665542,1427787,7488374,167339,2886837,1561152,3723001,13403632,290138767,4840345,424926418,456353,257480661,732605,131062,529595,553653,151253,162610,236544,296195,259650755,12984403,154661145,3000993,21772850,2067204410,1365030931,0,160633417,3104448195,1380315266,18.13,12.42,1608511719,49.52,44.65,1608523344,48.33,43.75,1608533746,16.89,12.45,1608542548,2020-07-21 18:04:13,3.774,2.863,93.364,0,0,0,4096,0,0,0,0,8,1.090,0.560,0.260,2057891840,121448796160,3284992,11211079680,928,0,2,0,243,0,1,0,4294963200,21-07 18:04:13,16574,3412
2020-07-21 18:04:14,19.42,43.44,9.71,0,3079,16099.753597,583,0,0,0,72546,72542,16100.954419,26700260,624319380,5328593,11099640,271294321,16587113,1333396,7977158,218362,5444643,1699359,3438159,18765350,370048151,5399722,626159532,396190,275109619,559348,112040,647812,724823,190529,208534,166655,277226,367358037,18769132,176609555,3046840,21159335,2582898037,2300092479,0,190055412,3518396272,1498016300,19.50,14.37,1610807791,50.82,46.80,1610804393,49.54,45.89,1610802415,17.61,14.11,1610801145,2020-07-21 18:04:14,5.978,2.339,91.683,0,0,0,4096,0,0,1,0,13,1.090,0.560,0.260,2059296768,121447284736,3284992,11211083776,959,0,2,0,185,0,1,0,4294963200,21-07 18:04:14,16582,3062
2020-07-21 18:04:15,18.77,42.80,9.69,0,3444,16110.134999,632,0,0,0,92240,92214,16106.413978,25907203,552883985,4788066,10021212,295961884,19075307,1461988,9332950,167838,3195873,1546183,4424093,16684191,360006248,5475490,596804807,470719,297382007,683421,140360,513942,591824,138449,195017,250696,504832,357870654,15834969,175356895,3291531,22097847,2479385447,2103088705,0,208980343,3517593727,1505588003,20.71,15.08,1609081282,51.38,47.10,1609070120,50.37,46.16,1609082566,18.29,14.72,1609073407,2020-07-21 18:04:15,5.003,3.184,91.813,0,0,0,0,0,0,0,0,9,1.090,0.560,0.260,2069712896,121436856320,3284992,11211096064,1078,0,2,0,263,0,0,0,4294963200,21-07 18:04:15,16661,3731
2020-07-21 18:04:16,20.26,44.25,9.86,0,4432,16066.907467,880,0,0,0,125771,125814,16066.907780,21071854,414726298,2914680,6812204,294895072,23854410,1631516,8629242,207717,3270338,1706321,4472064,13488454,287074576,5291554,414826694,553756,289318693,882685,163520,714002,751666,208626,297429,338579,444798,281540001,12812472,143615968,3416967,24929587,2254549759,1433382202,0,192265700,2914274788,1529663084,25.41,17.96,1606900243,56.34,49.94,1606897124,54.82,48.68,1606871295,23.15,17.80,1606867929,2020-07-21 18:04:16,3.583,3.062,93.355,0,0,0,4096,0,0,1,0,6,1,0.560,0.260,2058416128,121448230912,3284992,11211108352,848,42,2,0,305,0,1,0,4294963200,21-07 18:04:16,16554,4039
