time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:06:22,20.40,44.64,10.23,0,4251,16226.914096,878,0,0,0,126546,126517,16223.210446,21408646,435485903,2994578,7804942,301593135,23569490,1735391,9546557,267495,3855880,3538420,5947581,14072764,341736043,4638794,493770628,545221,312666552,830957,153224,696091,792458,147970,181619,327278,2121449,294296850,14267855,151306023,5042676,26764533,2364642052,1520979385,0,194970859,2994716650,1606260265,30.48,39.72,1610194770,59.68,72.42,1610103520,25.41,38.39,1609966717,58.63,71.96,1609900076,2020-07-21 18:06:22,3.648,3.127,93.225,0,0,0,0,0,0,0,0,10,0.870,0.660,0.340,2130677760,121372688384,3284992,11213619200,696,298,2,0,304,0,0,0,4294963200,21-07 18:06:22,16605,3971
2020-07-21 18:06:23,20.62,44.70,9.51,0,3630,16132.742990,757,0,0,0,105715,105736,16133.214228,16541618,546007964,2693446,4547623,281934786,20171536,1480968,7851773,231355,5946473,1737303,4066333,15585380,298268436,3935373,497091047,477253,271264696,783594,162041,693810,754074,165730,200185,315087,364684,320798068,16282548,146622519,3201545,22506973,2358091410,1927168504,0,190701171,2904427864,1462884628,23.48,17.47,1607972934,55.28,50.11,1607975171,20.74,15.96,1607977399,54.22,49.66,1607977719,2020-07-21 18:06:23,3.906,2.669,93.424,0,0,0,4096,0,0,1,0,6,0.870,0.660,0.340,2054041600,121447866368,3284992,11215024128,1091,0,1,0,282,0,1,0,4294963200,21-07 18:06:23,16534,3762
2020-07-21 18:06:24,20.86,44.88,9.53,0,2846,16093.436008,595,0,0,0,81297,81298,16093.039157,17606682,582186198,3696535,5199551,271453081,17330644,1415744,7247475,268749,3268766,3185308,4867055,18676882,358973263,2994559,631730614,380511,274809412,587506,101401,554765,611327,487152,1497839,693644,2295092,314003403,16183515,149065630,5730159,23135115,2463651110,2056583998,0,156543233,2938194665,1513283903,28.93,37.45,1610082697,58.12,70.04,1610094414,23.81,36.06,1610103242,57.60,69.70,1610133824,2020-07-21 18:06:24,4.554,2.147,93.299,0,0,0,12288,0,0,0,0,5,0.870,0.660,0.340,2054959104,121446932480,3284992,11215040512,947,0,1,0,213,0,3,0,4294963200,21-07 18:06:24,16545,2832
2020-07-21 18:06:25,20.55,44.60,9.63,0,2893,16099.864580,598,0,0,0,78534,78535,16099.873316,18611884,557014257,3571085,6754446,259020641,17420869,1480978,7571635,164722,7983933,1828247,3617118,18331526,395662547,3052072,661747476,409219,294561904,605456,95131,512775,634885,210303,279879,297364,1962140,352605053,18066361,152093621,5012383,22601616,2485236534,2118212866,0,166283232,3046287519,1560589423,29.03,37.31,1609541327,58.19,69.82,1609528110,24.22,35.96,1609516380,58.03,69.65,1609485781,2020-07-21 18:06:25,4.681,2.016,93.303,0,0,0,20480,0,0,1,0,11,1.040,0.700,0.350,2054127616,121447829504,3284992,11214974976,692,0,1,0,206,0,5,0,4294963200,21-07 18:06:25,16508,2857
2020-07-21 18:06:26,19.43,43.44,10.21,0,4208,16093.117124,887,0,0,0,126236,126213,16093.110833,18797154,409454420,2565930,6271766,295736905,22778634,1600613,8550634,236271,3315619,3206712,5870751,12455356,247704170,4739802,375627398,570065,289045814,882520,182632,810217,886040,283338,164260,277778,998333,306023392,12334260,150619643,3642274,24689849,2233285742,1420308182,0,196487512,3013290155,1519147031,30.47,37.76,1608739666,59.79,70.68,1608741377,25.49,36.32,1608769988,58.73,69.76,1608773058,2020-07-21 18:06:26,3.583,3.192,93.225,0,0,0,0,0,0,0,0,7,1.040,0.700,0.350,2130022400,121373093888,3284992,11213815808,811,0,2,0,319,0,0,0,4294963200,21-07 18:06:26,16509,4120
2020-07-21 18:06:27,21.26,45.28,9.50,0,3695,16094.211300,774,0,0,0,108142,108142,16094.430156,18136892,538598308,3589518,5541916,273158686,20928783,1559627,8657047,184014,3902084,1685133,4386332,17259400,372955357,3998829,614393195,477350,305834838,758466,150131,625734,653872,249072,263449,291276,403840,336917998,17741096,142579779,3191313,22209047,2452455775,2048462465,0,188875282,2857011135,1549328531,24.50,17.02,1609696047,56.08,49.68,1609757849,21.23,15.20,1609728930,55.32,49.24,1609722714,2020-07-21 18:06:27,4.224,2.339,93.437,0,0,0,151552,0,0,1,0,6,1.040,0.700,0.350,2052943872,121448984576,3284992,11215065088,756,42,1,0,280,0,12,0,4294963200,21-07 18:06:27,16639,3725
2020-07-21 18:06:28,20.83,44.88,9.36,0,2965,16085.225770,625,0,0,0,82160,82180,16086.036884,17582264,595007069,3748063,5733355,271332021,17521051,1510086,7313021,239670,3320770,3150046,4875544,17916516,343149718,3131130,605163792,415961,276240011,652426,118184,686065,820740,1045752,389961,507185,3082983,324495894,16710575,145912789,4847689,21699409,2465657223,2174265539,0,167650964,2961536124,1505184597,29.73,37.69,1608950279,59.23,70.21,1608898644,24.68,36.22,1608914751,58.34,69.93,1608930596,2020-07-21 18:06:28,4.554,2.147,93.299,0,0,0,4096,0,0,0,0,9,1.040,0.700,0.350,2054393856,121447452672,3284992,11215081472,523,0,4,0,216,0,1,0,4294963200,21-07 18:06:28,16373,2938
2020-07-21 18:06:29,20.66,44.69,9.58,0,2651,16107.919429,550,0,0,0,75873,75863,16106.565576,18777136,578430376,3421567,6458234,272434798,16726309,1524120,6752441,242420,3186160,1629402,3355965,17987906,372613008,2980549,618555893,391641,277208229,582273,93203,669496,831513,203746,200358,443888,2015800,320764815,16159428,145691285,5100197,22096041,2392819565,2015669963,0,158445899,2901020556,1502699510,28.61,37.38,1610028133,58.33,70.01,1610007699,23.82,36.02,1609984881,57.36,69.71,1609964079,2020-07-21 18:06:29,4.551,2.146,93.303,0,0,0,4096,0,0,1,0,6,1.040,0.700,0.350,2052878336,121448955904,3284992,11215093760,639,0,2,0,197,0,1,0,4294963200,21-07 18:06:29,16265,2609
2020-07-21 18:06:30,21.62,45.65,10.11,0,4136,16072.852033,894,0,0,0,124807,124797,16073.512183,21639839,490527683,3209003,7982188,289696200,22757787,1639745,8942216,434262,5762496,1954360,4871204,14912649,326560914,4679397,521038761,543690,307113723,817654,151573,672676,694617,138409,195396,515268,2119907,294755670,15500226,145650440,5298249,26177877,2530913896,1769327586,0,188346487,2920949641,1678351966,31.59,38.25,1607224019,61.16,71.08,1607223409,26.02,36.60,1607223489,58.89,69.95,1607222993,2020-07-21 18:06:30,3.964,2.729,93.307,0,0,0,200704,0,0,0,0,8,1.040,0.710,0.360,2129645568,121373425664,3284992,11213856768,736,1028,2,0,327,0,5,0,4294963200,21-07 18:06:30,16638,4163
2020-07-21 18:06:31,22.31,46.30,9.75,0,4351,16075.458680,941,0,0,0,130833,130833,16073.940083,21585884,534828192,3073585,7627141,313498573,23571937,1969634,9423554,232364,3712442,1917162,5476815,15987418,352684252,4558717,537763476,573299,333729670,860985,160921,688444,747563,200205,291140,582290,2731006,325230875,14882010,143971407,5818187,27469253,2548072105,1811462468,0,217470897,2850222730,1691735872,35.59,40.93,1607239336,64.79,73.58,1607241884,30.04,39.31,1607242379,63.28,72.91,1607257565,2020-07-21 18:06:31,3.901,2.731,93.368,0,0,0,4096,0,0,1,0,9,1.040,0.710,0.360,2128252928,121374773248,3284992,11213869056,1120,0,2,0,340,0,1,0,4294963200,21-07 18:06:31,16667,4343
