time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:08:30,21.26,45.43,10.19,0,4130,16192.436315,880,0,0,0,126085,126038,16190.883364,21328137,593032013,2653373,7024885,382353257,24018262,1738836,9252512,562774,4275726,2575662,5373732,13776268,426238347,4710892,579849137,535579,371925242,876684,142293,662110,789222,188091,312161,251058,795571,412130811,12989006,145845140,3734573,24960589,2438369803,1769454198,0,284244835,2920058586,1565718479,30.83,23.66,1609228246,60.61,56.12,1609153990,26.20,21.72,1609080073,59.94,55.87,1609038893,2020-07-21 18:08:30,3.969,2.668,93.364,0,0,0,0,0,0,0,0,4,0.880,0.760,0.420,2063753216,121428611072,3284992,11224391680,886,0,2,0,306,0,0,0,4294963200,21-07 18:08:30,16598,3868
2020-07-21 18:08:31,20.70,44.79,9.26,0,2416,16129.502534,472,0,0,0,65275,65285,16130.591194,24901105,581552326,6698068,6608206,356269118,15977521,1676207,9915632,478433,5755370,1824037,3580267,21078096,414989932,3687338,578338406,378048,343050120,559578,73863,366437,433669,143452,321748,171545,498302,425643867,21728341,142674784,4108414,23371203,2459493866,2081082592,0,277346995,2844227026,1419263880,26.85,20.82,1608361647,57.72,53.30,1608372235,23.72,19.42,1608412006,57.59,53.50,1608416290,2020-07-21 18:08:31,4.743,1.884,93.372,0,0,0,10825728,0,0,1,0,9,0.880,0.760,0.420,2051215360,121440919552,3284992,11224416256,1280,0,2,0,176,0,40,0,4294963200,21-07 18:08:31,16471,2544
2020-07-21 18:08:32,19.27,43.30,9.80,0,2417,16094.751403,484,0,0,0,67568,67558,16102.295034,17719000,608971760,2610757,5800092,359329652,16327368,1763107,7795135,390592,3854646,3289310,4390027,16834977,435061316,2927110,594887101,353970,370659307,543611,2488628,448446,896891,235101,544694,212162,462922,434446355,17681666,150236917,4026930,20314251,2325390051,1806005320,0,258262473,2991883383,1414955218,31.59,30.16,1610022052,61.53,62.65,1610010184,27.70,28.94,1609969978,61.46,62.76,1609933528,2020-07-21 18:08:32,4.554,2.277,93.169,0,0,0,0,0,0,0,0,9,0.880,0.760,0.420,2079244288,121412870144,3284992,11224436736,452,0,2,0,164,0,0,0,4294963200,21-07 18:08:32,16465,2287
2020-07-21 18:08:33,19.89,43.90,9.21,0,3296,16092.186125,677,0,0,0,93166,93187,16084.142990,21746902,486516090,5678870,4994750,318985486,19350346,1483085,10929108,161882,5218389,1577806,3460519,19705065,345735447,3987102,499729737,407871,338157578,675691,133161,504436,566662,118165,165525,229840,313524,327322606,20157303,146669177,3135099,23857097,2357004204,1678777299,0,238468694,2957927226,1472998553,19.96,12.06,1608213373,51.52,44.74,1608223673,17.13,10.49,1608231765,50.97,44.60,1608240775,2020-07-21 18:08:33,4.096,2.471,93.433,0,0,0,0,0,0,1,0,8,0.880,0.760,0.420,2050932736,121441181696,3284992,11224436736,691,0,2,0,246,0,0,0,4294963200,21-07 18:08:33,16565,3372
2020-07-21 18:08:34,19.92,43.96,9.27,0,1402,16084.230765,283,0,0,0,37966,37945,16093.548993,22800260,726716952,5771437,6415786,397503446,12782815,1539356,8372432,326534,4873947,1752304,3095864,19275244,544555573,2482105,737571414,276947,384852789,370287,44612,422652,588506,68464,221551,144552,368200,506179850,19919317,149376784,3857764,20379688,2464676727,2321726100,0,317401864,2949376238,1347040528,23.15,23.18,1609183188,53.88,55.83,1609177680,19.92,22.08,1609174376,53.88,55.95,1609172668,2020-07-21 18:08:34,5.386,1.298,93.316,0,0,0,0,0,0,0,0,5,0.880,0.760,0.420,2079842304,121412558848,3284992,11224150016,460,0,4,0,93,0,0,0,4294963200,21-07 18:08:34,16330,1327
2020-07-21 18:08:35,18.33,42.36,9.74,0,4256,16096.704972,829,0,0,0,122279,122280,16086.677058,18897232,343682373,2753421,5326340,281992017,23351282,1681054,9158073,309431,4197080,1753709,4480425,13644208,254098192,4822010,362003247,475849,301077769,813292,159683,620056,617334,167816,209214,289083,450335,254722550,13035773,152433181,3301951,24345031,2113736072,1231297389,0,195077145,3043308118,1453309374,24.74,15.88,1609550057,56.04,48.39,1609574298,21.93,14.03,1609586171,55.31,48.20,1609595985,2020-07-21 18:08:35,3.201,3.527,93.272,0,0,0,4096,0,0,1,0,10,0.890,0.770,0.420,2052792320,121447026688,3284992,11216719872,1059,0,3,0,324,0,1,0,4294963200,21-07 18:08:35,16559,4266
2020-07-21 18:08:36,20.76,44.80,9.44,0,1170,16098.503246,228,0,0,0,30549,30571,16097.984303,20634631,766700521,6639410,5117646,409849151,11162611,1328729,8539391,322387,6251252,2815847,3741070,23601558,521544948,3273604,733830196,399827,405444011,382038,36135,205166,704174,173071,611322,77705,1078862,525123418,21721273,141671258,4017578,18700311,2484814127,2347260557,0,303067213,2835337010,1311797150,26.01,24.15,1609058558,56.37,56.61,1609038375,22.60,22.98,1609061400,56.65,56.81,1609076120,2020-07-21 18:08:36,5.638,1.037,93.325,0,0,0,4096,0,0,0,0,8,0.890,0.770,0.420,2051751936,121440325632,3284992,11224461312,988,0,2,0,68,0,1,0,4294963200,21-07 18:08:36,16196,1125
2020-07-21 18:08:37,18.92,42.93,10.17,0,3745,16084.001079,758,0,0,0,109552,109529,16090.152707,17981873,480511101,2151507,5595255,343999605,20760398,1551388,7910192,300694,3179699,1871615,4165289,11510783,365143090,4020672,517142133,486302,351691848,743399,142759,816118,886535,189107,283532,338282,689988,344043286,11434172,152345740,3614909,24007915,2220466664,1468148253,0,247833107,3050247757,1449914563,25.63,18.37,1609175305,56.52,50.94,1609171563,22.10,16.68,1609190576,55.84,50.77,1609162942,2020-07-21 18:08:37,3.453,3.322,93.225,0,0,0,0,0,0,1,0,6,0.890,0.770,0.420,2064687104,121427382272,3284992,11224469504,684,0,2,0,287,0,0,0,4294963200,21-07 18:08:37,16530,3740
2020-07-21 18:08:38,20.08,44.11,9.02,0,2260,16092.629819,444,0,0,0,60631,60669,16087.415563,23910729,585455018,6297702,6310860,335907122,15045918,1533840,9625804,223620,5930806,2287169,4176590,22493568,461520705,3341448,638384442,315278,386337814,497210,89288,350511,573512,75197,337692,176187,304532,432692605,22119621,148798033,3345756,21826473,2481767399,2071968471,0,259243884,2955680565,1431435649,22.82,19.75,1609278782,53.42,52.24,1609301180,19.44,18.35,1609267096,53.66,52.52,1609290277,2020-07-21 18:08:38,5.191,1.493,93.316,0,0,0,4096,0,0,0,0,9,0.890,0.770,0.420,2050588672,121441468416,3284992,11224481792,762,0,1,0,147,0,1,0,4294963200,21-07 18:08:38,16515,2215
2020-07-21 18:08:39,19.82,43.88,9.88,0,2463,16111.183304,515,0,0,0,73021,72983,16119.783576,22794260,626174003,4364013,7114085,367157481,16967545,1721798,8045569,396494,3168025,1713493,3595210,14119527,496831411,3125516,670074378,361194,383865529,544509,105964,413377,793889,196233,367959,173431,601520,453547630,14108837,145218837,4030938,21882689,2360597267,2001516724,0,287133347,2963587548,1431271407,31.83,28.65,1610908077,61.96,61.12,1610881797,27.74,27.22,1610858500,61.93,61.24,1610833424,2020-07-21 18:08:39,4.543,2.141,93.316,0,0,0,0,0,0,1,0,6,0.890,0.770,0.420,2078556160,121413189632,3284992,11224793088,756,0,2,0,192,0,0,0,4294963200,21-07 18:08:39,16508,2531
