time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:11:24,18.32,42.54,10.18,0,4431,16226.613640,883,0,0,0,125143,125112,16233.835054,21100046,394802569,2668696,7160499,312845790,24116248,1789183,9200003,309050,3891566,1985267,5335852,11187758,284816729,4561678,399975660,559446,304462289,934262,162032,691399,734169,167252,257145,341181,501178,271551804,10719992,158199162,3334167,25764144,2182310608,1387840667,0,204234010,3142525809,1480591036,27.34,20.75,1613663849,24.91,20.19,1613564793,55.27,51.04,1613508396,56.69,52.66,1613449728,2020-07-21 18:11:24,3.259,3.585,93.155,0,0,0,0,0,0,1,0,11,0.900,0.820,0.500,2056032256,121426903040,3284992,11233497088,1591,298,2,0,303,0,0,0,4294963200,21-07 18:11:24,16645,4175
2020-07-21 18:11:25,20.38,44.53,8.82,0,2815,16179.374301,295,0,0,0,37449,37456,16176.380788,26358620,797519675,7798760,7800795,354175937,12871984,1170512,7398172,207537,9626297,1597006,3058596,5887697,446385142,2183666,767507919,350481,338474532,396835,54129,265756,322088,221985,209794,119245,297453,449290038,5582388,151561292,2842534,18456975,2556400743,3875841633,0,257171674,3007432900,1288584326,16.17,11.34,1610323389,14.97,10.91,1610303620,45.89,42.12,1610358895,47.79,43.60,1610339721,2020-07-21 18:11:25,5.372,1.230,93.333,0.065,0,0,5767168,0,0,0,0,7,0.900,0.820,0.500,2052337664,121424490496,3284992,11239313408,907,0,2,0,107,0,12,0,4294963200,21-07 18:11:25,16552,2932
2020-07-21 18:11:26,18.63,42.66,9.46,0,3791,16092.591714,718,0,0,0,93869,93862,16094.352827,22260098,494256298,4116908,7267821,317535329,20253983,1694045,8592644,206897,5034115,1707710,4836282,9098650,326283554,3851233,512923276,487872,310963286,708606,118400,575221,562112,137125,170815,256182,461514,326841899,8992934,154655248,3438554,23294747,2301489751,2168783760,0,224322880,3061615958,1451230014,24.09,17.10,1609251890,22.27,16.73,1609254110,52.78,47.39,1609183661,53.81,48.78,1609185028,2020-07-21 18:11:26,4.224,2.469,93.307,0,0,0,43520,0,0,1,0,9,0.910,0.820,0.500,2058387456,121422503936,3284992,11235213312,572,0,2,0,235,0,4,0,4294963200,21-07 18:11:26,16593,3661
2020-07-21 18:11:27,19.68,43.70,9.01,0,3562,16091.252150,502,0,0,0,65796,65814,16083.677659,23723579,636224830,6025523,6926730,320137294,16474633,1305096,7519673,180095,7727463,1744525,3234143,7490471,398948464,2907522,660722555,442604,326161452,572101,97202,411389,432473,140667,201428,196728,334688,416276210,7771812,154139621,3026639,21542509,2428014826,3058316221,0,238382317,2992555521,1353016266,18.61,11.36,1608056364,17.67,11.12,1608055667,48.36,42.11,1608052741,49.83,43.53,1608049424,2020-07-21 18:11:27,4.598,2.008,93.329,0.065,0,0,5767168,0,0,0,0,9,0.910,0.820,0.500,2051432448,121425113088,3284992,11239559168,1290,0,1,0,177,0,12,0,4294963200,21-07 18:11:27,16550,3635
2020-07-21 18:11:28,19.27,43.27,9.18,0,3006,16091.976345,491,0,0,0,65511,65493,16095.389645,24699865,630312930,5739898,7833372,329495372,16801747,1402956,8032040,275592,6969533,1568505,4303542,7532169,380883272,2858484,618949436,410721,326329711,558161,88282,387745,449953,181158,208431,227488,624953,390112834,7207982,154572286,3389163,21423650,2375480231,2958125781,0,242519795,3022094635,1338532346,20.02,14.22,1609030844,18.91,14.04,1609031465,49.72,45.27,1609030310,50.98,46.58,1609032026,2020-07-21 18:11:28,4.808,1.884,93.307,0,0,0,0,0,0,1,0,6,0.910,0.820,0.500,2056212480,121423126528,3284992,11236892672,756,0,2,0,166,0,0,0,4294963200,21-07 18:11:28,16381,2909
2020-07-21 18:11:29,19.05,43.05,9.31,0,4176,16076.892508,645,0,0,0,93998,94012,16080.312153,21505566,511902419,4585478,6483467,306833969,19776736,1455465,8308156,172288,5816082,1609044,3949690,9631959,381577811,3714957,565136636,523367,322064399,714520,125250,592545,587090,134293,190199,248697,311699,327853239,8927773,151222289,3077978,22552185,2282771799,2269689909,0,216129176,3028100211,1418548427,21.84,13.69,1609090070,20.56,13.35,1609091018,51.31,44.30,1609092284,52.84,45.80,1609092746,2020-07-21 18:11:29,4.091,2.532,93.312,0.065,0,0,5997056,0,0,0,0,7,0.910,0.820,0.500,2051477504,121425022976,3284992,11239571456,943,42,1,0,247,0,31,0,4294963200,21-07 18:11:29,16642,4235
2020-07-21 18:11:30,20.59,44.64,8.69,0,2449,16109.828169,323,0,0,0,37284,37270,16111.246796,27520982,794197340,7566222,8552551,356992600,13298483,1292777,7590114,182509,9199914,1489018,3755268,5742566,475284608,1927948,804852216,339077,359363173,403545,51568,293652,542318,183645,271025,175138,394757,453541263,5729752,149465617,3161494,20091972,2571213088,3888573252,0,271744963,3017592388,1336887974,17.78,12.65,1610225624,16.39,12.18,1610233268,47.84,43.91,1610245949,49.20,44.96,1610259306,2020-07-21 18:11:30,5.584,1.104,93.312,0,0,0,0,0,0,1,0,7,0.910,0.820,0.500,2055245824,121422163968,3284992,11238760448,943,0,2,0,96,0,0,0,4294963200,21-07 18:11:30,16377,2368
2020-07-21 18:11:31,18.66,42.68,9.79,0,4851,16081.513630,910,0,0,0,126928,126958,16071.257709,20546455,404618187,2997571,5997216,307892766,23770967,1743325,9187368,233767,3331317,2006550,4705505,10417254,235999066,4708768,337518576,575613,280753466,905817,161658,721694,888979,197254,284457,323603,603339,291369749,10851087,157818952,3639513,26061059,2307214340,1546703067,0,215596764,3126162735,1531909171,29.69,19.70,1608111994,27.54,19.48,1608124714,58.12,49.86,1608133181,59.11,51.46,1608137679,2020-07-21 18:11:31,3.064,3.651,93.220,0.065,0,0,5767168,0,0,0,0,7,0.990,0.840,0.510,2051891200,121430773760,3284992,11233406976,620,0,3,0,338,0,12,0,4294963200,21-07 18:11:31,16722,4862
2020-07-21 18:11:32,20.29,44.34,8.54,0,2634,16099.022169,237,0,0,0,28443,28413,16098.123955,26048271,804732410,7677445,8270274,348439133,11809110,1140359,6979425,169725,9608038,1538360,3719565,5269301,480256015,1802789,837643905,324473,367657887,338981,48560,221464,240119,181421,244941,241121,245307,471554121,5519044,153865866,2808081,19067360,2586169062,4027140025,0,270023964,3047962640,1291449677,14.82,9.43,1609097992,13.71,9.05,1609073439,44.87,40.33,1609050561,46.58,41.69,1609031989,2020-07-21 18:11:32,5.757,0.776,93.402,0.065,0,0,5767168,0,0,1,0,9,0.990,0.840,0.510,2052227072,121424527360,3284992,11239387136,692,0,2,0,68,0,12,0,4294963200,21-07 18:11:32,16180,2593
2020-07-21 18:11:33,18.75,42.76,9.54,0,3917,16087.197096,760,0,0,0,104545,104545,16090.079717,22542879,489139751,3959205,6999567,313709579,21532509,1575068,8682922,179211,4456205,1656707,4818824,9740445,313877843,3894073,461639336,513629,309722025,740941,145494,537066,780735,196769,273004,314024,616434,321647619,9573021,153043047,3551359,24413974,2283438281,2062019793,0,220845911,3113414440,1469839340,24.70,17.02,1608475900,22.92,16.55,1608474490,53.64,47.54,1608472293,54.82,48.94,1608467237,2020-07-21 18:11:33,3.839,2.928,93.234,0,0,0,0,0,0,0,0,10,0.990,0.840,0.510,2055303168,121425801216,3284992,11234967552,508,0,2,0,278,0,0,0,4294963200,21-07 18:11:33,16568,3915
