time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:14:20,18.47,42.77,9.35,0,4312,16276.801104,870,0,0,0,124787,124765,16281.350720,20185445,376454572,2681105,5920108,299769533,25282107,1631152,9358653,220594,3275554,1810946,4196319,11246881,255641099,3973670,378715524,488982,302433658,848696,145766,661591,793815,135665,165653,353466,642524,233192977,11412993,155110869,3471777,25197040,2165015258,1336053722,0,200251255,3121223341,1481791240,58.68,53.96,1611583738,23.98,21.51,1611533003,53.81,52.11,1611426832,21.75,20.43,1611365836,2020-07-21 18:14:20,3.327,3.523,93.151,0,0,0,1536,0,0,1,0,8,0.910,0.900,0.590,2061410304,121410981888,3284992,11243679744,639,0,1,0,306,0,2,0,4294963200,21-07 18:14:20,16526,4102
2020-07-21 18:14:21,17.32,41.42,9.33,0,9978,16156.749122,573,0,0,0,84392,84394,16149.277777,21232315,389709182,2705182,4868689,274275271,23202618,1514016,10398739,246315,4872402,1869377,4263546,9930712,215046263,3698155,338673306,458341,255245701,697503,114120,615086,890947,131538,269492,188254,628893,227264644,10089901,142449301,3406525,24710001,2047111695,1409421642,0,183573153,2821967947,1374385471,54.02,48.74,1611074949,23.54,19.76,1611104503,50.87,46.98,1611118909,22.72,19.20,1611130817,2020-07-21 18:14:21,2.878,3.009,93.918,0.196,0,0,11388928,0,0,0,0,8,0.910,0.900,0.590,2053480448,121406566400,3284992,11255648256,1056,5628,2,0,213,0,28,0,4294963200,21-07 18:14:21,16728,10039
2020-07-21 18:14:22,18.26,42.35,9.25,0,3939,16121.244321,733,0,0,1,101081,101086,16126.887100,26059921,473419998,3355710,5937288,327530081,26026831,1670307,11493451,274255,4605125,1897841,3831396,12575995,282635047,3792629,489895498,447956,329173012,714351,120012,502877,742644,137356,255431,336411,667668,251929803,11317764,165556469,3649836,26143203,2267278730,1789577377,0,227417603,3300885597,1475021853,59.98,54.98,1612202495,25.00,22.03,1612180541,55.91,52.97,1612175593,24.06,21.32,1612173477,2020-07-21 18:14:22,4.311,3.462,92.227,0,0,131072,4096,0,0,1,0,7,0.910,0.900,0.590,2053599232,121417883648,3284992,11244212224,1040,6402,2,0,248,2,1,0,4294963200,21-07 18:14:22,16618,3905
2020-07-21 18:14:23,17.80,41.88,8.92,0,3419,16122.216643,636,0,0,0,86605,86604,16114.877652,21709621,459023609,2688262,5271989,317949136,25945313,1701319,10384114,202858,4193080,1707746,3528432,12044159,220990706,3353666,461294844,388452,303743469,628094,101247,471073,584153,102189,169563,196162,355003,236295552,12512090,156627456,3178266,24038280,2154137228,1745162289,0,220030402,3126347153,1390146710,55.48,50.91,1610424378,21.10,18.10,1610408680,51.99,49.15,1610403883,20.13,17.52,1610398328,2020-07-21 18:14:23,3.971,2.799,93.229,0,0,0,12288,0,0,0,0,9,0.910,0.900,0.590,2064052224,121408118784,3284992,11243720704,992,5080,2,0,223,0,3,0,4294963200,21-07 18:14:23,16242,3378
2020-07-21 18:14:24,16.93,40.96,9.20,0,4265,16104.287315,838,0,0,0,120856,120851,16110.432926,17847873,293912078,2228261,5084622,267722960,23258082,1556243,8628227,286291,3055903,1691845,4148905,10391002,256573428,4139887,329019988,453646,283067761,839979,145707,637765,694048,149862,148370,283599,351838,225516260,10124665,154924097,3292988,24122762,1974679000,1061245557,0,171627636,3125803259,1408739953,55.94,48.09,1611766230,21.50,15.34,1611764936,52.48,46.08,1611785368,20.12,14.46,1611784724,2020-07-21 18:14:24,2.807,3.982,93.211,0,0,0,4096,0,0,1,0,9,0.910,0.900,0.590,2053881856,121417461760,3284992,11244548096,1571,298,1,0,309,0,1,0,4294963200,21-07 18:14:24,16565,4239
2020-07-21 18:14:25,17.26,41.33,9.03,0,3729,16117.867966,670,0,0,0,96459,96468,16113.554821,21842445,403002297,2735246,5089299,285693988,24152338,1550704,10932236,240605,4522911,1732367,3806420,11089334,209720533,3880451,393693881,449779,276773297,727806,130490,595957,955205,281799,361741,262923,409226,226294651,11114223,160488743,3268161,25814334,2089370721,1496792532,0,191862368,3171381259,1384553346,57.03,52.01,1611117225,22.63,19.36,1611122591,53.30,50.14,1611110011,21.63,18.60,1611119843,2020-07-21 18:14:25,3.771,3.121,93.108,0,0,0,4096,0,0,0,4,15,0.910,0.900,0.590,2054082560,121417519104,3284992,11244363776,1417,5528,2,0,242,0,1,0,4294963200,21-07 18:14:25,16561,3696
2020-07-21 18:14:26,17.75,41.82,9.01,0,3744,16113.603194,705,0,0,0,96889,96904,16112.154643,22810565,415204258,2815786,5474897,294542491,25749299,1844955,10864677,334835,4318547,1842645,3954030,12054228,238195603,4063933,420121206,431896,288781014,714113,136313,560566,661261,129532,253868,295233,532531,219123072,11357379,159817657,3430377,26280112,2164752386,1533536324,0,200551827,3194296263,1431653692,58.74,52.87,1611510182,23.97,20.04,1611503171,55.08,51.14,1611495083,23.24,19.34,1611485088,2020-07-21 18:14:26,3.574,3.249,93.177,0,0,0,8192,0,0,1,0,9,0.920,0.900,0.590,2052902912,121418694656,3284992,11244367872,1351,5036,2,0,247,0,2,0,4294963200,21-07 18:14:26,16526,3709
2020-07-21 18:14:27,17.95,42.02,8.96,0,3759,16114.232537,682,0,0,0,98298,98301,16114.153995,22075926,424041993,2818567,5240077,290538678,25609160,1664931,10889174,321988,4316639,1942464,4404024,11115144,257488421,3920308,446132718,452833,312301520,719387,142721,560741,717359,145690,243972,223063,437542,243343880,11499555,154957348,3291141,25348930,2140446085,1612015940,0,209108079,3065524636,1408230218,58.28,52.26,1611094725,24.00,19.67,1611096984,54.61,50.41,1611092896,23.25,19.04,1611091780,2020-07-21 18:14:27,3.711,2.995,93.294,0,0,0,52224,0,0,0,0,8,0.920,0.900,0.590,2054881280,121416699904,3284992,11244380160,1295,4954,1,0,249,0,5,0,4294963200,21-07 18:14:27,16611,3727
2020-07-21 18:14:28,16.35,40.38,9.03,0,4152,16110.463147,870,0,0,0,115371,115344,16110.004313,17292137,315376754,2113069,4836100,273183941,22846519,1495169,8089002,194142,3130258,1608653,3997698,10786629,218482832,4217974,321183409,470589,276086139,803867,142159,574103,625648,160922,204216,268846,490302,212034803,10203791,163541191,3424060,23833623,1978178527,1121809763,0,176332448,3264344936,1390754004,54.82,47.89,1610576055,20.96,15.29,1610567094,51.15,45.99,1610567509,19.34,14.47,1610564987,2020-07-21 18:14:28,3.188,3.643,93.169,0,0,0,12288,0,0,1,0,7,0.920,0.900,0.590,2054942720,121416552448,3284992,11244388352,812,0,2,0,312,0,3,0,4294963200,21-07 18:14:28,16618,4274
2020-07-21 18:14:29,17.85,41.90,8.79,0,3490,16097.688572,602,0,0,0,88470,88492,16098.920648,21537800,433130720,2690860,4718404,303662326,23666527,1530019,10010921,189215,4435920,1575673,3788032,12398337,234609437,3598326,452050650,438657,305935108,655364,98185,445740,604065,134840,228511,220166,371288,224512359,12375022,156547752,3226127,25207743,2170335166,1636064278,0,206697814,3095611081,1396871646,53.79,49.22,1610234683,19.93,16.62,1610251267,50.88,47.75,1610263164,18.95,16.04,1610273429,2020-07-21 18:14:29,4.102,2.539,93.359,0,0,0,265216,0,0,0,0,8,0.920,0.900,0.590,2054643712,121416556544,3284992,11244670976,1419,5366,2,0,208,0,22,0,4294963200,21-07 18:14:29,16581,3320
2020-07-21 18:14:30,17.32,41.39,9.14,0,3800,16113.955104,723,0,0,0,95549,95530,16113.290506,21920056,410474139,2784080,5144908,286890669,24550411,1606866,11111210,238136,4233180,1882233,3799182,10948200,232357825,3671002,413536679,439251,295677740,671360,114265,729572,934613,131675,221728,284343,440526,229898968,11560020,163361771,3392084,26191302,2125839289,1512083116,0,197392112,3201711952,1394367614,58.69,53.19,1611732791,24.37,20.47,1611799165,55.54,51.55,1611791138,23.29,19.62,1611789089,2020-07-21 18:14:30,3.704,3.249,93.047,0,0,0,4096,0,0,1,0,8,0.920,0.900,0.590,2053742592,121418072064,3284992,11244056576,2077,4954,2,0,244,0,1,0,4294963200,21-07 18:14:30,16540,3760
2020-07-21 18:14:31,17.48,41.54,8.79,0,3314,16117.841460,637,0,0,0,83606,83611,16124.292469,20969702,456727843,2625915,5004383,306487178,24616101,1562533,10303564,222663,3976084,1773761,3930046,12025366,232327531,3487008,448610969,403934,303798513,619154,98785,447635,622980,110290,182735,188177,330205,246034487,12291831,160978678,3067236,23535306,2152586658,1770824580,0,225753743,3206433550,1371765806,54.89,51.24,1611808144,20.77,18.51,1611723461,52.24,49.87,1611712710,19.94,17.84,1611699853,2020-07-21 18:14:31,4.023,2.726,93.251,0,0,0,0,0,0,0,0,6,0.930,0.900,0.600,2064928768,121406873600,3284992,11244113920,875,0,2,0,229,0,0,0,4294963200,21-07 18:14:31,16570,3199
2020-07-21 18:14:32,17.20,41.27,9.09,0,4379,16109.284290,879,0,0,0,123588,123580,16102.634196,18155247,312482651,2270625,5229039,269301685,23780493,1626562,8689756,190059,3009557,1656597,3984255,10293330,253435551,4006965,338017115,451402,287625246,816077,141134,642160,669073,147465,185412,330675,394407,209519138,10136638,154925381,3249196,24262801,1980149783,1061001150,0,175111428,3142309736,1414693368,56.30,47.71,1609868451,21.98,15.10,1609875594,53.01,45.86,1609883679,20.80,14.36,1609892449,2020-07-21 18:14:32,3.003,3.721,93.277,0,0,0,4096,0,0,1,0,9,0.930,0.900,0.600,2054729728,121416544256,3284992,11244634112,1459,4946,2,0,296,0,1,0,4294963200,21-07 18:14:32,16660,4419
2020-07-21 18:14:33,17.66,41.69,8.80,0,3721,16108.454563,676,0,0,0,96054,96055,16108.759621,21791641,415808009,2769794,5085394,285656630,24075428,1502763,10424966,191450,4802304,1800842,3921378,11748454,218373866,3722840,418200953,435849,284226830,734498,121277,554539,721500,122830,278953,214720,542846,227712037,10681332,155266450,3401660,25610288,2110923692,1558520854,0,202993410,3147751122,1393619862,56.55,51.25,1611276906,21.84,18.38,1611280311,52.80,49.44,1611280563,21.15,17.96,1611279644,2020-07-21 18:14:33,3.711,3.190,93.099,0,0,0,16384,0,0,0,0,10,0.930,0.900,0.600,2055815168,121415671808,3284992,11244453888,988,5044,2,0,246,0,4,0,4294963200,21-07 18:14:33,16540,3712
