time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:00:46,16.53,40.83,8.84,0,4394,16449.869174,890,0,0,1,125257,125232,16413.460901,17462859,304090352,2280206,5165958,267129638,23956384,1626451,8873392,163042,2985431,1700251,4209516,10484510,257729336,4568666,341179037,470686,289599939,850515,150271,655126,704761,180442,191953,309302,429139,219653247,10153580,161779259,3525580,24455569,1979156810,1066955688,0,173877893,3284826833,1417147030,87.56,81.80,1614168091,21.30,16.80,1614080904,20.37,15.72,1613997747,21.06,16.48,1613911253,2020-07-21 18:00:46,2.807,3.916,93.277,0,0,0,0,0,0,1,0,7,0,0.010,0.050,1555148800,122035777536,3284992,11173244928,902,154,4,0,326,0,0,0,4294963200,21-07 18:00:46,16497,4259
2020-07-21 18:00:47,15.85,39.74,8.70,0,4320,16203.740070,901,0,0,0,123412,123408,16203.518669,17532376,300641721,2245184,5093847,265141841,23370401,1590663,8460608,210455,3036101,1702950,4373754,10229494,209099169,4566567,303265618,490206,267612164,885799,154891,658848,679030,145251,172125,314730,1001730,220103290,10395612,166185769,3490662,24204963,1985494663,1059398739,0,175365970,3336480554,1420864847,87.54,80.72,1611924859,21.03,15.44,1611919055,20.29,14.37,1611915094,20.70,15.31,1611965908,2020-07-21 18:00:47,2.855,4.023,93.121,0,0,0,4096,0,0,0,0,6,0,0.010,0.050,1565270016,122025631744,3284992,11173269504,2084,0,2,0,327,0,1,0,4294963200,21-07 18:00:47,16555,4256
2020-07-21 18:00:48,15.77,39.55,8.66,0,4330,16111.635124,900,0,0,0,123358,123354,16110.826548,17224285,298445723,2236907,5064754,266792081,23401626,1580797,8478453,185713,3019576,1625607,4057204,10080701,224767260,4347055,307584055,461986,272011252,836428,156230,646774,658486,135063,176104,309606,347681,220406337,10225483,161674049,3234986,24131804,1947572662,1038891282,0,173229940,3253898817,1392313568,86.94,79.94,1610214541,20.37,14.58,1610215532,19.92,13.54,1610215488,20.30,14.66,1610163341,2020-07-21 18:00:48,2.796,3.966,93.238,0,0,0,4096,0,0,1,0,7,0.080,0.030,0.050,1565323264,122025537536,3284992,11173277696,1115,0,2,0,328,0,1,0,4294963200,21-07 18:00:48,16634,4296
2020-07-21 18:00:49,15.77,39.55,8.68,0,4323,16103.271895,895,0,0,0,123740,123750,16107.777383,17145877,291299142,2285934,4962392,258824357,22840728,1566803,8387970,198752,3148350,1650827,4094293,10175429,231775289,4317795,316694025,475019,279928379,836663,166664,656696,656870,162421,217761,274765,382955,219508230,10410876,161242792,3255865,24442142,1959699400,1061265370,0,172925158,3291004493,1404274379,87.21,80.03,1611562413,20.49,14.66,1611561877,19.57,13.35,1611562112,20.30,14.53,1611561881,2020-07-21 18:00:49,2.924,3.834,93.242,0,0,0,4096,0,0,0,0,4,0.080,0.030,0.050,1565405184,122025439232,3284992,11173294080,404,0,2,0,330,0,1,0,4294963200,21-07 18:00:49,16516,4302
2020-07-21 18:00:50,15.76,39.53,8.67,0,4343,16116.910294,889,0,0,0,123782,123800,16112.900400,17273728,291373477,2244016,4973321,259410998,22859517,1540796,8301500,155242,2890221,1669189,4204907,10255899,242982636,4197972,322333428,513623,280291695,876642,153127,646886,676422,177598,210923,310361,382794,232654223,10363789,166734884,3313752,24980559,1973700017,1051361625,0,172683204,3304649735,1408795050,86.25,79.01,1610812546,19.93,13.88,1610811393,19.07,12.74,1610808570,19.51,13.65,1610805738,2020-07-21 18:00:50,2.920,3.958,93.121,0,0,0,4096,0,0,1,0,6,0.080,0.030,0.050,1566142464,122024693760,3284992,11173302272,938,0,2,0,328,0,1,0,4294963200,21-07 18:00:50,16614,4304
2020-07-21 18:00:51,15.83,39.60,8.72,0,4431,16106.656292,944,0,0,0,123492,123492,16109.371280,17348857,292913168,2221893,4934669,266025521,22801901,1526653,8304836,178560,2998226,1644130,4270127,10210299,241722772,4128429,320611273,504727,275045241,945614,146423,684510,681354,146412,205224,338755,411646,229297402,10511185,168895498,3278491,24968370,2019976199,1070931020,0,170854737,3321118558,1414678953,86.85,79.50,1611974587,20.17,14.47,1611972526,18.93,12.97,1611971442,20.11,14.41,1611970659,2020-07-21 18:00:51,2.859,3.899,93.242,0,0,0,4096,0,0,0,0,6,0.080,0.030,0.050,1565626368,122025201664,3284992,11173310464,756,0,3,0,329,0,1,0,4294963200,21-07 18:00:51,16516,4408
2020-07-21 18:00:52,15.77,39.55,8.64,0,4303,16117.049721,885,0,0,0,124068,124046,16114.058500,17284448,314042691,2184459,4952762,279240095,22529351,1511577,8208276,209571,3180061,1626658,3850917,9874736,219982571,3979562,302807552,442588,269056066,882482,149735,688980,715022,138269,171827,317000,401450,217872324,10621368,165522374,3207863,24589376,1975087321,1082960498,0,183877195,3277093740,1394407121,85.98,78.87,1611107268,19.93,13.67,1611110626,19.12,12.47,1611112396,19.54,13.58,1611114725,2020-07-21 18:00:52,2.928,3.774,93.299,0,0,0,0,0,0,1,0,7,0.080,0.030,0.050,1565970432,122024841216,3284992,11173326848,732,0,1,0,334,0,1,0,4294963200,21-07 18:00:52,16679,4305
2020-07-21 18:00:53,15.77,39.54,8.60,0,4300,16111.232383,886,0,0,0,123859,123875,16132.787702,17133722,318507105,2130225,4899162,280264282,23176241,1521862,8479608,168171,3035159,1682553,4316052,10250320,225732010,4271787,301732569,512345,267514037,932060,152469,686817,683906,143481,180656,272998,408630,220453598,10494586,169036494,3208602,24682361,2008854304,1099305442,0,180390534,3279590009,1373303330,86.23,79.16,1614110946,19.98,13.93,1614111863,19.08,12.52,1614112779,19.33,13.57,1614114015,2020-07-21 18:00:53,2.852,4.018,93.130,0,0,0,4096,0,0,0,0,5,0.160,0.050,0.060,1566883840,122023915520,3284992,11173339136,675,0,2,0,318,0,0,0,4294963200,21-07 18:00:53,16650,4180
2020-07-21 18:00:54,16.27,40.10,8.79,0,4346,16139.876952,902,0,0,0,125185,125163,16118.756288,16930832,340254290,2184417,4883763,265711139,22586786,1550811,8426336,197144,2828531,1633894,4090708,10019382,258165189,4161986,339937141,497211,269923311,858591,151455,666657,657615,149070,211916,278286,354540,243890447,10262324,206670473,3189558,24369684,2490946370,1213212274,0,175902555,4151811169,1766008085,86.62,79.39,1610698824,20.65,14.38,1610697273,19.50,13.13,1610697647,19.59,14.01,1610696733,2020-07-21 18:00:54,2.916,3.953,93.130,0,0,0,4096,0,0,1,0,6,0.160,0.050,0.060,1566609408,122024189952,3284992,11173339136,995,0,2,0,326,0,1,0,4294963200,21-07 18:00:54,16659,4264
2020-07-21 18:00:55,16.03,39.81,8.49,0,4354,16105.417600,893,0,0,0,123549,123594,16120.650765,17046454,318001020,2183622,4999895,269640856,22787900,1592984,8476345,184166,2959579,1678264,4195082,10277222,220108717,4393156,306590031,496853,267872329,876002,170516,691631,694812,135239,162027,310334,414219,229850797,10601506,166117081,3282569,24532466,2042647076,1157099071,0,188662795,3264333828,1414640617,86.49,79.21,1613747362,20.63,14.36,1613748518,19.82,13.06,1613748196,20.25,14.14,1613747112,2020-07-21 18:00:55,2.738,4.042,93.220,0,0,0,14848,0,0,0,0,7,0.160,0.050,0.060,1565310976,122025480192,3284992,11173347328,1114,42,2,0,326,0,3,0,4294963200,21-07 18:00:55,16561,4349
