time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:02:28,17.14,41.38,8.81,0,4414,16404.677175,880,0,0,0,123015,122917,16371.463764,19183686,349094698,2641228,5788442,286727341,23694828,1620422,8975426,233210,3278481,1711009,4404275,10374814,239923553,4107875,318571457,500379,267424523,835125,145280,648001,711813,140504,200706,355752,495218,221707517,10501875,159218242,3359796,24798506,2019234721,1168363905,0,188005218,3150190337,1392648791,88.18,83.33,1610599771,21.90,18.74,1610518890,21.27,17.96,1610438720,21.50,18.31,1610360699,2020-07-21 18:02:28,2.939,3.788,93.207,0.065,0,16384,0,0,0,0,0,4,0.810,0.290,0.140,1569910784,122017054720,3284992,11176902656,584,0,2,0,306,1,0,0,4294963200,21-07 18:02:28,16542,4201
2020-07-21 18:02:29,18.43,42.28,8.64,0,4439,16142.565983,915,0,0,0,127179,127179,16142.658652,18043647,375092328,2396691,5562503,282624761,23820573,1667111,8870385,244795,3402905,1718994,4332435,10486720,266856630,4322357,381787623,514498,294787299,873116,141112,685188,725694,169765,263813,368560,474564,258136237,10346192,153652882,3364643,24086809,2231894363,1439959251,0,190418302,3023148652,1528276546,90.02,81.97,1609418424,23.00,16.59,1609430368,22.62,15.76,1609450701,22.88,16.40,1609438066,2020-07-21 18:02:29,3.320,3.451,93.229,0,0,0,4096,0,0,1,0,6,0.830,0.310,0.150,1565376512,122021711872,3284992,11176665088,639,0,1,0,334,0,1,0,4294963200,21-07 18:02:29,16660,4511
2020-07-21 18:02:30,18.22,41.99,8.65,0,4296,16086.731630,839,0,0,0,121094,121119,16082.454382,18815469,397504624,2439888,5531775,286169565,23381880,1610098,8814462,246410,3194463,1680414,4207969,9694624,247818996,4149845,375820316,494011,277385223,875353,144201,647250,672035,140704,190368,287716,360940,237314780,10030525,148321468,3204541,23768100,2172600347,1486138026,0,200585356,2992465294,1502199679,87.97,80.93,1608600914,20.96,15.61,1608591111,20.27,14.60,1608570241,20.39,14.98,1608583212,2020-07-21 18:02:30,3.583,3.062,93.355,0,0,0,4096,0,0,0,0,6,0.830,0.310,0.150,1568174080,122017640448,3284992,11177918464,849,54,1,0,310,0,1,0,4294963200,21-07 18:02:30,16594,4239
2020-07-21 18:02:31,18.84,42.61,8.65,0,4530,16094.946977,916,0,0,0,126418,126400,16095.317342,18718720,369479202,2521778,5812561,289325379,25055030,1738909,9240095,281631,3559736,1670813,4572799,10523687,264713352,4154484,400146565,503571,298028445,861244,139341,684941,748097,210097,244853,338859,540311,263159930,9870498,148788050,3408313,24814637,2206628197,1381770693,0,180094979,3002519744,1554038647,91.53,83.21,1609329264,24.26,18.00,1609321216,22.84,16.69,1609314720,23.45,17.14,1609331168,2020-07-21 18:02:31,3.259,3.455,93.286,0,0,0,4096,0,0,1,0,7,0.830,0.310,0.150,1565876224,122019946496,3284992,11177930752,1470,0,2,0,325,0,1,0,4294963200,21-07 18:02:31,16365,4484
2020-07-21 18:02:32,19.28,43.06,8.57,0,4764,16102.667102,977,0,0,0,132597,132607,16107.209863,20173107,413018659,2690327,6033876,300732658,24658362,1817139,9590008,319919,3274472,1673851,4439533,10635825,271325909,4699371,395103874,564374,291687584,902583,167520,724444,795732,150179,200953,310900,575480,284635484,10808303,149744742,3438315,25679022,2324406858,1589716842,0,217662180,3010245535,1582018923,91.67,82.95,1611577726,24.91,17.93,1611590228,23.89,16.67,1611605961,24.25,17.03,1611596320,2020-07-21 18:02:32,3.388,3.322,93.290,0,0,0,2617344,0,0,0,0,5,0.830,0.310,0.150,1568358400,122017767424,3284992,11177627648,580,42,2,0,344,0,31,0,4294963200,21-07 18:02:32,16525,4733
2020-07-21 18:02:33,18.66,42.49,8.80,0,4511,16116.580328,914,0,0,0,124868,124870,16112.449172,18504514,372766400,2364160,5265897,273672930,23287351,1620246,8962222,256887,3603775,1864907,4530803,10597866,280691085,4417472,399166869,587674,286983630,873811,170572,735706,852633,227396,246647,288408,397564,228615152,10069396,146747562,3335540,24562130,2191881253,1432433522,0,178229554,2917618254,1504861292,89.72,81.35,1610672186,23.31,16.73,1610661435,22.24,15.63,1610647147,22.66,16.07,1610631069,2020-07-21 18:02:33,3.385,3.255,93.359,0,0,0,49152,0,0,1,0,8,0.830,0.310,0.150,1567150080,122018983936,3284992,11177639936,568,0,2,0,325,0,5,0,4294963200,21-07 18:02:33,16610,4486
2020-07-21 18:02:34,19.02,42.81,8.83,0,4569,16097.676537,924,0,0,0,129318,129329,16097.306928,19242561,385305394,2507024,5790212,288572793,23969478,1695344,9133160,218196,3527898,1673315,4546194,10257409,251656752,4315605,391041150,548809,288172364,866657,172739,787226,753513,151233,207920,270939,469199,257848308,10302390,151020869,3478472,25429155,2279866020,1449694121,0,193186813,3020801378,1584369102,90.90,82.17,1610508206,23.86,16.84,1610520905,23.06,15.66,1610536021,23.08,16.15,1610550309,2020-07-21 18:02:34,3.388,3.388,93.225,0,0,0,4096,0,0,0,0,8,0.840,0.320,0.150,1567109120,122018996224,3284992,11177648128,1050,0,1,0,335,0,1,0,4294963200,21-07 18:02:34,16523,4533
2020-07-21 18:02:35,19.21,43.02,8.67,0,4661,16109.427455,948,0,0,0,131455,131426,16110.928093,19501577,400125513,2514084,5806399,296595098,23459804,1592254,8764859,213907,3254869,1642224,4583380,10655931,260785434,4515916,391901453,564018,292862365,861093,162101,670112,750420,169392,191370,345801,614583,252359764,10858605,149994429,3508495,26269468,2317528719,1450713318,0,194518352,3007712354,1595883529,89.92,81.51,1610490369,23.77,16.66,1610468317,22.95,15.57,1610447563,22.57,15.73,1610428858,2020-07-21 18:02:35,3.643,3.188,93.169,0,0,0,4096,0,0,1,0,7,0.840,0.320,0.150,1565335552,122020421632,3284992,11177975808,695,42,2,0,339,0,3,0,4294963200,21-07 18:02:35,16630,4594
2020-07-21 18:02:36,19.66,43.43,8.96,0,4846,16080.021936,1000,0,0,0,136512,136513,16076.981158,19870709,403252586,2599933,6028142,298826750,25059256,1751634,9135348,296483,3519018,1766912,4604291,11313690,323698766,4428236,442048976,580316,320470118,921711,174217,822369,857305,207807,284140,376391,542048,263157853,10753147,146822025,3457626,25826046,2358486674,1573465677,0,201125655,2935501519,1621082604,92.13,83.39,1607409208,25.84,18.47,1607425940,25.02,17.62,1607440926,25.15,17.88,1607457162,2020-07-21 18:02:36,3.451,3.190,93.359,0,0,0,226304,0,0,0,0,7,0.840,0.320,0.150,1566916608,122019229696,3284992,11177623552,1112,0,2,0,355,0,18,0,4294963200,21-07 18:02:36,16652,4861
2020-07-21 18:02:37,18.48,42.26,8.68,0,4455,16090.741863,897,0,0,0,123955,123953,16093.079829,19073481,374107963,2479799,5374777,276667824,22748233,1563231,8420077,257915,3664406,1891780,4622401,10702419,254584444,4583916,372569285,540333,275578044,903813,156228,753353,778438,165471,191463,332469,445833,257111820,10156364,152222383,3343181,24682038,2210317505,1488583680,0,186571590,3036998565,1523456279,90.72,82.18,1609613670,23.96,17.04,1609601694,22.57,15.72,1609589316,22.99,16.20,1609576511,2020-07-21 18:02:37,3.318,3.448,93.234,0,0,0,4096,0,0,1,0,5,0.840,0.320,0.150,1566797824,122019205120,3284992,11177684992,880,0,2,0,324,0,1,0,4294963200,21-07 18:02:37,16528,4431
2020-07-21 18:02:38,18.54,42.30,8.76,0,4494,16080.980221,918,0,0,0,126552,126574,16079.760277,18933655,374933718,2427311,5794099,282110869,23662480,1663862,8959649,211581,3654505,1688079,4297680,10255732,260448309,4334418,404424237,549145,293035482,888133,150075,759114,792155,148120,151798,286661,498270,247210254,9937870,149039707,3453976,25136471,2213465162,1425502420,0,184628117,3004176498,1540927969,90.20,81.42,1607683306,23.20,16.34,1607682484,22.49,15.39,1607680908,22.58,15.59,1607679662,2020-07-21 18:02:38,3.518,3.127,93.355,0,0,0,4096,0,0,0,0,5,0.840,0.320,0.150,1567338496,122018938880,3284992,11177385984,916,0,2,0,328,0,1,0,4294963200,21-07 18:02:38,16613,4473
2020-07-21 18:02:39,18.73,42.49,8.71,0,4559,16080.955837,945,0,0,0,127211,127212,16080.497890,18425340,396397055,2353109,5573067,290057773,23384100,1643217,8732135,197295,3519595,1652768,4067479,10714485,272263233,4423385,384193064,544619,284446359,887751,173946,694311,743741,174836,237014,313748,570556,264124312,10387960,151425755,3325279,24673501,2254891888,1518458278,0,201823405,2982078121,1525409967,89.03,80.49,1609109888,22.65,15.42,1609111176,21.69,14.38,1609111742,21.59,14.63,1609112478,2020-07-21 18:02:39,3.516,3.255,93.229,0,0,0,4096,0,0,1,0,6,0.850,0.330,0.160,1565106176,122021142528,3284992,11177394176,2065,0,2,0,329,0,1,0,4294963200,21-07 18:02:39,16532,4526
2020-07-21 18:02:40,19.28,43.06,8.68,0,4685,16095.329782,961,0,0,0,133178,133156,16095.963964,19473555,411972359,2597151,5975595,294396521,23928413,1610879,9072433,208306,3949637,1678931,4711075,10754985,300603654,4477919,420352276,573114,299846538,904570,190236,807131,791275,167400,216377,299905,508097,301624251,10982200,151710081,3312809,25268756,2357211096,1643616365,0,213196864,3010090718,1589422362,90.16,81.67,1609757170,23.35,16.67,1609763813,22.60,15.66,1609770378,22.66,15.89,1609777067,2020-07-21 18:02:40,3.390,3.194,93.416,0,0,0,4096,0,0,0,0,6,0.850,0.330,0.160,1565433856,122020167680,3284992,11178024960,1302,0,2,0,345,0,1,0,4294963200,21-07 18:02:40,16659,4660
2020-07-21 18:02:41,19.39,43.20,8.70,0,4617,16104.774778,956,0,0,0,131591,131608,16107.914767,19822523,433083267,2575625,5936029,314294299,24630408,1637511,9181484,223634,3347649,1694347,4234961,10362127,290724735,4078892,410125454,538743,285790467,865543,163071,675411,728924,172001,223511,396777,534411,260574794,10672688,149399262,3588479,26532694,2342332910,1534144188,0,206626098,2998291561,1594093931,89.47,80.98,1610360063,23.14,16.35,1610359946,22.39,15.23,1610360944,22.35,15.53,1610426341,2020-07-21 18:02:41,3.318,3.318,93.364,0,0,0,32256,0,0,1,0,6,0.850,0.330,0.160,1565663232,122019971072,3284992,11178037248,668,0,2,0,341,0,3,0,4294963200,21-07 18:02:41,16622,4588
2020-07-21 18:02:42,19.55,43.34,8.62,0,4675,16094.939050,952,0,0,0,133290,133289,16094.928260,19544175,386757566,2487986,5708365,292755760,24296708,1658982,8746015,211534,4026389,1666475,4514491,10859033,293802633,4408570,407653424,597526,300460702,926839,196039,782745,844322,179261,218211,432393,468037,265446796,10714451,147627348,3554622,25912525,2310432751,1502808527,0,193169517,2947949591,1598940034,91.06,82.06,1609625605,24.51,16.85,1609615415,23.87,16.20,1609633409,23.67,16.12,1609586005,2020-07-21 18:02:42,3.448,3.318,93.234,0,0,0,4096,0,0,0,0,5,0.850,0.330,0.160,1565097984,122020499456,3284992,11178053632,640,0,2,0,346,0,1,0,4294963200,21-07 18:02:42,16563,4645
2020-07-21 18:02:43,18.90,42.68,8.60,0,4389,16096.472793,866,0,0,0,126109,126122,16097.348272,18725946,381361479,2409464,5547419,290293443,23234817,1653852,8861906,217313,3520383,1724821,4302056,10183024,240474154,4474160,391616181,558640,291035729,895460,159890,719448,732463,145476,167915,320033,651623,240747832,9811086,147835016,3545133,24802223,2184765936,1383997863,0,181261484,2975067770,1526925444,89.76,81.58,1610441081,23.25,16.28,1610458812,22.95,15.55,1610449347,22.78,15.75,1610438125,2020-07-21 18:02:43,3.523,3.196,93.281,0,0,0,4096,0,0,1,0,9,0.850,0.330,0.160,1566584832,122018988032,3284992,11178057728,1582,0,2,0,329,0,1,0,4294963200,21-07 18:02:43,16585,4382
2020-07-21 18:02:44,19.04,42.83,8.93,0,4520,16107.329267,911,0,0,0,127903,127873,16108.732048,18394133,388542618,2349336,5573439,279776692,23534673,1620958,8828220,273973,3279903,1747942,4623052,10538451,286453027,4480031,405898296,573615,303905514,916041,173546,797519,821462,215475,230476,339412,429789,254838918,10634968,152398332,3409025,25542236,2280659130,1500706611,0,190727412,3012463329,1547063776,90.87,82.17,1611556948,23.55,16.76,1611559291,23.28,15.89,1611559739,23.04,16.21,1611562795,2020-07-21 18:02:44,3.383,3.448,93.169,0,0,0,4096,0,0,0,0,9,0.870,0.340,0.160,1566826496,122018742272,3284992,11178070016,1502,42,2,0,329,0,1,0,4294963200,21-07 18:02:44,16540,4449
