time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:27:52,17.72,41.80,9.20,0,4545,16281.084982,928,0,0,0,131681,131618,16250.606447,19735672,334715440,2741987,5775777,289922249,24297285,1642615,9258380,198428,3190047,1640949,4423080,11582711,252603193,4521509,337764039,472582,288518938,932517,242882,689854,737529,135234,227742,247707,390369,236373203,11254908,154018645,3404750,25497284,2065719366,1133323347,0,180644844,3146416073,1492446375,25.41,19.53,1611919173,23.90,19.82,1611863163,22.31,18.47,1611777922,88.07,83.98,1611697346,2020-07-21 18:27:52,2.674,4.305,93.020,0,0,0,4096,0,0,0,0,6,0.880,0.920,0.780,1568669696,121877057536,3284992,11312078848,1115,0,1,0,341,0,1,0,4294963200,21-07 18:27:52,16667,4433
2020-07-21 18:27:53,16.54,40.43,9.34,0,4457,16166.992112,900,0,0,0,127181,127184,16171.365494,18112076,314470674,2328370,5280641,269616573,24052781,1606072,8891351,238936,2973873,1774637,4226892,10587533,246013784,4456586,330009608,500623,285223776,875701,151657,682263,707200,165107,213610,366950,517409,226289456,10156657,161377122,3325960,24427500,2029502605,1113436666,0,177565085,3259219051,1432647617,23.35,16.09,1611473606,22.20,16.29,1611466180,21.78,15.41,1611458381,86.45,80.88,1611451047,2020-07-21 18:27:53,2.738,4.107,93.155,0,0,0,4096,0,0,1,0,6,0.880,0.920,0.780,1569935360,121875935232,3284992,11311837184,608,0,1,0,337,0,1,0,4294963200,21-07 18:27:53,16690,4422
2020-07-21 18:27:54,16.52,40.34,9.34,0,4558,16112.248069,947,0,0,0,127343,127337,16110.905503,17808258,312673047,2326110,5215402,274302220,24000442,1629232,8837404,203642,3126780,1639305,4342432,10637688,217119944,4483274,302759238,478099,273084081,869039,164519,666711,695381,159298,201035,273757,426231,234576843,10397947,160563653,3275188,24700994,2050213705,1098571443,0,184344584,3273280185,1477246560,22.46,15.05,1610604126,21.57,15.45,1610607425,20.87,14.29,1610608558,86.19,80.00,1610609747,2020-07-21 18:27:54,2.932,3.974,93.094,0,0,0,4096,0,0,0,0,6,0.890,0.920,0.780,1571237888,121874632704,3284992,11311837184,1517,0,1,0,338,0,1,0,4294963200,21-07 18:27:54,16643,4515
2020-07-21 18:27:55,16.64,40.45,9.42,0,4521,16103.447672,928,0,0,0,128962,128959,16109.107640,18338702,311332246,2366941,5348155,274790736,24543711,1605046,8961258,185418,3186804,1701911,4089715,10409179,246994789,4426503,334250838,519302,286597566,881433,152983,679325,726568,164824,214173,311251,443315,222985011,10550154,159689537,3336143,24899112,2032408752,1108132590,0,180924321,3194154518,1449697846,22.80,15.27,1610498412,21.68,15.64,1610502456,21.22,14.67,1610529272,86.02,80.31,1610528106,2020-07-21 18:27:55,2.868,3.846,93.286,0,0,0,4096,0,0,1,0,6,0.890,0.920,0.780,1569910784,121875902464,3284992,11311861760,819,0,3,0,343,0,1,0,4294963200,21-07 18:27:55,16593,4489
2020-07-21 18:27:56,16.66,40.47,9.35,0,4520,16105.037757,927,0,0,0,128964,128981,16097.754981,18166376,307013063,2291404,5213279,279053843,23966062,1546439,8921906,191885,3052944,1714276,4235973,10705714,230986707,4498530,317145453,499272,276054853,883423,146770,690569,717942,163426,173252,295521,412064,219096429,10252575,157909504,3291611,25098470,2009326403,1051044567,0,170671327,3154265846,1427236385,22.83,15.14,1610669486,21.39,15.04,1610674922,20.84,14.03,1610658135,85.82,79.78,1610668067,2020-07-21 18:27:56,3.062,3.779,93.160,0,0,0,4096,0,0,0,0,7,0.890,0.920,0.780,1569427456,121876377600,3284992,11311869952,632,42,2,0,343,0,1,0,4294963200,21-07 18:27:56,16327,4492
2020-07-21 18:27:57,16.53,40.34,9.36,0,4437,16113.864456,891,0,0,0,126866,126851,16111.712949,18210610,301707058,2356630,5284081,263432979,23432715,1593542,8724544,211611,3173031,1676640,4310122,10498066,241278790,4588987,338655924,476369,288011702,867428,159967,710379,670925,120144,219280,321857,412636,221335617,10471137,157250386,3244896,24642671,2007113712,1092128291,0,175892752,3183384003,1449959101,22.74,14.98,1610527724,21.65,15.44,1610518195,20.99,14.37,1610534909,85.89,79.89,1610531026,2020-07-21 18:27:57,2.803,4.042,93.155,0,0,0,4096,0,0,1,0,7,0.890,0.920,0.780,1569624064,121876168704,3284992,11311882240,512,0,2,0,337,0,1,0,4294963200,21-07 18:27:57,16671,4383
2020-07-21 18:27:58,16.64,40.46,9.32,0,4494,16105.724482,915,0,0,0,129599,129615,16109.636704,18179218,316219968,2357477,5314249,283778361,23183206,1558437,8720066,198549,3267370,1695254,4388841,10533181,227634198,4322237,313100954,497793,276205449,895040,148759,703588,737727,200737,223485,283061,413163,220812860,10621174,159923543,3313463,25192654,2032737806,1069929921,0,178188002,3185154160,1435009671,23.33,15.56,1611901196,21.83,15.77,1611906471,21.06,14.51,1611885259,86.01,80.27,1611882496,2020-07-21 18:27:58,2.606,4.235,93.160,0,0,0,4096,0,0,0,0,6,0.890,0.920,0.780,1569898496,121875881984,3284992,11311894528,935,0,1,0,344,0,1,0,4294963200,21-07 18:27:58,16557,4477
2020-07-21 18:27:59,15.97,39.80,9.35,0,4393,16117.004138,908,0,0,0,122780,122767,16114.143633,17416653,312884934,2282232,4900578,278775449,22386847,1532608,8391099,213843,3099098,1717862,4269033,10317478,226551379,4714373,308557924,520832,271214801,877998,153404,704622,720223,169946,219343,280804,381437,211828665,10222598,162019822,3218097,24290105,1982036203,1062466448,0,175903391,3313472225,1410243784,22.73,14.95,1611769117,20.86,14.95,1611846222,19.78,13.59,1611844987,85.43,79.45,1611845958,2020-07-21 18:27:59,2.859,4.029,93.112,0,0,0,4096,0,0,1,0,7,0.900,0.920,0.780,1569120256,121876647936,3284992,11311906816,575,0,2,0,327,0,1,0,4294963200,21-07 18:27:59,16685,4373
2020-07-21 18:28:00,16.32,40.17,9.26,0,4483,16114.125679,922,0,0,0,125199,125188,16122.721260,18043774,312174709,2302111,5256459,271368614,23871258,1613390,8621173,201752,3243861,1690905,4260811,10697760,218401895,4648467,310706202,542764,267136687,862998,162756,673388,674990,130770,177820,230497,374686,244621908,10332483,159598153,3225092,24109199,1978159569,1121427558,0,177887629,3217774183,1427684349,22.97,15.27,1611342064,21.08,15.26,1611266162,20.57,14.17,1611269606,85.85,80.06,1611273270,2020-07-21 18:28:00,2.608,4.237,93.155,0,0,0,4096,0,0,0,0,6,0.900,0.920,0.780,1569271808,121876488192,3284992,11311915008,1119,0,2,0,333,0,1,0,4294963200,21-07 18:28:00,16639,4437
2020-07-21 18:28:01,16.28,40.09,9.36,0,4459,16117.595640,918,0,0,0,124718,124743,16112.667104,17846005,294225769,2292824,5163136,263703954,23146120,1551601,8592637,241564,3257345,1655788,4381365,10798521,261500429,4603241,332764935,434969,283354447,867732,174381,697633,723296,167422,213008,347258,415461,225674847,10385753,162138969,3284776,24838184,1999189287,1047309230,0,169916440,3197281962,1412185964,22.90,14.98,1612114510,21.70,15.28,1612115630,20.93,14.17,1612117257,86.13,79.84,1612118111,2020-07-21 18:28:01,2.868,3.977,93.155,0,0,0,4096,0,0,1,0,5,0.900,0.920,0.780,1568665600,121877082112,3284992,11311927296,940,0,2,0,332,0,1,0,4294963200,21-07 18:28:01,16574,4421
