time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:12:43,18.12,42.46,9.29,0,4398,16438.924257,867,0,0,0,121129,121006,16408.841773,24023895,369794028,2993788,8120265,307820651,27091081,2337847,10279758,504620,3963744,2282922,5317966,10487580,250227457,4294239,364788260,472674,312320103,845693,140814,1586030,1667467,437164,592144,336864,1049437,242286166,10660897,159863884,4857402,27216173,2179285231,1196381728,0,196974049,3164714932,1521199074,44.04,51.10,1611655052,106.46,116.49,1611562802,39.56,49.96,1611468443,39.50,50.53,1611379450,2020-07-21 18:12:43,2.669,3.971,93.359,0,0,0,0,0,0,0,0,12,0.980,0.880,0.540,1571962880,121924857856,3284992,11263467520,1435,42,3,0,298,0,0,0,4294963200,21-07 18:12:43,16668,4267
2020-07-21 18:12:44,21.35,45.28,8.94,0,900,16140.882947,141,0,0,0,22075,22075,16134.095166,26691513,702013595,5629684,13066508,397846458,11746710,1991295,8911924,1543839,6845742,3714045,5704346,30595718,563129603,2217402,675364379,281850,423830857,268039,2221636,397909,997500,82897,1043305,73052,4465343,545614141,29011989,149393653,7007581,22925470,2720555149,2559367851,0,308268285,2957085540,1428989028,45.72,69.15,1607962992,104.82,134.23,1607958567,38.42,68.18,1607954871,39.61,69.11,1607949127,2020-07-21 18:12:44,5.545,0.967,93.488,0,0,0,0,0,0,1,0,12,0.980,0.880,0.540,1743036416,121724719104,3284992,11291222016,1344,0,2,0,10,0,0,0,4294963200,21-07 18:12:44,16416,803
2020-07-21 18:12:45,21.61,45.39,8.41,0,422,16075.744120,54,0,0,0,18064,18064,16075.711893,83975378,850360047,16380313,40057014,419662361,8146625,2066377,10743140,1603820,17716992,2903919,10126971,22470848,555373066,1345614,811268165,216961,399658810,187511,269265,24034,1349390,9286,1341791,19987,1368159,602296788,22440857,150429212,4328135,22372689,2747862840,2870987548,0,334536751,2972257108,1408952021,46.61,30.95,1607382809,109.37,96.03,1607384031,43.14,29.98,1607385618,44.75,31.01,1607387332,2020-07-21 18:12:45,6.182,0.451,92.853,0.515,0,0,20348928,0,0,0,0,12,0.980,0.880,0.540,1794043904,121673703424,3284992,11291230208,1191,0,2,1,1,0,73,0,4294963200,21-07 18:12:45,16406,424
2020-07-21 18:12:46,21.63,45.45,8.72,0,500,16078.689543,59,0,0,0,5561,5562,16089.158684,17618175,989756748,2483919,7664337,618913179,12404671,2261982,6453613,508500,2343549,3476474,5166949,12873625,308220953,1038432,1006428742,137588,590196721,189239,16013,26813,1282715,8118,492107,10443,2322695,284429222,11669123,146820507,6664666,19569065,2704638408,3414483309,0,526006863,2942118236,1441017409,69.54,52.95,1608694173,131.20,117.63,1608692312,64.86,51.47,1608688826,66.58,52.54,1608683485,2020-07-21 18:12:46,6.190,0.258,92.972,0.580,0,0,75898880,0,0,1,0,11,0.980,0.880,0.540,1887358976,121580380160,3284992,11291238400,1012,0,2,0,1,0,161,0,4294963200,21-07 18:12:46,16415,491
2020-07-21 18:12:47,21.73,45.55,8.25,0,348,16079.384371,52,0,0,0,8829,8828,16068.831906,11366803,1034363805,1894436,2672557,660511188,19860553,2194939,5904181,846421,2244954,1790365,2015080,4828345,185932664,1074237,1046693738,153029,674017206,200305,32834,17906,1161461,6063,478301,1805,527946,181022074,4756912,145965776,3998276,13998109,2670183184,3540100897,0,582352613,2914354208,1470920347,41.98,25.33,1607376151,106.70,90.44,1607378422,40.61,24.39,1607381745,42.07,25.43,1607385666,2020-07-21 18:12:47,6.435,0.129,93.436,0,0,0,0,0,0,0,0,11,0.980,0.880,0.540,1887162368,121580572672,3284992,11291242496,1635,0,1,0,1,0,0,0,4294963200,21-07 18:12:47,16041,339
2020-07-21 18:12:48,21.80,45.65,9.80,0,302,16077.826705,43,0,0,0,1840,1840,16078.129710,49179687,1309671190,35286811,10005726,589869494,13503815,3243134,12151085,20063149,37586966,1482673,2559213,3607161,137242650,1161024,1333358661,168872,590309684,207839,24661,36039,2268599,8094,17594016,1581,221149,141442602,3755326,145801095,4116127,18294995,2668951061,4340516510,0,506023821,2913092932,1380268236,322.47,22.54,1607506216,386.93,87.87,1607504878,323.44,22.76,1607501798,328.76,24.41,1607499757,2020-07-21 18:12:48,6.447,0,93.553,0,0,0,0,0,0,1,0,9,0.900,0.860,0.540,1887027200,121580699648,3284992,11291250688,1295,0,1,0,0,0,0,0,4294963200,21-07 18:12:48,16340,304
2020-07-21 18:12:49,21.94,45.91,11.26,0,314,16076.509868,47,0,0,0,413,413,16077.037922,86885703,1637347240,68211657,18077189,549433854,7477284,3405631,16494164,35062860,68785501,1309917,4198451,2700198,87607442,1210008,1648269037,156285,549661139,180751,1268,26762,2523960,13833,34526003,9213,18948,83474404,2587215,146193176,3594999,22192353,2676880207,5291532675,0,465773833,2911999179,1237476639,563.54,23.73,1608181244,629.16,89.20,1608178748,567.23,24.84,1608254983,576.84,27.25,1608254273,2020-07-21 18:12:49,6.439,0.064,93.496,0,0,0,0,0,0,0,0,5,0.900,0.860,0.540,1886892032,121580826624,3284992,11291258880,1196,0,1,0,1,0,0,0,4294963200,21-07 18:12:49,16265,314
2020-07-21 18:12:50,21.84,45.70,9.38,0,374,16082.507203,54,0,0,0,946,946,16092.801919,34641324,1208308774,21525085,7956808,652427367,17466827,2387019,8731272,10447761,21397508,1638241,1971809,4410977,165286151,903973,1215663279,136619,647666049,187581,12231,18188,1546328,7640,10096274,11228,354731,160441618,4049525,148492273,3868311,16518819,2727112896,4088186055,0,564189590,2958844433,1423583490,197.51,24.61,1609502603,262.52,89.90,1609504971,197.43,24.23,1609430728,201.41,25.67,1609505916,2020-07-21 18:12:50,6.443,0.064,93.492,0,0,0,0,0,0,1,4,15,0.900,0.860,0.540,1886756864,121580953600,3284992,11291267072,1270,0,1,0,1,0,0,0,4294963200,21-07 18:12:50,16367,372
2020-07-21 18:12:51,20.94,44.75,8.79,0,1431,16094.061863,279,0,0,0,37592,37598,16083.058825,17825902,875511939,4527223,5630689,541152311,18584561,3051361,11428603,1532032,4062325,1887198,2574100,9770356,307170517,2048171,879110367,254642,539175857,388341,1644914,235072,3342032,49904,2114435,66694,562484,324494114,9252234,147162348,5282690,19915424,2561509441,2934097426,0,449071180,2960034540,1529044204,80.94,26.54,1608335325,145.21,91.41,1608335172,78.86,25.18,1608334851,79.99,26.13,1608260618,2020-07-21 18:12:51,5.552,0.968,93.480,0,0,0,8519680,0,0,0,0,9,0.900,0.860,0.540,1569439744,121884987392,3284992,11304144896,1559,0,1,0,68,0,24,0,4294963200,21-07 18:12:51,16468,1323
2020-07-21 18:12:52,17.33,41.18,9.07,0,4030,16083.331139,776,0,0,0,96547,96541,16091.055778,23985775,353493434,2529978,8601564,304548374,26014007,2793357,9514687,599946,3447270,2409634,5085768,9488877,231337594,4042852,340056111,459488,295801734,772429,131933,1839969,1931274,488683,748617,255811,1517193,221115522,9289031,154823335,5502675,25488190,2066203343,1164462122,0,200159308,3100655820,1455146050,52.62,40.82,1608776679,114.71,105.48,1608777488,48.22,39.77,1608779584,47.42,40.16,1608780055,2020-07-21 18:12:52,2.348,4.240,93.412,0,0,0,71680,0,0,1,0,9,0.900,0.860,0.540,1570254848,121920983040,3284992,11268575232,1596,0,2,0,264,0,6,0,4294963200,21-07 18:12:52,16586,4090
2020-07-21 18:12:53,21.62,45.45,8.88,0,685,16090.940613,121,0,0,0,22370,22373,16081.702751,21258944,666001299,4623793,11576256,382386902,8547686,1726813,9658859,1009284,7099909,3287231,3397676,28983241,536917691,2054589,714049248,303786,402064121,302083,2015432,389579,782445,71610,975068,82555,2467833,554460273,28864331,139389211,4719310,21145119,2605729921,2507914574,0,292656584,2775556086,1359071183,35.56,55.55,1608313872,95.31,120.70,1608302544,29.39,54.73,1608289988,30.57,55.53,1608276838,2020-07-21 18:12:53,5.624,0.970,93.407,0,0,0,0,0,0,0,0,7,0.910,0.870,0.540,1739812864,121728327680,3284992,11290845184,1482,0,2,0,9,0,0,0,4294963200,21-07 18:12:53,16277,730
2020-07-21 18:12:54,21.97,45.74,8.14,0,372,16077.908643,56,0,0,0,16057,16054,16078.732740,82009514,828997304,15481064,37230030,403519658,7735460,1809019,8992327,1648613,17902318,3128266,11040986,21852378,576927741,1577150,826210055,278272,412920634,400966,74302,39685,956050,14497,1003531,27200,583924,564455595,21017660,139816881,4734400,24236079,2688599116,2781675816,0,319936906,2789461346,1404608942,38.26,28.91,1607794675,101.23,94.11,1607799980,35.18,28.19,1607806923,36.63,29.02,1607816214,2020-07-21 18:12:54,6.214,0.259,93.528,0,0,0,0,0,0,1,0,6,0.910,0.870,0.540,1791639552,121675968512,3284992,11291303936,1130,0,2,0,1,0,0,0,4294963200,21-07 18:12:54,16354,370
2020-07-21 18:12:55,21.67,45.48,8.58,0,360,16081.020745,53,0,0,0,5257,5257,16081.830351,16810953,930579330,2240262,8292337,586938543,11007861,1992996,5949791,636484,2463181,2994314,3995428,11511753,279392435,983838,977827489,151259,581266601,205677,2091950,32049,1123088,9099,626113,35685,1907851,303200213,12280591,145213782,5638017,17965083,2720020200,3296066268,0,489876038,2864709487,1484170029,45.82,49.79,1609501277,107.71,114.70,1609507097,41.56,48.59,1609513921,43.13,49.66,1609522383,2020-07-21 18:12:55,6.339,0.259,93.402,0,0,0,0,0,0,0,0,7,0.910,0.870,0.540,1886449664,121581158400,3284992,11291303936,695,42,2,0,1,0,0,0,4294963200,21-07 18:12:55,16247,341
2020-07-21 18:12:56,21.45,45.28,8.56,0,335,16109.660806,53,0,0,0,8834,8834,16110.695943,11509496,977583830,1810459,2484613,635755953,18486548,2037675,5559388,497057,2103730,1789968,1994638,4575162,172782528,1021327,989433586,212583,640489779,370159,2553679,29596,1115044,10073,501317,11254,522740,176853693,4516713,148101044,4646377,14989660,2716428598,3308915350,0,553213028,2957455066,1575641565,39.22,23.80,1610989347,104.18,89.10,1610998160,38.12,23.04,1611006151,39.61,24.05,1611012242,2020-07-21 18:12:56,6.395,0.129,93.475,0,0,0,0,0,0,1,0,6,0.910,0.870,0.540,1886302208,121581285376,3284992,11291324416,572,0,2,0,1,0,0,0,4294963200,21-07 18:12:56,16394,348
2020-07-21 18:12:57,21.97,45.89,9.64,0,354,16108.449919,48,0,0,0,1610,1610,16109.698707,42064400,1231620669,29317277,8569438,584038550,15035581,3059306,10466948,14637684,28007484,1525411,2429077,3898811,159999869,981386,1213054018,166011,584151629,253378,1329022,30366,2036011,9305,14164881,10743,270707,160255867,3866976,156754292,4105052,17492892,2843694250,4100856255,0,501836471,3110966985,1557230458,263.15,20.88,1610714608,328.29,86.20,1610715398,264.46,21.02,1610714637,268.29,22.50,1610713854,2020-07-21 18:12:57,6.468,0,93.532,0,0,0,102912,0,0,0,0,7,0.910,0.870,0.540,1886302208,121581285376,3284992,11291324416,884,0,2,0,1,0,9,0,4294963200,21-07 18:12:57,16338,352
2020-07-21 18:12:58,21.63,45.63,11.19,0,358,16107.152851,53,0,0,0,425,425,16109.887590,87533508,1643846452,67787220,17495913,545968438,7449524,3369568,16346086,34852814,70587164,1304062,4074836,2650354,86341750,1153951,1646276403,158183,548761862,184356,9246,34523,2510532,11245,36131118,10743,16132,83144333,2551987,146031637,3580627,22564588,2680181552,5302854392,0,468375508,2919179329,1247750997,573.70,20.85,1611514704,642.08,86.35,1611511617,580.27,22.58,1611509659,588.30,25.21,1611504797,2020-07-21 18:12:58,6.508,0.064,93.428,0,0,0,0,0,0,1,0,7,0.920,0.870,0.540,1886154752,121581420544,3284992,11291336704,1477,0,1,0,0,0,0,0,4294963200,21-07 18:12:58,16290,353
2020-07-21 18:12:59,21.48,45.38,9.83,0,376,16114.766140,61,0,0,0,911,911,16111.315427,41573073,1242376440,28879207,8526005,608203202,15218614,2501445,9918671,14602826,29152307,1553426,2533152,3753186,141151300,1027807,1258390766,163459,610683248,212728,1645976,42700,1681208,9841,15770993,11597,1901573,135258074,3627371,146588853,4344411,18338405,2687251687,4121960199,0,528248828,2929695011,1424516558,260.50,22.56,1610513356,326.98,87.97,1610513470,262.59,22.83,1610545231,266.66,24.33,1610549348,2020-07-21 18:12:59,6.443,0.064,93.492,0,0,0,0,0,0,0,0,6,0.920,0.870,0.540,1886146560,121581420544,3284992,11291344896,1714,0,2,0,1,0,0,0,4294963200,21-07 18:12:59,16334,373
2020-07-21 18:13:00,21.48,45.32,8.61,0,537,16098.354356,90,0,0,0,10713,10714,16098.186289,16152944,970142945,4864735,5421007,593399686,17218844,2756123,9920253,1701777,4206390,1795881,2187446,7947756,283745561,1463930,954306348,202016,580902121,266651,3001965,100635,3593755,15732,2032949,18567,542042,302713953,7831446,146808585,5126520,16966108,2700338090,3249507081,0,503253392,2907387080,1570638603,78.95,25.87,1611035688,143.57,90.91,1611036573,77.34,24.81,1611005438,78.86,25.89,1611005685,2020-07-21 18:13:00,6.404,0.129,93.467,0,0,0,0,0,0,1,0,6,0.920,0.870,0.540,1886244864,121568325632,3284992,11304341504,759,0,2,0,5,0,0,0,4294963200,21-07 18:13:00,16253,434
2020-07-21 18:13:01,17.17,40.97,8.99,0,4388,16111.501309,888,0,0,0,121163,121162,16112.365955,17245372,310880401,2266052,5096604,266659363,22805403,1600038,8480728,209568,3086620,1785260,4385389,10358327,221052846,4626440,299935616,521556,265087329,838078,148682,646697,690010,135820,232012,314091,449569,226331823,10093476,155014884,3286889,23535339,1990514736,1138445991,0,184948912,3112933070,1410205292,23.76,16.10,1611325043,87.65,81.66,1611335281,21.44,14.81,1611398391,20.89,15.38,1611407293,2020-07-21 18:13:01,3.127,3.648,93.225,0,0,0,28672,0,0,0,0,7,0.920,0.870,0.540,1567940608,121886408704,3284992,11304230912,632,0,1,0,296,0,3,0,4294963200,21-07 18:13:01,16650,4169
2020-07-21 18:13:02,20.21,44.09,8.84,0,1246,16110.688929,189,0,0,0,22387,22387,16109.502638,30899300,701240051,5608963,14175255,422190686,15178799,2840808,9857427,1085675,5673524,5838237,9777912,23660292,482983873,2501238,667497405,365765,435068749,313466,2025242,112082,2127913,41287,1308345,140177,4591386,493258650,21211634,151539283,8847584,26769311,2622783100,2456848716,0,314816227,2983139573,1445513649,66.01,75.65,1610000110,124.02,140.35,1609988319,57.45,74.88,1609921686,57.87,75.51,1609910666,2020-07-21 18:13:02,4.140,2.393,93.467,0,0,0,47616,0,0,1,0,7,0.920,0.870,0.540,1732501504,121734873088,3284992,11291377664,572,0,2,0,45,0,4,0,4294963200,21-07 18:13:02,16393,1548
2020-07-21 18:13:03,21.01,44.82,8.36,0,335,16095.842721,51,0,0,0,20097,20097,16096.105774,60266779,786600507,11995467,27450993,370178140,7982934,1983989,8056023,618451,6676932,2288864,4506214,27408239,609548073,1897799,770333854,348429,358884856,208721,155332,27897,1435204,16218,466897,34429,572353,614425465,28594130,148512626,3886391,16109952,2704943913,2820221032,0,284761955,2941076538,1327162356,37.92,30.95,1610418945,100.87,96.31,1610421253,34.73,30.26,1610424819,36.12,31.09,1610425479,2020-07-21 18:13:03,6.117,0.451,93.432,0,0,0,0,0,0,0,0,6,0.930,0.870,0.550,1790636032,121676730368,3284992,11291385856,1537,0,1,0,0,0,0,0,4294963200,21-07 18:13:03,16235,338
2020-07-21 18:13:04,21.28,45.10,8.31,0,348,16109.008462,53,0,0,0,4312,4312,16109.003338,43722820,906667690,7450507,20018280,543181021,10053197,1767264,8253746,367973,12719798,3318846,11273610,13524984,319437901,969226,914407012,159232,561702594,204586,1614828,41549,889043,12469,603437,39604,4122456,322850792,13712620,149279298,5502449,24744833,2710147373,3074990194,0,468146095,2944642239,1493132680,39.75,45.78,1610259909,101.81,110.82,1610260144,35.42,44.53,1610258978,37.01,45.59,1610258539,2020-07-21 18:13:04,6.319,0.193,93.488,0,0,0,0,0,0,1,0,5,0.930,0.870,0.550,1886720000,121580646400,3284992,11291385856,1235,0,2,0,1,0,0,0,4294963200,21-07 18:13:04,16355,359
2020-07-21 18:13:05,21.35,45.16,8.44,0,342,16096.959616,50,0,0,0,8875,8875,16096.670477,11089980,1005077222,1980624,2410971,645050212,16865903,2052627,5626356,506403,2338065,2054972,2031381,4518484,170078415,1054801,992898420,169350,637427231,198028,2591104,23348,1190548,27319,509754,13585,561703,188327472,5016486,152215876,4029670,14149712,2732145800,3408162170,0,559587997,2970732017,1561884829,41.15,24.83,1610592897,106.13,90.17,1610592827,40.07,24.08,1610592046,41.49,25.04,1610589999,2020-07-21 18:13:05,6.383,0.064,93.553,0,0,0,0,0,0,0,0,7,0.930,0.870,0.550,1886568448,121580781568,3284992,11291402240,995,0,2,0,1,0,0,0,4294963200,21-07 18:13:05,16231,327
2020-07-21 18:13:06,21.71,45.57,8.92,0,458,16109.559484,57,0,0,0,2714,2714,16109.629337,28064437,1097539944,16392921,5416860,601828373,17377324,2659172,8069028,7902784,16577395,1635890,3066843,4369610,163105903,1035641,1088493712,157264,602233182,196300,1915189,26516,1891633,8730,10674555,12143,302886,163240642,4396045,147308050,4010896,16300033,2731416169,3804162692,0,519726179,2944648501,1536694008,169.58,20.61,1610850453,234.08,85.82,1610847550,169.72,20.39,1610847736,172.35,21.39,1610851623,2020-07-21 18:13:06,6.533,0.065,93.402,0,0,0,155648,0,0,1,0,7,0.930,0.870,0.550,1886568448,121580781568,3284992,11291402240,572,0,2,0,1,0,21,0,4294963200,21-07 18:13:06,16408,386
2020-07-21 18:13:07,21.61,45.62,11.01,0,316,16109.763866,46,0,0,0,452,452,16109.896013,87008432,1646430663,67840036,17913036,552709353,8019200,3402832,16556420,35150477,67941402,1297146,3209968,2615343,83580426,1126093,1644472185,158318,549851533,176919,578,26279,2470294,12398,34591518,12230,14114,86722178,2734566,148332407,3575075,22491902,2702607436,5323239972,0,471637831,2950834192,1255605744,573.04,21.00,1610556227,640.34,86.24,1610554784,579.51,22.71,1610553619,587.56,25.02,1610549183,2020-07-21 18:13:07,6.447,0.064,93.488,0,0,0,337408,0,0,0,0,6,0.930,0.870,0.550,1886543872,121580789760,3284992,11291418624,576,42,2,0,1,0,27,0,4294963200,21-07 18:13:07,16330,399
2020-07-21 18:13:08,21.48,45.43,10.16,0,332,16097.516717,50,0,0,0,773,773,16097.436436,56250889,1374423048,41230402,11333137,591735778,12881630,2742728,11883448,20830559,43118427,4388021,5887521,3468705,127224106,1085396,1359051607,160172,593906065,190791,1198750,38560,1891633,9542,21868067,12189,186611,121928717,3458814,148367707,3617283,19162049,2710381934,4537742568,0,511045834,2956399142,1372949230,353.29,23.05,1610401627,419.80,88.39,1610405599,356.74,23.87,1610409762,361.84,25.51,1610415189,2020-07-21 18:13:08,6.447,0,93.553,0,0,0,0,0,0,1,0,8,0.930,0.870,0.550,1886408704,121580916736,3284992,11291426816,631,0,1,0,0,0,0,0,4294963200,21-07 18:13:08,16255,307
2020-07-21 18:13:09,21.46,45.23,8.51,0,352,16108.349050,57,0,0,0,1070,1071,16108.232467,12252934,962321128,2714027,2216310,605712573,18942125,2421390,6112057,943194,2552901,1806888,2027934,5802015,221784798,853313,979112515,144984,609812964,211347,3043009,28311,1412072,31911,1156990,13452,463059,200264645,5159129,145768822,4221562,14327890,2710003132,3328461360,0,523181710,2925268304,1584271236,46.69,18.26,1610305663,111.71,83.62,1610304233,45.65,17.60,1610303736,46.94,18.36,1610300109,2020-07-21 18:13:09,6.525,0.065,93.411,0,0,0,0,0,0,0,0,8,0.930,0.870,0.550,1886277632,121581043712,3284992,11291430912,628,0,2,0,1,0,0,0,4294963200,21-07 18:13:09,16317,315
2020-07-21 18:13:10,17.29,41.12,8.85,0,3828,16097.973025,757,0,0,0,111216,111221,16099.593966,18770938,416216549,3073566,5858826,303912374,21407978,3866773,11290923,1045655,4021648,1744842,3779541,11169194,294747701,4537121,407228229,554583,303548982,781393,1031152,569528,2111253,146330,409154,266599,493391,307580761,11317480,158002841,3622981,23321181,2139215892,1482642718,0,238760238,3174375092,1442067750,56.22,23.54,1611046515,119.40,88.48,1611053292,52.70,21.66,1611110864,53.33,22.46,1611121133,2020-07-21 18:13:10,3.771,2.861,93.368,0,0,0,12288,0,0,1,0,7,0.930,0.870,0.550,1568808960,121885257728,3284992,11304312832,1293,0,1,0,225,0,1,0,4294963200,21-07 18:13:10,16473,3321
