time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:04:09,20.14,44.12,9.36,0,5304,16228.757553,1103,0,0,0,154035,154043,16223.678555,22870402,400552106,3105165,6965820,331873144,26775918,1646892,10001425,197838,4960918,1799467,4834215,13195626,297689770,5555101,407378980,617143,332504104,1035667,222378,865191,870188,162978,234100,405586,793101,284889471,13580326,153980879,3683724,28380877,2490141460,1484186880,0,219642758,3056175999,1712669502,92.02,85.45,1612543807,24.73,20.20,1612495526,24.30,19.37,1612443969,25.33,20.66,1612360890,2020-07-21 18:04:09,3.444,3.379,93.177,0,0,0,43520,0,0,0,0,6,0.930,0.490,0.230,1571250176,122012954624,3284992,11179196416,516,0,1,0,398,0,5,0,4294963200,21-07 18:04:09,16713,5217
2020-07-21 18:04:10,18.23,42.13,9.33,0,4875,16174.804994,1008,0,0,0,137860,137867,16176.738922,20677253,346979690,2685464,6278111,297911677,24604077,1618294,9139094,207617,3732993,1807937,4721802,12347074,264093362,5046410,368284843,481865,298578098,955333,195237,737041,754921,162795,228030,350830,477022,253420397,11708910,158296498,3723201,26400101,2250755878,1249932452,0,193349307,3118139996,1573382546,91.10,83.95,1611938492,23.49,18.07,1611928382,23.59,17.43,1611918987,23.61,18.23,1611907152,2020-07-21 18:04:10,3.262,3.588,93.151,0,0,0,4096,0,0,1,0,9,0.930,0.490,0.230,1570373632,122013827072,3284992,11179200512,1106,0,1,0,363,0,1,0,4294963200,21-07 18:04:10,16779,4795
2020-07-21 18:04:11,16.97,40.78,8.96,0,4524,16118.283273,895,0,0,0,125795,125792,16123.398023,18720994,343520360,2462740,5790282,284471118,23220342,1575477,8638220,174287,3340864,1668378,4235255,11488129,247147165,4904292,340679037,503717,282742010,888631,163715,702063,716234,186230,214894,314283,326075,254631543,10457498,155378148,3167929,23888664,2046269158,1252102312,0,198503826,3246861130,1466503725,87.85,80.53,1612296602,20.67,14.70,1612301842,20.58,14.10,1612309143,20.63,14.92,1612316139,2020-07-21 18:04:11,3.192,3.713,93.094,0,0,0,4096,0,0,0,0,8,0.930,0.490,0.230,1571880960,122012307456,3284992,11179212800,1499,0,1,0,335,0,1,0,4294963200,21-07 18:04:11,16682,4502
2020-07-21 18:04:12,16.74,40.55,8.92,0,4449,16120.070301,871,0,0,0,125784,125790,16114.304688,18713054,342899724,2562044,5681710,283523591,23903436,1537897,8675681,227013,3518159,1626999,4385434,10849513,241080432,4832674,347493256,453843,290570747,887535,165784,671831,679060,144034,160518,284830,374130,223582886,11272590,157824255,3269589,24619239,2067788587,1196722171,0,185347526,3205818210,1467260537,87.08,79.48,1610360476,20.47,14.07,1610361784,20.34,13.60,1610364751,20.37,14.41,1610363968,2020-07-21 18:04:12,3.125,3.776,93.099,0,0,0,28160,0,0,1,0,8,0.930,0.490,0.230,1570959360,122013216768,3284992,11179225088,868,0,1,0,335,0,3,0,4294963200,21-07 18:04:12,16600,4401
2020-07-21 18:04:13,16.46,40.23,8.90,0,4431,16101.696583,873,0,0,0,123446,123432,16108.216276,18488549,335628719,2482260,5622933,272490361,22629924,1564168,8494467,160226,2964656,1722175,4814923,10652888,239736308,4862367,332253144,475437,282854494,860433,159813,678364,666877,130109,192973,275463,386041,242205928,10637120,157500435,3206679,23889787,2038058726,1214018985,0,190494828,3268635381,1431058821,87.45,79.81,1611559734,19.96,13.83,1611560558,19.71,13.13,1611558328,20.45,14.22,1611557770,2020-07-21 18:04:13,2.999,3.911,93.090,0,0,0,4096,0,0,0,0,9,0.940,0.500,0.230,1572188160,122011947008,3284992,11179233280,927,0,3,0,329,0,1,0,4294963200,21-07 18:04:13,16652,4407
2020-07-21 18:04:14,16.06,39.86,8.96,0,4383,16106.827082,886,0,0,0,118708,118716,16100.520960,17190950,309178694,2306902,5235290,278391627,22795746,1529670,8764230,199642,2705621,1602213,4487999,10474216,238591165,4703848,350853492,465021,287579059,805391,147057,619593,616968,138609,187296,274069,400543,208918630,10254055,158154814,3192220,23813178,1939884880,1044838642,0,169202239,3170024933,1366204238,85.49,78.17,1609529196,19.51,13.39,1609526170,19.00,12.65,1609524924,19.63,13.53,1609525058,2020-07-21 18:04:14,2.999,3.781,93.220,0,0,0,27136,0,0,1,0,9,0.940,0.500,0.230,1570832384,122013294592,3284992,11179241472,748,0,3,0,317,0,3,0,4294963200,21-07 18:04:14,16512,4343
2020-07-21 18:04:15,15.82,39.59,8.85,0,4391,16103.557936,888,0,0,0,118087,118078,16106.083748,17721796,326845751,2465539,5556201,267967497,22829949,1565792,8473744,202074,4029470,1590536,3922846,10220199,225506130,4260584,318216411,455713,276978410,818528,172539,691500,683269,175810,192375,286877,363251,218125587,10553319,167135152,3180202,23688855,1995886703,1175521728,0,174423207,3322598160,1402728893,86.83,79.43,1611442962,19.61,13.67,1611445102,18.93,12.81,1611445816,19.70,13.94,1611445923,2020-07-21 18:04:15,3.121,3.836,93.043,0,0,0,4096,0,0,0,0,8,0.940,0.500,0.230,1570480128,122013630464,3284992,11179253760,1322,0,2,0,314,0,1,0,4294963200,21-07 18:04:15,16437,4354
2020-07-21 18:04:16,15.82,39.62,8.99,0,4382,16114.873191,890,0,0,0,121448,121436,16112.253371,18007910,313806641,2347026,5486433,270066854,22584137,1528377,8357702,183687,3260412,1638802,4322737,10368630,233026637,4508898,324120181,508020,275044886,834855,159201,634597,656824,151780,189341,266291,354389,215455709,10298062,162923552,3212364,23861457,1986248246,1095042628,0,175071676,3365280597,1412369363,86.66,79.71,1610970878,19.62,13.99,1610969403,18.89,13.14,1610968983,19.76,14.28,1610968208,2020-07-21 18:04:16,2.794,4.159,93.047,0,0,0,0,0,0,1,0,5,0.940,0.500,0.230,1574301696,122009792512,3284992,11179270144,460,0,2,0,328,0,0,0,4294963200,21-07 18:04:16,16689,4381
2020-07-21 18:04:17,15.77,39.56,8.98,0,4273,16107.136978,853,0,0,0,119201,119213,16109.540214,16800728,314597487,2141036,4953407,273617191,22555660,1519628,8198229,173057,2941694,1639977,4171245,10423789,217035519,4316955,289323709,461113,260376648,849530,144539,654273,660737,158264,177455,268609,332628,229814728,9934206,160194952,3133561,23516107,1923459762,1088468927,0,183700133,3202832081,1335718598,85.81,79.16,1610528668,18.83,13.33,1610529076,18.60,12.72,1610528890,19.32,13.84,1610530929,2020-07-21 18:04:17,2.987,3.831,93.182,0,0,0,4096,0,0,0,0,6,0.940,0.500,0.230,1572278272,122011811840,3284992,11179274240,576,0,1,0,304,0,1,0,4294963200,21-07 18:04:17,16610,4231
2020-07-21 18:04:18,15.73,39.51,8.96,0,4324,16100.797684,838,0,0,0,117093,117083,16098.636812,18073094,316651897,2381160,5256794,264920125,21925201,1505152,8163184,224170,3502665,1645144,4170840,10384981,220801356,4479716,300901435,472088,263317664,837518,160182,649646,671127,163331,192292,343921,444969,234993026,11185356,169606559,3447783,24230982,2030885142,1155649349,0,174546663,3313304395,1392897075,85.61,78.91,1610755208,19.58,14.08,1610758169,18.84,13.23,1610758127,19.35,14.22,1610756277,2020-07-21 18:04:18,3.249,3.639,93.112,0,0,0,27648,0,0,1,0,6,0.940,0.510,0.240,1570627584,122013450240,3284992,11179286528,998,0,2,0,312,0,3,0,4294963200,21-07 18:04:18,16598,4284
