time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:05:58,17.62,41.92,9.10,0,4168,16444.050483,813,0,0,0,123754,123655,16405.236166,20189672,369227744,2749732,6757594,286356339,23272214,1573845,8895296,153728,3049339,1662357,4264624,12006162,257762426,3895755,381218948,474434,282966267,850494,153993,691465,753699,163403,180606,284388,616678,273392141,12468040,162650375,4042902,25049278,2155520931,1314836164,0,179429097,3195101163,1464220032,90.68,89.54,1613205368,22.90,24.43,1613108584,21.88,22.88,1612990812,22.13,23.71,1612898844,2020-07-21 18:05:58,3.190,3.516,93.294,0,0,0,0,0,0,0,0,8,0.980,0.640,0.310,1603239936,121978884096,3284992,11180998656,628,0,2,0,306,0,0,0,4294963200,21-07 18:05:58,16640,3950
2020-07-21 18:05:59,19.36,43.25,9.12,0,4509,16164.978487,952,0,0,0,129919,129919,16171.193952,19036229,435670384,2646445,5544772,304425240,23755402,1730498,9042168,203155,3267533,1703318,4825162,12443808,273887711,4495406,406802361,542268,299868100,915471,348889,782057,893404,180738,229934,385218,1216081,282124946,13935937,154941415,3981897,26336632,2372460086,1452227950,0,203486784,3020109838,1599492246,96.02,92.75,1608993082,28.14,27.43,1608978932,26.04,25.55,1608966487,27.57,26.88,1608955356,2020-07-21 18:05:59,3.516,3.255,93.229,0,0,0,1339392,0,0,1,0,7,0.980,0.650,0.320,1602285568,121979834368,3284992,11181002752,635,0,2,0,339,0,27,0,4294963200,21-07 18:05:59,16661,4509
2020-07-21 18:06:00,20.74,44.54,9.23,0,4607,16085.055353,1005,0,0,0,137738,137770,16079.947817,20086761,475652990,2766268,5940738,324966528,24066178,1659758,8924085,178005,3293807,3332780,6096782,14110010,299972273,4330902,461947296,497471,319339850,939657,272470,877799,975035,265034,332105,425053,635705,297521136,13309275,147863914,4134891,27245717,2476761240,1488056623,0,214867154,2892782221,1684821196,98.43,94.09,1608171002,30.38,28.80,1608176831,28.62,26.87,1608181311,29.77,28.13,1608197872,2020-07-21 18:06:00,3.706,2.991,93.303,0,0,0,8192,0,0,0,0,6,0.980,0.650,0.320,1569300480,122012291072,3284992,11181502464,999,0,4,0,361,0,2,0,4294963200,21-07 18:06:00,16633,4626
2020-07-21 18:06:01,20.48,44.26,9.17,0,4775,16082.752779,1014,0,0,0,144309,144296,16080.091318,20299417,438220445,2781537,6057575,318352459,25509059,1741156,9602388,262453,3490029,2299738,5529027,13341751,287274933,4358358,432789044,538493,304674021,926537,246751,769808,836173,292333,345391,408069,751125,293791629,13372287,147308869,4089729,27919241,2480018804,1460486201,0,206042880,2911628750,1682041268,97.35,93.34,1607605881,29.43,28.26,1607603062,28.13,26.55,1607601363,28.50,27.47,1607584670,2020-07-21 18:06:01,3.446,3.251,93.303,0,0,0,4096,0,0,1,0,6,0.980,0.650,0.320,1569378304,122012196864,3284992,11181514752,816,0,2,0,374,0,1,0,4294963200,21-07 18:06:01,16366,4737
2020-07-21 18:06:02,20.46,44.24,9.02,0,4777,16078.542929,1027,0,0,0,142629,142623,16079.848508,19416391,453740435,2722762,6162153,313837333,24053649,1691382,9342243,275162,3576035,3156861,5696923,13103600,304192047,4711494,442513035,593958,320320775,963168,187902,905068,1021484,189731,661064,627912,603188,296454269,14577936,144759712,3667465,26578214,2444057129,1557784712,0,209988525,2866432774,1626994267,96.52,92.14,1608926267,28.62,27.15,1608929746,27.19,25.42,1608933337,28.13,26.40,1608936783,2020-07-21 18:06:02,3.320,3.320,93.359,0,0,0,4096,0,0,0,0,6,0.980,0.650,0.320,1569349632,122012205056,3284992,11181522944,636,0,2,0,370,0,1,0,4294963200,21-07 18:06:02,16528,4753
2020-07-21 18:06:03,19.72,43.51,9.04,0,4585,16094.057925,978,0,0,0,137391,137403,16095.149872,20283164,417683091,2845252,7030784,301419737,23985967,1726797,9261518,268067,4089387,1808393,4732925,12437665,292467947,4344426,418496656,562776,307722409,984732,201939,860465,920298,181192,254032,313314,404102,326498603,13325311,145533558,3511127,24932452,2322950781,1608036448,0,208753015,2930151848,1574086113,95.10,90.92,1609651529,27.13,25.84,1609687292,25.78,24.09,1609714904,26.85,25.28,1609741501,2020-07-21 18:06:03,3.583,3.127,93.290,0,0,0,8192,0,0,1,0,7,0.980,0.650,0.320,1571454976,122010071040,3284992,11181535232,811,0,2,0,355,0,2,0,4294963200,21-07 18:06:03,16645,4567
2020-07-21 18:06:04,19.26,43.08,9.00,0,4607,16109.437653,996,0,0,0,134410,134404,16110.185031,19870602,414364005,2819803,6136441,295366960,24367584,1780431,9409726,225577,3110275,2093717,4699787,13282592,324694101,4134098,440991165,556968,297336251,882600,172681,711318,750749,230683,317682,352449,1796465,278437198,12363191,152015514,4137179,26219635,2370420291,1473236112,0,212653489,3050740157,1619420786,94.88,91.15,1611420604,26.56,25.94,1611390190,25.56,24.41,1611364965,26.76,25.45,1611343497,2020-07-21 18:06:04,3.392,3.262,93.346,0,0,0,4096,0,0,0,0,6,0.990,0.650,0.320,1570516992,122010976256,3284992,11181543424,759,0,3,0,346,0,1,0,4294963200,21-07 18:06:04,16554,4562
2020-07-21 18:06:05,19.52,43.31,9.07,0,4557,16098.204668,979,0,0,0,135677,135685,16096.133599,20965405,421350109,2914920,6917091,314295394,24195190,1867419,9555604,199150,3512421,2019626,4489647,14143267,285066862,4444883,422318668,509738,295997296,923485,184537,723240,750699,125224,193507,346437,1011338,278977215,12914496,147853340,4593919,26900182,2358371734,1479982818,0,200032841,2983313560,1636188533,95.38,91.68,1609534234,27.66,26.74,1609542128,26.10,24.94,1609553803,27.36,26.10,1609562484,2020-07-21 18:06:05,3.516,3.190,93.294,0,0,0,4096,0,0,1,0,6,0.990,0.650,0.320,1568145408,122013323264,3284992,11181555712,579,0,2,0,352,0,1,0,4294963200,21-07 18:06:05,16666,4531
2020-07-21 18:06:06,20.00,43.80,9.32,0,4640,16094.461032,986,0,0,0,137910,137904,16093.256546,20404148,402096266,2684240,7133339,300868230,24704059,1734119,9169257,250249,3520343,1773474,4471020,13315419,292468282,4305712,433802753,530157,304639770,894790,167770,883435,887146,266170,301099,403371,777917,314638145,13730650,144837913,3815201,25507492,2351885995,1505697169,0,197451104,2885674654,1622812012,96.01,91.85,1608454972,28.11,26.70,1608445514,26.85,25.07,1608436471,27.39,25.85,1608427774,2020-07-21 18:06:06,3.581,3.190,93.229,0,0,0,121856,0,0,0,0,6,0.990,0.650,0.320,1568354304,122013093888,3284992,11181563904,935,0,2,0,356,0,10,0,4294963200,21-07 18:06:06,16641,4597
2020-07-21 18:06:07,20.75,44.52,9.19,0,4754,16085.311565,1009,0,0,0,144234,144214,16092.187944,20690118,435446618,2752616,6324900,309737064,24286017,1688809,9106381,266058,3524341,3213019,6131431,13538609,289643307,4847873,437268330,559616,309102292,976233,169339,836535,880336,254204,286359,370088,676233,291620441,12391157,143273242,3902254,27351989,2461482712,1492618125,0,212021495,2886665854,1687451743,97.18,92.54,1609652888,29.06,27.53,1609642396,27.78,25.84,1609628575,28.23,26.77,1609614576,2020-07-21 18:06:07,3.446,3.251,93.303,0,0,0,4096,0,0,1,0,7,0.990,0.650,0.320,1567354880,122014081024,3284992,11181576192,632,0,1,0,373,0,1,0,4294963200,21-07 18:06:07,16573,4722
