time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:07:29,18.65,42.68,9.08,0,4867,16266.551419,1015,0,0,0,144381,144337,16265.771383,20623428,375391482,2869084,6345297,316283442,26038380,1683560,9925854,283478,4065536,1862598,4847517,12171404,265855981,5068203,365621568,528804,316095750,981959,175828,739980,791984,135287,175018,345135,461614,263267184,13022622,154004028,3692596,26859349,2241481255,1275384007,0,213609672,3061612503,1563658651,59.69,52.99,1613088493,57.30,52.93,1613001046,23.69,18.85,1612919893,24.53,19.90,1612838382,2020-07-21 18:07:29,3.005,3.658,93.338,0,0,0,4096,0,0,0,0,7,1.060,0.750,0.380,1569312768,122010861568,3284992,11182555136,572,0,2,0,369,0,1,0,4294963200,21-07 18:07:29,16669,4771
2020-07-21 18:07:30,16.81,40.75,9.14,0,4465,16180.451856,920,0,0,0,126452,126446,16178.353730,17240383,319032588,2143650,5253367,275750142,22993880,1597900,8534297,195417,3283676,1765010,4427929,11343787,240722529,4548024,332641495,515100,283016439,867029,159086,697592,732617,154352,195891,321184,470760,233742216,10792238,162786565,3388923,24898350,2076260231,1135649020,0,186620294,3166330378,1433352351,57.47,50.39,1612052533,55.19,50.15,1612046515,21.73,16.11,1612035200,22.23,17.23,1612049130,2020-07-21 18:07:30,2.874,4.050,93.076,0,0,0,4096,0,0,1,0,5,1.060,0.750,0.380,1568174080,122011992064,3284992,11182563328,673,54,2,0,331,0,1,0,4294963200,21-07 18:07:30,16665,4408
2020-07-21 18:07:31,16.16,39.97,9.06,0,4350,16112.331256,899,0,0,0,122020,122020,16112.036423,17522087,310535961,2211798,5176690,269905392,23287736,1622040,8522302,182484,2915338,1579914,3956792,11513555,243838521,4099922,322994112,488234,278758720,835673,142198,665317,693398,160249,199718,296684,381420,224319212,10915200,161304536,3210045,23973669,1994185041,1118979879,0,182180218,3261491364,1419105899,56.03,48.22,1610948359,54.35,48.07,1611009402,20.44,13.93,1611005676,21.33,15.30,1610976226,2020-07-21 18:07:31,2.870,3.914,93.216,0,0,0,4096,0,0,0,0,7,1.060,0.750,0.380,1568780288,122011373568,3284992,11182575616,692,0,1,0,322,0,1,0,4294963200,21-07 18:07:31,16620,4320
2020-07-21 18:07:32,16.07,39.88,8.95,0,4337,16109.761982,894,0,0,0,121262,121262,16109.426982,16992642,324225093,2097047,4973704,270950844,22521860,1528453,8255969,200471,3028259,1675864,4314060,10687245,243106193,4458800,335829399,497557,278421290,843903,159448,648128,695483,161729,180804,315810,479739,222589736,10128741,182470701,3337003,24449040,2178281623,1113721719,0,175916753,3626174507,1525316115,55.81,48.20,1610219140,53.48,47.91,1610163738,20.16,13.92,1610175065,21.11,15.20,1610186188,2020-07-21 18:07:32,2.729,4.094,93.177,0,0,0,4096,0,0,1,0,7,1.060,0.750,0.380,1568141312,122011996160,3284992,11182592000,1172,42,2,0,319,0,1,0,4294963200,21-07 18:07:32,16552,4305
2020-07-21 18:07:33,15.86,39.65,8.86,0,4393,16107.348729,903,0,0,0,122923,122922,16108.869202,17060863,312106680,2269506,4972396,270980356,22523514,1572949,8540414,209142,3120074,1679517,4463414,10564670,225852584,4276400,317596712,519949,273137405,850384,183717,659408,674260,118751,188294,303112,540128,222572786,10216603,165860867,3294935,24032039,1976225537,1114187583,0,177678780,3310808186,1387805424,55.78,47.98,1611737750,53.44,47.74,1611739234,19.88,13.68,1611740000,20.94,14.92,1611740645,2020-07-21 18:07:33,2.859,3.964,93.177,0,0,0,4096,0,0,0,0,7,1.050,0.760,0.390,1569026048,122011107328,3284992,11182596096,691,0,2,0,322,0,1,0,4294963200,21-07 18:07:33,16616,4338
2020-07-21 18:07:34,16.19,40.03,8.76,0,4311,16113.687838,882,0,0,0,123951,123971,16111.674453,17264713,294204309,2218956,4962629,266003495,22908399,1584771,8611067,179297,3125237,1703971,4400109,10297629,222321773,4381680,316796525,493589,282454577,853454,170581,685482,681863,179583,192548,271296,409858,213079363,10236161,160186255,3302304,24470900,1966810172,1023598745,0,170251957,3193476844,1398765104,55.66,47.48,1610405737,53.55,47.33,1610421030,19.68,13.24,1610419287,20.55,14.50,1610417134,2020-07-21 18:07:34,2.937,3.786,93.277,0,0,0,0,0,0,1,0,6,1.050,0.760,0.390,1569144832,122010976256,3284992,11182608384,576,42,2,0,326,0,0,0,4294963200,21-07 18:07:34,16351,4293
2020-07-21 18:07:35,15.84,39.64,8.73,0,4273,16106.196372,871,0,0,0,119897,119912,16109.465341,16481304,309622130,2075495,4994829,273756729,21921882,1519750,8146193,173789,2917719,1615969,3895907,10916950,211961637,4095520,298213703,491714,264339900,842158,163109,665645,670423,175300,240793,335220,346596,231061876,10261126,165582710,3161897,23646171,1978031578,1123374279,0,182095537,3256082500,1364685778,54.55,47.14,1612083453,52.48,46.85,1612066029,18.36,12.63,1612064165,19.90,14.26,1612062779,2020-07-21 18:07:35,2.855,4.023,93.121,0,0,0,4096,0,0,0,0,6,1.050,0.760,0.390,1567916032,122012196864,3284992,11182616576,938,0,1,0,311,0,1,0,4294963200,21-07 18:07:35,16507,4252
2020-07-21 18:07:36,16.17,40.01,9.06,0,4338,16116.193250,857,0,0,0,120868,120855,16113.456825,17263819,310800409,2208565,4910914,268844789,23311963,1602961,8731406,197758,3051791,1712453,4031636,10065102,227095195,3983071,308086181,457668,271737313,796564,161488,606823,610103,130346,188646,295582,425110,230822757,10065556,160700498,3479152,24279447,1966460823,1117939831,0,182395874,3224759357,1387154134,55.23,48.23,1611261011,52.95,48.11,1611254314,19.68,14.18,1611250974,21.02,15.67,1611248484,2020-07-21 18:07:36,2.810,4.052,93.137,0,0,0,119296,0,0,1,0,6,1.050,0.760,0.390,1568337920,122011734016,3284992,11182657536,936,0,2,0,317,0,9,0,4294963200,21-07 18:07:36,16674,4296
2020-07-21 18:07:37,15.93,39.73,8.82,0,4384,16103.524863,911,0,0,0,122121,122099,16107.781914,17490406,297293106,2241380,5150068,267026339,23492971,1597265,8541222,201742,2906085,1691135,3891627,11227389,229540998,3990489,301877175,468362,265412165,835278,169358,658425,681741,161746,186756,262304,353082,222893169,10822805,162737676,3238959,24005712,1952412632,1081277663,0,173978793,3251732953,1383421818,55.32,48.08,1610638165,53.93,48.13,1610641796,20.09,13.87,1610642286,20.63,15.05,1610642313,2020-07-21 18:07:37,2.727,4.221,93.052,0,0,0,4096,0,0,0,0,7,1.050,0.760,0.390,1567125504,122012966912,3284992,11182637056,812,0,2,0,323,0,1,0,4294963200,21-07 18:07:37,16610,4365
2020-07-21 18:07:38,15.91,39.75,8.78,0,4314,16117.668051,875,0,0,0,121763,121764,16113.732336,17168971,301503947,2308670,5354104,268048272,22684183,1543262,8435800,178163,3001600,1638043,4307191,10621646,228242362,4448607,312746090,481360,271060532,874280,173198,692630,738571,163723,197727,288452,420259,233214772,10768868,161940989,3203827,23572474,1933967788,1090108626,0,175324409,3225354867,1357714130,54.92,47.26,1611309208,53.47,47.54,1611313374,19.75,13.55,1611317580,20.48,14.56,1611319899,2020-07-21 18:07:38,2.733,4.034,93.234,0,0,0,4096,0,0,1,0,7,1.050,0.760,0.390,1568452608,122011627520,3284992,11182649344,755,0,1,0,321,0,1,0,4294963200,21-07 18:07:38,16538,4292
