time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:09:15,17.64,41.93,8.90,0,4454,16417.442944,879,0,0,0,127024,126927,16385.242792,19786987,378870335,2683950,6446395,302215789,23807172,1657392,9192280,185345,3324782,1684896,4851167,11007422,261519784,4137421,365698297,485960,292640781,901727,178614,706893,785238,162247,221988,349100,463572,267098854,10829524,165020634,3535104,25687773,2177987568,1332964324,0,206547529,3218123605,1480552933,25.14,18.50,1613955474,87.74,83.26,1613891693,21.64,16.62,1613804464,22.13,17.57,1613721182,2020-07-21 18:09:15,2.995,3.841,93.164,0,0,0,249856,0,0,1,0,7,0.980,0.810,0.440,1568890880,122010042368,3284992,11183722496,1289,0,1,0,328,0,7,0,4294963200,21-07 18:09:15,16744,4344
2020-07-21 18:09:16,17.62,41.56,8.93,0,4486,16191.441821,896,0,0,0,129197,129201,16190.974747,19036178,363412073,2310349,5968836,300437664,23546195,1627407,8793035,240381,3438627,1717921,5327924,10488299,250185698,4249232,359876480,493027,290728411,918091,143683,735046,758693,184095,207128,326752,1418435,242968727,10744661,159090036,3654181,26446996,2173091610,1258950303,0,203666579,3137750417,1518130950,25.86,17.92,1611301420,88.79,82.52,1611269109,22.39,15.83,1611263346,23.40,17.29,1611255724,2020-07-21 18:09:16,3.068,3.786,93.146,0,0,0,229376,0,0,0,0,5,0.980,0.810,0.440,1567354880,122011033600,3284992,11184259072,1003,0,1,0,341,0,2,0,4294963200,21-07 18:09:16,16644,4423
2020-07-21 18:09:17,17.26,41.08,8.62,0,4406,16109.486615,911,0,0,0,125881,125878,16109.220754,19246671,359290665,2491140,6189151,292280304,24214612,1560027,8913610,177644,3043001,1694956,4996833,10340444,249147658,4168397,350964852,510655,289587094,906024,191727,718831,724726,126439,151734,293228,315312,257506575,10371897,154380894,3272790,25164896,2096204458,1265046293,0,193391925,3105960487,1477257343,23.70,16.04,1610110372,86.98,80.61,1610117234,20.21,13.79,1610122156,21.35,15.23,1610128932,2020-07-21 18:09:17,3.135,3.658,93.207,0,0,0,229376,0,0,1,0,7,0.980,0.810,0.440,1568378880,122009997312,3284992,11184271360,1052,0,2,0,334,0,2,0,4294963200,21-07 18:09:17,16501,4374
2020-07-21 18:09:18,16.78,40.58,8.60,0,4300,16109.422644,871,0,0,0,124565,124563,16108.475179,18291976,319230248,2178037,5831210,274661222,22857893,1559427,8506743,201908,3151725,1642777,4944058,10353989,234129191,4093058,329983237,516217,278953792,868048,146835,655182,686662,163580,225411,339601,411096,233400304,10136735,160432702,3292392,25451876,2057490263,1158156605,0,182718032,3161330168,1436828275,23.13,15.46,1611184236,86.57,80.35,1611180397,20.40,13.59,1611179103,21.18,14.96,1611176555,2020-07-21 18:09:18,2.799,4.102,93.099,0,0,0,0,0,0,0,0,7,0.980,0.810,0.440,1570586624,122008391680,3284992,11183665152,1950,0,2,0,328,0,0,0,4294963200,21-07 18:09:18,16434,4280
2020-07-21 18:09:19,17.31,41.13,8.54,0,4443,16109.547315,894,0,0,0,128032,128032,16122.261513,18412726,329713453,2348033,5887315,292832376,23566474,1586540,8635369,181910,3127606,1664026,5184829,10508893,241567602,4112435,340854459,511056,288173801,888724,164620,728443,741734,167576,212026,309800,450208,230345925,10920122,155125311,3366378,25103018,2090143537,1121423371,0,179763135,3109586940,1491602801,24.43,16.54,1612485619,87.78,81.45,1612487290,21.20,14.58,1612484411,22.21,16.04,1612481708,2020-07-21 18:09:19,3.137,3.595,93.268,0,0,0,229376,0,0,1,0,7,0.910,0.800,0.440,1569157120,122009194496,3284992,11184291840,635,0,1,0,342,0,2,0,4294963200,21-07 18:09:19,16657,4452
2020-07-21 18:09:20,16.60,40.44,8.49,0,4547,16113.989579,939,0,0,0,123614,123622,16101.272490,17566744,336150686,2228670,5218207,280829153,22998111,1568589,8735922,161345,3158827,1703759,4434407,10426061,215309306,4106099,303280042,521381,266910497,885427,152214,720110,763382,174857,214310,339336,416181,235516045,10272054,161730888,3218989,24929139,2043330604,1227500977,0,197623856,3183326354,1401134052,23.96,15.88,1610545599,86.64,80.49,1610540921,20.30,13.81,1610539743,21.07,15.04,1610539963,2020-07-21 18:09:20,3.131,3.523,93.346,0,0,0,466944,0,0,0,0,7,0.910,0.800,0.440,1568735232,122009604096,3284992,11184304128,695,42,1,0,317,0,10,0,4294963200,21-07 18:09:20,16556,4429
2020-07-21 18:09:21,16.88,40.70,8.49,0,4241,16111.404855,826,0,0,0,120637,120630,16112.448266,18628588,334081468,2379607,5870386,276560117,23032910,1578972,8745057,171575,2923728,1633232,4877614,10275519,236109372,3816066,318587510,447167,273212535,854824,161338,613776,620575,131287,137147,269548,354620,251987618,9853640,154511269,3219683,24138011,2039658468,1248094687,0,187435956,3143638594,1444188838,22.25,14.65,1610932363,85.48,79.19,1610939329,18.60,12.38,1610944102,20.10,13.85,1610946627,2020-07-21 18:09:21,3.074,3.663,93.264,0,0,0,229376,0,0,1,0,6,0.910,0.800,0.440,1569382400,122009575424,3284992,11183685632,336,0,2,0,320,0,2,0,4294963200,21-07 18:09:21,16640,4243
2020-07-21 18:09:22,16.83,40.65,8.74,0,4246,16110.479707,836,0,0,0,121642,121665,16110.029802,18306897,317459472,2189904,5737422,274662189,23062884,1525209,8472341,179899,2967744,1706769,4945728,10125144,241502661,3851314,340837425,470208,282929323,860527,136663,674429,694424,173317,162748,305476,441169,227382677,10118884,159134736,3305255,25641440,2054537713,1153598320,0,177668256,3152273442,1448445046,23.07,15.25,1610614090,85.56,79.70,1610616634,19.02,12.95,1610621816,21.17,14.82,1610629072,2020-07-21 18:09:22,3.070,3.788,93.142,0,0,0,229376,0,0,0,0,7,0.910,0.800,0.440,1567739904,122010570752,3284992,11184328704,871,0,2,0,323,0,2,0,4294963200,21-07 18:09:22,16588,4213
2020-07-21 18:09:23,17.19,40.98,8.63,0,4457,16108.747587,902,0,0,0,124964,124942,16109.549363,19013512,334217887,2419682,6060981,280719553,23015235,1547438,8640861,226671,3172742,1701875,5297736,10698226,242670112,4224732,340302085,506942,284187160,918340,150307,713878,723189,140373,162504,283245,348635,265880812,10268968,154249768,3221052,24743349,2072618789,1241664944,0,188262531,3101131603,1463232460,23.73,15.10,1611683352,86.59,79.60,1611683289,20.01,12.87,1611684846,20.94,14.29,1611684149,2020-07-21 18:09:23,3.137,3.660,93.203,0,0,0,229376,0,0,1,0,4,0.910,0.800,0.440,1568620544,122009681920,3284992,11184336896,464,298,2,0,330,0,2,0,4294963200,21-07 18:09:23,16548,4427
2020-07-21 18:09:24,17.18,41.01,8.59,0,4394,16114.462533,874,0,0,0,124596,124618,16123.149438,18803531,342401874,2351941,5972740,282130069,22817162,1574180,8740308,172742,3082866,1766536,5167021,10930724,236594825,4034951,326407027,466719,281589783,874930,164584,638183,649003,159313,222968,318576,498808,237280127,10213112,155921759,3342204,25224746,2081120276,1206051528,0,181921028,3119678188,1454880796,23.59,14.96,1612700660,86.93,79.87,1612699297,20.19,13.05,1612698133,21.22,14.22,1612697982,2020-07-21 18:09:24,3.072,3.725,93.203,0,0,0,229376,0,0,0,0,5,0.910,0.800,0.440,1567956992,122010521600,3284992,11184128000,1187,0,3,0,331,0,2,0,4294963200,21-07 18:09:24,16612,4361
