time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 18:10:54,18.49,42.72,9.04,0,5651,16382.639433,882,0,0,0,126428,126329,16349.768894,21203225,361720970,2884125,5915611,298324807,24460833,1652330,9454673,267091,3583590,1768557,4281317,11646626,260419369,4256372,343548628,485574,294484261,883180,231479,636235,695288,146222,183525,249872,450034,266956080,11844411,150375301,3380518,26013555,2169074350,1215048500,0,197149347,2924747565,1500912138,24.56,18.49,1612223437,84.67,80.31,1612147618,20.92,16.92,1612032844,21.74,17.77,1611981493,2020-07-21 18:10:54,2.874,3.266,93.860,0,0,0,802816,0,0,0,0,5,0.860,0.820,0.490,1571426304,122005037056,3284992,11185991680,2185,5704,1,0,302,0,9,0,4294963200,21-07 18:10:54,16612,5397
2020-07-21 18:10:55,14.49,38.39,9.14,0,3109,16174.329459,576,0,0,1,83136,83141,16175.447023,15648927,228270671,2179795,3766280,218279665,18557774,1437124,7025294,99902,2595451,1571408,3321212,8648723,192513406,2796612,269224376,361966,242082861,648179,100837,372310,448344,90684,157415,203960,379448,162679224,8299734,132540253,3049528,20188019,1685805618,935784651,0,139366015,2699203241,1207878635,15.68,11.70,1612667471,62.97,59.99,1612663933,13.59,10.58,1612659069,14.53,11.55,1612651525,2020-07-21 18:10:55,2.544,2.544,94.781,0.130,0,131072,274432,0,0,1,0,5,0.860,0.820,0.490,1566130176,122010619904,3284992,11185672192,1333,0,2,0,209,4,10,0,4294963200,21-07 18:10:55,16629,3175
2020-07-21 18:10:56,15.93,39.77,8.66,0,4633,16114.306466,877,0,0,0,122399,122397,16114.326100,18604475,317196701,2376184,5102835,281361280,23232730,1539719,8564590,170079,3029708,1725142,4074017,10483498,231611934,4142950,310472349,488832,276405097,824523,158978,709957,714614,172539,234192,347283,466670,207242188,10303198,164338912,3298638,24466985,1969948394,1053089196,0,173420457,3252842195,1375165399,23.19,15.23,1610370957,86.85,80.40,1610366946,20.64,13.82,1610414576,20.81,14.65,1610414316,2020-07-21 18:10:56,2.729,4.159,93.112,0,0,0,4096,0,0,0,0,6,0.860,0.820,0.490,1567805440,122009071616,3284992,11185545216,1954,5820,2,0,318,0,1,0,4294963200,21-07 18:10:56,16627,4605
2020-07-21 18:10:57,16.35,40.15,8.72,0,4767,16107.940012,896,0,0,0,123537,123555,16106.839449,18747401,307211921,2419756,5110438,275687066,23260371,1562234,8497095,193742,3183178,1657213,4276338,10651819,218115701,4515034,305178157,490601,261522445,876828,161638,722561,777078,180125,196510,280728,466831,220251255,10699565,165473795,3345279,25017603,2031592995,1049914219,0,174425192,3162310294,1399985000,23.75,15.40,1610413420,87.21,80.54,1610416522,20.92,13.98,1610371892,21.10,14.61,1610373934,2020-07-21 18:10:57,3.064,3.846,93.090,0,0,0,176128,0,0,1,0,6,0.860,0.820,0.490,1567232000,122009600000,3284992,11185557504,1116,5794,4,0,322,0,14,0,4294963200,21-07 18:10:57,16595,4713
2020-07-21 18:10:58,16.07,39.89,8.61,0,4757,16096.990406,918,0,0,0,122327,122316,16097.715995,17639713,306473384,2231541,5223113,268432629,23483041,1594506,8600806,217538,3343536,1759752,4046732,10387243,236570183,4308153,317543557,501593,276808185,873590,175917,629073,719139,152987,160313,259554,421529,231468171,10636853,163209679,3237742,23937368,1983901031,1114260323,0,176535019,3211190619,1394927870,23.14,14.93,1610333902,86.81,80.23,1610334090,19.96,13.46,1610352339,20.26,14.05,1610370211,2020-07-21 18:10:58,2.805,3.979,93.216,0,0,0,4096,0,0,0,0,8,0.860,0.820,0.490,1569464320,122007359488,3284992,11185565696,1288,5766,2,0,318,0,1,0,4294963200,21-07 18:10:58,16369,4730
2020-07-21 18:10:59,15.78,39.57,8.70,0,4751,16109.323706,924,0,0,0,121627,121619,16109.018352,16848540,306847795,2146347,5029308,268299733,23070696,1589498,8552501,189465,3248215,1638051,4204892,10626661,225307462,4215338,302141159,484714,262551660,854941,222202,728301,772537,132938,162002,270322,410095,234720271,10357669,163156647,3144734,23458699,1951554465,1132287615,0,183403317,3264763915,1360826999,22.77,14.73,1611453810,86.48,79.97,1611448226,20.27,13.52,1611424585,20.43,13.98,1611401911,2020-07-21 18:10:59,2.731,4.096,93.173,0,0,0,4096,0,0,1,0,7,0.870,0.830,0.490,1568903168,122007908352,3284992,11185577984,1175,5398,2,0,316,0,1,0,4294963200,21-07 18:10:59,16619,4728
2020-07-21 18:11:00,15.83,39.66,8.88,0,4697,16111.851629,882,0,0,0,118766,118768,16112.058279,16964213,297792916,2201815,4898235,255968097,22716355,1586214,8390021,218947,3229992,1699766,4203756,10727987,254958561,4104368,330365333,471686,284203015,839855,155586,665785,675125,152285,180013,296409,362345,229352094,10226226,159945509,3222142,23877604,1960478117,1111494745,0,180593176,3269124980,1396144822,22.36,14.47,1611752629,84.39,78.46,1611755871,19.54,13.13,1611758664,19.95,13.84,1611761961,2020-07-21 18:11:00,2.993,3.774,93.103,0.130,0,0,524288,0,0,0,0,6,0.870,0.830,0.490,1568362496,122008436736,3284992,11185590272,1599,5300,2,0,309,0,37,0,4294963200,21-07 18:11:00,16744,4663
2020-07-21 18:11:01,15.82,39.67,8.87,0,4628,16123.261839,881,0,0,0,121751,121759,16124.243805,18204286,303203685,2229214,5192067,264500337,23726535,1619835,8659422,265355,3162301,1650182,4169165,10524181,239632357,4069120,332740813,445755,284041191,828023,142643,633992,650751,133282,163211,312611,427248,227588218,10338861,167012644,3275140,24843533,2005943339,1088145778,0,173910485,3286711223,1398359205,22.72,14.57,1611237389,86.09,79.72,1611238250,19.95,13.23,1611240570,20.46,13.95,1611239187,2020-07-21 18:11:01,2.861,3.901,93.238,0,0,0,4096,0,0,1,0,7,0.870,0.830,0.490,1569615872,122007171072,3284992,11185602560,1532,5846,2,0,316,0,1,0,4294963200,21-07 18:11:01,16691,4603
2020-07-21 18:11:02,15.88,39.69,8.60,0,4654,16106.619266,901,0,0,0,122169,122177,16109.784083,17785397,299154766,2227065,5073583,262477829,23006308,1597654,8661440,212642,2969153,1772366,4089089,10757606,248888962,4042949,337577897,464295,289250514,819673,153743,624058,627946,137059,170829,303705,379590,221725375,10564575,165762114,3252193,24506621,1998811095,1088939773,0,174534795,3271504145,1403310608,21.88,14.16,1611590321,86.00,79.57,1611588688,19.58,13.00,1611587143,20.04,13.63,1611585397,2020-07-21 18:11:02,2.989,3.899,93.112,0,0,0,4096,0,0,0,0,6,0.870,0.830,0.490,1571467264,122005319680,3284992,11185602560,1236,5830,2,0,318,0,1,0,4294963200,21-07 18:11:02,16644,4620
2020-07-21 18:11:03,16.11,39.93,8.53,0,4725,16118.099482,902,0,0,0,122550,122532,16113.714777,18309835,309093967,2392921,5024229,273741827,22647731,1495768,8133706,176315,3305810,1610672,4307494,10542585,231161113,4186550,323124468,478918,274937200,898017,165959,672451,734020,199195,194041,294755,365391,218398992,10552177,163028595,3316897,24713641,1982806291,1035904966,0,171708063,3228890875,1411205609,22.25,14.22,1610857022,85.68,79.26,1610861069,19.57,12.78,1610860506,19.65,13.43,1610865171,2020-07-21 18:11:03,2.876,3.856,93.268,0,0,0,4096,0,0,1,0,6,0.870,0.830,0.490,1569325056,122007437312,3284992,11185627136,1475,5524,2,0,318,0,1,0,4294963200,21-07 18:11:03,16652,4677
