time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-29 14:05:40,17.80,42.53,8.39,0,138,16445.489822,7,0,0,0,721,697,16405.374691,4931683,71014326,493305,482264,113125151,7430020,966583,3758130,13893,1972693,1322138,1532270,3115179,1221301980,714064,55065228,118569,104012029,188745,4313,32436,39431,21415,29850,23668,23178,1192958341,2828736,160073846,2545271,10393933,1930181891,2442267522,0,17388840,3198231566,1176991700,3.67,3.61,1612855988,2.45,3.14,1612769469,34.53,35.20,1612685453,36.62,36.77,1612555478,2020-07-29 14:05:40,6.525,0.065,93.411,0,0,0,17408,0,0,0,0,56,0,0.010,0.050,2073333760,119181942784,3284992,13486247936,3324,0,1,0,1,0,2,0,4294963200,29-07 14:05:40,16455,97
2020-07-29 14:05:41,17.40,41.74,8.09,0,40,16170.237713,4,0,0,0,24,24,16173.666811,3723462,25201002,216420,106273,88496422,6350743,911165,2983428,7292,1418733,1306286,1462405,2683640,1195886486,670218,34441980,114371,92671806,186479,6637,16248,17190,7171,8665,14906,919655,1180477870,2416430,157113972,2487685,9604263,1902539565,2405799214,0,12942893,3135158484,1165698688,2.78,1.92,1610043428,1.92,1.41,1610034333,33.92,33.38,1610028380,36.04,35.00,1610020181,2020-07-29 14:05:41,6.520,0.065,93.415,0,0,0,0,0,0,1,0,52,0,0.010,0.050,2073362432,119181914112,3284992,13486247936,3808,0,1,0,1,0,0,0,4294963200,29-07 14:05:41,16395,40
2020-07-29 14:05:42,17.30,41.51,8.14,0,55,16095.886639,8,0,0,0,7,7,16095.157613,3708148,28530514,221671,122578,91405320,6875909,911837,3024200,7661,1411755,1301193,1453739,2594103,1188739293,662225,33912684,113971,92257150,185954,8406,15551,16091,7470,7173,11626,13137,1176235230,2438820,154628319,2287103,9473594,1871018355,2385016880,0,9664383,3094936707,1150411637,2.67,1.72,1609086574,1.74,1.26,1609089654,33.72,33.22,1609091283,35.84,34.83,1609093023,2020-07-29 14:05:42,6.464,0,93.536,0,0,0,0,0,0,0,0,46,0,0.010,0.050,2073309184,119181946880,3284992,13486268416,3469,0,1,0,1,0,0,0,4294963200,29-07 14:05:42,16338,61
2020-07-29 14:05:43,17.32,41.54,8.04,0,120,16086.006271,8,0,0,0,4,4,16082.517635,3611327,22726134,209470,109531,89328505,6775724,912904,3039999,50677,1539169,1289403,1451355,3115781,1204460970,657241,44153679,113709,95438422,188191,11520,17195,17447,7351,8226,11501,13865,1174541635,2415369,154186694,2282271,9411178,1865511175,2381558903,0,8529356,3075584510,1142693221,2.83,1.90,1607960493,1.93,1.42,1607956901,33.87,33.33,1607951616,35.98,34.91,1607947739,2020-07-29 14:05:43,6.585,0.065,93.351,0,0,0,0,0,0,1,0,58,0,0.010,0.050,2073325568,119181930496,3284992,13486268416,3979,42,1,0,1,0,0,0,4294963200,29-07 14:05:43,16315,116
2020-07-29 14:05:44,17.30,41.49,8.18,0,56,16083.034619,8,0,0,0,0,0,16091.160430,3648901,23324588,211225,108867,88437570,6396559,911036,3003498,10056,1504566,1272047,1419903,2436896,1187007823,676787,43598861,115615,98329532,191011,15886,31637,33343,7488,7081,10811,11177,1175536811,2390690,154151724,2282110,9407524,1867437629,2386285103,0,8913906,3081140413,1145726227,2.71,1.81,1609711391,1.78,1.31,1609711639,33.78,33.27,1609710264,35.88,34.87,1609708190,2020-07-29 14:05:44,6.464,0,93.536,0,0,0,36864,0,0,0,0,49,0.080,0.030,0.050,2073178112,119182073856,3284992,13486272512,3739,42,2,0,0,0,3,0,4294963200,29-07 14:05:44,16358,60
2020-07-29 14:05:45,17.40,41.61,8.05,0,61,16096.705896,9,0,0,0,46,46,16095.645048,3627717,233007669,212364,104313,215817213,6354292,908102,2990381,8048,1419304,1299370,1440828,2380302,1005954465,635908,244722276,114974,221419516,187669,17456,23920,25203,30252,42304,12351,11153,1031449857,2374852,154035760,2272569,9380225,1864399307,2432199103,0,123200610,3074941491,1111348340,2.66,1.76,1609129868,1.74,1.26,1609133460,33.72,33.23,1609134399,35.84,34.82,1609134132,2020-07-29 14:05:45,6.520,0.065,93.415,0,0,0,0,0,0,1,0,44,0.080,0.030,0.050,2073202688,119182041088,3284992,13486280704,2804,0,1,0,1,0,0,0,4294963200,29-07 14:05:45,16063,51
2020-07-29 14:05:46,17.75,41.95,8.07,0,96,16090.837525,8,0,0,0,12,12,16083.939467,3659521,1006762178,210837,102146,662840698,6405419,908945,3011069,7279,1416531,1301550,1448067,2380341,398816710,646142,1013442707,116701,669993913,186717,10641,22624,24470,9288,31765,15373,13659,404300200,2417952,157185162,2270211,9439011,1891383180,2669680875,0,582919481,3102059471,1002798304,2.80,1.84,1609093396,1.88,1.35,1609090206,33.85,33.28,1609089704,35.99,34.91,1609094423,2020-07-29 14:05:46,6.529,0,93.471,0,0,0,11264,0,0,0,0,50,0.080,0.030,0.050,2073034752,119182200832,3284992,13486288896,2744,0,1,0,1,0,2,0,4294963200,29-07 14:05:46,16295,96
2020-07-29 14:05:47,17.73,41.95,8.03,0,68,16094.237366,5,0,0,0,0,0,16094.156793,3756461,1013826768,214429,109289,664770949,6334928,908703,2963555,7400,1419583,1302919,1445819,2372343,399044790,644148,1009514736,116328,664911219,185592,8070,16713,17159,7076,7418,10754,11090,398169376,2387907,154665070,2293402,9517669,1883722731,2667613420,0,584747744,3122657041,1011281539,2.60,1.76,1609407510,1.74,1.26,1609407678,33.75,33.24,1609411640,35.84,34.83,1609413507,2020-07-29 14:05:47,6.460,0.065,93.475,0,0,0,0,0,0,1,0,48,0.080,0.030,0.050,2073051136,119182184448,3284992,13486288896,3142,0,1,0,1,0,0,0,4294963200,29-07 14:05:47,16381,68
2020-07-29 14:05:48,17.75,41.97,8.19,0,98,16091.725864,11,0,0,0,18,18,16093.960644,3690790,1011793546,221478,136364,667851407,6965111,912248,3054431,7579,1412224,1296014,1441123,2390505,399517414,648455,1009649792,116397,663866442,187359,5219,18652,21293,7689,7316,10952,11564,397543039,2366390,154182437,2283967,9446839,1867752361,2649215288,0,581239941,3077887687,993855908,2.68,1.74,1608780548,1.76,1.28,1608783301,33.74,33.24,1608785137,35.83,34.82,1608784988,2020-07-29 14:05:48,6.525,0,93.475,0,0,0,0,0,0,0,0,54,0.080,0.030,0.050,2073006080,119182217216,3284992,13486301184,4073,324,1,0,1,0,0,0,4294963200,29-07 14:05:48,16389,98
2020-07-29 14:05:49,17.81,42.00,8.14,0,357,16084.536005,12,0,0,0,792,792,16082.404526,4102993,1024626702,289050,225948,671321969,7282351,910545,3062760,8652,1415320,1347650,1605483,2648068,406919764,728023,1019543745,123974,668825805,207108,4433,56943,91580,33934,37243,26631,39913,448117127,3296047,163582321,2345091,9898562,1966729185,2804430935,0,594244947,3203685142,1018908568,4.07,3.32,1608947597,3.07,2.82,1608948280,35.02,34.74,1608949562,37.16,36.35,1608950434,2020-07-29 14:05:49,6.649,0.194,93.157,0,0,0,0,0,0,1,0,53,0.160,0.050,0.060,2074054656,119181168640,3284992,13486301184,3614,11094,1,0,1,0,0,0,4294963200,29-07 14:05:49,16339,347
2020-07-29 14:05:50,17.74,41.96,8.15,0,60,16093.690766,7,0,0,0,0,0,16093.755559,3643283,1007514529,210833,104240,663482870,6369940,908676,2975777,7787,1434571,1310152,1442794,2361972,402255421,662338,1016377922,118411,666674570,188054,2224,27844,29292,8179,8711,11168,11323,398743839,2359332,154110303,2275676,9388017,1865970778,2650402516,0,581199260,3074873291,992229767,2.57,1.70,1608807265,1.65,1.20,1608807320,33.68,33.19,1608804727,35.76,34.77,1608803487,2020-07-29 14:05:50,6.464,0,93.536,0,0,0,49152,0,0,0,0,54,0.160,0.050,0.060,2074333184,119180873728,3284992,13486317568,3799,0,1,0,1,0,4,0,4294963200,29-07 14:05:50,16389,70
