time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-29 14:10:44,17.94,42.58,8.69,0,385,16380.337505,6,0,0,0,1150,1143,16376.841887,5009541,65309451,483364,637280,112093480,7944010,981593,3511386,25398,1599955,1395130,1600158,3081777,1218485879,702787,59406889,124927,106246791,192066,11618,33789,48283,29210,38429,18137,15923,1197512803,3013476,161308772,2551344,10068624,1959909886,2489103351,0,23781134,3236565046,1189727296,35.40,35.00,1615235997,1.99,2.13,1615138765,34.35,34.57,1615039478,2.54,2.42,1614939364,2020-07-29 14:10:44,6.529,0.129,93.342,0,0,0,0,0,0,0,0,54,1.050,0.660,0.320,2075168768,119177867264,3284992,13488553984,4039,7390,1,0,1,0,0,0,4294963200,29-07 14:10:44,16489,342
2020-07-29 14:10:45,17.93,42.31,8.29,0,125,16192.301013,4,0,0,0,24,24,16191.840879,3664311,54948635,209831,100298,87069805,6262686,890660,2943017,13758,1401073,1275229,1415783,2358685,1213549582,626816,51351203,111100,86338814,179189,94,15918,18082,10160,11034,13962,569222,1212946927,2507322,190295388,2451218,9587555,2296067272,2516664813,0,12814028,3796311814,1446110406,34.00,33.39,1609460367,1.08,0.69,1609463550,33.28,32.93,1609465910,1.64,0.94,1609470846,2020-07-29 14:10:45,6.460,0.065,93.475,0,0,0,12288,0,0,1,0,55,1.050,0.660,0.320,2075168768,119177867264,3284992,13488553984,3304,0,1,0,0,0,3,0,4294963200,29-07 14:10:45,16388,121
2020-07-29 14:10:46,17.44,41.63,8.22,0,170,16091.853964,7,0,0,0,9,9,16093.489677,3703615,28048819,221952,123870,91666661,6943306,915009,3045484,10056,1442513,1303361,1445513,3307714,1224906836,643220,52792626,113693,96263237,185528,1313,29472,32515,9891,10339,10858,12441,1183825890,2569998,155784235,2281463,9578683,1877565525,2395721734,0,8840035,3086902307,1147544211,34.20,33.45,1608806359,1.38,0.84,1608805916,33.52,33.04,1608808950,1.87,1.04,1608809812,2020-07-29 14:10:46,6.593,0.065,93.342,0,0,0,0,0,0,0,0,55,1.050,0.660,0.320,2075168768,119177867264,3284992,13488553984,3986,0,1,0,1,0,0,0,4294963200,29-07 14:10:46,16341,168
2020-07-29 14:10:47,17.42,41.62,8.20,0,405,16083.940173,8,0,0,0,0,0,16082.101087,3643819,23014427,210726,100343,88665942,6603027,907185,2991340,18326,1579532,1295706,1482979,2533561,1190512385,699882,38998315,118499,98737162,185453,1192,19832,21167,8695,9499,11058,14240,1187458741,2688526,156896265,2291230,9753264,1886455038,2403058802,0,9957185,3090884955,1145554898,34.17,33.52,1608805393,1.24,0.83,1608805713,33.41,33.03,1608803377,1.71,1.03,1608802963,2020-07-29 14:10:47,6.529,0.065,93.407,0,0,0,9216,0,0,1,0,49,1.050,0.660,0.320,2075168768,119177867264,3284992,13488553984,4514,10182,1,0,1,0,2,0,4294963200,29-07 14:10:47,16426,405
2020-07-29 14:10:48,17.42,41.63,8.20,0,132,16091.713970,7,0,0,0,18,18,16093.192591,3698258,25135072,215599,112755,89325255,6513813,916120,3020187,8361,1421631,1292076,1450575,2420020,1186511461,714052,30985440,120865,91885440,186524,1772,28567,30275,8566,8621,10855,12851,1187046746,2702656,157110058,2282363,9713417,1889636863,2408466445,0,10713008,3092160273,1146702608,33.92,33.32,1608928704,1.06,0.68,1608929636,33.22,32.89,1608928019,1.56,0.90,1608922670,2020-07-29 14:10:48,6.464,0.065,93.471,0,0,0,0,0,0,0,0,47,1.050,0.660,0.320,2075168768,119177867264,3284992,13488553984,3107,0,1,0,1,0,0,0,4294963200,29-07 14:10:48,16338,132
2020-07-29 14:10:49,17.42,41.63,8.39,0,163,16083.453407,8,0,0,0,43,43,16082.262974,3717831,23325761,211079,99805,87971230,6411432,905996,2978227,8524,1415480,1299832,1443444,2387926,387555326,642837,22984924,113509,88450945,186364,2228,22982,23984,47489,71187,18352,17427,438777253,2740792,157814921,2281604,9823787,1894575160,2355592855,0,11856591,3099011984,1125622139,33.90,33.32,1607978300,1.07,0.68,1607972196,33.20,32.88,1607971536,1.58,0.91,1607977487,2020-07-29 14:10:49,6.593,0,93.407,0,0,0,0,0,0,1,0,54,1.040,0.670,0.320,2075168768,119177867264,3284992,13488553984,2976,0,1,0,1,0,0,0,4294963200,29-07 14:10:49,16300,163
2020-07-29 14:10:50,17.45,41.64,8.38,0,356,16079.935394,7,0,0,0,3,3,16079.735583,4039150,32235011,229322,123995,89406864,6406792,905308,2989756,9344,1420049,1296040,1432969,2349252,100573433,636027,22701387,113260,87751911,182664,614,14766,15184,8580,34023,17176,16123,117233646,2739987,164121661,2284782,10081796,1969698815,2053758820,0,25073576,3208480851,1253859326,34.04,33.43,1608764594,1.11,0.74,1608770527,33.29,32.95,1608773337,1.64,0.98,1608772468,2020-07-29 14:10:50,6.525,0.065,93.411,0,0,0,0,0,0,0,0,57,1.040,0.670,0.320,2075168768,119177867264,3284992,13488553984,3998,9664,2,0,0,0,0,0,4294963200,29-07 14:10:50,16419,354
2020-07-29 14:10:51,17.42,41.63,8.28,0,165,16092.989043,8,0,0,0,0,0,16105.362573,4125642,38555733,243391,130431,90137277,6490856,915094,2993634,9101,1422264,1305302,1446684,2375844,45968243,641704,22841724,113631,88088023,183054,629,15349,15841,9156,8560,10460,10536,47171645,2364696,155078590,2287230,9771361,1914059602,920379120,0,17107973,3173715698,1550704178,33.86,33.31,1610369360,1.02,0.67,1610369089,33.22,32.92,1610372376,1.51,0.88,1610371998,2020-07-29 14:10:51,6.468,0,93.532,0,0,0,0,0,0,1,0,57,1.040,0.670,0.320,2075168768,119177867264,3284992,13488553984,4273,0,1,0,1,0,0,0,4294963200,29-07 14:10:51,16080,161
2020-07-29 14:10:52,17.85,42.08,8.35,0,161,16097.845410,8,0,0,0,4,4,16085.444825,3997606,67526099,252537,162519,92950242,6859770,897565,2982794,8989,1411113,1288820,1420246,2328064,62798208,627073,42516173,111478,86376679,180185,51,16736,16621,8394,8690,8562,12228,62595748,2401929,180511495,2246322,9459625,2221015336,994197448,0,20876966,3661949981,1743218628,33.89,33.36,1608034273,1.09,0.72,1608033915,33.19,32.87,1608028038,1.78,1.14,1608023966,2020-07-29 14:10:52,6.589,0.065,93.346,0,0,0,0,0,0,0,0,56,1.040,0.670,0.320,2075168768,119177867264,3284992,13488553984,3634,0,1,0,1,0,0,0,4294963200,29-07 14:10:52,16380,161
2020-07-29 14:10:53,18.41,42.60,8.37,0,438,16079.682259,15,0,0,0,537,537,16079.736912,3716922,79130032,248455,172729,90132512,6974589,872909,3003318,16402,1444833,1246490,1471115,2489473,1035252035,687062,83654454,112923,89266734,194477,1739,42323,38012,8507,9736,5362,14354,1065136592,2341765,217593385,2185750,9164229,2626858395,2451045637,0,12575969,4333011042,1699793293,34.41,33.83,1608681489,1.48,1.09,1608676886,33.60,33.21,1608678294,2.19,1.61,1608680925,2020-07-29 14:10:53,6.468,0.065,93.467,0,0,0,0,0,0,1,0,50,1.040,0.670,0.320,2075156480,119177822208,3284992,13488545792,4262,10210,1,0,3,0,0,0,4294963200,29-07 14:10:53,16337,436
