time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-30 07:36:19,18.03,42.68,8.67,0,215,16374.754184,10,0,0,0,574,567,16363.457860,4673286,48110682,441325,445849,105995566,7711699,940162,3769905,13329,2009866,1319985,1516287,3113538,1226907928,709071,57405230,117930,104473935,190922,6851,35025,45457,29496,37277,31005,14421,1197680598,3068583,161874668,2534012,10370353,1949120244,2477857614,0,15661430,3187046996,591839274,36.51,36.01,1613792213,2.23,2.44,1613698256,34.45,34.59,1613606098,3.85,3.74,1613509162,2020-07-30 07:36:19,6.658,0.022,93.319,0.000,0,36.252,2160.037,0,0,0.500,0.265,16.584,0.010,0.020,0.050,2072293376,119172919296,3284992,13496225792,0,0,1,0,0.826,0.002,0.166,0,4294963200,30-07 07:36:19,1481.767,20102.994

2020-07-30 07:36:20,17.73,42.06,8.30,0,190,16179.907961,9,0,0,0,24,24,16201.309622,3771777,26448290,219584,101857,90172866,6668711,914644,3125293,9513,1444289,1304280,1464335,2636682,1198666464,661166,34338832,114766,92613988,188035,8436,16820,17606,6590,17964,91968,954833,1207243055,2687391,159818183,2507038,9905813,1923469649,2416838135,0,12835643,3169386524,596939732,35.68,34.85,1611651593,1.76,1.34,1611643922,33.93,33.41,1611636103,3.39,2.65,1611633676,2020-07-30 07:36:20,6.658,0.065,93.277,0,0,0,0,0,0,1,0,56,0.010,0.020,0.050,2082938880,119162273792,3284992,13496225792,3215,42,1,0,1,0,0,0,4294963200,30-07 07:36:20,16444,208
2020-07-30 07:36:21,17.62,41.88,8.26,0,123,16110.813097,6,0,0,0,6,6,16087.613910,3705172,27972849,218884,124733,90969150,7022725,912326,3107834,9738,1496619,1297746,1447252,2587234,1188140618,654038,34077556,114011,92259658,187652,11259,17524,17479,6814,8658,1489,10518,1178139823,2412438,154832151,2277042,9478723,1873712999,2390119079,0,8606271,3094559398,567482377,35.51,34.72,1608464342,1.68,1.29,1608463921,33.80,33.30,1608464041,3.30,2.59,1608459213,2020-07-30 07:36:21,6.529,0,93.471,0,0,0,0,0,0,0,0,50,0.010,0.020,0.050,2083061760,119162105856,3284992,13496213504,3339,0,1,0,1,0,0,0,4294963200,30-07 07:36:21,16374,149
2020-07-30 07:36:22,17.58,41.76,8.15,0,162,16080.085055,8,0,0,0,4,4,16080.081523,3798397,43667294,224386,112076,92070677,6765113,905309,3064804,10889,1595032,1283446,1446627,2428026,1184323045,642956,31860056,113446,92340065,187363,11002,17090,16331,6384,8996,1340,10592,1177848231,2407412,154962231,2277760,9552100,1906875227,2468080476,0,16851979,3178887791,579154779,35.68,34.81,1608576708,1.83,1.38,1608577077,33.91,33.36,1608578068,3.44,2.66,1608577762,2020-07-30 07:36:22,6.529,0.065,93.407,0,0,0,0,0,0,1,0,50,0.010,0.020,0.050,2083061760,119162105856,3284992,13496213504,2980,0,1,0,1,0,0,0,4294963200,30-07 07:36:22,16325,123
2020-07-30 07:36:23,17.54,41.76,8.19,0,169,16091.571323,7,0,0,0,18,18,16092.897802,3630536,22847942,210058,94526,87803224,6481115,905482,3030729,10652,1527088,1290553,1475672,2575181,1197095463,696282,45658823,119243,101111178,192505,16314,32294,33700,7688,9313,1304,10335,1179003886,2406411,154840783,2275925,9469561,1873718308,2390438672,0,8587494,3088924501,563533728,35.53,34.71,1608948961,1.71,1.29,1608948625,33.84,33.32,1608947321,3.29,2.58,1608947789,2020-07-30 07:36:23,6.593,0,93.407,0,0,0,0,0,0,0,0,54,0.010,0.020,0.050,2083028992,119162122240,3284992,13496229888,3402,0,1,0,0,0,0,0,4294963200,30-07 07:36:23,16390,164
2020-07-30 07:36:24,17.73,42.05,8.79,0,167,16090.112269,11,0,0,0,739,739,16107.008074,15562364,777867572,277185,11952867,184303400,6593539,1007484,3207507,49389,6873939,7746649,11646383,2574873,431768319,652517,792459609,115492,201280318,189377,16984,25751,132168,9993,46670,34140,5658764,456615091,2408454,156657564,8182147,17441306,1893462712,1999620093,0,80921546,3110655821,1081183497,50.68,131.72,1613596997,5.14,98.18,1613610675,37.14,130.10,1613629221,6.53,99.41,1613643608,2020-07-30 07:36:24,6.529,0,93.471,0,0,0,0,0,0,1,0,48,0.010,0.020,0.050,2083028992,119162122240,3284992,13496229888,2796,42,2,0,1,0,0,0,4294963200,30-07 07:36:24,16340,163
2020-07-30 07:36:25,17.80,42.08,8.29,0,163,16135.861972,6,0,0,0,4,4,16117.687739,3736510,1300821410,222195,114805,117481279,6518402,948070,3143255,12158,1479960,1306409,1463114,2649413,97475845,653348,1302834809,113737,117398088,186687,11538,17737,19097,6288,8378,1156,22559,88146734,2438101,158278194,2301254,9582383,1910133047,1634310924,0,37414662,3140521001,1380439196,36.20,35.39,1609386575,2.36,1.95,1609373120,34.46,33.97,1609356111,3.97,3.24,1609343196,2020-07-30 07:36:25,5.559,1.034,93.407,0,0,0,1536,0,0,0,0,53,0.010,0.020,0.050,2485731328,118759407616,3284992,13496242176,3510,0,1,0,1,0,2,0,4294963200,30-07 07:36:25,16081,165
2020-07-30 07:36:26,17.72,41.95,8.54,0,144,16093.321454,8,0,0,0,1,1,16119.093469,3766647,1582625909,231706,131257,116210077,7088214,921257,3091405,9144,1440969,1299150,1469782,2688073,65398875,663609,1595090053,114318,116246539,187571,10725,19049,20728,7520,8715,1531,11517,52057668,2382262,155234098,2283115,9524561,1880062116,1793072588,0,33248483,3113498546,1319663672,35.61,34.85,1612214259,1.71,1.36,1612217764,33.89,33.44,1612220531,3.35,2.66,1612223089,2020-07-30 07:36:26,6.593,0.065,93.342,0,0,0,0,0,0,1,0,55,0.010,0.020,0.050,2485727232,118759407616,3284992,13496246272,3036,0,1,0,1,0,0,0,4294963200,30-07 07:36:26,16443,161
2020-07-30 07:36:27,18.54,42.82,8.47,0,143,16121.140608,4,0,0,0,8,8,16101.756777,3558763,1488084109,226396,102046,105849841,6208288,884116,2904017,11149,1392817,1287288,1453519,2556522,91047314,637510,1497057983,109907,110952875,184903,10576,18643,19939,9838,9614,8403,15243,79359776,2319201,202273699,2212049,9198400,2434240797,1755622086,0,29175352,4004874538,1738172749,35.66,34.75,1609920699,1.79,1.35,1609920957,33.91,33.43,1609995280,3.67,2.73,1609996260,2020-07-30 07:36:27,6.533,0,93.467,0,0,0,0,0,0,0,0,49,0.010,0.020,0.050,2485727232,118759407616,3284992,13496246272,3870,0,1,0,1,0,0,0,4294963200,30-07 07:36:27,16395,140
