time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-30 07:42:44,18.30,43.16,7.86,0,227,16449.532605,12,0,0,0,1138,1114,16409.731602,4852929,53134858,443203,566611,106099870,7581602,965600,3511477,38286,1992822,1401935,1596669,3646800,1253249662,704791,75339128,123702,110206737,196069,18630,36027,46694,25043,34533,54811,264139,1194452860,2956879,161061254,2605721,10068170,1937807553,2455607388,0,16739318,3175604378,1171894688,4.10,3.71,1613227553,35.53,35.90,1613133917,34.92,35.28,1613040781,4.11,3.99,1612945512,2020-07-30 07:42:44,6.581,0.129,93.290,0,0,0,0,0,0,0,0,55,1,0.720,0.360,2073808896,119168512000,3284992,13498957824,3935,42,1,0,1,0,0,0,4294963200,30-07 07:42:44,16467,186
2020-07-30 07:42:45,17.82,42.25,7.47,0,137,16173.478728,5,0,0,0,24,24,16174.919824,3732612,26647131,217767,111987,88848039,6450664,915915,3021232,7682,1427971,1307321,1443958,2406661,1182771958,627798,22955460,113303,88162187,184175,3129,17852,24575,9026,10247,11971,540278,1182286916,2410868,156506733,2481638,9590370,1897586054,2404272834,0,12881724,3131890998,1165275031,2.84,1.90,1609972313,34.55,34.05,1609999674,33.93,33.40,1609999904,3.24,2.24,1609999956,2020-07-30 07:42:45,6.525,0,93.475,0,0,0,0,0,0,1,0,50,1,0.720,0.360,2073808896,119168512000,3284992,13498957824,3921,0,1,0,1,0,0,0,4294963200,30-07 07:42:45,16391,129
2020-07-30 07:42:46,17.69,42.00,7.48,0,108,16095.125195,2,0,0,0,6,6,16095.016184,3713975,28196637,222557,136590,91407479,6908612,911624,3025255,7659,1419856,1299807,1443015,2414173,1178371258,629031,22768401,113118,88028470,182849,629,15756,17065,8366,8850,10283,10448,1174787188,2413969,154376261,2285460,9492252,1871389262,2382584148,0,8823303,3092252658,1151095787,2.71,1.78,1609082263,34.35,33.89,1609049926,33.73,33.24,1609045294,3.03,2.07,1609038840,2020-07-30 07:42:46,6.460,0.065,93.475,0,0,0,0,0,0,0,0,46,1,0.720,0.360,2073808896,119168512000,3284992,13498957824,3036,0,1,0,0,0,0,0,4294963200,30-07 07:42:46,16330,106
2020-07-30 07:42:47,17.74,42.05,7.49,0,196,16085.291554,5,0,0,0,4,4,16082.315210,3625483,22835494,211731,108000,88356142,6583098,907696,3014270,20512,1484713,1297564,1444088,2433644,1177164041,631474,24838227,113266,90834202,184027,312,43804,50977,12042,9939,11913,10980,1178502304,2493199,154977275,2277816,9523174,1873761015,2387598725,0,8632064,3078595951,1145080747,2.89,1.91,1608079588,34.55,34.04,1608083639,33.89,33.36,1608087702,3.20,2.19,1608096027,2020-07-30 07:42:47,6.589,0,93.411,0,0,0,0,0,0,1,0,54,1,0.720,0.360,2073808896,119168512000,3284992,13498957824,3346,0,1,0,1,0,0,0,4294963200,30-07 07:42:47,16322,196
2020-07-30 07:42:48,17.59,41.88,7.68,0,136,16080.499928,6,0,0,0,0,0,16080.626683,3637310,22895874,213114,108950,88073823,6430933,907460,3003945,8701,1398163,1275058,1446408,2459675,1184106274,644346,31897490,115527,91818214,187505,782,27639,29112,7783,8752,10815,11299,1182835537,2580933,156057194,2288723,9607887,1881206233,2395068264,0,8960774,3083704256,1146202980,2.73,1.80,1608442578,34.38,33.93,1608444922,33.75,33.25,1608446544,3.08,2.12,1608443814,2020-07-30 07:42:48,6.460,0.065,93.475,0,0,0,0,0,0,0,0,51,1,0.720,0.360,2074546176,119167795200,3284992,13498986496,2916,42,1,0,1,0,0,0,4294963200,30-07 07:42:48,16349,136
2020-07-30 07:42:49,17.69,41.99,7.76,0,138,16088.991783,6,0,0,0,68,68,16091.639409,3642578,414108463,212701,108898,87940656,6394373,907311,2994271,7748,1453282,1314049,1440234,2702068,934548520,632673,491393514,112701,88932594,184650,913,21357,23851,36535,41807,12262,12381,984627650,2858745,156756352,2274223,9660162,1885363569,2510136393,0,9908811,3087780929,1089089224,2.69,1.77,1608709539,34.34,33.87,1608706321,33.70,33.22,1608702289,3.01,2.04,1608697207,2020-07-30 07:42:49,6.464,0,93.536,0,0,0,0,0,0,1,0,53,1,0.720,0.360,2074521600,119167811584,3284992,13498994688,3264,0,1,0,1,0,0,0,4294963200,30-07 07:42:49,16294,136
2020-07-30 07:42:50,17.94,42.26,7.67,0,172,16085.153078,8,0,0,0,21,21,16082.318181,3835769,1727070247,226689,122837,419218158,6422177,905625,2986361,8021,1417736,1297242,1439158,3922562,78621292,631437,1734453067,113460,410925302,183644,279,14846,15375,10382,25620,12627,17522,124486050,4973815,167929628,2286901,10214204,2000929802,2688259248,0,322317438,3225395004,966406265,2.84,1.86,1609047812,34.52,33.99,1609045244,33.86,33.32,1609046447,3.18,2.17,1609050789,2020-07-30 07:42:50,6.589,0,93.411,0,0,0,0,0,0,0,0,52,1,0.720,0.360,2074386432,119167938560,3284992,13499002880,2931,0,2,0,1,0,0,0,4294963200,30-07 07:42:50,16232,170
2020-07-30 07:42:51,17.98,42.27,7.78,0,139,16093.222103,2,0,0,0,2,2,16094.069457,3944262,1780333709,238203,138463,335925561,6366749,909512,2981032,8034,1422934,1306233,1459796,3163162,77051801,633493,1775504488,113650,355071107,184433,261,15972,16166,7972,7828,10382,10996,80475177,3231650,156863419,2280996,9683376,1905087671,2580405154,0,271926301,3152530495,954991321,2.64,1.73,1609456635,34.38,33.92,1609459925,33.79,33.29,1609457348,3.07,2.11,1609451980,2020-07-30 07:42:51,6.520,0.065,93.415,0,0,0,0,0,0,1,0,53,1,0.720,0.360,2074386432,119167938560,3284992,13499002880,3444,0,1,0,0,0,0,0,4294963200,30-07 07:42:51,16228,137
2020-07-30 07:42:52,17.89,42.18,7.71,0,121,16083.306695,5,0,0,0,3,3,16082.650177,4024667,1783008954,321764,196621,432392968,6887024,908893,3001176,8917,1417864,1295613,1441099,3178432,78300585,637970,1756686498,113465,436359762,183623,107,14890,15160,8394,8507,10421,10437,77402039,3221123,155642931,2282042,9680862,1889109982,2595485172,0,358049580,3109787202,910680576,2.67,1.75,1607752593,34.33,33.88,1607752324,33.76,33.28,1607758036,3.01,2.07,1607794984,2020-07-30 07:42:52,6.464,0,93.536,0,0,0,0,0,0,0,0,49,1,0.720,0.360,2074386432,119167938560,3284992,13499002880,3163,0,1,0,1,0,0,0,4294963200,30-07 07:42:52,16381,119
2020-07-30 07:42:53,17.97,42.26,7.55,0,160,16079.457040,6,0,0,0,29,29,16079.567151,18897478,1732572476,14282511,296264,335072640,6562123,912500,3129127,10779,1431620,1282198,1467363,2694657,74494777,631113,1735075024,112675,334782837,183336,79,15287,15454,9438,10166,10200,10217,72828541,2680459,155018168,2280603,9639847,1889213631,2493634487,0,273023899,3127529297,955159507,2.82,1.84,1608413160,34.52,34.03,1608413313,33.94,33.41,1608413263,3.19,2.16,1608382297,2020-07-30 07:42:53,6.585,0.065,93.351,0,0,0,0,0,0,1,0,53,1,0.730,0.370,2074386432,119167938560,3284992,13499002880,3635,0,1,0,1,0,0,0,4294963200,30-07 07:42:53,16328,162
