time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-30 08:03:03,18.16,42.87,8.56,0,229,16378.345052,6,0,0,0,1106,1100,16375.895359,4584562,48390596,415187,529402,104361661,7274341,956070,3430470,13208,1572906,1404066,1602713,3826176,1258509397,712104,89413950,128445,115240584,194087,13217,44040,77041,32684,33501,28469,275838,1207308524,3054547,161459784,2596880,10065357,1939330717,2468733824,0,17549869,3173440961,1164833630,2.37,2.82,1613168229,34.66,35.55,1613077064,1.34,2.27,1612984778,35.26,36.05,1612921504,2020-07-30 08:03:03,6.589,0.065,93.346,0,0,0,0,0,0,0,0,53,1,0.990,0.820,2075217920,119157862400,3284992,13508096000,4121,0,1,0,1,0,0,0,4294963200,30-07 08:03:03,16446,182
2020-07-30 08:03:04,17.77,42.20,8.12,0,394,16174.801842,7,0,0,0,42,42,16175.159475,3780593,28973354,219889,101603,88895108,6573234,934813,3059743,41614,1449606,1324934,1477853,2487128,1196229125,694053,36750159,124519,95760892,187662,1668,32549,37337,6838,10173,2925,572965,1184543291,2554745,157711413,2496806,9863679,1912687283,2426138166,0,14561059,3141727293,1167067731,2.08,1.33,1609974091,34.58,33.94,1609970167,1.33,0.69,1609968727,35.20,34.42,1609938172,2020-07-30 08:03:04,6.529,0.065,93.407,0,0,0,0,0,0,1,0,52,1,0.990,0.830,2075324416,119157952512,3284992,13507760128,3272,9480,1,0,0,0,0,0,4294963200,30-07 08:03:04,16395,396
2020-07-30 08:03:05,17.67,41.96,8.11,0,139,16096.298360,8,0,0,0,6,6,16095.290178,3674906,28005040,218201,120960,91508850,6921498,914093,3013876,7528,1418132,1300204,1445342,2439641,1180080649,639580,22960977,114294,88058510,184668,279,18460,20482,5514,9966,2664,13523,1188756976,2636918,156378035,2284148,9624031,1882579038,2405700890,0,9806324,3086593585,1144435005,1.18,0.78,1609006867,33.77,33.45,1609007847,0.50,0.19,1609005936,34.39,33.92,1609004641,2020-07-30 08:03:05,6.464,0.065,93.471,0,0,0,16384,0,0,0,0,54,1,0.990,0.830,2075275264,119158001664,3284992,13507760128,3447,0,1,0,1,0,2,0,4294963200,30-07 08:03:05,16325,135
2020-07-30 08:03:06,17.70,41.99,8.14,0,174,16088.562075,11,0,0,0,4,4,16094.241686,3635752,23091006,212268,96589,88473682,6600011,907497,2988691,9142,1444926,1301377,1459869,2430487,1184707344,648855,24583013,115747,88419101,185076,228,18486,29284,13412,25151,5646,15001,1210620803,3065134,159490954,2293534,9808403,1905976731,2440329403,0,11131586,3100083943,1145843371,1.42,0.93,1609920069,33.99,33.61,1609919766,0.70,0.32,1609965781,34.61,34.07,1609965685,2020-07-30 08:03:06,6.593,0,93.407,0,0,0,0,0,0,1,0,56,1,0.990,0.830,2075291648,119157985280,3284992,13507760128,3020,0,1,0,1,0,0,0,4294963200,30-07 08:03:06,16370,172
2020-07-30 08:03:07,17.77,42.06,8.09,0,348,16096.045727,7,0,0,0,0,0,16095.382309,3844139,28850831,220073,110959,88299564,6428226,906519,2952723,7636,1409826,1290812,1460966,2424087,1181563691,710610,30412388,124113,91945848,188946,1211,26729,28076,9371,21631,2123,11918,1197279130,2718828,160298618,2279367,9897766,1929700888,2469104935,0,18738872,3146050382,1158050759,1.30,0.85,1609142279,33.83,33.49,1609142563,0.55,0.21,1609097981,34.44,33.95,1609098920,2020-07-30 08:03:07,6.529,0.065,93.407,0,0,0,0,0,0,0,0,47,1,0.990,0.830,2075291648,119157985280,3284992,13507760128,4547,9496,1,0,1,0,0,0,4294963200,30-07 08:03:07,16358,348
2020-07-30 08:03:08,17.85,42.15,7.88,0,169,16094.014976,5,0,0,0,56,56,16095.454832,3750404,719492866,214343,96798,208242073,6415624,907019,2979178,8663,1410818,1297934,1441806,3177880,393804904,640630,718642419,113798,207547874,186192,571,20267,19378,6107,9539,10608,36239,409629832,3353292,157856251,2301641,9825385,1901725108,1993202992,0,132770628,3109003252,1175477220,1.30,0.83,1610019964,33.83,33.47,1610019399,0.56,0.20,1610047197,34.49,33.97,1610075674,2020-07-30 08:03:08,6.525,0.065,93.411,0,0,0,217088,0,0,1,0,47,1,0.990,0.830,2075291648,119157985280,3284992,13507760128,3437,96,1,0,1,0,1,0,4294963200,30-07 08:03:08,16382,169
2020-07-30 08:03:09,18.01,42.30,7.95,0,143,16097.914178,3,0,0,0,8,8,16095.794310,4161576,1308016943,253811,137325,304141970,6487287,904915,2979964,7418,1413456,1298170,1440102,3338033,128411072,638541,1248358958,114253,292506366,186296,811,14531,14647,5666,8145,1314,26190,135958676,3502666,158690826,2266413,9904825,1969144180,2281622879,0,246960190,3262235548,1021670393,1.23,0.79,1609638141,33.79,33.47,1609638658,0.55,0.22,1609660080,34.45,33.95,1609630418,2020-07-30 08:03:09,6.533,0,93.467,0,0,0,0,0,0,0,0,62,1,0.990,0.830,2075291648,119157985280,3284992,13507760128,3532,0,2,0,0,0,0,0,4294963200,30-07 08:03:09,16270,141
2020-07-30 08:03:10,17.90,42.20,8.07,0,344,16094.887806,9,0,0,0,0,0,16095.594539,4027621,1362305084,285803,207771,409537400,7620791,911086,3151123,13307,1485784,1316863,1467846,3896529,130235824,646840,1323714058,114303,389459413,185366,834,17706,18947,5609,7284,1807,10994,126091798,3797662,154129601,2281879,9564299,1880248249,2265130012,0,316931809,3114676275,935688885,1.31,0.86,1609321916,33.84,33.50,1609320817,0.60,0.25,1609268720,34.47,33.96,1609268677,2020-07-30 08:03:10,6.529,0.065,93.407,0,0,0,4096,0,0,1,0,50,1,0.990,0.830,2075291648,119157985280,3284992,13507760128,3762,8998,1,0,1,0,1,0,4294963200,30-07 08:03:10,16210,342
2020-07-30 08:03:11,17.76,42.03,7.94,0,126,16094.494501,5,0,0,0,2,2,16095.208979,3925378,1092545527,287529,176765,358560055,6888243,907097,3009072,32102,1467621,1293278,1440163,3245901,128876496,634694,1087088195,114017,347996032,184824,782,15900,15868,5866,8399,1397,10392,128626397,3238711,154182722,2281209,9532580,1876079861,1980261542,0,271334912,3103519728,1049908479,1.15,0.78,1609047671,33.71,33.43,1609049098,0.41,0.13,1609050636,34.31,33.87,1609049727,2020-07-30 08:03:11,6.525,0.065,93.411,0,0,0,0,0,0,0,0,48,1,0.990,0.830,2075291648,119157985280,3284992,13507760128,3223,0,1,0,1,0,0,0,4294963200,30-07 08:03:11,16343,126
2020-07-30 08:03:12,17.84,42.10,8.11,0,194,16089.337016,5,0,0,0,6,6,16083.026211,13229011,1118694582,7431532,719815,136507219,6623700,909509,3125860,24533,1523660,1285078,1440878,3259384,104368114,700459,1119618617,123503,139588946,189087,1019,29419,29268,5810,8975,1546,10390,99162994,3127112,154142546,2283625,9485481,1870665431,1792116599,0,58017923,3102595063,1118066332,1.23,0.83,1608955020,33.85,33.53,1608953626,0.52,0.19,1608954748,34.44,33.94,1608957922,2020-07-30 08:03:12,6.533,0,93.467,0,0,0,0,0,0,1,0,59,1,0.990,0.830,2075291648,119157985280,3284992,13507760128,3140,42,1,0,1,0,0,0,4294963200,30-07 08:03:12,16277,192
