time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-30 09:49:20,33.91,60.42,20.21,0,39070,16230.551799,1054,0,0,89,111830,111922,16228.007836,266889155,1940537323,29012965,184420243,2011369902,32217570,56434350,96942311,37261760,58758441,74450916,177622511,14539100,1825717038,9852527,2388307596,1525736,2170723281,1261956,137839,6604224,55568910,294091,37725026,5729904,70698205,1714808411,11663649,676540663,86014456,179514884,10841710618,9221885028,0,1783358761,13974331327,8019233468,1990.02,1710.32,1610341833,1871.56,1705.05,1610207824,1920.07,1759.54,1610134736,1872.17,1707.47,1610059086,2020-07-30 09:49:20,28.489,17.029,54.481,0,0,0,0,0,0,1,1234,53,15.540,14.600,10.060,4710862848,112363642880,2428928,17297321984,3791,10290,16,0,241,0,0,204742656,4090220544,30-07 09:49:20,24820,38971
2020-07-30 09:49:21,49.36,79.21,37.50,0,208,16137.202369,2,0,0,0,176851,176835,16135.649203,643998591,9511397535,244400857,403151588,3898238670,13691903,114760937,175588659,144167289,219279692,183572849,311791631,17922724,3381805627,5800538,8437478122,1299166,3958255125,382252,204424,14884646,119697325,2258204,140305280,15112301,213346178,3284012680,18366579,1551674742,201880145,405367327,24888630124,26523757034,0,3528230904,31053239780,15294634993,5843.65,4266.45,1606878959,5408.56,4244.86,1606871308,5469.06,4285.35,1606862433,5411.27,4195.15,1606856470,2020-07-30 09:49:21,79.875,20.125,0,0,0,0,10752,0,0,0,0,49,15.540,14.600,10.060,11854999552,105219375104,2428928,17297453056,2976,0,16,0,1,0,2,204742656,4090220544,30-07 09:49:21,16353,208
2020-07-30 09:49:22,50.49,80.82,43.42,0,496,16065.267182,1,0,0,0,43688,43688,16065.941736,727629424,9366107600,569616773,289547608,3183792894,9009816,352221543,609163813,269350554,402961297,78535796,112754638,22445130,3456368829,2041815,9798701129,458144,3275120309,227914,119792,42074547,302526109,659591,237783818,8723928,90432730,3921516857,24472222,1548990308,131719308,359641984,24859322830,33570231020,0,3334733665,31026777025,13961219718,10221.69,3151.84,1607366687,9778.61,3093.05,1607367944,9905.49,3163.56,1607368954,9863.69,3104.97,1607371596,2020-07-30 09:49:22,98.938,1.062,0,0,0,0,0,0,0,1,0,53,15.540,14.600,10.060,11994992640,105079382016,2428928,17297453056,4347,1272,16,0,1,0,0,204742656,4090220544,30-07 09:49:22,17794,494
2020-07-30 09:49:23,50.31,79.88,39.08,0,713,16077.917580,2,0,0,2,185888,185890,16078.346658,601356144,11595635787,366749580,267111826,4052595244,20471062,195778761,360712315,202471865,364015895,124841667,187868608,25004449,3630814550,3204012,12257007715,812401,3901054340,324895,237459,27273091,210703608,1214108,180970786,12716474,167949945,3270656432,25354180,1551326405,147964825,343804097,24894868764,31992744373,0,3723997497,31087636766,13263975433,7842.50,3205.30,1607893715,7447.65,3167.13,1607896482,7522.51,3217.16,1607897674,7486.76,3146.29,1607898093,2020-07-30 09:49:23,91.375,8.562,0,0.062,0,0,0,0,0,0,0,45,15.540,14.600,10.060,14561214464,102510977024,2428928,17299595264,2883,10120,16,0,1,0,0,204742656,4090220544,30-07 09:49:23,17671,713
2020-07-30 09:49:24,50.01,78.83,36.79,0,220,16076.593632,1,0,0,3,152565,152568,16076.227073,621824055,12333402090,416082016,249803071,3989108180,21567292,212179740,422979168,159626197,343463627,130540711,230240523,26210928,3621570690,4294693,10287807470,1376247,3813437500,310335,210786,22721639,224981403,1275885,148742500,6153319,81639200,4111301614,30214619,1555300476,132809831,300180194,24947569220,35891591473,0,3967279808,31132539979,12541175028,7058.79,2503.04,1607154680,6744.46,2465.72,1607154639,6801.88,2517.04,1607156555,6794.24,2473.24,1607159969,2020-07-30 09:49:24,94,6,0,0,0,0,225280,0,0,1,0,52,15.580,14.620,10.090,16240971776,100826734592,2428928,17304064000,2912,0,17,0,1,0,3,204742656,4090220544,30-07 09:49:24,16546,218
2020-07-30 09:49:25,49.63,76.76,27.52,0,680,16072.614173,0,0,0,0,301532,301533,16073.005712,552674077,12738635968,346907910,235608153,4511637132,49292479,126349696,244532954,120802497,319449819,60757266,87378487,40859843,4766145773,9558707,13195490885,2000970,4746481421,904546,907696,12167678,96295760,1729528,100379514,7023747,74225520,5017029388,43228710,1555585813,82465355,240040394,24950917165,38771492696,0,4631004778,31114740583,11582763448,4223.78,1747.74,1606904011,4047.46,1727.20,1606907212,4108.74,1785.64,1606909780,4060.35,1728.57,1606909636,2020-07-30 09:49:25,92.308,7.630,0,0.063,0,0,0,0,0,0,0,50,15.580,14.620,10.090,17841926144,99225010176,2428928,17304813568,3720,96,16,0,0,0,0,204742656,4090220544,30-07 09:49:25,18513,678
2020-07-30 09:49:26,50.63,81.08,44.45,0,492,16070.571372,1,0,0,0,168914,168913,16075.707638,687824256,10213688024,578380337,256943488,3201162159,8518143,347391214,626078907,257011398,415720440,83907453,117095221,20839585,3219702518,4424058,9126302098,741120,2956951140,249767,26928,54719655,388338070,346457,258092356,8547214,63994264,3664806445,20375065,1554003659,126007411,339863871,24936800462,34151160218,0,3261869386,31112925652,13816890771,10782.84,3050.51,1609888305,10319.81,2996.83,1609920521,10449.20,3060.33,1609959619,10415.03,3011.27,1609993859,2020-07-30 09:49:26,98.312,1.688,0,0,0,0,0,0,0,1,0,56,15.580,14.620,10.090,17841680384,99225247744,2428928,17304821760,4823,10182,16,0,1,0,0,204742656,4090220544,30-07 09:49:26,16357,460
2020-07-30 09:49:27,51.20,81.11,42.27,0,193,16105.411346,1,0,0,0,227507,227518,16101.791963,818341753,10278630201,652908964,281274307,3327798771,8698176,338806061,599391336,219346443,452679334,63130191,107263118,25406981,3927430816,6853129,10910916395,965655,3464999135,383496,51362,49140732,344262610,626885,238278458,3852457,39695447,4072313014,23136769,1552412234,103623165,370416955,24898419973,37637386569,0,3375540164,31050565678,13185998740,9753.45,2715.72,1608072144,9425.63,2667.44,1608043413,9490.32,2722.74,1608012139,9489.83,2683.05,1607984278,2020-07-30 09:49:27,98,2,0,0,0,0,0,0,0,0,0,63,15.580,14.620,10.090,17841397760,99225522176,2428928,17304829952,5160,1424,16,0,1,0,0,204742656,4090220544,30-07 09:49:27,16420,225
2020-07-30 09:49:28,51.55,80.01,34.42,0,198,16075.263482,1,0,0,0,223859,223848,16073.839005,851786167,12908215598,678546619,311389797,4138461033,15003794,214550157,484315647,187900415,507331805,41800618,68603896,25183119,4466800303,7105100,12509110831,1109748,3979386489,445295,135140,33695923,247847500,1194231,197360269,4182582,51222562,4666316054,25781605,1552641763,90080377,337137131,24916442003,42557419470,0,4167307977,31086833083,10767422715,7329.88,1991.47,1608290219,7125.11,1963.64,1608287953,7171.56,2013.97,1608284408,7158.72,1974.66,1608283590,2020-07-30 09:49:28,98.125,1.875,0,0,0,0,0,0,0,1,0,53,15.580,14.620,10.090,17840435200,99226480640,2428928,17304834048,3219,0,16,0,1,0,0,204742656,4090220544,30-07 09:49:28,16323,198
2020-07-30 09:49:29,51.01,81.26,43.60,0,427,16082.748571,1,0,0,0,150362,150362,16083.247929,801513608,10048900879,629956909,293191531,3218591492,7434948,358481827,629563431,257100994,431406643,67770854,94258447,22867486,3727889496,4817406,10700383876,918536,3437076875,286931,29666,43672042,331578091,672239,243830582,5835660,46860708,3812309253,22883221,1552472242,117252123,370476285,24900163318,36430422037,0,3346993223,31058294556,13311864028,10480.45,2885.88,1609059068,10022.61,2827.23,1609084131,10132.18,2889.73,1609104352,10116.00,2839.69,1609125479,2020-07-30 09:49:29,98.751,1.249,0,0,0,0,0,0,0,0,0,53,15.610,14.650,10.130,17840177152,99226730496,2428928,17304842240,3560,10058,16,0,1,0,0,204742656,4090220544,30-07 09:49:29,16461,413
2020-07-30 09:49:30,50.66,81.05,43.57,0,213,16095.370506,0,0,0,0,108717,108718,16096.249000,763614542,10045311076,586305390,283753201,3135820814,7317932,341405085,592810504,260378865,393938717,86457169,132881897,20416979,3677280824,2276181,9914253530,456091,3287853510,164870,18797,51944847,358225442,672909,240946009,4780090,49196077,3743425888,23001692,1553496701,129377145,370875774,24915848287,34733705013,0,3161626252,31071200105,13846146279,10572.81,2979.57,1608917690,10115.60,2923.61,1608907439,10246.01,2989.72,1608899433,10208.13,2940.95,1608888271,2020-07-30 09:49:30,99,1,0,0,0,0,0,0,0,1,0,51,15.610,14.650,10.130,17840107520,99226791936,2428928,17304850432,2919,0,16,0,0,0,0,204742656,4090220544,30-07 09:49:30,16488,193
