time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-30 09:33:36,35.35,61.37,20.29,0,35136,16323.479779,886,0,0,110,230857,230967,16318.204766,286867427,4331598884,85232492,158839498,2148390766,41706913,43982589,95876371,61215431,109219567,69716309,142971293,25430821,1842133382,10503193,4023447670,1911061,2128143202,1133787,264256,4749000,32359235,1690814,62708646,3045811,37540805,2324312854,33536738,842133621,57323746,148493662,13435549649,14517814425,0,2033042415,16791912052,8112288353,2018.77,1387.21,1612175050,1834.43,1319.98,1611308936,1828.47,1316.97,1610211218,1846.59,1323.34,1609247456,2020-07-30 09:33:36,42.411,13.520,44.069,0,0,0,0,0,0,1,1188,50,0,0.250,1.020,4116865024,112964308992,2428928,17291264000,3991,1372,16,0,242,0,0,204754944,4090208256,30-07 09:33:36,22683,34973
2020-07-30 09:33:37,49.50,75.94,27.36,0,687,16123.429513,1,0,0,4,297901,297920,16120.802550,602457140,12846120132,350397573,246966258,4650701970,69913751,92828302,245449745,95943355,337226301,60537857,100002900,76489510,5220629016,11381351,12835926587,2396903,4584943519,1090047,1187085,8268273,84571844,3150204,93280927,7721282,83146744,4800984513,72573055,1555254476,97078035,268969114,24953956810,36777549938,0,4498716241,31114698889,11261499393,3658.89,1453.03,1607331714,3456.00,1378.26,1607321538,3443.96,1377.74,1607311790,3473.24,1384.81,1607305414,2020-07-30 09:33:37,91.562,8.438,0,0,0,0,0,0,0,0,0,50,0,0.250,1.020,5796532224,111279484928,2428928,17296293888,3268,10348,16,0,1,0,0,204754944,4090208256,30-07 09:33:37,17909,687
2020-07-30 09:33:38,50.86,78.08,30.73,0,778,16074.703772,4,0,0,0,233310,233295,16080.960183,763824050,13044145445,530113571,247301294,4147572332,26047046,159642385,384598033,172370999,493827311,45138578,81025280,63567263,4473379518,8814001,12183386177,1605309,3999922483,586082,321283,16968569,175256558,4109153,220401666,3368605,44270205,4598905920,61667345,1553108773,101033543,343969769,24911217378,41214290435,0,4072689757,31106277677,11151307339,6266.23,1435.60,1609498475,6051.87,1364.12,1609518372,6044.75,1364.73,1609543311,6091.79,1374.56,1609566677,2020-07-30 09:33:38,97.436,2.502,0,0.063,0,0,0,0,0,1,0,49,0,0.250,1.020,5842243584,111233765376,2428928,17296302080,3417,0,16,0,1,0,0,204754944,4090208256,30-07 09:33:38,20487,772
2020-07-30 09:33:39,51.43,79.12,34.35,0,284,16096.953719,0,0,0,0,6249,6249,16090.681678,860329189,12163494692,606143284,284819542,3925851030,17741394,195033658,491522672,221014885,673436039,37253332,81518685,66146025,4481822592,3480882,12308126238,886640,3874777309,275800,163369,18900474,199031586,3799007,230740675,3846185,47188661,4690626008,63864157,1553082480,104548019,355663483,24912294919,40622919807,0,3844116162,31082317835,11649907963,7088.48,1547.17,1607438550,6852.43,1475.51,1607424895,6843.72,1475.92,1607409366,6898.24,1486.73,1607392072,2020-07-30 09:33:39,99.750,0.187,0,0.062,0,0,0,0,0,0,0,53,1.280,0.510,1.100,5841981440,111234019328,2428928,17296310272,4047,0,16,0,0,0,0,204754944,4090208256,30-07 09:33:39,16848,306
2020-07-30 09:33:40,51.08,78.53,32.96,0,491,16070.512027,3,0,0,0,379609,379741,16070.405080,804601866,12635145593,549782775,258740893,4008045395,21173370,172411334,422164640,186255893,590721570,31642382,71256011,66632451,4709471245,12115995,12437218815,1804199,3894617499,645298,176956,19573418,208230474,4433485,219515534,4456064,46232748,4647159551,61908268,1551867632,104690740,360041564,24892807978,40001436397,0,3869178484,31076279935,11541401233,6667.55,1488.88,1606717189,6446.67,1418.90,1606718131,6441.47,1419.61,1606717787,6489.40,1429.52,1606719154,2020-07-30 09:33:40,96.688,3.312,0,0,0,0,40960,0,0,1,0,48,1.280,0.510,1.100,5842137088,111233859584,2428928,17296314368,3167,10014,16,0,1,0,4,204754944,4090208256,30-07 09:33:40,16871,467
2020-07-30 09:33:41,51.43,79.03,34.36,0,197,16071.062457,1,0,0,0,25461,25329,16072.627170,839597350,12391663766,602013017,284697209,3930534315,17584965,190382688,507899466,239695360,646612977,36932178,69789476,68507457,4689958993,3744885,12760797752,1021443,3939853958,318069,143406,17969021,200395117,3783527,202812738,3711288,40971832,4763086192,65306813,1553226877,100899755,354590013,24918294076,40623249238,0,3812508376,31090784177,11676830221,7075.30,1544.59,1607991849,6841.31,1473.99,1607986459,6832.82,1474.36,1607985353,6886.71,1484.66,1607983539,2020-07-30 09:33:41,99.750,0.250,0,0,0,0,0,0,0,0,0,52,1.280,0.510,1.100,5842247680,111233740800,2428928,17296322560,3940,1336,16,0,1,0,0,204754944,4090208256,30-07 09:33:41,16458,195
2020-07-30 09:33:42,51.48,79.23,34.34,0,213,16079.661420,1,0,0,0,1398,1398,16079.333449,836925812,12269546858,593384584,285891717,3895914624,16480770,203725918,530954915,232786744,633560553,44113071,76052245,65323194,4582315744,3717134,12379051253,1025590,3844590273,273310,130302,19906911,205784895,4163626,208618967,4764848,48293138,4518373962,61107731,1552482839,111530467,366051856,24902753652,39932366306,0,3755866359,31068012617,11862272877,7261.04,1584.53,1607423601,7018.13,1513.33,1607428836,7010.77,1513.54,1607428531,7067.06,1524.41,1607428561,2020-07-30 09:33:42,99.937,0.063,0,0,0,0,50688,0,0,1,0,48,1.280,0.510,1.100,5842112512,111233867776,2428928,17296330752,3092,300,17,0,1,0,4,204754944,4090208256,30-07 09:33:42,16313,211
2020-07-30 09:33:43,51.56,79.22,34.40,0,474,16072.983041,3,0,0,0,111,111,16072.572018,845895036,12590290894,609008219,286567739,3923583958,16999100,206454574,539761951,221581250,623889969,45949655,84958275,62562905,4482795213,3355120,12349480821,912822,3903960064,267651,138642,18952616,191812109,4360039,209450560,5277512,51019288,4468927019,61014631,1551719271,106453340,355586557,24908200199,40374273925,0,3913740980,31078702770,11468797035,7113.35,1558.64,1607471000,6878.66,1488.13,1607463092,6872.17,1489.04,1607455429,6924.97,1499.26,1607451134,2020-07-30 09:33:43,99.813,0.187,0,0,0,0,0,0,0,0,0,48,1.280,0.510,1.100,5841969152,111234002944,2428928,17296338944,3942,10022,16,0,2,0,0,204754944,4090208256,30-07 09:33:43,16469,472
2020-07-30 09:33:44,51.45,79.02,33.81,0,154,16075.861148,0,0,0,0,202948,202948,16075.964468,845699687,12488722047,612393170,288962350,3976968137,17446628,188348309,498802479,224958705,612900972,42485230,84832033,66490170,4541736459,7223652,12097662258,1353859,3820486207,430552,158376,20889731,199606325,3500451,203678697,3687103,40570635,4607890678,62505921,1553352896,105357563,348557827,24914942642,40025269477,0,3940104813,31086372726,11328949851,6903.08,1525.33,1607579044,6675.10,1454.85,1607584183,6668.18,1455.23,1607588567,6718.68,1465.08,1607587658,2020-07-30 09:33:44,98.437,1.563,0,0,0,0,0,0,0,1,0,47,2.460,0.770,1.180,5841604608,111234363392,2428928,17296343040,3108,0,16,0,0,0,0,204754944,4090208256,30-07 09:33:44,16418,154
2020-07-30 09:33:45,31.13,56.30,19.74,0,46767,16077.492336,1485,0,0,96,222396,222492,16079.735592,210000986,3064619748,118349988,82721077,1487593038,38013052,64382844,146258321,61449767,131337649,17531515,27585743,27543135,1474032832,15719559,3065379943,2398580,1337542718,1627865,373190,4164517,41454403,549251,53068185,1493610,26938095,1410811615,24154202,590581110,43140413,114514426,9375281358,10393971706,0,1527720566,12621157663,5960510387,1955.29,738.85,1608718835,1830.55,674.65,1608793505,1827.14,671.65,1608801393,1842.28,675.01,1608813373,2020-07-30 09:33:45,26.985,10.975,62.040,0,0,0,53248,0,0,0,1464,61,2.460,0.770,1.180,2290524160,114812493824,2428928,17269661696,3541,0,17,0,243,0,5,204754944,4090208256,30-07 09:33:45,27134,46765
2020-07-30 09:33:46,49.71,77.14,31.23,0,624,16090.246685,1,0,0,12,316661,316673,16086.934783,611825563,11748989722,310322439,276097685,4296112567,43075105,113658405,285681731,133246383,398348462,123174815,198943526,60789828,4348808471,9664245,10879587657,2218114,4192342863,900453,456687,14295729,111551699,4438539,129966670,8779376,87728891,4508866593,59545530,1552910477,123754658,315434849,24912209923,33837571225,0,3988865346,31095857520,12714593190,4855.76,2202.83,1607149159,4585.97,2129.26,1607071832,4572.93,2126.71,1607058239,4613.79,2137.33,1607043950,2020-07-30 09:33:46,87.765,12.235,0,0,0,0,0,0,0,1,0,56,2.460,0.770,1.180,5110640640,111968133120,2428928,17293688832,5004,11722,16,0,1,0,0,204754944,4090208256,30-07 09:33:46,16531,586
