time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 11:49:30,18.41,42.77,13.21,0,423,16485.196102,8,0,0,0,10138,10112,16447.590310,18128705,409396504,2687028,5035531,272356822,32989698,1339809,7934914,87127,2766430,1843649,2636324,9933578,339007450,2336889,430379314,206200,281265433,293641,768828,40871,300584,38387,118584,56757,1578261,299715416,9443759,199469585,3616167,19146383,2406940979,1798883573,0,174663114,3972217756,1494074063,9.74,11.79,1616020649,41.08,44.60,1615924917,40.79,44.30,1615830074,8.95,12.07,1615722402,2020-07-21 11:49:30,6.035,0.584,93.381,0,0,0,0,0,0,1,0,9,1.230,0.430,0.690,2083090432,124438904832,3284992,8345321472,716,0,1,0,1,0,0,0,4294963200,21-07 11:49:30,16397,390
2020-07-21 11:49:31,17.59,41.54,12.95,0,930,16211.726344,73,0,0,0,24595,24595,16211.906193,19178908,305031471,2680970,5428203,236876175,33120076,1491967,9881888,140228,2561309,1740163,2784480,11962145,255149192,3435039,310301843,286209,244135407,428594,571504,74849,405978,32283,103715,54683,637637,252725240,12545786,160422285,3325594,22553902,1944532469,1215480221,0,162473553,3183719107,1267482067,12.13,14.39,1611892024,43.59,47.01,1611892722,43.32,46.65,1611892556,11.39,14.44,1611891304,2020-07-21 11:49:31,5.718,0.975,93.307,0,0,0,0,0,0,0,0,12,1.230,0.430,0.690,2113216512,124408602624,3284992,8345341952,1277,3240,1,0,23,0,0,0,4294963200,21-07 11:49:31,16410,926
2020-07-21 11:49:32,14.81,38.59,13.25,0,265,16124.430494,8,0,0,0,1212,1212,16123.557871,11999814,175269706,1738530,2607272,176463215,16109039,1001190,6490801,61016,2444900,1428196,1856503,6334815,137023654,2000291,187607552,202814,178630552,321860,206730,27093,114855,10329,27279,15827,54084,122652005,5605992,100443804,2455372,16446015,1221479306,592461551,0,89227261,1999236836,841827740,2.63,1.94,1611471454,23.45,22.93,1611461118,22.82,22.35,1611451904,3.38,2.36,1611444669,2020-07-21 11:49:32,2.602,0.130,97.267,0,0,0,0,0,0,1,0,5,1.230,0.430,0.690,2115719168,124406063104,3284992,8345378816,700,0,1,0,1,0,0,0,4294963200,21-07 11:49:32,16250,255
2020-07-21 11:49:33,13.01,36.80,14.10,0,156,16102.047591,4,0,0,0,0,0,16102.426642,3930869,23753626,224555,131602,93555459,7651373,967027,3166270,15161,1429935,1360665,1533591,2923103,26114064,880865,49612536,151023,105805858,228275,21839,35775,36829,12079,11934,14283,16326,11504112,2706041,62396572,2440687,10518818,765230001,54793341,0,9211842,1237896490,615561276,1.28,0.65,1610631875,13.92,13.38,1610633423,13.08,12.68,1610672728,2.33,1.25,1610673415,2020-07-21 11:49:33,0,0,100,0,0,0,0,0,0,0,0,5,1.230,0.430,0.690,2115551232,124406222848,3284992,8345387008,463,0,0,0,1,0,0,0,4294963200,21-07 11:49:33,16132,154
2020-07-21 11:49:34,15.64,39.40,13.60,0,451,16109.955130,13,0,0,0,8002,8003,16109.809635,12903680,221884131,2012291,3049215,194510104,23217512,1101958,5814712,26677,2013544,1522734,2313243,8434933,159659288,1518776,205678701,198291,194002982,296859,347756,59327,139892,18307,94768,42804,459733,163891017,8438392,121517289,3380070,17651755,1489925014,822167304,0,109861195,2434278169,991600165,7.32,7.53,1611876153,31.18,32.26,1611877129,30.66,31.69,1611842516,7.25,7.89,1611844761,2020-07-21 11:49:34,3.576,0.455,95.969,0,0,0,106496,0,0,1,0,10,1.230,0.430,0.690,2141741056,124380033024,3284992,8345387008,1056,0,1,0,3,0,1,0,4294963200,21-07 11:49:34,16246,445
2020-07-21 11:49:35,17.43,41.25,13.19,0,621,16126.613014,68,0,0,0,20462,20465,16126.883727,15774056,364203960,2179708,4630369,266673701,32222580,1230433,7161576,83407,2255246,1677143,2585851,8912857,250597574,3624048,345406879,398076,255492287,365352,653641,343641,711300,94221,188919,85246,584630,260658670,8311978,158920765,3407264,19135380,1921345321,1593353531,0,180426659,3174666185,1177325024,14.00,13.96,1612669351,45.53,46.58,1612677573,44.99,46.06,1612683867,13.26,14.11,1612689283,2020-07-21 11:49:35,5.718,0.845,93.437,0,0,0,0,0,0,0,0,5,1.210,0.440,0.700,2172989440,124348772352,3284992,8345399296,1250,0,1,0,23,0,0,0,4294963200,21-07 11:49:35,16437,623
2020-07-21 11:49:36,17.48,41.30,13.30,0,1044,16124.906640,112,0,0,0,25242,25246,16126.449275,19960793,314691665,2888140,5277667,246122729,32454734,1299575,9286865,124378,2649606,1877278,3360281,13501087,251680760,3080374,309496249,297230,248413402,537355,486341,422957,505833,56249,60011,116560,443084,251853566,11437460,159040991,3044822,23635383,1929100064,1214579487,0,168188457,3185090671,1282229252,12.66,13.82,1611509806,43.92,46.43,1611509409,43.60,45.98,1611507170,11.56,13.73,1611505719,2020-07-21 11:49:36,5.779,1.104,93.117,0,0,0,0,0,0,1,0,6,1.210,0.440,0.700,2201960448,124319723520,3284992,8345477120,639,0,1,0,30,0,0,0,4294963200,21-07 11:49:36,16387,971
2020-07-21 11:49:37,16.83,40.64,13.39,0,665,16116.584814,77,0,0,0,21727,21719,16114.635077,15273550,358185131,2380638,3580401,250884097,15151337,1634053,7694943,230603,2578404,1563715,2400967,6754076,229868401,2191116,376821704,254877,252598481,303936,215933,185592,645515,38561,167448,61868,247302,208771387,6787653,144432554,3247813,18426736,1757236003,1732367450,0,158998783,2898310293,1003011132,16.62,11.44,1612854377,45.59,41.33,1612854238,45.04,40.79,1612852604,16.12,11.52,1612852566,2020-07-21 11:49:37,4.873,0.910,94.217,0,0,0,12288,0,0,0,0,9,1.210,0.440,0.700,2218397696,124303286272,3284992,8345477120,520,0,1,0,35,0,2,0,4294963200,21-07 11:49:37,16334,724
2020-07-21 11:49:38,17.41,41.22,13.08,0,180,16128.713899,10,0,0,0,25,25,16128.936288,6403977,373346934,687250,732290,175872714,7493716,2042277,4669581,312565,1693175,1301331,1506066,3223937,98072715,844936,376894361,142669,181758070,236014,8349,1169204,1203148,340638,352080,13846,16356,96769864,3223222,156304488,2942501,11329771,1890672265,3799938824,0,90408256,3114018218,745702340,23.46,1.89,1611316637,56.05,34.57,1611313023,55.48,34.16,1611311999,23.80,2.06,1611308971,2020-07-21 11:49:38,6.234,0.390,93.377,0,0,0,0,0,0,1,0,6,1.210,0.440,0.700,2217304064,124304396288,3284992,8345460736,639,0,1,0,1,0,0,0,4294963200,21-07 11:49:38,16361,190
2020-07-21 11:49:39,17.40,41.20,13.03,0,245,16113.412084,6,0,0,0,3714,3714,16113.341063,8703706,372692343,983445,1477251,186283810,8935906,2069681,5328149,280063,1721761,1316016,1578426,3673603,113736294,1075444,376027120,154305,187894295,249802,33098,866762,1216061,239625,329648,22924,64170,118400302,3795747,158529331,3173134,12885854,1924549938,3499323642,0,105274837,3160175411,824312638,24.70,4.14,1612725500,56.95,36.81,1612729956,56.50,36.41,1612731668,24.81,4.23,1612733370,2020-07-21 11:49:39,6.039,0.519,93.442,0,0,0,0,0,0,0,0,7,1.210,0.440,0.700,2217590784,124304093184,3284992,8345477120,1111,0,1,0,1,0,0,0,4294963200,21-07 11:49:39,16287,247
2020-07-21 11:49:40,17.47,41.29,13.20,0,240,16128.036726,8,0,0,0,13,13,16128.128418,6568695,380429332,765976,793922,179309290,7968057,2066568,4712145,301686,1708428,1302707,1508675,3648978,120642686,861102,390945248,135142,181502628,203205,3552,1160348,1200370,301375,314235,18461,14371,97470015,3179176,156210631,2934934,11302482,1892707365,3810653626,0,92649010,3143899896,759300367,23.58,1.20,1611643810,56.19,33.92,1611640214,55.66,33.48,1611638516,23.96,1.37,1611640960,2020-07-21 11:49:40,6.303,0.325,93.372,0,0,0,0,0,0,1,0,15,1.200,0.450,0.700,2217431040,124304240640,3284992,8345489408,1116,0,1,0,1,0,0,0,4294963200,21-07 11:49:40,16370,240
2020-07-21 11:49:41,16.21,40.02,13.20,0,545,16112.884925,38,0,0,0,15230,15230,16113.135967,10937951,281283934,1474820,2335231,185732836,12131341,1786730,6396851,208598,2047929,1398117,1735361,4216076,139028654,2006612,292109513,232719,194639395,292897,44203,472496,869589,86780,162573,58828,259005,126548018,4131276,129864284,3091865,14342442,1579177924,2081041815,0,100593636,2597009778,843064826,19.50,5.85,1612110347,45.57,32.47,1612112283,45.06,31.93,1612115706,19.35,5.84,1612112911,2020-07-21 11:49:41,4.026,0.909,95.065,0,0,0,0,0,0,0,0,18,1.200,0.450,0.700,2220007424,124301615104,3284992,8345538560,1603,0,1,0,13,0,0,0,4294963200,21-07 11:49:41,16361,543
2020-07-21 11:49:42,14.96,38.78,13.48,0,854,16126.137671,84,0,0,0,21448,21457,16125.372979,12943754,198367172,2036348,3552361,185246482,11461044,1045902,5492887,40553,1797485,1486690,1965677,4459116,120962560,2509216,182090801,248422,180708422,336083,52314,287680,356994,33131,113529,72362,195283,163087468,4514125,111213969,3113196,16909477,1335477429,769707997,0,105454513,2110323958,877673515,11.11,4.87,1611238658,31.55,25.91,1611227001,30.79,25.23,1611215224,11.11,5.15,1611209677,2020-07-21 11:49:42,2.279,1.042,96.680,0,0,0,0,0,0,1,0,15,1.200,0.450,0.700,2221006848,124300562432,3284992,8345591808,1216,3928,0,0,29,0,0,0,4294963200,21-07 11:49:42,16403,845
2020-07-21 11:49:43,17.48,41.28,13.39,0,244,16111.791625,8,0,0,0,61,52,16113.102009,6443063,388382545,712951,754895,176300775,7515876,2043493,4664546,303622,1678985,1294119,1484538,3193192,102589177,821997,379498353,126696,175597009,200714,1159,1165656,1178452,320867,324239,16324,32041,123148096,3723932,172906853,3000833,11595187,2084446462,3916384998,0,96179264,3400497082,851100469,23.78,2.90,1613244675,56.36,35.63,1613253389,55.81,35.17,1613258052,24.10,3.05,1613258392,2020-07-21 11:49:43,5.905,0.389,93.705,0,0,0,0,0,0,0,0,9,1.200,0.450,0.700,2219139072,124302458880,3284992,8345563136,435,0,1,0,1,0,0,0,4294963200,21-07 11:49:43,16277,249
2020-07-21 11:49:44,16.51,40.36,13.04,0,426,16131.468126,49,0,0,0,10257,10257,16130.586364,11002471,336065008,1674206,2859112,207671645,11179962,1678292,6303377,185326,1727472,1378316,1788627,4168268,155611732,1993659,334964075,209355,215827830,281404,48582,887032,967708,213837,218161,70202,152377,178356412,4200968,137133552,2834228,13793587,1650355348,2316890837,0,127634412,2711242881,828203699,17.96,3.82,1611636009,45.74,32.04,1611690669,45.26,31.55,1611695708,18.06,4.00,1611700250,2020-07-21 11:49:44,5.003,0.715,94.282,0,0,0,0,0,0,1,0,5,1.200,0.450,0.700,2219085824,124302483456,3284992,8345591808,640,0,0,0,15,0,0,0,4294963200,21-07 11:49:44,16388,411
