time,power/energy-cores/,power/energy-pkg/,power/energy-ram/,alignment-faults,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-loads,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,time,"usr","sys","idl","wai","stl","read","writ","in","out","49","50","51","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","time","int","csw"
2020-07-21 11:47:00,17.82,42.11,12.08,0,389,16511.557948,8,0,0,0,9488,9481,16468.249105,17652538,385292047,2549078,5033347,278929692,34714339,1234698,7322387,77504,2188482,1827749,2509198,10537816,288120647,3391804,372474614,335938,266883871,327896,711540,47339,611266,31800,126490,58869,1657274,312809082,9464983,163699634,3954592,19861443,1946301170,1688940615,0,183162623,3168164007,1151989908,12.02,12.98,1615781194,43.42,45.77,1615750832,9.92,12.32,1615655191,43.78,45.84,1615557692,2020-07-21 11:47:00,6.169,0.455,93.377,0,0,0,0,0,0,1,0,8,0,0.080,0.650,2079178752,124401000448,3284992,8386158592,516,0,2,0,0,0,0,0,4294963200,21-07 11:47:00,16216,347
2020-07-21 11:47:01,17.37,41.19,11.56,0,820,16217.929882,72,0,0,0,24601,24601,16220.112380,19151789,303856940,2839220,5154757,242526624,33562594,1257983,8506952,62805,2867395,1889446,2822543,12515585,242478572,2791246,298419323,297428,240337807,500518,567470,66541,343343,26911,75756,65439,524402,226915260,11649605,160998378,3471359,23479320,1955177555,1155736125,0,158573182,3194927748,1284090117,9.84,13.07,1612316103,41.40,45.80,1612242666,7.97,12.32,1612240242,41.72,45.82,1612239668,2020-07-21 11:47:01,5.653,0.975,93.372,0,0,0,0,0,0,0,0,8,0,0.080,0.650,2115842048,124364333056,3284992,8386162688,827,0,1,0,24,0,0,0,4294963200,21-07 11:47:01,16258,807
2020-07-21 11:47:02,13.08,36.76,12.18,0,264,16121.600425,8,0,0,0,1199,1199,16126.727784,12014798,177844865,1756817,2664505,170807859,16063138,1045719,6962681,28336,1930842,1368343,1773925,5646017,123103621,2012805,171550049,236213,173029479,280685,144999,28661,69820,17279,22177,16989,58513,127303531,6184610,104662485,2464393,16032330,1276979011,682146244,0,100027369,2081012953,859890644,3.46,2.51,1612553713,22.02,21.35,1612550590,2.41,1.82,1612544151,23.13,21.97,1612538293,2020-07-21 11:47:02,2.668,0.130,97.202,0,0,0,0,0,0,1,0,12,0,0.080,0.650,2118344704,124361777152,3284992,8386228224,1119,0,1,0,1,0,0,0,4294963200,21-07 11:47:02,16340,245
2020-07-21 11:47:03,10.10,33.79,13.53,0,351,16125.233445,7,0,0,0,763,763,16116.479963,4597474,40271969,268510,248071,100137887,8495896,1034833,3434295,29907,1446878,1437417,1616131,2903828,25175161,1207619,41015032,210182,104189357,201393,10266,93873,139817,33866,32383,17525,22095,16814402,2934719,67011982,2443942,11066106,833353273,123857706,0,21067207,1355992570,655994989,3.40,2.22,1610880944,11.71,10.81,1610881370,2.32,1.52,1610883016,13.24,11.76,1610882948,2020-07-21 11:47:03,0.195,0.195,99.609,0,0,0,0,0,0,0,0,30,0,0.080,0.650,2119200768,124360904704,3284992,8386228224,1716,12160,0,0,2,0,0,0,4294963200,21-07 11:47:03,16367,370
2020-07-21 11:47:04,14.41,38.07,12.83,0,328,16099.318650,8,0,0,0,8142,8144,16100.293115,11627077,207749211,1404543,2775247,190530090,22782260,1035048,5641000,70947,2257214,1689867,2498202,8713046,171874069,1975995,217333813,245791,196240367,261975,258565,220736,378489,25134,33039,30304,276525,169984575,8438563,121337501,2824547,16919833,1474957907,788491002,0,111307118,2398913723,986429121,8.34,7.90,1610997672,30.12,30.66,1611001157,6.56,7.11,1611005602,31.11,31.22,1611013173,2020-07-21 11:47:04,3.446,0.390,96.164,0,0,0,0,0,0,1,0,7,0,0.080,0.650,2145808384,124334284800,3284992,8386240512,692,0,1,0,3,0,0,0,4294963200,21-07 11:47:04,16323,318
2020-07-21 11:47:05,17.41,41.10,12.34,0,537,16112.778349,67,0,0,0,20794,20796,16113.196481,19118080,354991566,2799398,5851236,265306962,30262261,1631345,9122621,91130,2210413,1669936,2694435,8832223,262265618,2734672,361708651,271827,269034487,293430,444323,241980,348584,72194,81682,72126,358135,250452107,8735497,158197216,3340888,19598049,1933112621,1611750054,0,173033395,3219768231,1229569390,15.25,14.66,1612568258,46.83,47.34,1612567465,13.32,13.83,1612565149,47.29,47.55,1612564667,2020-07-21 11:47:05,5.840,0.844,93.316,0,0,0,0,0,0,0,0,6,0,0.080,0.650,2176774144,124303310848,3284992,8386248704,576,0,1,0,22,0,0,0,4294963200,21-07 11:47:05,16409,523
2020-07-21 11:47:06,17.37,41.10,12.22,0,1344,16127.500871,146,0,0,0,27904,27937,16126.748828,19216279,317750347,2770020,5396568,249817280,31361236,1238518,9493326,154557,2905184,1738378,2744032,11617838,235208291,3361086,312783886,368534,251168859,511221,404539,312334,422828,43772,71031,128627,420148,262303186,12658740,169969289,3361033,25087336,2045046599,1237573543,0,166630638,3365886895,1338283387,14.88,14.87,1610451840,46.20,47.45,1610454423,12.65,13.93,1610456873,46.33,47.37,1610453399,2020-07-21 11:47:06,5.852,1.105,93.043,0,0,0,0,0,0,1,0,26,0,0.080,0.650,2206167040,124273811456,3284992,8386322432,1523,10164,1,0,30,0,0,0,4294963200,21-07 11:47:06,16430,1182
2020-07-21 11:47:07,16.14,39.79,12.44,0,434,16111.119252,52,0,0,0,18336,18299,16111.222088,14478413,366166248,2603867,3654530,243364463,14801452,1589945,8080468,169580,2829179,1451369,2359977,6454667,211768184,2647163,363389757,281958,252589168,300659,139337,432636,610841,89443,178486,48944,223682,201187826,6358876,142949380,3193060,15773843,1735820786,1964163268,0,163833396,2883972895,965678842,16.33,15.80,1612703273,44.46,44.75,1612704823,14.64,15.03,1612708196,45.07,44.97,1612713054,2020-07-21 11:47:07,4.808,0.910,94.282,0,0,0,12288,0,0,0,0,7,0,0.080,0.650,2222120960,124257869824,3284992,8386310144,635,0,1,0,36,0,2,0,4294963200,21-07 11:47:07,16305,610
2020-07-21 11:47:08,17.23,40.94,11.73,0,366,16127.982283,22,0,0,0,634,636,16127.750675,7028015,387519718,839422,999133,187366654,9573642,2282550,5275885,262666,1736009,1303113,1518899,3896422,127624338,1208445,402428192,217654,190220191,219475,17199,81847,1374226,49307,309433,16021,23377,97407459,3390988,156362092,2967664,11417698,1894299900,3820305752,0,93660202,3174284553,768019923,26.55,2.66,1611286000,58.97,35.34,1611285648,25.49,1.97,1611283752,59.39,35.46,1611279150,2020-07-21 11:47:08,6.368,0.325,93.307,0,0,0,0,0,0,1,0,11,0.080,0.090,0.650,2219753472,124260233216,3284992,8386285568,1056,0,1,0,2,0,0,0,4294963200,21-07 11:47:08,16368,331
2020-07-21 11:47:09,17.22,40.92,11.94,0,229,16117.709528,8,0,0,0,3837,3835,16144.906113,9174203,382881676,1067843,1707585,195763870,10105986,2152687,5750059,289480,1828153,1319451,1657705,3733412,118204756,1372732,376905209,214556,187304132,210557,17827,389452,1247219,113569,322842,22124,40043,122756758,3913120,159929828,2958736,12734317,1943713892,3598536680,0,104517894,3213883890,848570702,25.64,4.56,1617473832,58.02,37.37,1617468034,24.36,3.85,1617465018,58.51,37.48,1617464090,2020-07-21 11:47:09,6.360,0.454,93.186,0,0,0,0,0,0,0,0,14,0.080,0.090,0.650,2218545152,124261384192,3284992,8386306048,1063,0,1,0,1,0,0,0,4294963200,21-07 11:47:09,16306,274
