,power/energy-cores/,power/energy-pkg/,power/energy-ram/,context-switches,cpu-clock,cpu-migrations,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,usr,sys,idl,wai,read,writ,49,50,51,1m,5m,15m,used,free,cach,recv,send,run,blk,new,read,writ,int,csw
power/energy-cores/,1,0.99,0.29,0,0.02,0.03,0,0,0.02,0.11,0.52,0.04,0.61,0.1,0.05,0.13,0.08,0,0,0,0,0.67,0.57,0.13,0.52,0.04,0.1,0.08,0.02,0,0.14,0,0,0,0,0.57,0.67,0.94,0.19,0.09,0.94,0.64,0.12,0.94,0.67,0.05,0.17,0.02,0.06,0.17,0.02,0.06,0.18,0.02,0.06,0.18,0.02,0.91,0,0.91,0,0,0,0,0,0.03,0.82,0.57,0.36,0.27,0.28,0.04,0,0,0.89,0,0.01,0,0,0.15,0
power/energy-pkg/,0.99,1,0.36,0,0.01,0.03,0,0,0.02,0.14,0.47,0.05,0.66,0.08,0.06,0.19,0.11,0,0,0.01,0.02,0.65,0.54,0.16,0.47,0.06,0.08,0.08,0.03,0,0.19,0,0,0,0.01,0.53,0.65,0.93,0.27,0.12,0.93,0.58,0.09,0.93,0.72,0.1,0.23,0.02,0.1,0.23,0.02,0.1,0.25,0.02,0.1,0.24,0.02,0.91,0,0.91,0,0,0,0,0,0.03,0.82,0.57,0.37,0.28,0.29,0.04,0,0,0.89,0,0.01,0,0,0.15,0
power/energy-ram/,0.29,0.36,1,0,0,0,0.01,0.01,0,0.31,0,0.15,0.43,0.07,0.04,0.63,0.25,0.22,0.06,0.08,0.09,0.17,0.1,0.33,0,0.21,0.07,0.03,0.01,0.04,0.63,0.03,0.22,0.01,0.08,0.1,0.17,0.32,0.74,0.26,0.32,0.03,0.06,0.32,0.53,0.6,0.35,0,0.62,0.41,0,0.64,0.47,0,0.62,0.4,0,0.31,0.02,0.32,0,0,0,0,0,0,0.31,0.25,0.21,0.17,0.16,0,0,0,0.31,0,0,0,0,0.06,0
context-switches,0,0,0,1,0,0.05,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.06,0,0.05,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0.03,0,0.05,0.14,0.97
cpu-clock,0.02,0.01,0,0,1,0,0,0,0.5,0.01,0.03,0,0,0.04,0,0,0.01,0.01,0,0,0,0.02,0.02,0,0.03,0,0.04,0,0,0,0,0,0.01,0,0,0.02,0.02,0.02,0,0.01,0.02,0.02,0.04,0.02,0,0.01,0,0.18,0.01,0,0.18,0.01,0,0.18,0.01,0,0.18,0.02,0,0.02,0,0,0,0,0,0.01,0.02,0.02,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0
cpu-migrations,0.03,0.03,0,0.05,0,1,0.01,0.01,0,0,0.01,0,0.01,0,0.02,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.01,0.01,0,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0,0.44,0,0.01,0,0.03
minor-faults,0,0,0.01,0,0,0.01,1,1,0,0,0,0.02,0,0.01,0.01,0,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0.06,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
page-faults,0,0,0.01,0,0,0.01,1,1,0,0,0,0.02,0,0.01,0.01,0,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0.06,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
task-clock,0.02,0.02,0,0,0.5,0,0,0,1,0.01,0.03,0,0,0.05,0,0,0.01,0.01,0,0,0,0.02,0.03,0,0.04,0,0.05,0,0,0,0,0,0.01,0,0,0.03,0.02,0.02,0,0.01,0.02,0.02,0.05,0.02,0,0.01,0,0.7,0.01,0,0.7,0.01,0,0.7,0.01,0,0.7,0.02,0,0.02,0,0,0,0,0,0.01,0.02,0.02,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0
L1-dcache-load-misses,0.11,0.14,0.31,0,0.01,0,0,0,0.01,1,0,0.55,0.15,0.16,0.04,0.31,0.78,0.2,0.51,0.01,0.02,0.04,0.14,0.16,0,0.02,0.16,0.01,0,0.02,0.32,0.01,0.2,0,0.01,0.14,0.04,0.11,0.26,0.77,0.11,0,0.16,0.11,0.32,0.34,0.07,0.01,0.32,0.07,0.01,0.32,0.07,0.01,0.34,0.08,0.01,0.1,0,0.11,0,0,0,0,0,0.01,0.09,0.05,0.03,0.11,0.11,0,0,0,0.1,0,0,0,0,0.01,0
